,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG3,8.3910885,3.6090195,4.569580588266244e-12,2.1207423510143637e-08
1,IGLC1,7.9810715,3.9678037,2.404642728443752e-12,2.1207423510143637e-08
2,IGLC2,7.580529,3.7334497,1.349411952308359e-11,4.175080580442063e-08
3,IGHM,7.5557375,3.162297,2.557750974939226e-10,4.748208909877179e-07
4,IGLC3,7.2598276,29.324284,8.8980454401833e-11,2.0647914443945348e-07
5,AL627171.2,6.4880714,1.7477369,1.517875959466028e-08,1.761115581970459e-05
6,IGHG2,6.292251,4.280551,5.199731345747434e-09,8.04398439187128e-06
7,IGHG4,6.2722864,2.3141034,7.714505555083457e-08,6.509640051116787e-05
8,LCN2,6.2460914,3.5337076,7.79220753558423e-09,1.0332467192184687e-05
9,CDC42SE2,6.017639,27.862873,2.997330101330915e-08,3.0912464445059504e-05
10,IDO1,5.9625664,28.57537,3.842630416584559e-08,3.5667295526737877e-05
11,GPNMB,5.5870624,27.761974,2.035307110322169e-07,0.0001574310049834198
12,RARRES1,5.52824,27.693508,2.6308293884700787e-07,0.0001878412183367636
13,NPC2,5.123354,27.775232,1.4844512974726973e-06,0.0009841912102243984
14,C1QC,4.939872,27.415287,3.1799054013625795e-06,0.0019677254623631643
15,LPCAT1,4.8916135,27.235819,3.8758038592760065e-06,0.0022484507138624934
16,APOC1,4.852868,27.606834,4.5397857454618485e-06,0.002478723017022169
17,PSAP,4.80778,2.5156848,1.9331801785856507e-05,0.007476574340680005
18,NUDT22,4.771877,27.115437,6.3040411506343266e-06,0.003250783886677101
19,MUC1,4.7713385,2.277306,7.663873606382053e-06,0.0035568037407219108
20,CARD16,4.736065,27.160889,7.281841299190395e-06,0.0035568037407219108
21,HPS1,4.7093763,27.205128,8.104730069799329e-06,0.003582290690851303
22,IGKC,4.6414347,1.8556001,4.069434636593432e-05,0.011070652229417496
23,LRRC59,4.535396,27.17386,1.6150731826463917e-05,0.006814140582419913
24,MSN,4.5091405,27.115437,1.789864892669045e-05,0.007223272145110468
25,COMMD4,4.4557385,26.949818,2.2035633219110157e-05,0.007866721059222327
26,TGM2,4.4362736,3.3521383,2.18632895921352e-05,0.007866721059222327
27,TMUB1,4.420963,27.000013,2.52112476365392e-05,0.008667066687494698
28,REG1A,4.4153967,1.8370602,5.112346864395212e-05,0.013181334332032321
29,ICAM1,4.3836346,27.259241,2.9110839206622418e-05,0.00965024319699533
