,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG3,6.8514495,2.5505471,2.614471604809698e-10,2.4267525435843614e-06
1,IGHM,6.341813,2.441967,3.452400317608011e-09,1.602258987401878e-05
2,IGHG4,6.033337,1.9522233,1.6076907804971696e-08,3.730646456143682e-05
3,IGKC,5.8128877,1.8797288,5.4291262674194885e-08,0.00010078630002837537
4,LINC02739,5.39443,2.1310267,3.162952929502419e-07,0.00041940755845202074
5,IGHA1,5.3791094,2.092187,3.882980665430814e-07,0.0004505228317066102
6,ARHGEF1,5.181173,27.791933,1.4635430980551265e-06,0.0013584607036147684
7,IGLC1,4.8105497,2.031561,4.035352712132155e-06,0.0030856479079050354
8,TYMP,4.804254,1.8263032,4.321635725357192e-06,0.0030856479079050354
9,IGHG2,4.6054263,2.7188444,9.873653632433912e-06,0.0065462323583036835
10,MUC1,4.5314555,2.4510283,1.2912089902217557e-05,0.007990001231492225
11,TNFRSF6B,4.418972,3.642014,2.2126853489108775e-05,0.012836340880369229
12,RASGRP2,4.3954597,3.8206506,2.579573714931492e-05,0.014084472483525946
13,IDO1,4.360915,3.9444046,2.9887710630716114e-05,0.01460093316180563
14,AL627171.2,4.266716,1.22854,4.049050833714502e-05,0.018791644919269004
15,C1S,4.2352295,2.5603049,4.3424973681278714e-05,0.01919383836712519
16,UBD,4.2126927,3.8206506,5.282517065104367e-05,0.02131840147752119
17,C1QA,4.198561,1.642208,4.9938833936270505e-05,0.021069648027111948
18,ATG16L2,4.187929,26.995964,6.845587288515564e-05,0.024438746620000566
19,GPNMB,4.1730547,3.8088188,6.139646258698096e-05,0.022795278629294292
20,IRF1,4.1568284,2.2968364,5.744561507777445e-05,0.022217091631329268
21,IGLC2,4.061404,1.7275844,8.321165880562293e-05,0.028606319149399703
22,C1QB,4.033554,2.1465416,9.310660878990183e-05,0.030864840813852455
23,LIMD1-AS1,4.0090194,1.9285328,0.00010136359346690648,0.03244334050206296
24,JCHAIN,4.0079327,1.4782914,0.00011073704989607683,0.03426204323784617
25,CDC42SE1,3.9118762,26.995964,0.00018381542223976343,0.053317960913421385
26,PARP14,3.8664653,1.8126765,0.00017198806512726044,0.05149655550036231
27,REG1A,3.8504903,1.6578286,0.00019628023683800094,0.05520827752516135
28,DNM2,3.806827,2.0014784,0.0002139725234841648,0.05841449891117699
29,REX1BD,3.790441,2.8104105,0.00023327611807062406,0.0618648265123295
30,SNHG1,3.783108,1.0799717,0.00026374362220383987,0.06800189725822338
31,CTSC,3.7489088,3.80768,0.0002939066425041408,0.0702509068358691
32,CXCL14,3.7390559,1.4922711,0.0002742061486164986,0.06878868841779298
33,CEBPB,3.7211287,2.684121,0.00029517187746163487,0.0702509068358691
34,CD74,3.666272,1.193826,0.00039784284216098703,0.08825071874180344
35,CCDC107,3.6624198,26.669737,0.0004333848919462264,0.08939285704544163
36,PIM2,3.6624198,26.669737,0.0004333848919462264,0.08939285704544163
37,TAPBPL,3.6624198,26.669737,0.0004333848919462264,0.08939285704544163
38,AL049543.1,3.652811,3.5303886,0.0003993245191936808,0.08825071874180344
39,IGLC3,3.6438742,2.2183945,0.0003848111085762513,0.08825071874180344
40,WDR74,3.5962436,0.88380855,0.0005401602226107778,0.10445348304735917
41,SNHG12,3.59153,1.5800836,0.00046508651154444957,0.09384636956859958
42,CHD3,3.57589,3.5987442,0.0005263263558877032,0.10394385607126938
43,C1R,3.558424,3.688737,0.0005641430624503602,0.10531348190983615
44,CD55,3.532172,2.4464564,0.0005672995147049997,0.10531348190983615
45,FURIN,3.5308168,26.466179,0.0006718380144473213,0.1113571508946435
46,PLAUR,3.5308168,26.466179,0.0006718380144473213,0.1113571508946435
47,TPRA1,3.5308168,26.466179,0.0006718380144473213,0.1113571508946435
48,UBA7,3.5154078,2.4118633,0.000608680704286385,0.11053352121298174
49,RHOT2,3.5096865,2.3859293,0.0006192354129578809,0.11053352121298174
50,LAPTM5,3.484059,2.3372898,0.000670389708055584,0.1113571508946435
51,LCN2,3.483278,2.0548882,0.0006932802818021775,0.11289522062610197
52,PIP5K1C,3.4803097,26.544382,0.0007928157727520471,0.11965714167047892
53,SIPA1,3.4746935,2.7920609,0.0007126067015227159,0.11404164488851462
54,MMP12,3.4729204,27.029102,0.0008121525452747438,0.11965714167047892
55,MMP2,3.4581401,2.6967635,0.0007460143554900234,0.11736449572302368
56,LAT,3.4495275,26.618904,0.0008763472549673067,0.126182583701759
57,RNF213,3.4445565,1.4782451,0.0007734056809170911,0.119645858837874
58,ZAP70,3.432862,26.690092,0.0009249693354798463,0.12918097478448828
59,USP22,3.4295375,2.2832272,0.0008085391797432163,0.11965714167047892
60,SCO2,3.4059343,2.3859293,0.0008836315385277241,0.126182583701759
61,NCF1,3.3882015,1.9495035,0.0009324634034217534,0.12918097478448828
62,IFI30,3.3750582,1.8101808,0.000967580001655478,0.13207467022597275
63,CEPT1,3.3442802,26.32278,0.0012290212618337015,0.1499568384448519
64,AOPEP,3.3442802,26.32278,0.0012290212618337015,0.1499568384448519
65,PSAP,3.344271,1.2446762,0.0011079280482751426,0.1469112592012839
66,DNAJB6,3.3323824,3.4460337,0.0011790254292544681,0.1499568384448519
67,GM2A,3.3310182,2.6657176,0.0011424199121343212,0.14935129048494042
68,JAK3,3.3125732,1.993227,0.0011915999035043009,0.1499568384448519
69,ACP5,3.3016465,2.4645355,0.001255481390901145,0.1499568384448519
70,INPPL1,3.299297,2.588504,0.0012601414995365703,0.1499568384448519
71,ADD1,3.2972498,2.540916,0.001258128699621476,0.1499568384448519
72,FNDC3B,3.293454,26.408243,0.0014436007689448871,0.15226707201530076
73,ITPA,3.293454,26.408243,0.0014436007689448871,0.15226707201530076
74,SRP19,3.293454,26.408243,0.0014436007689448897,0.15226707201530076
75,TENT4A,3.293454,26.408243,0.0014436007689448897,0.15226707201530076
76,MSRB1,3.293454,26.408243,0.0014436007689448897,0.15226707201530076
77,ZFAS1,3.2886436,1.7577618,0.0012884638800987186,0.15138635107691528
78,CTSB,3.2861638,1.2170088,0.0013507136728751238,0.15226707201530076
79,PLAC8,3.273376,2.0767572,0.0013590615159949253,0.15226707201530076
80,TAP1,3.2683494,1.5506521,0.0013881271576326572,0.15226707201530076
81,HLA-DPB1,3.2664354,1.3619452,0.00140580844695504,0.15226707201530076
82,CCR7,3.251402,26.71019,0.0016472064813684382,0.1680150610995807
83,PSMB10,3.2355964,2.191018,0.001532293762988504,0.1591853528627533
84,TP53INP1,3.2353039,2.4934533,0.0015434908163809303,0.1591853528627533
85,CASP10,3.1978593,3.1904666,0.0017861163870838703,0.17451297163065774
86,ATP6V1D,3.1978593,3.1904666,0.0017861163870838703,0.17451297163065774
87,EHD1,3.194599,2.2269356,0.0017568692193417037,0.17451297163065774
88,TIMP1,3.1869874,2.222149,0.0018219532088925377,0.17494552149348913
89,GAK,3.180542,1.7981558,0.0018300320087989296,0.17494552149348913
90,ADAM28,3.180507,3.1302655,0.0018787662957020894,0.17494552149348913
91,STAT2,3.1769855,1.59944,0.0018839198775627696,0.17494552149348913
92,GMFG,3.1767411,3.2318702,0.0019181751072731702,0.17494552149348913
93,NKTR,3.1689951,2.5553946,0.0019224782581702103,0.17494552149348913
94,MXRA5,3.1689951,2.5553946,0.0019224782581702103,0.17494552149348913
95,RABGGTB,3.1680455,3.0677445,0.0019450072516771577,0.17527725543754735
96,CALU,3.154144,3.1732073,0.002051616720451033,0.1831067923002547
97,SSBP1,3.1519938,26.164888,0.0022402686351548256,0.18903794065006446
98,IQCE,3.1519938,26.164888,0.0022402686351548256,0.18903794065006446
99,ARID5A,3.1519938,26.164888,0.0022402686351548256,0.18903794065006446
100,AIF1,3.1519938,26.164888,0.0022402686351548256,0.18903794065006446
101,ARHGAP45,3.1321635,1.8260968,0.0021346396129953535,0.18870214178878925
102,COMMD6,3.1305919,2.6471136,0.0021902247730980207,0.18903794065006446
103,TMSB10,3.1240826,1.0456625,0.0022746138310088936,0.18937330158558266
104,CYTH1,3.1119688,2.196834,0.002285047379614874,0.18937330158558266
105,LPAR2,3.1008196,26.25918,0.0026181501158762054,0.2065398657857359
106,PSTPIP1,3.1008196,26.25918,0.0026181501158762054,0.2065398657857359
107,GBP4,3.0977013,2.7747846,0.002455840055554515,0.20013419146605765
108,TRBC2,3.0874405,1.7232401,0.0024580152798029057,0.20013419146605765
109,IGHG1,3.0766547,1.1480398,0.0025574423881314116,0.20641895866639795
110,SULF2,3.0734975,26.348091,0.0028434094000086437,0.21812005000727513
111,IFFO1,3.0734975,26.348091,0.00284340940000865,0.21812005000727513
112,COL3A1,3.0581982,2.1488526,0.0026949532097720248,0.21020635036221794
113,MFGE8,3.042043,2.1426241,0.0028669602199012686,0.21812397345183257
114,SOD2,3.0329957,1.4821911,0.0029342366386623927,0.2193892536343857
115,PLSCR1,3.0291276,2.3554173,0.0029544986753176268,0.2193892536343857
116,EIF5A,2.9929192,2.1861408,0.00331405259701081,0.2431344730022632
117,PSME2,2.9814992,1.2946976,0.003498253970936651,0.24977533352487688
118,ITGAV,2.9800947,26.607273,0.0037566227792833625,0.260216213711255
119,SSBP4,2.9793596,2.9549098,0.0034866736852801968,0.24977533352487688
120,GPSM3,2.9793596,2.9549098,0.0034866736852801968,0.24977533352487688
121,CNN2,2.9643624,1.9231474,0.003595846641027229,0.2547835765039293
122,TNFAIP2,2.957153,1.7008586,0.003677352437552988,0.2585847373133851
123,AL021155.5,2.9526172,25.989082,0.004072973123277318,0.2625625991890411
124,INTS3,2.9526172,25.989082,0.004072973123277318,0.2625625991890411
125,ARMH1,2.9526172,25.989082,0.004072973123277318,0.2625625991890411
126,TEN1,2.9526172,25.989082,0.004072973123277318,0.2625625991890411
127,ZNF224,2.9526172,25.989082,0.004072973123277318,0.2625625991890411
128,DKC1,2.9526172,25.989082,0.004072973123277318,0.2625625991890411
129,DNHD1,2.9526172,25.989082,0.004072973123277318,0.2625625991890411
130,IKZF3,2.9526172,25.989082,0.004072973123277318,0.2625625991890411
131,ATOX1,2.9512815,1.7399807,0.0037414350201163582,0.260216213711255
132,AUP1,2.936429,1.91337,0.00391405689189082,0.2625625991890411
133,TMC6,2.924777,2.370777,0.0040733693474705795,0.2625625991890411
134,ISG15,2.9059386,1.6950138,0.004290311149252907,0.27463909025769295
135,APBA2,2.9010975,26.094334,0.004733342522053825,0.2874961608556426
136,INPP5K,2.9010975,26.094334,0.004733342522053825,0.2874961608556426
137,PUM1,2.9010975,26.094334,0.004733342522053825,0.2874961608556426
138,PLAT,2.9010975,26.094334,0.004733342522053825,0.2874961608556426
139,DMBT1,2.8973536,1.2761875,0.00449353879661262,0.28493250012149274
140,RASSF1,2.8930876,3.104361,0.004573345375150717,0.28682291737938487
141,EHBP1L1,2.8893046,2.031675,0.00451250565803269,0.28493250012149274
142,RDH13,2.876204,26.192873,0.005086570396097029,0.29881991402894065
143,BTN2A2,2.876204,26.192873,0.005086570396097029,0.29881991402894065
144,IGFBP7,2.8709514,1.7822189,0.004763411154812133,0.2874961608556426
145,VCL,2.868551,26.285534,0.005199942961168911,0.30166169103481144
146,WARS,2.8555944,1.6414658,0.005000483791652822,0.2977782531093398
147,COL1A2,2.8427262,1.4872928,0.00517911766208679,0.30166169103481144
148,RBM39,2.8396463,1.2065237,0.005264087303294035,0.30348607670295175
149,AC124068.2,2.8351095,1.690218,0.005297034883498063,0.3035004801767223
150,SLC15A3,2.8324711,2.9746506,0.005433251349574127,0.30750877455333564
