,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG3,3.4845161,29.963612,0.004032020950831159,0.4431285310690505
1,IGHG1,3.0153556,3.8682168,0.008605314266960306,0.4431285310690505
2,MUC1,2.6874192,28.065413,0.01863556671534946,0.4431285310690505
3,LINC02739,2.675353,2.5580335,0.015625594621817417,0.4431285310690505
4,IGLC2,2.3894122,3.1395671,0.030336388738786066,0.45062268581435194
5,IGHG4,2.3680496,1.978369,0.029172383590850604,0.45062268581435194
6,PHF20L1,2.280351,27.706446,0.040092912647747704,0.45062268581435194
7,SPCS3,2.2027566,28.119951,0.04626268132195405,0.45062268581435194
8,TMEM107,2.161124,1.769833,0.04133151623800949,0.45062268581435194
9,UBD,2.1349688,3.0997806,0.04849569043528813,0.45386815271068065
10,RARRES1,2.0567815,1.6581008,0.050652723643288475,0.46412495642349816
11,SYNPO,1.9595778,1.6291622,0.05978364026926886,0.4810781072484812
12,TBCD,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
13,CARD16,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
14,ANKS1A,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
15,CCDC9B,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
16,BICRAL,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
17,TLK1,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
18,RFX3,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
19,ISLR,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
20,TNFRSF6B,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
21,SART1,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
22,TFIP11,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
23,ARMCX6,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
24,CD37,1.8829378,27.254663,0.0822768658271816,0.4810781072484812
25,IGHM,1.8509475,2.156632,0.08297354480377334,0.4810781072484812
26,MAPKAPK5,1.8222024,27.533117,0.09150126110426149,0.4810781072484812
27,CABIN1,1.715111,2.5593908,0.1038802244630739,0.5061454675721088
28,PARP8,1.715111,2.5593908,0.1038802244630739,0.5061454675721088
29,AC009133.1,1.715111,2.5593908,0.1038802244630739,0.5061454675721088
30,NR3C2,1.715111,2.5593908,0.1038802244630739,0.5061454675721088
31,DAPK3,1.6647118,1.8918024,0.11115045508449653,0.520654421890757
32,FGL2,1.6237241,1.4018941,0.12010406525990511,0.520654421890757
33,SNHG1,1.6052563,1.0667279,0.12096894785604721,0.520654421890757
34,MTRNR2L1,1.547595,1.4580665,0.13753480155063458,0.520654421890757
35,AC073140.1,1.522076,0.61461973,0.1382369817227938,0.520654421890757
36,HLA-DPA1,1.4955708,1.3225484,0.1510497773815229,0.520654421890757
37,INPPL1,1.4795952,1.6271553,0.1549411856130297,0.520654421890757
38,PPAN,1.4719602,26.63325,0.16482344535684457,0.520654421890757
39,PAM,1.4719602,26.63325,0.16482344535684457,0.520654421890757
40,ALG2,1.4719602,26.63325,0.16482344535684457,0.520654421890757
41,GADD45B,1.4719602,26.63325,0.16482344535684457,0.520654421890757
42,COG2,1.4719602,26.63325,0.16482344535684457,0.520654421890757
43,PBDC1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
44,NOXO1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
45,MESD,1.4719602,26.63325,0.16482344535684457,0.520654421890757
46,SLC2A6,1.4719602,26.63325,0.16482344535684457,0.520654421890757
47,MXRA8,1.4719602,26.63325,0.16482344535684457,0.520654421890757
48,FMNL3,1.4719602,26.63325,0.16482344535684457,0.520654421890757
49,USP24,1.4719602,26.63325,0.16482344535684457,0.520654421890757
50,POLD1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
51,ARMH1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
52,FAM171A1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
53,SLC39A6,1.4719602,26.63325,0.16482344535684457,0.520654421890757
54,XYLT1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
55,BAZ1B,1.4719602,26.63325,0.16482344535684457,0.520654421890757
56,THY1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
57,HVCN1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
58,RAB12,1.4719602,26.63325,0.16482344535684457,0.520654421890757
59,IGLC3,1.4719602,26.63325,0.16482344535684457,0.520654421890757
60,LARP4B,1.4719602,26.63325,0.16482344535684457,0.520654421890757
61,ZDHHC14,1.4719602,26.63325,0.16482344535684457,0.520654421890757
62,PCED1B-AS1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
63,KMT2E,1.4719602,26.63325,0.16482344535684457,0.520654421890757
64,PSTPIP1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
65,ABI1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
66,ACP5,1.4719602,26.63325,0.16482344535684457,0.520654421890757
67,CPSF2,1.4719602,26.63325,0.16482344535684457,0.520654421890757
68,GPNMB,1.4719602,26.63325,0.16482344535684457,0.520654421890757
69,PCF11,1.4719602,26.63325,0.16482344535684457,0.520654421890757
70,KAT6B,1.4719602,26.63325,0.16482344535684457,0.520654421890757
71,VASH1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
72,BCL11B,1.4719602,26.63325,0.16482344535684457,0.520654421890757
73,FAM214B,1.4719602,26.63325,0.16482344535684457,0.520654421890757
74,C1QC,1.4719602,26.63325,0.16482344535684457,0.520654421890757
75,TEDC1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
76,SLC6A9,1.4719602,26.63325,0.16482344535684457,0.520654421890757
77,IGHG2,1.4719602,26.63325,0.16482344535684457,0.520654421890757
78,ZNF264,1.4719602,26.63325,0.16482344535684457,0.520654421890757
79,PPP1R18,1.4719602,26.63325,0.16482344535684457,0.520654421890757
80,CEP250,1.4719602,26.63325,0.16482344535684457,0.520654421890757
81,VPS18,1.4719602,26.63325,0.16482344535684457,0.520654421890757
82,KCNK6,1.4719602,26.63325,0.16482344535684457,0.520654421890757
83,SUSD3,1.4719602,26.63325,0.16482344535684457,0.520654421890757
84,ZSCAN29,1.4719602,26.63325,0.16482344535684457,0.520654421890757
85,MAP3K20,1.4719602,26.63325,0.16482344535684457,0.520654421890757
86,GTPBP2,1.4719602,26.63325,0.16482344535684457,0.520654421890757
87,FCRL5,1.4719602,26.63325,0.16482344535684457,0.520654421890757
88,RNF214,1.4719602,26.63325,0.16482344535684457,0.520654421890757
89,INPP5E,1.4719602,26.63325,0.16482344535684457,0.520654421890757
90,METTL7B,1.4719602,26.63325,0.16482344535684457,0.520654421890757
91,KLRK1,1.4719602,26.63325,0.16482344535684457,0.520654421890757
92,C1orf162,1.4719602,26.63325,0.16482344535684457,0.520654421890757
93,NT5DC2,1.4719602,26.63325,0.16482344535684457,0.520654421890757
94,PEMT,1.4719602,26.63325,0.16482344535684457,0.520654421890757
95,WDR81,1.4719602,26.63325,0.16482344535684457,0.520654421890757
96,RECQL,1.4719602,26.63325,0.16482344535684457,0.520654421890757
97,VPS45,1.4719602,26.63325,0.16482344535684457,0.520654421890757
98,RANBP10,1.4719602,26.63325,0.16482344535684457,0.520654421890757
99,MAP2K4,1.4719602,26.63325,0.16482344535684457,0.520654421890757
100,PRKDC,1.4719602,26.63325,0.16482344535684457,0.520654421890757
101,SLC15A3,1.4719602,26.63325,0.16482344535684457,0.520654421890757
102,KLHDC4,1.4719602,26.63325,0.16482344535684457,0.520654421890757
103,TRIM33,1.4719602,26.63325,0.16482344535684457,0.520654421890757
104,OTUD4,1.4719602,26.63325,0.16482344535684457,0.520654421890757
105,PRPSAP2,1.4719602,26.63325,0.16482344535684457,0.520654421890757
106,DDX19B,1.4719602,26.63325,0.16482344535684457,0.520654421890757
107,TRIM25,1.4719602,26.63325,0.16482344535684457,0.520654421890757
108,IGKC,1.4667696,1.0727576,0.15676224139581035,0.520654421890757
109,ADD1,1.4528111,2.7779317,0.16661430983883316,0.520654421890757
110,CSAD,1.4388453,2.6256855,0.16975982704424342,0.520654421890757
111,CLTA,1.431695,1.5678134,0.16420332213965066,0.520654421890757
112,SYTL1,1.4298668,27.02468,0.17634670049004428,0.5263183517519585
113,INTS10,1.4298668,27.02468,0.17634670049004428,0.5263183517519585
114,AC007952.4,1.3823688,0.8190331,0.1770102175071546,0.5277895402831382
115,ATP6V1D,1.3706017,1.4615465,0.18500720706852225,0.5444631883354545
116,BTN3A1,1.3706017,1.4615465,0.18500720706852225,0.5444631883354545
117,SAMHD1,1.3706017,1.4615465,0.18500720706852225,0.5444631883354545
118,SNHG12,1.367333,1.049634,0.18331734719076115,0.5400036866469835
119,TRIM8,1.3557075,2.3860624,0.19327984932534606,0.5625661842075453
120,MROH6,1.3557075,2.3860624,0.19327984932534606,0.5625661842075453
121,FAM222B,1.3557075,2.3860624,0.19327984932534606,0.5625661842075453
122,OSBPL8,1.3557075,2.3860624,0.19327984932534606,0.5625661842075453
123,CLIP2,1.3557075,2.3860624,0.19327984932534606,0.5625661842075453
124,CREB3L1,1.3557075,2.3860624,0.19327984932534606,0.5625661842075453
125,ZBTB7A,1.3458031,1.7513759,0.1941022031484165,0.5646056564160458
126,DOCK1,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
127,PRKACB,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
128,LAPTM5,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
129,SSH2,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
130,PITPNM2,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
131,RRP1,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
132,VAMP3,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
133,SRP19,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
134,SNAPC4,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
135,ZNF839,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
136,PDE9A,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
137,SVIP,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
138,ORC2,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
139,SLU7,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
140,AD000090.1,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
141,CD79A,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
142,CEMIP2,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
143,MSL2,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
144,RRAS2,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
145,AL360012.1,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
146,ELK4,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
147,KARS,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
148,TSPAN6,1.2892613,2.107608,0.21315834415561344,0.5896995427299907
149,REG1A,1.2870013,1.0319427,0.21479298798218088,0.5896995427299907
150,CASZ1,1.2472829,1.532835,0.22577581408259204,0.5944532174107072
151,CTDNEP1,1.2472829,1.532835,0.22577581408259204,0.5944532174107072
152,ARAP2,1.2472829,1.532835,0.22577581408259204,0.5944532174107072
153,UBA6,1.2472829,1.532835,0.22577581408259204,0.5944532174107072
154,FAM50A,1.2472829,1.532835,0.22577581408259204,0.5944532174107072
155,MFSD12,1.2472829,1.532835,0.22577581408259204,0.5944532174107072
156,SNHG3,1.2386764,1.0267644,0.2262546348885961,0.5944532174107072
157,GPT,1.2214936,1.2095279,0.23391264115200128,0.5944532174107072
158,AL627171.2,1.215894,0.8213593,0.2414488528470082,0.5944532174107072
159,IGLC1,1.1923503,1.6088393,0.24888008494627176,0.5944532174107072
160,NME2,1.1762409,1.945722,0.25345112098540074,0.5944532174107072
161,LPIN3,1.1500455,1.0691704,0.26215019497297526,0.5944532174107072
162,PSMB3,1.1321303,1.1266781,0.26873898037872157,0.5944532174107072
163,REX1BD,1.1277605,1.1888492,0.27041253350092065,0.5944532174107072
164,C1S,1.1220509,1.3346627,0.27529992809055365,0.5944532174107072
165,SELENOO,1.0943322,1.049634,0.2839866930387574,0.5944532174107072
166,APOL2,1.0804226,1.0772618,0.28906291532634754,0.5944532174107072
167,TRAF7,1.0564684,1.706099,0.30231185412423256,0.5944532174107072
168,CCNI,1.0514046,0.92587334,0.3022071269053966,0.5944532174107072
169,XAF1,1.0063357,0.7324879,0.32234182570231495,0.5944532174107072
