Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	positive regulation of transcription, DNA-templated (GO:0045893)	160/1183	9.125534e-09	3.052370e-05	0	0	1.702745e+00	3.152153e+01	TCERG1;CRTC2;CCNT2;SMARCB1;CRTC3;NCF1;ICE2;MAML1;SCX;UBP1;PARK7;RBPJ;NR3C1;ETS1;HOXA10;ZNF609;CHCHD2;ZXDC;POGZ;AKT1;EPC1;CAPN3;KAT7;SMARCC1;MEF2B;ZBTB38;MRTFB;DYRK1A;THOC1;PTOV1;DYRK1B;ILF2;HCFC1;DDIT3;RFX5;HOXB3;PHIP;UBE2V1;ATF5;HOXB7;GLYR1;ZNF395;ENY2;MAX;DHX9;KMT2C;MAZ;SUPT4H1;PIK3R2;XPC;PHB;MRPL12;FOXO3;NPAT;NUP85;DDRGK1;DHX36;ABL1;DVL2;DVL3;E4F1;RPRD1B;BPTF;ZBTB17;STAT5B;AKIRIN2;XRCC6;JAG1;PHF10;SMARCA5;NFATC3;SMAD5;PBX1;NFKB2;SMARCA4;AHI1;TFCP2;FUBP3;PIN1;TCF4;ATM;TCF3;NFE2L2;MAP3K12;KDM5A;CALCOCO1;SETD3;BMPR2;ELL;THRA;CITED2;ILK;RSF1;CTCF;MYSM1;PKD1;MYDGF;ING5;FLCN;EDRF1;PPP3CB;MED13;LBH;HRAS;BCAS3;NCOA2;SREBF1;ATMIN;NCOA6;DDX58;TET2;RHOG;ARNT;VEZF1;RGMB;ARID1A;SIRT1;SIRT2;KAT2B;DNAJC2;ELF1;MED24;HAX1;CREB1;TFDP1;ELF4;TRAF6;IRF2;TET3;WAC;RBM23;MPND;YAP1;HDAC5;HDAC2;SP100;ELOF1;HDAC3;MYRF;TAF9;TP53INP2;NSD1;HES1;BRD8;MEF2D;RTRAF;ATF7IP;NFYB;MCRS1;MACC1;STAT3;FOXJ3;KLF6;NFIC;KANSL3;TCEA1;TAF7;QRICH1;ERCC6;FOXA3
GO_Biological_Process_2021	mRNA processing (GO:0006397)	57/300	1.500394e-08	3.052370e-05	0	0	2.506231e+00	4.514964e+01	TCERG1;CELF1;CWC25;CASC3;ELAVL1;UBL5;SNRPD2;MAGOH;PRKACA;CTNNBL1;NCBP2;BUD31;THOC1;PRPF40A;ZCRB1;PLRG1;THOC7;HNRNPUL1;PRPF3;FRG1;SNRPE;SNRPA1;SNRPF;DNAJC8;SNRNP200;SRSF8;SNRPB;SF3B4;ZCCHC8;SF3B3;DHX8;RBM8A;DHX9;RNMT;CSTF3;PRCC;SUPT4H1;RNPC3;RNF113A;POLR2C;RPRD1B;SRSF11;SF3A3;SPEN;CPSF7;SF3A2;UPF3B;RPRD2;GTF2H4;LSM3;CHERP;NUDT21;LSM8;SON;CWF19L1;PRPF31;PPIL3
GO_Biological_Process_2021	translational termination (GO:0006415)	27/96	2.813555e-08	3.052370e-05	0	0	4.147461e+00	7.210872e+01	MRPS36;MRPS11;MRPS33;MRPS12;MRPL38;MRPL37;APEH;MRPL12;MRPL13;MRPL57;MRPL54;MRPL33;MRPL11;MRPL4;MRPL42;MRPL2;CHCHD1;MRPS26;MRPS25;MRPS18B;MRPL27;MRPS2;MRPS21;MRPL48;MRPL43;MRPL30;ETF1
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	128/908	2.828232e-08	3.052370e-05	0	0	1.775864e+00	3.086635e+01	TCERG1;CRTC2;CCNT2;SMARCB1;CRTC3;MAML1;SCX;UBP1;PARK7;RBPJ;NR3C1;ETS1;HOXA10;ZNF609;CHCHD2;POGZ;EPC1;KAT7;MEF2B;ZBTB38;MRTFB;PTOV1;HCFC1;DDIT3;SUB1;RFX5;HOXB3;PHIP;ATF5;HOXB7;GLYR1;ZNF395;MAX;DHX9;KMT2C;MEPCE;SUPT4H1;PIK3R2;FOXO3;NPAT;DDRGK1;DHX36;ABL1;DVL2;DVL3;E4F1;RPRD1B;GCN1;BPTF;ZBTB17;STAT5B;AKIRIN2;XRCC6;JAG1;PHF10;SMARCA5;NFATC3;LARP7;SMAD5;PBX1;NFKB2;SMARCA4;AHI1;TFCP2;FUBP3;PIN1;TCF4;ATM;TCF3;NFE2L2;CALCOCO1;SETD3;BMPR2;ELL;THRA;CITED2;RSF1;MYSM1;PKD1;MYDGF;FLCN;PPP3CB;MED13;HRAS;BCAS3;NCOA2;SREBF1;ATMIN;NCOA6;DDX58;TET2;ARNT;VEZF1;SIRT1;SIRT2;GNL3;KAT2B;ELF1;MED24;HAX1;CREB1;TFDP1;ELF4;TRAF6;IRF2;TET3;EAPP;MPND;YAP1;HDAC5;HDAC2;HDAC3;TAF9;HES1;BRD8;MEF2D;RTRAF;NFYB;MCRS1;MACC1;STAT3;FOXJ3;KLF6;NFIC;KANSL3;TCEA1;TAF7;FOXA3
GO_Biological_Process_2021	regulation of transcription from RNA polymerase II promoter in response to hypoxia (GO:0061418)	23/75	5.077297e-08	3.668672e-05	0	0	4.681518e+00	7.863032e+01	EGLN1;EGLN3;CITED2;ARNT;RBPJ;BACH1;SIRT2;RBX1;PSMD6;PSMA3;PSMD7;PSMB5;PSMC6;PSMB2;PSMA2;PSMC4;PSMD3;PSME4;PSMB1;ELOC;HIF1AN;PSMF1;NFE2L2
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	28/105	5.540824e-08	3.668672e-05	0	0	3.854757e+00	6.440736e+01	MRPS36;MRPS11;MRPS33;MRPS12;MRPL38;MTIF2;MRPL37;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL33;MRPL4;MRPL42;MRPL2;IARS2;CHCHD1;RARS2;MRPS26;MRPS25;MRPS18B;MRPL27;MRPS2;MRPS21;MRPL48;MRPL43;MRPL30
GO_Biological_Process_2021	transcription, DNA-templated (GO:0006351)	45/221	5.948738e-08	3.668672e-05	0	0	2.722605e+00	4.529734e+01	GTF2A2;GTF3C3;CCNT2;ELL;THRA;GTF3C5;RNMT;TAF9;SUPT4H1;SCX;RSF1;YBX2;RTF1;MRPL12;FOXO3;PMF1;AFF4;RO60;POLR2C;TRIM24;EPC1;ELOA;ELOC;NELFA;NELFCD;ABT1;TBP;NCOA6;NCBP2;TAF13;TAF10;TAF11;SMARCA5;GTF3A;SSRP1;GTF2H4;HIPK3;ETV7;TFDP1;FUBP3;NFIC;COPS2;TCEA1;TAF7;ERCC6
GO_Biological_Process_2021	regulation of mRNA stability (GO:0043488)	34/146	8.564230e-08	4.036046e-05	0	0	3.223115e+00	5.245003e+01	SET;ROCK1;CELF1;ROCK2;ELAVL1;GIGYF2;EXOSC6;PSMD6;RIDA;PSMD7;FXR2;XPO1;PSMB5;PSMB2;PCBP4;KHSRP;PSMD3;DHX36;PSMB1;AKT1;PSMF1;PAIP1;NUP214;YTHDF1;SAMD4A;SAMD4B;PRKCA;RC3H2;PSMA3;PSMC6;PSMA2;PSMC4;PSME4;VIM
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	25/89	9.349192e-08	4.036046e-05	0	0	4.136578e+00	6.695213e+01	MRPS36;MRPS11;MRPS33;MRPS12;MRPL38;MRPL37;MRPL12;MRPL13;MRPL57;MRPL54;MRPL33;MRPL11;MRPL4;MRPL42;MRPL2;CHCHD1;MRPS26;MRPS25;MRPS18B;MRPL27;MRPS2;MRPS21;MRPL48;MRPL43;MRPL30
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	25/89	9.349192e-08	4.036046e-05	0	0	4.136578e+00	6.695213e+01	MRPS36;MRPS11;MRPS33;MRPS12;MRPL38;MRPL37;MRPL12;MRPL13;MRPL57;MRPL54;MRPL33;MRPL11;MRPL4;MRPL42;MRPL2;CHCHD1;MRPS26;MRPS25;MRPS18B;MRPL27;MRPS2;MRPS21;MRPL48;MRPL43;MRPL30
