,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,14.000622,2.6653576,7.575467899432273e-26,7.031549304253036e-22
1,IGKC,12.733127,3.1240191,2.2459149762275005e-22,1.042329140467183e-18
2,IGHA1,11.647576,3.4789803,8.510564507580537e-20,2.6331686586454183e-16
3,IGHM,10.981755,3.749274,4.6492100487041864e-18,8.63079353441445e-15
4,IGHG4,10.863634,2.9847214,2.0665828277812282e-18,4.7955054518663405e-15
5,IGHG3,10.457768,3.4658446,2.934623967076344e-17,4.539863277067104e-14
6,REG1A,10.408911,3.8795156,5.44225574279377e-17,7.216431114944539e-14
7,JCHAIN,10.072285,3.1931276,1.9877562197102887e-16,2.3062941539188624e-13
8,SNHG1,8.651446,1.7763076,5.081571819262604e-14,4.716714962639549e-11
9,TMSB10,8.226777,2.1589715,6.072514075679279e-13,5.124097786405007e-10
10,S100A6,7.6787624,2.3689237,1.3062803227006818e-11,9.252989531230092e-09
11,IGLC2,7.4230537,3.2620597,8.566222410043716e-11,4.417315356112543e-08
12,DMBT1,7.405761,3.2635748,8.46522130174661e-11,4.417315356112543e-08
13,IGLC1,7.3948016,2.6793914,7.927318811926827e-11,4.417315356112543e-08
14,PSAP,7.3230057,2.360925,9.15000093253938e-11,4.450586387779044e-08
15,PLA2G2A,7.264969,2.5573332,1.2624255096362277e-10,5.3262879911106665e-08
16,CD74,7.189179,1.6061999,6.183566766085498e-11,3.826391114853706e-08
17,GAS5,7.18673,1.7448652,1.1562252608582788e-10,5.1105156529935916e-08
18,CTSB,7.0577483,2.200771,2.9870176503033614e-10,1.1552290762548251e-07
19,RACK1,7.0036554,1.5603216,2.2046219782317652e-10,8.897087479107498e-08
20,C1QA,6.8996964,2.4566102,6.692309012943316e-10,2.4847204903255944e-07
21,PLCG2,6.8426647,2.8621542,1.118637812975775e-09,3.937052183579099e-07
22,HLA-DQB1,6.7871575,2.7537138,1.1948992751086006e-09,3.961091096985011e-07
23,ACTB,6.686359,1.6838734,1.1452317276086585e-09,3.937052183579099e-07
24,MUC1,6.659713,3.7552698,2.7983842769877e-09,8.191896342870652e-07
25,LCN2,6.6588798,4.100655,2.8241831822006124e-09,8.191896342870652e-07
26,LINC02739,6.471024,1.8021107,4.2407383545359945e-09,1.192804042630397e-06
27,CXCL14,6.438174,2.473206,5.551617965809382e-09,1.4722890845326483e-06
28,IGHG2,6.2854877,4.223768,1.566532001876321e-08,3.728346164465644e-06
29,TMSB4X,6.176271,1.8551754,1.444354364070279e-08,3.5280255808685077e-06
30,SPINK1,6.0484805,2.3381438,3.082294078692512e-08,6.978013082542413e-06
31,LYZ,5.964041,1.9210368,4.409468813156628e-08,9.744926077076146e-06
