Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	34/52	3.907669e-17	1.725360e-13	0	0	1.153454e+01	4.357864e+02	ABCD4;ACADVL;ABCD3;ACAA2;ECHS1;ECI1;ECI2;ETFDH;ETFA;CROT;ETFB;ACAT1;SCP2;ACADM;ACAA1;ACAD11;HADH;DECR2;ABCD1;ACAD10;ACADS;DECR1;ACOT8;HADHB;HADHA;BDH2;ACOX2;ACOX1;IVD;ECHDC1;ECHDC2;SLC27A2;CRAT;PPARD
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	40/70	6.620722e-17	1.725360e-13	0	0	8.153755e+00	3.037579e+02	ABCD4;ACADVL;FAAH;ABCD3;ACAA2;ECHS1;ABHD3;ECI1;ABHD2;ECI2;CROT;ACAT1;SCP2;HACL1;ACADM;ACAA1;ACAD11;HADH;ABCD1;ACAD10;ACADS;DECR1;ACOT8;PHYH;ACBD5;AIG1;ALDH3A2;HADHB;HADHA;BDH2;ACOX1;ILVBL;ECHDC1;ECHDC2;ADTRP;SLC27A2;LPIN2;LPIN3;PPARD;SLC27A4
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	40/71	1.309143e-16	2.274418e-13	0	0	7.890270e+00	2.885628e+02	NDUFB9;COX7B;NDUFA13;NDUFB7;NDUFA11;NDUFB10;UQCRB;COX4I1;NDUFB4;NDUFA10;NDUFB2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COA6;COX8A;NDUFA6;NDUFA5;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHD;SDHA;COX6C;COX6B1;COX7A2L;NDUFS5;UQCRC1;NDUFS2;CYCS;NDUFS1;UQCRC2
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	39/70	5.264700e-16	6.859904e-13	0	0	7.690267e+00	2.705462e+02	NDUFB9;COX7B;NDUFA13;NDUFB7;NDUFA11;NDUFB10;UQCRB;COX4I1;NDUFB4;NDUFA10;NDUFB2;UQCR11;UQCR10;COX6A1;COX5B;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COX8A;NDUFA6;NDUFA5;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHD;SDHA;COX6C;COX6B1;COX7A2L;NDUFS5;UQCRC1;NDUFS2;CYCS;NDUFS1;UQCRC2
GO_Biological_Process_2021	endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	69/185	4.227789e-15	4.407048e-12	0	0	3.657160e+00	1.210414e+02	ARF4;MCFD2;PGAP1;SERPINA1;GOLT1A;KDELR1;CTSZ;MIA2;MIA3;GOLGA2;TFG;CAPZB;TRAPPC12;TMED2;TMED7;TMED5;TMED4;RAB2A;SEC13;ARFGAP3;DYNLL1;DYNLL2;NRBP1;COPZ1;DYNC1LI2;TBC1D20;KDELR2;MPPE1;GAS6;ERGIC1;COPB2;DCTN5;RAB1A;COPA;SEC23A;TMED10;SAR1A;DCTN2;SAR1B;GOSR2;RAB1B;USO1;KLHL12;LMAN1;SCFD1;LMAN2;YKT6;SPTBN1;SEC31A;BCAP31;SEC16B;TRAPPC3;DYNC1H1;SEC24B;TRAPPC1;SEC24A;SEC16A;TRAPPC4;YIF1A;ARCN1;CNIH1;VAPA;VAPB;GOLGB1;CAPZA2;SEC24D;SEC24C;CNIH4;COPE
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	232/1025	6.259389e-14	5.437322e-11	0	0	1.835199e+00	5.579393e+01	APP;GMFB;PGAP1;ZDHHC6;DCAF8;PPP2R2A;DCAF7;DCAF6;PSMD8;GOLGA2;PPP4R1;PPP4R2;PPP2R1B;PDK3;PDK2;FBXO9;SKP1;WSB1;WSB2;DAPK2;CSNK1D;PRKCA;PHKA2;PRKAB1;BCR;PSME1;EPAS1;DCUN1D1;MTMR4;PRKCZ;TGOLN2;UGCG;NUAK2;STK38L;PSMF1;APOB;LHPP;NUS1;ICMT;INSR;FUCA2;EIF2AK2;PTK6;SRPK1;WNK2;FBXL3;BAP1;PIGS;ARF4;PIGT;SERPINA1;GPAA1;AATK;MIA3;PTPRJ;PTPRK;PTPRH;PRSS23;TRIOBP;PTPRF;IKBKB;ANKRD9;PPP3CA;UBL5;SERP1;FASTK;RAB8A;DUSP5;PARP6;PARP3;PARP4;RIPK3;SYK;DUSP1;STRADB;SIRT7;PSMA5;PSMA4;B3GNT8;MMP15;PSMA2;RARA;PICK1;SGK3;GAS6;SGK1;CHST5;PIGH;PSMA7;CAMKK2;CST3;PPP2CA;PPP2CB;GCNT2;MGAT1;MAP4K5;LCMT1;MAP4K3;CSNK1A1;MCRS1;GLYCTK;KRT10;HIPK3;RAB11A;KTN1;RAB11B;SPSB3;PDP1;PSMC6;STK17B;NUCB1;COQ8A;FRK;ENGASE;PNPLA2;PRAG1;UBE2D3;MPI;FBXO22;CDC14B;PPP1CB;PPP1CC;LARGE1;MEN1;RAB2A;FBXW5;IGFBP4;APLP2;SHISA5;ADAM10;LMTK2;DYRK1B;PRPF4B;LMO7;FBXO11;PDIA6;FBXW2;NRBP1;CTDNEP1;ERN2;MAPKAPK2;TNIK;PHPT1;CSNK1G2;STK39;FUT4;FUT6;COP1;GRK2;IRAK1;MAN2A2;OARD1;MAN2A1;STK38;UBE2I;NEK7;OGA;B3GALT5;BTBD6;FBXO32;SSH2;FBXO31;PTPRD;BMP2;COPS5;STK24;CDK3;COPS2;AAK1;MELTF;STT3B;MAP3K13;RAB5A;MAP3K11;UBE2M;BMPR1A;ST6GALNAC1;GSK3A;DYRK2;BMPR2;PRKCSH;MAST2;DUSP16;DSP;PDPK1;APOA1;PPP2R5D;OXSR1;PPP2R5C;RABGGTA;YWHAZ;DNAJC3;PPM1A;PTP4A2;CTDSP1;DAD1;PEAK1;CTDSP2;ATG4B;BIRC6;B4GALT5;RAB1A;CAMK2D;ROCK2;RAB1B;ASB13;TULP4;PDXP;GLRX;RNF7;ACVR1B;THBS1;TNKS2;MKNK2;ERBB2;PTK2B;MAPK1;RBBP7;DCAF11;MAPK6;USP25;CDK11A;FEM1B;LAMB1;CDC42BPB;PINK1;ASB8;MGAT4A;P4HB;METAP1;CUL4B;METAP2
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	33/59	8.009633e-14	5.963744e-11	0	0	7.744206e+00	2.335308e+02	ABCD4;ACADVL;ABCD3;ACAA2;ECHS1;ECI1;ECI2;CROT;ADIPOR1;ADIPOR2;ACAT1;SCP2;CYP4V2;HACL1;ACADM;ACAA1;ACAD11;HADH;ABCD1;ACAD10;ACADS;DECR1;PHYH;ALDH3A2;HADHB;HADHA;BDH2;ACOX1;ILVBL;ECHDC1;ECHDC2;SLC27A2;PPARD
GO_Biological_Process_2021	COPII-coated vesicle budding (GO:0090114)	35/70	1.194055e-12	7.779267e-10	0	0	6.102637e+00	1.675398e+02	RAB1A;MCFD2;SEC23A;SERPINA1;TMED10;SAR1A;SAR1B;GOSR2;RAB1B;CTSZ;USO1;MIA3;KLHL12;GOLGA2;LMAN1;SCFD1;TFG;TMED2;SCAP;SEC31A;SEC16B;TRAPPC3;SEC13;SEC24B;SEC24A;TRAPPC1;SEC16A;TRAPPC4;CSNK1D;CNIH1;TBC1D20;VAPA;VAPB;SEC24D;SEC24C
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	123/485	3.720368e-11	2.154506e-08	0	0	2.099804e+00	5.042599e+01	ATP8A1;TMEM179B;LGALS3;LAMP1;ANPEP;FTH1;LAMP2;TOM1;OSTF1;PRSS3;ACAA1;B2M;DGAT1;HLA-B;HLA-C;ADAM10;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;RAP1A;DPP7;NEU1;MLEC;RAB6A;ATP6V0A1;HSPA8;XRCC6;MGAM;TRAPPC1;JUP;FUCA1;IDH1;FUCA2;SURF4;ARPC5;EEF2;PRDX6;BST1;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;HMGB1;SLC2A5;AP2A2;ALAD;ACTR1B;STBD1;NAPRT;ITGAV;CD36;CTSD;DSP;ACTR2;SERPINB1;DBNL;MME;SYK;DYNLT1;PGAM1;ATP6AP2;NDUFC2;ANO6;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;DNASE1;PAFAH1B2;RAB7A;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;MAPK1;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;TUBB4B;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;RAB18;LAMTOR1;YPEL5;CD68;FRK
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	121/481	9.373981e-11	4.885719e-08	0	0	2.075857e+00	4.793257e+01	ATP8A1;TMEM179B;LGALS3;LAMP1;ANPEP;FTH1;LAMP2;TOM1;OSTF1;PRSS3;ACAA1;B2M;DGAT1;HLA-B;HLA-C;ADAM10;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;RAP1A;DPP7;NEU1;MLEC;RAB6A;ATP6V0A1;HSPA8;XRCC6;MGAM;TRAPPC1;JUP;FUCA1;IDH1;FUCA2;SURF4;ARPC5;EEF2;PRDX6;BST1;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;HMGB1;SLC2A5;AP2A2;ALAD;ACTR1B;STBD1;NAPRT;ITGAV;CD36;CTSD;DSP;ACTR2;SERPINB1;DBNL;MME;DYNLT1;PGAM1;ATP6AP2;NDUFC2;ANO6;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;PAFAH1B2;RAB7A;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;MAPK1;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;TUBB4B;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;RAB18;LAMTOR1;YPEL5;CD68;FRK
GO_Biological_Process_2021	regulation of apoptotic process (GO:0042981)	169/742	1.133662e-10	5.211535e-08	0	0	1.830785e+00	4.192570e+01	MTCH1;MTCH2;TRIO;ARL6IP1;ZFAND6;CIB1;PHB2;AQP1;SLK;ARHGDIA;CFL1;ARL6IP5;TMEM14A;UNC13B;DAPK2;ADAM10;ACTN4;PRAP1;FBXO11;DPEP1;PHIP;NSMF;VDAC1;RAF1;SQSTM1;PPIA;NGEF;SLC27A4;GLO1;GATA6;PSEN1;FOXO3;HIGD1A;KALRN;NDRG1;RTN4;MTDH;PRDX3;APH1A;ABR;PRDX2;NCSTN;PRDX5;NUAK2;SCIN;IRAK1;UBB;DDRGK1;PDCD10;BAG1;UBC;BMF;RIPK1;SUDS3;IP6K2;MCL1;MOAP1;CREBBP;JUN;CRADD;GADD45B;API5;GADD45A;OSGIN1;TNFRSF10B;CIDEB;DHCR24;CIDEC;PTK2;NET1;DAB2;BMP2;GCLC;HNRNPK;COPS5;SON;TP53I3;BCL3;CALR;BCL2L2;MAP3K11;ARF4;RBM25;DDX3X;CITED2;FHL2;HMGB1;SH3RF1;IKBKB;ING5;FLCN;PIDD1;AIFM1;CASP6;SMPD1;TRIM2;MCF2L;CTSD;HTATIP2;VAV3;USP47;ARHGEF12;RIPK3;TNFRSF12A;ANXA4;SIGMAR1;ARHGEF16;PAWR;ANO6;RABGGTA;YWHAZ;VAV2;DNAJC3;TMIGD1;TMBIM4;TRAF6;CAT;TAX1BP1;TMEM219;BIRC6;ITGA6;TMBIM6;IRF5;ANGPTL4;GAS6;SOS1;SGK1;PTMA;BIRC2;ARHGEF5;SRC;GSTP1;TAF9;IFI6;THBS1;EGFR;RELA;HSPD1;FGD4;BCLAF1;PERP;PTK2B;LCMT1;BAD;GZMA;DAB2IP;NR1H4;GCG;CFLAR;HIPK3;TBX3;VEGFA;SOD1;FABP1;CAPN13;SH3RF2;PINK1;GOLPH3;KRT18;APC;TCIM;STK17B;NEURL1;CTNNB1;BAX;NAA16;NOP53;BCAR1;TPT1
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	122/488	1.199893e-10	5.211535e-08	0	0	2.058723e+00	4.702867e+01	ATP8A1;TMEM179B;LGALS3;LAMP1;ANPEP;FTH1;LAMP2;TOM1;OSTF1;PRSS3;ACAA1;B2M;DGAT1;HLA-B;HLA-C;ADAM10;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5B;RAB5C;BRI3;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;NCSTN;RAP1A;DPP7;NEU1;MLEC;RAB6A;ATP6V0A1;HSPA8;XRCC6;MGAM;ACE;TRAPPC1;JUP;FUCA1;IDH1;FUCA2;SURF4;ARPC5;EEF2;PRDX6;BST1;SERPINA1;HSP90AB1;DDX3X;HEXB;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;HMGB1;SLC2A5;AP2A2;ALAD;ACTR1B;STBD1;NAPRT;ITGAV;CD36;CTSD;DSP;ACTR2;SERPINB1;DBNL;MME;DYNLT1;PGAM1;ATP6AP2;NDUFC2;ANO6;DYNLL1;RHOA;PSMA5;VAMP8;DNAJC3;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;PAFAH1B2;RAB7A;PDXK;CANT1;CAB39;GSTP1;MVP;AGPAT2;CST3;PGRMC1;MAPK1;STOM;METTL7A;CD58;DYNC1H1;AOC1;GSN;TMEM30A;TUBB4B;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;RAB18;LAMTOR1;YPEL5;CD68;FRK
GO_Biological_Process_2021	COPII vesicle coating (GO:0048208)	30/63	2.274455e-10	7.902971e-08	0	0	5.538631e+00	1.229804e+02	RAB1A;MCFD2;SEC23A;SERPINA1;TMED10;SAR1B;GOSR2;RAB1B;CTSZ;USO1;KLHL12;GOLGA2;LMAN1;SCFD1;TFG;TMED2;SEC31A;SEC16B;TRAPPC3;SEC13;SEC24B;SEC24A;TRAPPC1;SEC16A;TRAPPC4;CSNK1D;CNIH1;TBC1D20;SEC24D;SEC24C
GO_Biological_Process_2021	vesicle coating (GO:0006901)	30/63	2.274455e-10	7.902971e-08	0	0	5.538631e+00	1.229804e+02	RAB1A;MCFD2;SEC23A;SERPINA1;TMED10;SAR1B;GOSR2;RAB1B;CTSZ;USO1;KLHL12;GOLGA2;LMAN1;SCFD1;TFG;TMED2;SEC31A;SEC16B;TRAPPC3;SEC13;SEC24B;SEC24A;TRAPPC1;SEC16A;TRAPPC4;CSNK1D;CNIH1;TBC1D20;SEC24D;SEC24C
GO_Biological_Process_2021	vesicle targeting, rough ER to cis-Golgi (GO:0048207)	30/63	2.274455e-10	7.902971e-08	0	0	5.538631e+00	1.229804e+02	RAB1A;MCFD2;SEC23A;SERPINA1;TMED10;SAR1B;GOSR2;RAB1B;CTSZ;USO1;KLHL12;GOLGA2;LMAN1;SCFD1;TFG;TMED2;SEC31A;SEC16B;TRAPPC3;SEC13;SEC24B;SEC24A;TRAPPC1;SEC16A;TRAPPC4;CSNK1D;CNIH1;TBC1D20;SEC24D;SEC24C
GO_Biological_Process_2021	membrane organization (GO:0061024)	72/242	2.970486e-10	9.676360e-08	0	0	2.598534e+00	5.700437e+01	GLTP;SCARB2;MTCH1;CLTC;SNAP23;CLTB;ARRB1;WASL;AP2A2;ACTG1;BAIAP2L2;SERP1;CHMP1B;CHP1;EMD;AP2M1;AGFG1;SH3GLB1;ACTR3;ACTR2;SUN1;PDCD6IP;EPS15L1;TMEM170A;EPN1;VAMP8;CTDNEP1;OXA1L;RABEP1;CTTN;CPTP;PICK1;CHMP4B;CHMP3;STAM2;VAMP3;CHMP5;SAR1A;SAR1B;USO1;TOR1AIP2;EGFR;SNX3;TGOLN2;SLC9A3R1;UBB;UBC;FCHO2;AP2S1;MFN2;SNX9;APOB;SPTBN1;HSPA8;OSBPL2;MX1;AP3D1;PLEKHA3;ARPC5;NSFL1C;DAB2;VAPA;VAPB;LPCAT3;REEP3;CHMP2B;TRIP10;AAK1;CHMP2A;GRB2;RAB5A;PICALM
GO_Biological_Process_2021	protein-containing complex assembly (GO:0065003)	77/267	3.677335e-10	1.127428e-07	0	0	2.488028e+00	5.404909e+01	MCFD2;SERPINA1;TRRAP;GPAA1;CTSZ;WASL;CDC73;GOLGA2;TFG;TMED2;AP2M1;SKP1;MEN1;MAGI1;CARD10;TLE3;SEC13;DBNL;ADAM10;CSNK1D;ANO6;DNAJB14;APOA4;CD2AP;TNFRSF1A;AFG3L2;TBC1D20;SLC7A9;CSNK2B;SKAP2;VAMP3;YAP1;RAB1A;SEC23A;STOML2;TMED10;DHX9;SAR1B;GOSR2;RAB1B;USO1;USH1C;KLHL12;SPG7;LMAN1;SLC9A3R1;SCFD1;SAMM50;PTK2B;SNX9;RIPK1;SEC31A;SEC16B;TRAPPC3;TCF7L2;CREBBP;SEC24B;TRAPPC1;SEC24A;ST13;CSNK1A1;BAD;SEC16A;TRAPPC4;CHCHD10;PDE4DIP;VIL1;AFDN;OCLN;CNIH1;APC;CAPZA2;CTNNB1;ANKS4B;SEC24D;SEC24C;PICALM
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class I (GO:0002474)	20/33	9.298469e-10	2.692423e-07	0	0	9.350749e+00	1.944582e+02	BCAP31;PDIA3;SEC23A;SEC13;SEC24B;ACE;SEC24A;ERAP2;SAR1B;ERAP1;HLA-B;TAP2;HLA-C;HLA-A;CANX;CALR;SEC24D;B2M;SEC24C;SEC31A
GO_Biological_Process_2021	organelle organization (GO:0006996)	106/420	1.125080e-09	3.086271e-07	0	0	2.079170e+00	4.284214e+01	PI4K2B;AUP1;PHB2;GOLGA2;CHCHD2;DPYSL2;CFL1;TRAPPC12;LONP2;RAB2A;CXADR;SEMA6A;TANGO2;STX7;TPM1;CSNK1D;HCFC1;GOLGA8B;TBC1D20;CHMP4B;PHIP;TNIK;PPIA;OPTN;GOLGA8A;TMED10;SAR1A;SAR1B;ARL1;TOR1AIP2;PRDX3;SLC9A3R1;ARHGAP21;RHOT2;BAG5;MICAL1;PDZD8;SEC31A;ESRRA;SEC16B;ZRANB1;ATP8B1;SEC16A;SURF4;MICAL2;CHCHD10;CIDEC;NSFL1C;REEP5;GOLGB1;CHMP2B;CHMP2A;CYCS;REEP6;BRWD1;BRWD3;ABCD4;ABCD3;NUMA1;MAST2;FAF2;MIA3;WASL;SIPA1L3;SMPD4;CAPZB;MDK;CHMP1B;TMED2;ATP7A;TMED7;ABCD1;TMED5;SH3D19;TMED4;PDCD6IP;DST;CHMP3;RHOU;RAB7A;CHMP5;RAB1A;STOML2;NEDD9;CDC42;FGD4;LMAN1;ATP5F1B;VPS51;LMAN2;ARFGEF1;CHGA;YTHDF1;YTHDF3;CSNK1A1;MTX2;SORT1;CDC42BPB;TTC17;PINK1;GOLPH3;RAB14;VAPA;VAPB;RAB18;SLC25A36
GO_Biological_Process_2021	COPII-coated vesicle cargo loading (GO:0090110)	12/14	4.550263e-09	1.185799e-06	0	0	3.638812e+01	6.989460e+02	RAB1A;SEC13;SEC23A;SEC24B;SEC24A;SAR1A;TBC1D20;SCAP;MIA3;SEC24D;SEC24C;SEC31A
GO_Biological_Process_2021	endomembrane system organization (GO:0010256)	60/199	5.040871e-09	1.251096e-06	0	0	2.641770e+00	5.047283e+01	PI4K2B;MIA3;RAB22A;GOLGA2;SERP1;SMPD4;TRAPPC12;TMED2;TMED7;TMED5;TMED4;PLEKHJ1;RAB2A;SUN1;TANGO2;AKTIP;CSNK1D;TMEM170A;CTDNEP1;GOLGA8B;TBC1D20;SQSTM1;OPTN;GOLGA8A;RAB1A;TMED10;ARL1;TOR1AIP2;SNX33;CDC42;LMAN1;ARHGAP21;SLC9A3R1;BAG5;VPS51;LMAN2;SPTBN1;SEC31A;ARFGEF1;SEC16B;ARFGEF2;CSNK1A1;ATP8B1;SEC16A;SURF4;OSBPL2;AP3D1;HOOK3;PHETA1;NSFL1C;GOLPH3;HOOK2;REEP5;VAPA;VAPB;GOLGB1;REEP3;CHMP2B;LAMTOR1;REEP6
