,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,9.618467,2.8995585,1.5984363038955998e-17,2.9673371545517915e-14
1,IGHG3,9.5677395,3.8062782,2.884885921594107e-17,3.9471833721513274e-14
2,IGHG4,9.282241,3.409843,1.2449648719626034e-16,1.0505239946869896e-13
3,IGHM,7.4295416,2.4362435,7.184249322246104e-12,1.360902085899762e-09
4,IGLC2,7.373151,3.501701,1.6717010592880348e-11,2.543726103657629e-09
5,MUC1,7.2913175,4.4890013,6.590579946870549e-11,8.15650174224699e-09
6,IGHA1,6.985147,2.3499563,7.519434828948225e-11,9.06433689380486e-09
7,IGLC1,6.7755685,2.726884,3.1875515818055885e-10,3.215962367643421e-08
8,REG1A,6.627292,2.255727,5.736277396489282e-10,5.4757812669195296e-08
9,AL627171.2,6.3560286,1.6601955,2.1492682539301496e-09,1.625383309046052e-07
10,IGHG1,6.109924,2.64206,8.130841995673481e-09,5.429530604592895e-07
11,SNHG1,5.968521,1.5785803,1.6476908760195063e-08,9.618784095102552e-07
12,IGLC3,5.5174084,3.3222656,2.060590046556985e-07,8.104405428873701e-06
13,PDZK1IP1,5.359644,3.4523258,4.5099029267722957e-07,1.527770765193447e-05
14,JCHAIN,5.3077083,1.7314897,3.779809836039051e-07,1.3239318829477159e-05
15,LINC02739,5.245241,1.6811767,4.949698858728376e-07,1.64670626547372e-05
16,IGHG2,5.025817,2.803218,1.4653109280398817e-06,3.9885677519255666e-05
17,IDO1,4.7360883,3.5814197,6.644538305578431e-06,0.0001376665280187031
18,LCN2,4.7090354,2.1441631,5.718875848555101e-06,0.00012259262269350682
19,DMBT1,4.6218443,1.7106891,7.942729200851533e-06,0.00015854712353183638
20,TNFRSF6B,4.579355,2.9023998,1.1209616719103853e-05,0.0002085123494723887
21,MZB1,4.467226,2.4935026,1.639109283981804e-05,0.00028174467359109453
22,CXCL9,4.43262,3.7661307,2.2567738916198976e-05,0.00036241133671307765
23,GAS5,4.32089,1.2260797,2.7602057634257404e-05,0.0004262933426974662
24,WARS,4.306365,2.233642,3.195163294521631e-05,0.00047452009119599653
25,ICAM1,4.204575,27.111698,6.059495205943815e-05,0.0007725856387578364
26,CD79A,4.077721,4.038718,8.724282426559988e-05,0.0010342118707960383
27,TNFAIP2,4.036158,2.3091798,9.069850882690169e-05,0.0010643028557917845
28,UBD,4.010774,2.8074853,0.00010244608322859039,0.0011676095346515342
29,MMP12,3.9273837,27.25437,0.00016581370031773022,0.0016656739895553809
30,APOC1,3.8836615,4.1162415,0.00018029579487663285,0.0017541987086424594
31,CXCL10,3.8824868,27.221716,0.00019441004664503883,0.0018603237659373716
32,MS4A1,3.8534267,4.139879,0.00020154330117294004,0.0019089029811094177
33,TYMP,3.7787368,1.1045926,0.00022324017952755145,0.0020638599067477415
34,SLC15A3,3.7647183,26.792603,0.0002935081662024485,0.002536632028576468
35,C3,3.7212129,2.4539099,0.00028913119037744106,0.0025151974780538034
36,MFGE8,3.7074459,2.7003067,0.00030491991102389766,0.0026085406581786343
37,SERPING1,3.6508725,2.5851011,0.00038369437464637725,0.003110437716565654
38,CD24,3.600197,1.4822245,0.0004321022790171533,0.0033874607042207712
39,COL7A1,3.545579,27.138805,0.0006182927762199503,0.0045636098757368924
40,CD79B,3.545473,26.851898,0.0006185112285797253,0.0045636098757368924
41,TMEM107,3.5224142,1.1569462,0.0005635109462429004,0.004248991554042731
42,C1S,3.512091,1.6466343,0.0005811709475261198,0.00435034575398181
43,CDC25B,3.4439127,1.7132432,0.0007450116439833256,0.005191590149739661
44,NCF4,3.379107,3.5249302,0.0009937043428770436,0.006477221706871291
45,CTSC,3.340547,2.178168,0.0010832222022934233,0.0069677536255631015
46,ACP5,3.306765,1.802114,0.001210662049087958,0.007587687467680234
47,AC007952.4,3.2534568,1.040369,0.0014008779577388778,0.00846474868980491
48,IKZF1,3.250367,26.371445,0.0016108233418434632,0.009409479080548159
49,BST2,3.2159908,1.7341669,0.0015906058101184594,0.009327728374333905
50,GGT5,3.1729128,2.3311715,0.0018595739492256657,0.010518321387393436
51,PLA2G2A,3.1055934,1.0465682,0.0022520674413926294,0.01206910507563879
52,LUM,3.0937328,2.4079247,0.0024158206127194697,0.012726246837265675
53,TIMP1,3.0181963,1.7246183,0.00298603148607583,0.014719248143258552
54,TCL1A,2.9425879,25.872652,0.004118710551123906,0.018841730574436718
55,MXRA5,2.9283874,2.0410857,0.003973478078161301,0.01832788672314482
56,NUPR1,2.928154,2.298253,0.0040083800566833505,0.018418704795116266
57,IFI30,2.904898,1.2189022,0.004225660562643828,0.01922675556002942
58,CALHM6,2.8669953,26.075918,0.005136876141965095,0.022166659390850774
59,BLK,2.8539011,3.2615573,0.005115554670556345,0.02208492021028093
60,INPP5D,2.8503857,2.457513,0.005045488213884901,0.02187399420891156
61,PLAUR,2.822176,2.3952575,0.005465523737243489,0.0232391165043949
62,CCL4L2,2.814958,26.230688,0.005967012856490836,0.02468524141997049
63,TRIB2,2.8063543,3.0384367,0.0058138666299751155,0.024227698912243238
64,GBP4,2.8030114,1.9740361,0.0058154829968194285,0.024227698912243238
65,SDC3,2.7753527,2.5344496,0.00633281556965132,0.02586062213704512
66,BANK1,2.736489,25.674582,0.0074528995020339064,0.0289932159169651
67,HTRA1,2.736489,25.674582,0.0074528995020339064,0.0289932159169651
68,SLC2A6,2.736489,25.674582,0.0074528995020339064,0.0289932159169651
69,RASGRP2,2.7060018,1.7502048,0.00756033299773984,0.029300630849695693
70,S100A11,2.687669,1.242489,0.007972477140445638,0.03047797891994086
71,APBA2,2.685168,25.793541,0.008599570829944267,0.03201813736203076
