Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	cellular response to copper ion (GO:0071280)	7/19	2.755679e-10	3.816616e-07	0	0	6.345833e+01	1.396857e+03	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;AQP1
GO_Biological_Process_2021	response to copper ion (GO:0046688)	7/23	1.298622e-09	8.992957e-07	0	0	4.758413e+01	9.736648e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;AQP1
GO_Biological_Process_2021	cellular zinc ion homeostasis (GO:0006882)	7/28	6.026680e-09	2.564427e-06	0	0	3.624542e+01	6.860196e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;SLC39A14
GO_Biological_Process_2021	response to zinc ion (GO:0010043)	7/29	7.881132e-09	2.564427e-06	0	0	3.459615e+01	6.455225e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;KHK
GO_Biological_Process_2021	zinc ion homeostasis (GO:0055069)	7/30	1.019806e-08	2.564427e-06	0	0	3.309030e+01	6.088969e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;SLC39A14
GO_Biological_Process_2021	cellular response to zinc ion (GO:0071294)	6/18	1.110943e-08	2.564427e-06	0	0	5.409563e+01	9.907869e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	5/10	1.733153e-08	3.429166e-06	0	0	1.076413e+02	1.923630e+03	LPCAT3;APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	cellular transition metal ion homeostasis (GO:0046916)	10/96	2.496892e-08	4.322744e-06	0	0	1.281343e+01	2.243073e+02	MT2A;MT1M;FLVCR1;MT1F;MT1G;CYBRD1;MT1X;MT1H;SLC39A14;ABCG2
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	11/143	1.172043e-07	1.803644e-05	0	0	9.213015e+00	1.470337e+02	RCN3;SLC12A2;SLC6A19;AMN;SLC7A9;FLVCR1;SLC3A1;ZG16;AQP1;ABCG2;SLC6A4
GO_Biological_Process_2021	cellular response to cadmium ion (GO:0071276)	6/27	1.650521e-07	2.285972e-05	0	0	3.089774e+01	4.825301e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	response to cadmium ion (GO:0046686)	6/29	2.607394e-07	3.282946e-05	0	0	2.820813e+01	4.276280e+02	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H
GO_Biological_Process_2021	cellular response to metal ion (GO:0071248)	10/131	4.800045e-07	5.540052e-05	0	0	9.090909e+00	1.322679e+02	SLC12A2;MT2A;MT1M;MT1F;DPEP1;MT1G;MT1X;MT1H;FBP1;AQP1
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	4/9	9.379759e-07	9.993051e-05	0	0	8.564757e+01	1.188749e+03	APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	peptide metabolic process (GO:0006518)	8/83	1.180826e-06	1.168174e-04	0	0	1.163079e+01	1.587521e+02	ENPEP;ACE;MME;CARNMT1;ERAP1;GSTA1;DPEP1;NAALADL1
GO_Biological_Process_2021	peptide catabolic process (GO:0043171)	5/25	3.256633e-06	3.006958e-04	0	0	2.688995e+01	3.397495e+02	ENPEP;ACE;ERAP1;DPEP1;NAALADL1
GO_Biological_Process_2021	regulation of triglyceride catabolic process (GO:0010896)	4/12	3.603879e-06	3.119608e-04	0	0	5.352162e+01	6.708132e+02	AADAC;APOA1;APOC3;APOA4
GO_Biological_Process_2021	triglyceride-rich lipoprotein particle remodeling (GO:0034370)	4/13	5.167179e-06	4.209731e-04	0	0	4.757237e+01	5.791072e+02	APOA1;APOC3;APOA4;APOB
GO_Biological_Process_2021	organic substance transport (GO:0071702)	9/136	5.925376e-06	4.559248e-04	0	0	7.749606e+00	9.327633e+01	RCN3;AMN;ABCA5;FLVCR1;APOA1;APOA4;ZG16;ABCG2;SLC6A4
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	4/17	1.669788e-05	1.217188e-03	0	0	3.292807e+01	3.622163e+02	ABCA5;APOA1;APOC3;APOA4
GO_Biological_Process_2021	high-density lipoprotein particle remodeling (GO:0034375)	4/18	2.131042e-05	1.475747e-03	0	0	3.057452e+01	3.288691e+02	ABCA5;APOA1;APOC3;APOA4
GO_Biological_Process_2021	negative regulation of growth (GO:0045926)	8/126	2.662116e-05	1.686881e-03	0	0	7.376346e+00	7.770099e+01	MT2A;MT1M;MT1F;MT1G;MT1X;MT1H;ACVR1B;FBP1
GO_Biological_Process_2021	retinoid metabolic process (GO:0001523)	7/92	2.679522e-05	1.686881e-03	0	0	8.925792e+00	9.396437e+01	RBP2;APOA1;APOC3;APOA4;CYP3A4;APOB;CYP2C18
