,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHM,8.552421,2.5527208,4.052602600704626e-14,1.880812866987017e-10
1,IGHG3,7.8493004,2.4289863,1.2809994608331228e-12,2.4261239565694137e-09
2,AL627171.2,7.723728,1.757685,1.306897197031574e-12,2.4261239565694137e-09
3,IGKC,7.591154,1.8913213,3.614872673936145e-12,5.592208026579216e-09
4,IGHG4,7.185349,1.9046327,4.30678618349002e-11,3.634144486832215e-08
5,IGLC2,6.288935,2.3900461,6.703613867389541e-09,4.148196261140648e-06
6,IGHA1,6.071488,1.7442325,9.653389250176674e-09,5.600172438758743e-06
7,LCN2,5.9743195,2.8832235,3.666737692038891e-08,1.7017329628752492e-05
8,REG1A,5.755834,1.8500769,5.299642197848143e-08,2.342441851448879e-05
9,JCHAIN,5.3743463,1.442503,2.909333650821559e-07,9.311874119629555e-05
10,IGLC3,5.188578,3.3005702,1.2846729937108704e-06,0.0003057521725031872
11,SNHG1,5.094942,1.0155329,1.0023050570646322e-06,0.00024840715962043343
12,IGLC1,5.0295243,1.6824254,1.5444514998467284e-06,0.00033754258776675446
13,LINC02739,5.028513,1.3759454,1.6000725987650502e-06,0.00033754258776675446
14,MUC1,4.909243,2.1336663,3.3964095887599718e-06,0.0005948202604315106
15,PSAP,4.9067554,1.4883842,2.8144426377860335e-06,0.0005122285600770581
16,CD24,4.609851,1.9610155,1.1519509156794042e-05,0.0016374715490383917
17,PLCG2,4.5817103,1.6648531,1.1922188395161105e-05,0.0016374715490383917
18,TNFRSF6B,4.5715513,2.508353,1.3940098157292187e-05,0.0017724930287121381
19,S100A6,4.5419765,1.3001986,1.2172542219742407e-05,0.0016374715490383917
20,LAPTM5,4.4255157,2.1554263,2.353761888481283e-05,0.0025774114857092926
21,ACP5,4.264821,2.5903516,4.804556295640181e-05,0.00441543480555764
22,IGHG2,4.25291,2.2067332,4.3528597052826775e-05,0.004144304405934543
23,IDO1,4.2335534,2.6971421,5.426088047974866e-05,0.0048427835828175675
24,CD55,4.202004,2.450209,5.8365290303091436e-05,0.00511081721314429
25,GM2A,3.9847748,2.602899,0.00013207919708478697,0.009729834185245973
26,S100A11,3.879595,1.8730503,0.0001803303141440034,0.011871106211947799
27,CEBPB,3.8524888,2.1079183,0.0001970132580173387,0.01278795147494362
28,S100A4,3.8321724,2.0207815,0.0002133614437068781,0.01347225115977716
29,ISG20,3.8142998,1.9570787,0.00022370610898683448,0.01388016120161881
30,GPNMB,3.7928205,2.344694,0.00025194882106347756,0.015185642578644147
31,IFI30,3.736787,1.6256115,0.00029798495208598866,0.01707343410655646
32,C1QB,3.7281597,1.5901542,0.0003072654157491072,0.017497163122596398
33,TIMP1,3.7216465,2.2207448,0.0003313310442974716,0.018306040197435303
34,SERPING1,3.7040644,2.4744463,0.0003577233006239158,0.019304579513902246
35,HLA-DQB1,3.6878495,1.2784907,0.00032129244904382354,0.018074160678938002
36,DMBT1,3.6727753,1.2183037,0.00034087156528664483,0.01850274777187507
37,APOC1,3.6497955,3.0117557,0.00043989534373771797,0.022399584323260332
38,CTSB,3.6211576,1.0161526,0.0004129280004150759,0.0216542242929533
39,MFGE8,3.6167898,2.1182394,0.0004699762545718512,0.023386081396599895
40,TMSB10,3.6054578,0.9399174,0.00041913462717935163,0.021856222525161468
41,PDZK1IP1,3.604453,1.6567229,0.00047089819546966414,0.023386081396599895
42,LTB,3.5048392,1.4610479,0.0006530904648471893,0.0294271150228719
43,SEC61G,3.4957724,1.4852077,0.0006591429490579905,0.02955635194761482
