Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	translational termination (GO:0006415)	50/96	7.813163e-18	3.933928e-14	0	0	6.412102e+00	2.525773e+02	MRPS11;MRPS12;MRPL38;MRPL36;MRPL37;APEH;MRPL33;MRPL4;MRPL42;TRMT112;MRPL2;MRPL40;MRPL9;CHCHD1;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPL48;MRPL43;MRPS5;MRPL44;MRPS18C;MRPL53;MRPL50;MRPS9;ETF1;MTRF1L;MRPS35;MRPS36;MRPS33;MRPS31;MRPL58;MRPL15;MRPL12;MRPL13;GSPT1;MRPL54;MRPL11;MRPL27;ERAL1;MRPL23;MRPL24;MRPL21;MRPL30
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	52/105	2.961319e-17	7.455121e-14	0	0	5.789462e+00	2.203371e+02	GFM1;FASTKD2;MRPS11;MRPS12;MRPL38;MRPL36;MRPL37;MRPL33;MRPL4;MRPL42;MRPL2;MRPL40;MRPL9;CHCHD1;RARS2;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPL48;MRPL43;MRPS5;MRPS18C;MRPL44;MRPL53;MRPL50;MRPS9;MTRF1L;MRPS35;MRPS36;MRPS33;MRPS31;MRPL58;MTIF2;MRPL15;MRPL12;MRPL13;MRPL54;MRPL11;IARS2;MRPL27;GATC;ERAL1;MRPL23;MRPL24;MRPL21;MRPL30
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	46/89	2.373780e-16	2.987996e-13	0	0	6.303074e+00	2.267649e+02	GFM1;MRPS35;MRPS36;MRPS11;MRPS33;MRPS12;MRPL38;MRPS31;MRPL36;MRPL58;MRPL37;MRPL15;MRPL12;MRPL13;MRPL54;MRPL33;MRPL11;MRPL4;MRPL42;MRPL2;MRPL40;MRPL9;CHCHD1;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;MRPS18B;MRPL27;MRPS18A;MRPS2;MRPS21;MRPL48;ERAL1;MRPL23;MRPL24;MRPL43;MRPS5;MRPL21;MRPL44;MRPS18C;MRPL30;MRPL53;MRPL50;MRPS9
GO_Biological_Process_2021	mitochondrial translational termination (GO:0070126)	46/89	2.373780e-16	2.987996e-13	0	0	6.303074e+00	2.267649e+02	MRPS35;MRPS36;MRPS11;MRPS33;MRPS12;MRPL38;MRPS31;MRPL36;MRPL58;MRPL37;MRPL15;MRPL12;MRPL13;MRPL54;MRPL33;MRPL11;MRPL4;MRPL42;MRPL2;MRPL40;MRPL9;CHCHD1;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;MRPS18B;MRPL27;MRPS18A;MRPS2;MRPS21;MRPL48;ERAL1;MRPL23;MRPL24;MRPL43;MRPS5;MRPL21;MRPL44;MRPS18C;MRPL30;MRPL53;MRPL50;MRPS9;MTRF1L
GO_Biological_Process_2021	translational elongation (GO:0006414)	49/104	3.082152e-15	3.103727e-12	0	0	5.250992e+00	1.754522e+02	GFM1;MRPS11;MRPS12;MRPL38;MRPL36;MRPL37;MRPL33;MRPL4;MRPL42;MRPL2;MRPL40;MRPL9;CHCHD1;MRPS26;MRPS27;MRPS24;MRPS25;MRPS22;MRPS18B;MRPS18A;MRPS2;MRPS21;MRPL48;GTPBP1;MRPL43;MRPS5;MRPS18C;MRPL44;MRPL53;MRPL50;MRPS9;NEMF;MRPS35;MRPS36;MRPS33;MRPS31;MRPL58;MRPL15;MRPL12;MRPL13;MRPL54;MRPL11;MRPL27;ERAL1;MRPL23;MRPL24;MRPL21;MRPL30;MTRES1
GO_Biological_Process_2021	protein ubiquitination (GO:0016567)	130/525	5.149668e-10	4.321430e-07	0	0	1.955911e+00	4.183090e+01	FBXO28;KEAP1;UBE2L6;UBE3A;UBE3B;FBXO22;PSMD6;PSMD7;HERC2;PSMD3;TRIM24;RNF111;TRIM22;HERC6;ARRDC4;MYLIP;NHLRC3;FBXW7;FBXW11;UBE2E1;UBE4B;FBXO11;TRPC4AP;RC3H2;RBX1;KLHL42;RNF126;RRAGA;PSME4;TRIM13;UBE2V2;CBLL1;TRIM11;CUL7;PSMD12;VCP;PSMD11;CBFB;CUL2;CTR9;MYCBP2;CUL1;WDR61;KLHL12;UBR1;RTF1;ANAPC11;UBE2J1;VCPIP1;RNF217;PSMF1;BRAP;SMURF2;FANCL;SMURF1;SIAH2;BFAR;KLHL24;FBXO31;CNOT4;UBOX5;UVSSA;CDC16;MKRN1;BCL2;MDM2;UBE2N;FBXL3;BLMH;LZTR1;RNF185;FBXL4;RNF220;NFE2L2;RNF11;RNF13;RNF14;CDC73;DDA1;TRIM5;TRIM68;ARIH1;RNF208;TRAF2;SIRT1;DDB2;DDB1;PSMA5;RNF167;PSMA2;TRAF6;PEX5;PELI1;SDE2;WAC;TRIM52;UHRF2;RNF38;DERL1;RNF8;RNF7;RCHY1;CBL;RNF135;DCAF15;PCNP;ZNRF2;RNF113A;PSMB5;PSMB2;RNF139;OS9;RNF138;PSMB1;SPOP;PPIL2;RNF25;FBXL17;PEX10;PEX14;MIB1;RNF146;CUL4A;SPSB1;PSMC6;PSMC4;TSPAN17;OTULIN;RLIM;RNF141
GO_Biological_Process_2021	transcription, DNA-templated (GO:0006351)	68/221	7.638418e-10	4.387848e-07	0	0	2.621711e+00	5.503668e+01	CCNT2;CRCP;ELL;CCNT1;THRA;SCX;RSF1;YBX2;TTF1;PWP1;AFF4;CDC73;RO60;TRIM24;EPC1;ELOA;NELFA;NELFCD;ABT1;TBP;PARP1;NCOA6;NCBP2;GTF3A;THAP1;ETV7;TFDP1;TFAM;TP53;GTF3C1;GTF3C2;GTF2A2;GTF3C3;NFIX;CBFB;GTF3C5;RNMT;CTR9;TAF9;DDX21;WDR61;CREBL2;RTF1;MRPL12;FOXO3;PMF1;IWS1;POLR2C;POLR2K;ZNF141;TAF13;TAF10;EAF1;TAF11;SMARCA5;SSRP1;HIPK3;CDK9;FUBP3;ERCC3;NFIC;COPS2;TCEA1;TRIP11;TAF7;ERCC6;TAF4;NFKBIB
GO_Biological_Process_2021	cellular protein modification process (GO:0006464)	221/1025	7.764572e-10	4.387848e-07	0	0	1.646924e+00	3.454634e+01	PGAP1;MAML1;KEAP1;UBE2L6;LIPE;PSMD6;PSMD7;LGALS1;PPP2R1B;CHEK2;PSMD3;CDK20;AKT1;PRKACA;SEPHS1;PDK2;JMJD4;COG7;COG3;ALG3;PRKCA;ALG1;PASK;PRKAB1;PRKAR1B;PSME4;SIK3;PRKD2;RPN2;C3;UGCG;NUAK2;STK38L;PSMF1;ATG5;LHPP;CDK18;NUS1;ICMT;DMPK;FUCA2;FN1;EIF2AK2;BRAF;WNK1;FBXL3;ATM;CDK13;FBXL4;BAP1;ACVRL1;CHM;PTPRJ;PTPRK;TRIOBP;DDA1;PTPRG;PPP3CA;UBL5;PPP3CB;UBXN7;IKBKE;DUSP5;PARP3;PARP1;PARP2;FN3KRP;SIRT5;SIRT6;SIRT1;DUSP6;LRRC41;SIRT2;DDB2;SIRT3;SUMF1;DDB1;PSMA5;PSMA2;PICK1;GPS1;PSMB5;PSMB2;PSMB1;PGGT1B;MAP4K5;PAK2;LCMT1;MAP4K3;MAP4K4;UBL4A;EGLN3;MCRS1;KRT10;HIPK3;RAB11A;SPSB1;PSMC6;TAOK3;PSMC4;STK17A;COQ8A;CCNT1;STK19;FBXO22;STK10;SBF1;LARGE1;MEN1;RAB2A;MORC3;MAP2K1;IGFBP5;FBXW7;FBXW11;IGFBP4;IGFBP3;UBE2E1;DYRK1A;ADAM10;DYRK1B;FBXO11;RBX1;KLHL42;TNIK;PHPT1;CSNK1G2;BRSK1;PSMD12;CUL7;PXK;PSMD11;CUL2;STK39;CUL1;STK4;FUT4;TIMM50;FUT6;COP1;GRK5;STK36;MAN2A1;ABL1;ABL2;MARK3;SOCS5;WDTC1;UBE2F;WFS1;NEK6;BTBD6;FBXO31;CDK9;COPS4;PTPRE;COPS3;PTPRB;BMP2;COPS6;PTPRC;COPS5;UBLCP1;COPS2;AAK1;TAB1;BMPR1A;BMPR2;NGLY1;ILK;NAGPA;UFL1;DUSP12;PPP2R5E;TLK2;WDR5;ILKAP;PPP2R5B;WIPI1;OXSR1;PPP2R5C;RABGGTB;DDOST;CKAP4;TGFBR1;DNAJC3;PPM1B;CREB1;DAD1;PIK3C3;B4GALT5;PRKAA1;ROCK1;ROCK2;TULP4;RNF7;PPM1G;DCAF16;MAPK9;MKNK1;PTK2B;MAPK1;FYN;DCAF10;RBBP7;DCAF13;PTPN1;SLC35A1;USP25;FEM1A;LAMB2;LIMK2;PTPN12;MTOR;CUL4A;ASB8;RAB13;ASB6;PTPN9;PTPN7;METAP2
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	95/350	7.843224e-10	4.387848e-07	0	0	2.205123e+00	4.623305e+01	RPAIN;ATF2;WDR48;MRE11;RIF1;TRRAP;OGG1;PHF1;SMC5;ASH2L;AATF;BACH1;ALKBH3;CASP9;POLB;BABAM2;PIDD1;UFL1;HERC2;CCND1;CHEK2;HMCES;TLK2;CASP2;POLI;KMT5B;IKBKE;MEN1;BOK;PARP3;PARP1;NCOA6;PARP2;KMT5C;DDX11;ZBTB38;CHD1L;ZDHHC16;TNFRSF1B;SIRT1;SPIDR;DDB2;DDB1;RAD51D;MSH2;DDIT3;PSME4;WAC;CEP63;TP53;FAN1;YAP1;BRSK1;VCP;PNKP;TAF9;RNF8;XIAP;HTRA2;XPC;PDS5B;PDS5A;ZBTB4;FAAP20;TANK;CDKN2AIP;VCPIP1;ABL1;MORC2;MAP2K6;MOAP1;UVRAG;CBX5;FANCL;INTS3;RPA1;FANCA;NFATC2;MAPK14;USP28;APTX;PML;FANCF;FBXO31;CUL4A;TAOK3;BCL6;APC;ERCC3;ERCC1;BCL2;NABP2;ATM;NRDE2;BCL2L2
GO_Biological_Process_2021	protein-containing complex assembly (GO:0065003)	76/267	4.035810e-09	2.032030e-06	0	0	2.348465e+00	4.539127e+01	CD40;MCFD2;TRRAP;WIPF1;ASH2L;CD3E;CDC73;CASP8;KAT5;TMED2;CAPN3;SOX9;KIFAP3;TEAD1;MEN1;BOK;TLE3;TLE2;TRAPPC2L;AXIN1;ADAM10;ANO6;TRAF2;RBX1;PYGO2;BIN2;TBC1D20;PARD3;CSNK2B;PPIH;ITGB1BP1;TP53;VAMP2;SKAP2;YAP1;CDC123;SEC23A;DHX9;TUBGCP2;USO1;TCF7;WAS;CUL1;KLHL12;SLC9A3R2;SAMM50;PDZD11;ZNHIT6;STX5;LPXN;PTK2B;NCKAP1L;SNX9;RIPK1;HES1;FADD;FARP2;ANKRD28;TRAPPC2;TRAPPC3;DMTN;TRAPPC1;NIFK;BAD;FN1;FANCA;TRAPPC9;PEX14;PML;SMARCA4;CNIH1;APC;MDM2;ANKS4B;TUBGCP4;MCU
