,names,scores,logfoldchanges,pvals,pvals_adj
0,SCNM1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
1,GABPB1-AS1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
2,SEPTIN6,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
3,AC008124.1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
4,RAB15,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
5,TAB1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
6,NKAP,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
7,CHRAC1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
8,ZDHHC4,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
9,RNF14,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
10,FBXL4,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
11,DDX50,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
12,GBP5,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
13,GID4,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
14,ZNF251,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
15,TGIF1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
16,CBLL1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
17,MARCH5,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
18,DXO,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
19,FABP5,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
20,QDPR,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
21,TTC28-AS1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
22,P2RY11,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
23,PRKAR1B,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
24,PLCB2,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
25,AC007686.3,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
26,PEX10,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
27,ALKBH6,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
28,FN1,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
29,DDX11,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
30,KLHL17,-2.4190512,-23.637693,0.01606894170642628,0.04986690635875918
31,POLG2,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
32,GMPPB,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
33,MFSD11,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
34,ADA,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
35,ERVK13-1,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
36,PIK3AP1,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
37,FRAT2,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
38,IQCN,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
39,SH3KBP1,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
40,BRAP,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
41,NUDT8,-2.467125,-23.50265,0.01409700344965063,0.044250384179796126
