Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	epoxygenase P450 pathway (GO:0019373)	5/19	3.719760e-05	6.188281e-02	0	0	1.675574e+01	1.708962e+02	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18
GO_Biological_Process_2021	lipid homeostasis (GO:0055088)	8/64	5.788850e-05	6.188281e-02	0	0	6.736370e+00	6.572671e+01	RCN3;ABCA2;MLXIPL;POLD1;TLCD4;APOA1;IRS2;ABHD5
GO_Biological_Process_2021	arachidonic acid metabolic process (GO:0019369)	7/57	1.885931e-04	1.236655e-01	0	0	6.587759e+00	5.649609e+01	CYP2J2;CYP2C9;FAAH;CYP4F2;EPHX2;CYP2C18;MGLL
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	11/143	2.313666e-04	1.236655e-01	0	0	3.942822e+00	3.300736e+01	SLC36A1;RCN3;SLC12A2;CUBN;ABCC2;ABCB6;SLC7A9;FLVCR1;SLC3A1;ZG16;SLC6A4
GO_Biological_Process_2021	long-chain fatty acid metabolic process (GO:0001676)	8/83	3.642560e-04	1.557558e-01	0	0	5.024928e+00	3.978564e+01	CYP2J2;CYP2C9;FAAH;CYP4F2;EPHX2;GSTA1;CYP3A4;MGLL
GO_Biological_Process_2021	positive regulation of triglyceride catabolic process (GO:0010898)	3/8	4.826924e-04	1.719994e-01	0	0	2.802816e+01	2.140267e+02	AADAC;APOA1;ABHD5
GO_Biological_Process_2021	organic substance transport (GO:0071702)	10/136	6.299970e-04	1.738880e-01	0	0	3.747110e+00	2.761544e+01	RCN3;CUBN;ABCA2;ATP8A1;ABCB6;ABCA5;FLVCR1;APOA1;ZG16;SLC6A4
GO_Biological_Process_2021	regulation of glucose metabolic process (GO:0010906)	5/34	6.861533e-04	1.738880e-01	0	0	8.082775e+00	5.887824e+01	FOXK2;IRS2;FBP1;PDK2;KHK
GO_Biological_Process_2021	regulation of cholesterol metabolic process (GO:0090181)	4/21	8.796146e-04	1.738880e-01	0	0	1.101098e+01	7.747353e+01	ABCA2;EPHX2;FMO5;CES1
GO_Biological_Process_2021	negative regulation of peptidyl-serine phosphorylation (GO:0033137)	4/21	8.796146e-04	1.738880e-01	0	0	1.101098e+01	7.747353e+01	MLXIPL;PDE4D;PAQR3;INPP5J
GO_Biological_Process_2021	iron ion transmembrane transport (GO:0034755)	3/10	1.002274e-03	1.738880e-01	0	0	2.001807e+01	1.382345e+02	SLC25A37;ABCB6;ABCB7
GO_Biological_Process_2021	exogenous drug catabolic process (GO:0042738)	4/22	1.057317e-03	1.738880e-01	0	0	1.039872e+01	7.125227e+01	CYP2J2;CYP2C9;CYP3A4;CYP2C18
GO_Biological_Process_2021	positive regulation of lipid catabolic process (GO:0050996)	4/22	1.057317e-03	1.738880e-01	0	0	1.039872e+01	7.125227e+01	AADAC;APOA1;IRS2;ABHD5
GO_Biological_Process_2021	drug catabolic process (GO:0042737)	4/23	1.258774e-03	1.812874e-01	0	0	9.850919e+00	6.578067e+01	CYP2J2;CYP2C9;CYP3A4;CYP2C18
GO_Biological_Process_2021	carboxylic acid metabolic process (GO:0019752)	5/40	1.462985e-03	1.812874e-01	0	0	6.695101e+00	4.370077e+01	CYP2J2;CYP2C9;CARNMT1;CYP4F2;GNE
GO_Biological_Process_2021	nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)	4/24	1.485601e-03	1.812874e-01	0	0	9.357895e+00	6.093801e+01	ITCH;TRAF6;TAB3;MAP2K6
GO_Biological_Process_2021	fat-soluble vitamin metabolic process (GO:0006775)	4/25	1.739408e-03	1.812874e-01	0	0	8.911825e+00	5.662761e+01	CUBN;RBP2;CYP4F2;CYP3A4
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	3/12	1.780652e-03	1.812874e-01	0	0	1.556802e+01	9.855763e+01	ENPEP;ACE;CES1
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	3/12	1.780652e-03	1.812874e-01	0	0	1.556802e+01	9.855763e+01	ENPEP;ACE;CES1
GO_Biological_Process_2021	regulation of triglyceride catabolic process (GO:0010896)	3/12	1.780652e-03	1.812874e-01	0	0	1.556802e+01	9.855763e+01	AADAC;APOA1;ABHD5
GO_Biological_Process_2021	organic hydroxy compound catabolic process (GO:1901616)	3/12	1.780652e-03	1.812874e-01	0	0	1.556802e+01	9.855763e+01	CYP4F2;PDXP;CYP3A4
GO_Biological_Process_2021	cytoplasmic pattern recognition receptor signaling pathway (GO:0002753)	4/27	2.334323e-03	2.169906e-01	0	0	8.136052e+00	4.930474e+01	ITCH;TRAF6;TAB3;MAP2K6
GO_Biological_Process_2021	monovalent inorganic cation homeostasis (GO:0055067)	4/27	2.334323e-03	2.169906e-01	0	0	8.136052e+00	4.930474e+01	SLC12A2;CYP4F2;PDK2;SLC12A8
GO_Biological_Process_2021	regulation of small molecule metabolic process (GO:0062012)	4/28	2.678566e-03	2.260903e-01	0	0	7.796651e+00	4.617546e+01	EPHX2;FOXK2;FMO5;PDK2
GO_Biological_Process_2021	nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423)	4/28	2.678566e-03	2.260903e-01	0	0	7.796651e+00	4.617546e+01	ITCH;TRAF6;TAB3;MAP2K6
GO_Biological_Process_2021	regulation of chromatin organization (GO:1902275)	3/14	2.855210e-03	2.260903e-01	0	0	1.273617e+01	7.461624e+01	SETD5;PARG;ALKBH4
GO_Biological_Process_2021	nucleoside phosphate catabolic process (GO:1901292)	3/14	2.855210e-03	2.260903e-01	0	0	1.273617e+01	7.461624e+01	ENTPD5;ENTPD8;ENPP3
GO_Biological_Process_2021	lipid catabolic process (GO:0016042)	4/29	3.056049e-03	2.333511e-01	0	0	7.484402e+00	4.333942e+01	LIPE;CYP4F2;CYP3A4;CES1
GO_Biological_Process_2021	monocarboxylic acid metabolic process (GO:0032787)	9/143	3.382810e-03	2.423233e-01	0	0	3.162083e+00	1.798924e+01	CYP2J2;CYP2C9;ABAT;MTHFS;CROT;CYP3A4;CYP2C18;ACSF2;ADH6
GO_Biological_Process_2021	acetyl-CoA metabolic process (GO:0006084)	3/15	3.513574e-03	2.423233e-01	0	0	1.167422e+01	6.597246e+01	MVK;ACSS1;ACACA
GO_Biological_Process_2021	nucleobase-containing small molecule catabolic process (GO:0034656)	3/15	3.513574e-03	2.423233e-01	0	0	1.167422e+01	6.597246e+01	ENTPD5;ENTPD8;NUDT18
GO_Biological_Process_2021	regulation of glycolytic process (GO:0006110)	6/71	3.841567e-03	2.488870e-01	0	0	4.329808e+00	2.408185e+01	NUP93;MLXIPL;ENTPD5;NUP153;AAAS;FBP1
GO_Biological_Process_2021	cholesterol homeostasis (GO:0042632)	6/71	3.841567e-03	2.488870e-01	0	0	4.329808e+00	2.408185e+01	ABCA2;ABCA5;EPHX2;APOA1;APOB;CES1
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	6/72	4.117915e-03	2.528809e-01	0	0	4.263986e+00	2.341955e+01	ABCA2;ABCA5;EPHX2;APOA1;APOB;CES1
GO_Biological_Process_2021	glycerol biosynthetic process (GO:0006114)	2/5	4.258051e-03	2.528809e-01	0	0	3.107143e+01	1.696172e+02	PDXP;PCK1
GO_Biological_Process_2021	transcription initiation from RNA polymerase III promoter (GO:0006384)	2/5	4.258051e-03	2.528809e-01	0	0	3.107143e+01	1.696172e+02	CRCP;BDP1
GO_Biological_Process_2021	glycerophospholipid biosynthetic process (GO:0046474)	10/177	4.458647e-03	2.576375e-01	0	0	2.821202e+00	1.527091e+01	PI4K2B;PLA2G12A;PCYT2;TAMM41;CPNE7;INPP5J;APOA1;PIK3C3;CHPT1;ABHD5
GO_Biological_Process_2021	fatty acid metabolic process (GO:0006631)	8/124	4.826762e-03	2.653962e-01	0	0	3.242046e+00	1.729171e+01	CYP2J2;FAAH;CYP4F2;CROT;MCAT;ACACA;ACSF2;CES1
GO_Biological_Process_2021	regulation of cholesterol efflux (GO:0010874)	4/33	4.927968e-03	2.653962e-01	0	0	6.450751e+00	3.427173e+01	ABCA2;ABCA5;APOA1;CES1
GO_Biological_Process_2021	dolichol-linked oligosaccharide biosynthetic process (GO:0006488)	3/17	5.089450e-03	2.653962e-01	0	0	1.000546e+01	5.283466e+01	ALG8;ALG3;DHDDS
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	3/17	5.089450e-03	2.653962e-01	0	0	1.000546e+01	5.283466e+01	ABCA5;APOA1;CES1
GO_Biological_Process_2021	tRNA export from nucleus (GO:0006409)	4/34	5.493545e-03	2.686861e-01	0	0	6.235407e+00	3.245019e+01	NUP93;XPOT;NUP153;AAAS
GO_Biological_Process_2021	tRNA-containing ribonucleoprotein complex export from nucleus (GO:0071431)	4/34	5.493545e-03	2.686861e-01	0	0	6.235407e+00	3.245019e+01	NUP93;XPOT;NUP153;AAAS
GO_Biological_Process_2021	unsaturated fatty acid metabolic process (GO:0033559)	5/54	5.529554e-03	2.686861e-01	0	0	4.778789e+00	2.483846e+01	CYP2J2;FAAH;CYP4F2;GSTA1;MGLL
GO_Biological_Process_2021	regulation of hematopoietic stem cell proliferation (GO:1902033)	2/6	6.298128e-03	2.864978e-01	0	0	2.330238e+01	1.180849e+02	ACE;EIF2AK2
GO_Biological_Process_2021	monoterpenoid metabolic process (GO:0016098)	2/6	6.298128e-03	2.864978e-01	0	0	2.330238e+01	1.180849e+02	CYP2C9;CYP3A4
