,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG4,9.619233,2.883542,1.9553599301440587e-11,3.024941811932859e-08
1,AL627171.2,9.487178,2.1728182,5.463306540172316e-11,7.24434447226849e-08
2,IGLC1,9.398164,4.1621013,1.7483851209667253e-15,1.6228510692813143e-11
3,IGHG3,9.305569,3.5563061,1.8188108731560907e-12,5.6274008415449445e-09
4,IGHM,9.003182,3.3290267,5.152868644255764e-12,1.1957231688995502e-08
5,IGLC2,8.2388525,3.471396,1.6382699790234625e-12,5.6274008415449445e-09
6,REG1A,7.6819844,2.653792,4.502266584686968e-09,3.799094403551313e-06
7,IGKC,7.5154963,2.6196086,3.845877013025515e-08,2.231089402181427e-05
8,IGLC3,7.4233885,4.7078695,9.620496250678736e-12,1.7859489239760003e-08
9,IDO1,7.1348157,28.719719,8.215567634356554e-11,9.532112347762193e-08
10,LCN2,6.7665825,3.6713593,4.2785997303111147e-10,4.412662521860863e-07
11,RARRES1,6.431172,27.842718,2.7514505591822596e-09,2.553896409032973e-06
12,GPNMB,6.1822433,27.701067,9.175445901392657e-09,6.568871458942996e-06
13,CDC42SE2,6.1816835,27.839485,9.200100082553216e-09,6.568871458942996e-06
14,IGHG2,6.099415,3.5260549,1.1416287569739033e-08,7.568998658736979e-06
15,NPC2,5.9836364,27.669233,2.36039838895452e-08,1.460614523085057e-05
16,MUC1,5.8266845,2.554795,9.073302172555261e-08,4.432546882403049e-05
17,IL7R,5.7976956,27.396746,5.6389024968257157e-08,3.078840763266841e-05
18,YWHAQ,5.7041054,27.451353,8.694963904648663e-08,4.432546882403049e-05
19,IGHA1,5.5089684,2.2432036,6.405082297852718e-06,0.0013511812247424756
20,COMMD4,5.4469895,27.306423,2.803102761199781e-07,0.00013009199914728182
21,LINC02739,5.353776,1.9005955,3.835877939999499e-06,0.0009369636589230356
22,LRRC59,5.3076344,27.3262,5.222132275262009e-07,0.0002225169125094011
23,MMP12,5.3054028,27.750465,5.274048777426011e-07,0.0002225169125094011
24,VIM,5.2621617,3.5251074,6.615355327647422e-07,0.0002669727310922755
25,JCHAIN,5.247347,1.8147302,9.185228465429247e-06,0.0018139849067258355
26,HEXA,5.205146,27.195711,8.204968595746046e-07,0.00031732716044047835
27,CARD16,5.1674767,27.267324,9.675101869882375e-07,0.00035921718222499285
28,TGM2,5.126638,3.6025727,1.0712285680198382e-06,0.00038242859878308223
29,UBXN1,5.1245756,27.054113,1.1663090278368925e-06,0.00040095112579192725
30,DNASE1L3,5.1111274,27.3262,1.2364437057153832e-06,0.0004098810884446495
31,TMUB1,5.0625644,27.131958,1.5255786332016791e-06,0.00047418870753558194
32,ICAM1,5.061499,27.310913,1.532607328815714e-06,0.00047418870753558194
33,PSAP,4.9791284,2.5106847,1.1992159867919815e-05,0.0022262245578806347
34,LPCAT1,4.9778438,27.231903,2.1949547371369337e-06,0.0006572119312937103
35,ACP5,4.950866,2.9430258,2.865621891747563e-06,0.0007599629256914537
36,TYROBP,4.9329057,27.38738,2.6582235591352032e-06,0.0007599629256914537
37,CSTB,4.918924,27.06565,2.8208276053461945e-06,0.0007599629256914537
38,MPEG1,4.918924,27.06565,2.8208276053461945e-06,0.0007599629256914537
39,SLC25A6,4.903742,3.3413122,3.3961568844267984e-06,0.0008756424500347095
40,GBP2,4.888177,2.735453,5.4431379012222375e-06,0.0012029334761701144
41,ELOB,4.8531327,2.799381,5.231366631478412e-06,0.0011843303676434785
42,C1QC,4.852989,27.378878,3.727200888153619e-06,0.0009350237471308621
43,HAPLN3,4.802515,27.302015,4.606307910146999e-06,0.001068893750549611
44,CD79B,4.741577,27.077108,5.937628445743763e-06,0.0012816992379858978
45,PLA2G2A,4.653227,1.6729159,2.4117445379832864e-05,0.0037309688002601445
46,NUDT22,4.653012,26.880688,8.557098190613426e-06,0.0017266735957668221
47,IFI27L2,4.6277375,26.924417,9.490311399412243e-06,0.0018351889668613427
48,APOC1,4.6179304,27.226194,9.878327123465745e-06,0.0018712373951022254
49,CD59,4.5916324,2.6592894,1.6474007235706942e-05,0.002885127078525129
50,CARS2,4.537841,26.75589,1.3675443561308352e-05,0.0024889307281581196
51,CCDC88B,4.510696,2.6301496,2.2548628584166805e-05,0.003547396110478581
52,NCF4,4.5043073,26.80308,1.5654047922810447e-05,0.002794247554221665
53,RAC2,4.4797807,26.848928,1.7273317010336895e-05,0.002969091268332353
54,AKR1B1,4.45149,26.936903,1.9342013571315216e-05,0.003264228544889961
55,AIF1,4.4376245,26.835743,2.044122490409074e-05,0.0033481510989642614
56,IRF8,4.431792,26.620571,2.092143543847524e-05,0.0033481510989642614
57,CDC42SE1,4.431792,26.620571,2.092143543847524e-05,0.0033481510989642614
58,VAMP2,4.3867793,26.671858,2.5010787907689243e-05,0.00380573989113396
59,ANXA11,4.38445,3.1882997,2.7216865802974774e-05,0.004074628199729224
60,COL3A1,4.350851,3.205336,3.027416207867058e-05,0.00439966893583614
61,CYGB,4.329934,26.769741,3.1284006654297055e-05,0.00439966893583614
62,COX17,4.329934,26.769741,3.1284006654297055e-05,0.00439966893583614
63,GTF3C1,4.329934,26.769741,3.1284006654297055e-05,0.00439966893583614
64,MXRA5,4.313987,3.1082072,3.782695615674071e-05,0.004973516160871109
65,ITGB2,4.3104753,3.1715615,3.601365412489049e-05,0.004973516160871109
66,TCF7,4.278749,26.528875,3.820680335359416e-05,0.004973516160871109
67,TRIB2,4.278749,26.528875,3.820680335359416e-05,0.004973516160871109
68,AL021707.6,4.278749,26.528875,3.820680335359416e-05,0.004973516160871109
69,MSN,4.272707,26.80308,3.911513464162777e-05,0.004973516160871109
70,LINC00926,4.272707,26.80308,3.911513464162798e-05,0.004973516160871109
71,HPS1,4.2641144,26.848928,4.044270474067355e-05,0.00507282682976935
72,S100A6,4.2453656,1.828489,0.00016087219803113145,0.012340625967974894
73,EHMT1,4.2334166,26.583155,4.554842057443551e-05,0.005609654822391307
74,FERMT3,4.2312503,26.73421,4.5931239657588816e-05,0.005609654822391307
75,RNF181,4.2007117,26.635641,5.1667203248267194e-05,0.006148397186543796
76,WDFY1,4.2007117,26.635641,5.1667203248267194e-05,0.006148397186543796
77,CALHM6,4.163072,26.735697,5.968592474378678e-05,0.007012718398377582
78,NID1,4.1561074,26.620571,6.129508089310871e-05,0.007111761760622938
79,GATAD2A,4.1231055,26.431538,6.950215997576358e-05,0.007634373367197116
80,FGD3,4.1231055,26.431538,6.950215997576358e-05,0.007634373367197116
81,FGD2,4.1231055,26.431538,6.950215997576358e-05,0.007634373367197116
82,C19orf53,4.1231055,26.431538,6.950215997576358e-05,0.007634373367197116
83,MAGED1,4.1215577,26.721546,6.991184402195162e-05,0.007634373367197116
84,ARMH1,4.0774083,26.489202,8.26211015477648e-05,0.00861673106254329
85,SPTSSA,4.0774083,26.489202,8.26211015477648e-05,0.00861673106254329
86,MRC2,4.0774083,26.489202,8.26211015477648e-05,0.00861673106254329
87,GM2A,4.067997,2.983118,9.912756067429696e-05,0.00978161066228683
88,TRIM25,4.066292,26.699394,8.615384034197525e-05,0.008885332733935714
89,GAPDH,4.05882,1.5508581,0.00020848574761275624,0.014885882379550795
90,CSNK1E,4.0452027,26.544836,9.325672412284714e-05,0.009307622723744807
91,C19orf12,4.0452027,26.544836,9.325672412284714e-05,0.009307622723744807
92,WDR81,4.0452027,26.544836,9.325672412284714e-05,0.009307622723744807
93,MAEA,4.0234523,26.598581,0.0001011672725252675,0.00978161066228683
94,LAT,4.0234523,26.598581,0.00010116727252526779,0.00978161066228683
95,LST1,4.0099607,26.650568,0.00010639239091357067,0.010076879310813908
96,HCLS1,4.0,26.528875,0.00011041425335974286,0.010248650996851332
97,LCK,4.0,26.528875,0.00011041425335974286,0.010248650996851332
98,FGL2,3.9791305,2.2474034,0.00015306753996081464,0.011939268116943543
99,VOPP1,3.9755182,2.9313345,0.0001413862233816325,0.011845633353147247
100,TSPAN4,3.968027,26.635641,0.00012432882968771425,0.01080503833744754
101,ABCC5,3.964465,26.327778,0.00012597888380937218,0.01080503833744754
102,ZBED5,3.964465,26.327778,0.00012597888380937218,0.01080503833744754
103,BTN2A1,3.964465,26.327778,0.00012597888380937218,0.01080503833744754
104,SMIM7,3.964465,26.327778,0.00012597888380937218,0.01080503833744754
105,APOBR,3.964465,26.327778,0.00012597888380937218,0.01080503833744754
106,NCOA3,3.964465,26.327778,0.00012597888380937218,0.01080503833744754
107,IFFO1,3.964465,26.327778,0.00012597888380937218,0.01080503833744754
108,CENPT,3.9625268,26.686451,0.00012688528105815361,0.01080503833744754
109,PDZK1IP1,3.960286,2.2656329,0.00017797063088491463,0.013007270833651791
110,UQCRB,3.9579878,2.4656842,0.0001633270542426263,0.012356080398413212
111,RARRES2,3.924907,2.4708004,0.00017948572776957427,0.013015519727790534
112,CXCL9,3.919285,2.5771606,0.00016373603630735027,0.012356080398413212
113,DOK3,3.9183552,26.389303,0.00014931470613210816,0.011845633353147247
114,IKZF1,3.9183552,26.389303,0.00014931470613210816,0.011845633353147247
115,RABEP2,3.9183552,26.389303,0.00014931470613210816,0.011845633353147247
116,KIAA1217,3.9183552,26.389303,0.00014931470613210816,0.011845633353147247
117,OAS2,3.9183552,26.389303,0.00014931470613210816,0.011845633353147247
118,SEMA4D,3.9183552,26.389303,0.00014931470613210814,0.011845633353147247
119,MX1,3.9183552,26.389303,0.00014931470613210814,0.011845633353147247
120,TRAF3IP3,3.9120944,26.612253,0.00015278454835162243,0.011939268116943543
121,IGFBP3,3.909219,26.71374,0.0001544037125693281,0.011943127167237529
122,FAM78A,3.8867311,26.448507,0.00016764321483283293,0.012369474628590282
123,SYK,3.8867311,26.448507,0.00016764321483283377,0.012369474628590282
124,BACE2,3.8862934,26.79566,0.00016791142029760564,0.012369474628590282
125,CTSL,3.8542013,26.560637,0.0001887220101632979,0.013579206963842879
126,CXCL14,3.8382227,1.6218218,0.0003575515924852224,0.02183417027268312
127,SERPING1,3.8278456,3.0574875,0.00021085396058341662,0.014940049329276894
128,C1QB,3.8229413,2.207612,0.00025876211416985375,0.01709750281070144
129,COL1A2,3.80974,1.9769464,0.0003397510821897773,0.021023796965903417
130,PLAU,3.808101,26.598581,0.00022295436529768908,0.015579480170437044
131,LINC01962,3.8031855,1.9038844,0.0004069621992073504,0.022791380491666794
132,KIAA1671,3.8023603,26.21664,0.00022760895375155776,0.015579480170437044
133,ATN1,3.8023603,26.21664,0.00022760895375155776,0.015579480170437044
134,ZGPAT,3.8023603,26.21664,0.00022760895375155776,0.015579480170437044
135,CD24,3.7912443,2.014879,0.00043564152478752324,0.02378602725339877
136,WARS,3.762926,1.7632946,0.0004302195714654299,0.023628982617408995
137,ZAP70,3.7557905,26.282608,0.0002689329250552042,0.01709750281070144
138,MMP9,3.7557905,26.282608,0.00026893292505520474,0.01709750281070144
139,AK1,3.7557905,26.282608,0.00026893292505520474,0.01709750281070144
140,YME1L1,3.7557905,26.282608,0.00026893292505520474,0.01709750281070144
141,RNF166,3.7557905,26.282608,0.00026893292505520474,0.01709750281070144
142,BAG1,3.7557905,26.282608,0.00026893292505520474,0.01709750281070144
143,PIK3IP1,3.7557905,26.282608,0.00026893292505520474,0.01709750281070144
144,CIAO2B,3.7557905,26.282608,0.00026893292505520474,0.01709750281070144
145,TNFRSF13C,3.7557905,26.282608,0.00026893292505520474,0.01709750281070144
146,KLF2,3.7248561,26.3459,0.0003002174410513189,0.018828501944853714
147,CABIN1,3.7248561,26.3459,0.0003002174410513197,0.018828501944853714
148,CTSS,3.723711,1.9255381,0.00041532776753715135,0.02294685915642761
149,ENTR1,3.7056427,26.406733,0.00032135381287226025,0.020018832826042415
150,UBE2M,3.6781793,26.327778,0.00035402737370461996,0.0217621329981873
151,SDC3,3.6546075,26.560637,0.00038455626956933466,0.022791380491666794
152,TOMM6,3.6508167,26.505568,0.0003896926376175346,0.022791380491666794
153,STAMBP,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
154,RBM26,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
155,VPS41,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
156,SCYL1,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
157,FSTL1,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
158,VPS11,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
159,LILRB4,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
160,IL4I1,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
161,IL12RB1,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
162,KLHL17,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
163,MAP4K1,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
164,UBR5,3.6362374,26.096947,0.00041005823552126204,0.022791380491666794
165,ACTB,3.6248884,1.2649306,0.0009817771728971997,0.03750146386350538
166,IGHG1,3.6180265,1.6672634,0.0007887549611538231,0.03327828886104448
167,CDC25B,3.61742,2.0293586,0.0005948477678656095,0.02890773288653711
168,ETV6,3.5891585,26.16808,0.0004829128332271555,0.025182005157384592
169,BCL7C,3.5891585,26.16808,0.0004829128332271555,0.025182005157384592
170,ENTPD4,3.5891585,26.16808,0.0004829128332271555,0.025182005157384592
171,CSNK1G3,3.5891585,26.16808,0.0004829128332271555,0.025182005157384592
172,DIP2B,3.5891585,26.16808,0.0004829128332271555,0.025182005157384592
173,DLGAP4,3.5891585,26.16808,0.0004829128332271555,0.025182005157384592
