,names,scores,logfoldchanges,pvals,pvals_adj
0,PSMB10,5.306976,28.144905,1.2802835528877785e-06,0.00721619408849308
1,TMED10,5.1980395,27.752354,1.953036019251818e-06,0.00721619408849308
2,DNM2,5.152004,28.124702,2.332318709920194e-06,0.00721619408849308
3,DDX3X,4.9734297,27.719906,4.61571565924079e-06,0.010047166773866268
4,WDR6,4.931418,28.010529,5.4121777493354175e-06,0.010047166773866268
5,MTRNR2L1,4.7082367,3.6512837,9.685692145481533e-06,0.014983765749059932
6,DGKA,4.6107516,27.554514,1.789614621402599e-05,0.018175724120667314
7,AGPAT2,4.582456,27.604534,1.985390398562836e-05,0.018175724120667314
8,C1R,4.5791287,28.025822,2.009739802201766e-05,0.018175724120667314
9,PTGES3,4.563299,27.653154,2.129606885770387e-05,0.018175724120667314
10,HLA-DRB5,4.5318303,27.590153,2.388890230215333e-05,0.018175724120667314
11,GNAI2,4.5144954,27.865631,2.5445714806184188e-05,0.018175724120667314
12,SPINT1,4.5143824,27.63917,2.5456196247433212e-05,0.018175724120667314
13,TST,4.456218,27.76547,3.143619014834189e-05,0.01864863607575601
14,GBP4,4.4399986,28.235409,3.333359164884962e-05,0.01864863607575601
15,AUP1,4.4296546,27.840752,3.4601289099045765e-05,0.01864863607575601
16,TM9SF3,4.4292164,27.465494,3.465600399633805e-05,0.01864863607575601
17,CLEC2D,4.4023724,27.518126,3.8173247731023936e-05,0.01864863607575601
18,ADAR,4.3848987,27.569195,4.064620275696821e-05,0.01866198327480244
19,EPS8L2,4.3623066,27.924986,4.407460160827411e-05,0.01866198327480244
20,IFI30,4.346387,3.6324778,3.786348191197797e-05,0.01864863607575601
21,PSMA1,4.3423896,27.883362,4.732817766581975e-05,0.01866198327480244
22,MXD1,4.3379927,27.254663,4.807713410727864e-05,0.01866198327480244
23,ATP6V0D1,4.3282228,27.700457,4.978274130805133e-05,0.01866198327480244
24,PARP12,4.3255253,27.653154,5.026390668714297e-05,0.01866198327480244
25,SCP2,4.2845507,27.314138,5.815012618646402e-05,0.020759595048567656
26,HNRNPAB,4.247007,27.371584,6.641774158152898e-05,0.022832943605916742
27,GPI,4.2217064,27.427145,7.261843240293972e-05,0.024073010341574518
28,SLC38A10,4.2060347,27.480951,7.67360910364212e-05,0.024560841275864193
29,PLA2G2A,4.1522374,1.8778552,0.00012882441462905032,0.0287502132059831
30,ATP6AP1,4.1510706,27.518126,9.303571050373624e-05,0.0287502132059831
31,SNRPG,4.1000705,27.211145,0.00011111254385688368,0.0287502132059831
32,MRPL38,4.1000705,27.211145,0.00011111254385688368,0.0287502132059831
33,RBM5,4.096052,3.2245562,0.00010262908918853353,0.0287502132059831
34,FGL2,4.095688,27.596668,0.00011281492619768882,0.0287502132059831
35,DERL3,4.095688,27.596668,0.00011281492619768882,0.0287502132059831
36,EIF4G2,4.0937614,3.167384,0.0001070829865754024,0.0287502132059831
37,PDIA4,4.0636654,27.272158,0.0001260397851202781,0.0287502132059831
38,TNIP1,4.0636654,27.272158,0.0001260397851202781,0.0287502132059831
39,SMARCD2,4.0636654,27.272158,0.0001260397851202781,0.0287502132059831
40,POLR2J,4.0636654,27.272158,0.0001260397851202781,0.0287502132059831
41,IDO1,4.0545006,27.712543,0.00013009146247051177,0.0287502132059831
42,VDAC1,4.040031,27.331028,0.00013674515847673707,0.02884603949506154
43,TMEM176A,4.040031,27.331028,0.00013674515847673818,0.02884603949506154
44,SIRT7,4.02631,27.387913,0.00014335616920593981,0.02884603949506154
45,SOD1,4.0226326,27.518126,0.0001451795266508755,0.02884603949506154
46,DAZAP1,4.0208654,27.49627,0.00014606376387286065,0.02884603949506154
47,GBP2,4.0051546,3.0785444,0.00015216996254178438,0.029425866506517556
48,ANKRD13D,3.9777422,27.371584,0.0001693165980636984,0.03135513295776134
49,FLOT1,3.9754286,27.480951,0.0001706598665895,0.03135513295776134
50,SNRPD3,3.9669688,27.033596,0.00017565900816673022,0.03135513295776134
51,OCIAD1,3.9669688,27.033596,0.00017565900816673022,0.03135513295776134
52,GALNT1,3.9138582,27.101366,0.00021041005097188428,0.03589340602398838
53,UBD,3.9138582,27.101366,0.00021041005097188482,0.03589340602398838
54,NOSIP,3.9106827,27.402388,0.00021268447870279692,0.03589340602398838
55,IGFBP7,3.87895,2.621202,0.0002388176487810097,0.037571278237039527
56,IFI44,3.87868,27.16646,0.00023696245741116655,0.037571278237039527
57,SPSB3,3.87868,27.16646,0.00023696245741116655,0.037571278237039527
58,RPN2,3.87868,27.16646,0.00023696245741116787,0.037571278237039527
59,RNPS1,3.856871,27.2291,0.0002550062407028889,0.038317648707456305
60,MXRA5,3.856871,27.2291,0.0002550062407028889,0.038317648707456305
61,HSPD1,3.8452885,27.289473,0.0002651170165323873,0.038317648707456305
62,ERAP2,3.8452885,27.289473,0.0002651170165323873,0.038317648707456305
63,RAB1B,3.8416953,27.347752,0.00026833087330151476,0.038317648707456305
64,CD151,3.8416953,27.347752,0.00026833087330151476,0.038317648707456305
65,RNF213,3.8267992,2.2421186,0.00033171323205615134,0.03897420531576199
66,GMFG,3.82575,27.147814,0.0002830483904900242,0.03897420531576199
67,COMMD6,3.8216157,27.49627,0.00028698884979637786,0.03897420531576199
68,IGKC,3.8072095,1.5678859,0.000990762857625047,0.07185942597358848
69,GPNMB,3.8062565,27.211145,0.00030209213112602254,0.03897420531576199
70,VAPA,3.7948048,27.331028,0.00031384520651099276,0.03897420531576199
71,ARHGAP4,3.7896156,3.030329,0.0003096139171480243,0.03897420531576199
72,TRMT1,3.7783413,26.91083,0.00033151055810002575,0.03897420531576199
73,IRF8,3.7783413,26.91083,0.00033151055810002575,0.03897420531576199
74,PBXIP1,3.7783413,26.91083,0.00033151055810002575,0.03897420531576199
75,SULT1A2,3.7783413,26.91083,0.00033151055810002575,0.03897420531576199
76,ARHGEF16,3.7783413,26.91083,0.00033151055810002575,0.03897420531576199
77,TMEM131,3.7783413,26.91083,0.00033151055810002575,0.03897420531576199
78,CARS2,3.7783413,26.91083,0.00033151055810002575,0.03897420531576199
79,FASTK,3.7783413,26.91083,0.00033151055810002575,0.03897420531576199
80,C1QB,3.7595356,2.5676239,0.00035829824282172383,0.0415715536233905
81,GNS,3.7252936,26.983759,0.00039512557827883576,0.043661376399811345
82,FGD5-AS1,3.7252936,26.983759,0.00039512557827883576,0.043661376399811345
83,PIM2,3.7252936,26.983759,0.00039512557827883576,0.043661376399811345
84,TPD52,3.7252936,26.983759,0.00039512557827883576,0.043661376399811345
85,DNPH1,3.6914694,27.053572,0.000441602883104069,0.04766230187176708
86,PRKCSH,3.6914694,27.053572,0.000441602883104069,0.04766230187176708
87,ATP5F1B,3.6857896,2.1673338,0.0005368764204293973,0.056221681086633196
88,COX5A,3.6667597,1.8794521,0.0007168185179983513,0.05995098011073781
89,CALHM6,3.6624854,27.1849,0.00048553473607897336,0.051801533566494605
90,ATP5ME,3.6449103,2.482371,0.0005390788210202925,0.056221681086633196
91,IGHA1,3.64134,2.0116632,0.0014702970301991574,0.07511111807712936
92,ASS1,3.6198273,2.8874204,0.0005706743523195893,0.05757607976337421
93,NABP1,3.6137094,27.16646,0.0005690097299470953,0.05757607976337421
94,COX8A,3.6108203,2.9991288,0.0005494644588525697,0.05666810118966169
95,MAPK6,3.5866985,26.778019,0.0006209372734523048,0.05763539772184293
96,RAB11B,3.5866985,26.778019,0.0006209372734523048,0.05763539772184293
97,MGAT1,3.5866985,26.778019,0.0006209372734523048,0.05763539772184293
98,IL2RG,3.5866985,26.778019,0.0006209372734523048,0.05763539772184293
99,LYPLA2,3.5866985,26.778019,0.0006209372734523048,0.05763539772184293
100,FGD2,3.5866985,26.778019,0.0006209372734523048,0.05763539772184293
101,CAPZA1,3.5866985,26.778019,0.0006209372734523048,0.05763539772184293
102,LYN,3.5866985,26.778019,0.0006209372734523048,0.05763539772184293
103,HDHD3,3.5532315,27.071238,0.0006915369743788493,0.05995098011073781
104,TRIM69,3.5336518,26.857025,0.0007363080944434487,0.05995098011073781
105,OXA1L,3.5336518,26.857025,0.0007363080944434487,0.05995098011073781
106,ACO2,3.5336518,26.857025,0.0007363080944434487,0.05995098011073781
107,EIF2B5,3.5336518,26.857025,0.0007363080944434487,0.05995098011073781
108,MLLT6,3.5336518,26.857025,0.0007363080944434487,0.05995098011073781
109,NISCH,3.5336518,26.857025,0.0007363080944434487,0.05995098011073781
110,CD47,3.5336518,26.857025,0.0007363080944434487,0.05995098011073781
111,ITGAV,3.5336518,26.857025,0.0007363080944434487,0.05995098011073781
