,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,10.2519865,2.6842654,9.087030669218314e-16,4.21729093358422e-12
1,IGHG4,9.90896,2.602713,3.4345637126073593e-16,3.187962038042151e-12
2,IGHA1,9.366344,2.8811631,1.1814576683949262e-14,3.6554300260139016e-11
3,REG1A,8.590499,2.5982335,2.916990156105995e-13,5.415100525795169e-10
4,IGHG3,8.534421,2.7688038,4.312797843984263e-14,1.0007847396965483e-10
5,JCHAIN,7.6339417,2.2171392,1.636969140413781e-11,2.1706210801886736e-08
6,IGHM,7.489799,2.4518125,1.4969480458457327e-11,2.1706210801886736e-08
7,AL627171.2,7.421366,1.7907043,1.7703850332757545e-10,1.8258570976517282e-07
8,LINC02739,7.234791,2.3976533,4.841268404317677e-11,5.617081666109585e-08
9,C1QA,6.46392,2.0739083,1.5687031126835536e-09,1.3237002083571587e-06
10,MUC1,6.4431486,2.8978724,1.4546077785499187e-09,1.3237002083571587e-06
11,WARS,6.33793,2.8721666,2.442401232744509e-09,1.8891973535278776e-06
12,IDO1,6.1712947,28.5244,1.2620327424237158e-08,7.809458610117954e-06
13,IGLC1,6.002233,2.1960886,1.4907993338163625e-08,8.648499635302174e-06
14,LIMD1-AS1,5.7802334,2.1153982,4.402293889033318e-08,2.2701162154448477e-05
15,AL049543.1,5.5979877,3.4579296,1.0376757421841742e-07,5.0693190731334234e-05
16,TNFRSF6B,5.5856133,4.5651555,1.4126432553887175e-07,6.556077348259037e-05
17,IGLC2,5.447533,1.9927852,2.1520703335195833e-07,9.512150874156557e-05
18,GBP4,5.3614783,4.635807,4.0308885962955246e-07,0.0001626726432644133
19,GBP2,5.361423,2.7471848,2.941784800958672e-07,0.00012411657510226544
20,IGHG2,5.277527,3.0361838,4.559031783449697e-07,0.00017632055422491704
21,MXRA5,5.2417655,4.13443,6.106451299216506e-07,0.00022672032383731043
22,PIM2,5.192036,27.231234,1.0107767678032943e-06,0.0003474825910648214
23,CD74,5.149666,1.4570959,1.396738473092385e-06,0.00040514145335135995
24,ITGAV,5.1275096,27.3097,1.331133060082916e-06,0.0003985670020545041
25,PARP14,5.120179,2.3090994,8.883451115413156e-07,0.00031713920482024966
26,DMBT1,5.1141963,1.799779,1.2693438528487733e-06,0.0003927349880714105
27,UBD,5.090972,4.03133,1.1748694719861828e-06,0.0003760392565164051
28,CXCL14,5.085898,1.8278034,1.0599237368836537e-06,0.0003513647187769312
29,IFI30,4.9482684,2.3552911,1.9258248181468656e-06,0.0005416819988496729
30,CD24,4.88245,2.0791035,2.722162827693959e-06,0.0007431504519604509
31,C1R,4.8642225,4.169629,3.310045174817688e-06,0.0008588430428977568
32,TMSB10,4.8473988,1.365984,4.473459545520521e-06,0.0011222338243654453
33,LCN2,4.8289,2.6186426,3.3310008127902656e-06,0.0008588430428977568
