,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,10.850976,3.598788,2.5614802870945405e-09,2.3775660024811527e-05
1,IGHM,8.817769,4.323409,8.304724901148852e-07,0.0019271114133115911
2,IGKC,8.6756935,3.861086,5.812161375837489e-07,0.0017982827296841191
3,REG1A,8.332429,4.9653873,6.298805974191262e-06,0.008352216721777612
4,HLA-DRB1,7.6966867,3.1724658,2.660171208336079e-07,0.0012345854577887742
5,DMBT1,6.298591,4.9888325,0.00013178318833460402,0.08737225386584246
6,HLA-C,6.2147765,3.1372495,2.9368074435369507e-06,0.0045432411151516625
7,ACTB,6.1613526,2.804186,1.5388221431476823e-06,0.0028566694265393573
8,IGHA1,6.1173563,4.669706,9.952852241731584e-05,0.07106336500596351
9,IGHG4,5.6325603,2.6979492,3.223795676110278e-05,0.0299232714656556
10,HLA-DRA,5.51624,3.4992616,2.4600759707773027e-05,0.025371583511949916
11,B2M,5.2827673,2.656032,1.8579195600502232e-05,0.021556511695482717
12,EEF1D,5.0683355,3.8251734,0.00045230054481367555,0.24695609746826686
13,S100A6,5.0010624,3.3587966,7.246043032888492e-05,0.05604814285939249
14,CD74,4.9460106,2.4719589,0.00024510898172559395,0.15167343789179755
15,MT-CO2,4.8867564,2.1100066,6.120820160939492e-05,0.05164859339440034
16,RARRES1,4.749855,29.84236,0.0014455187697896387,0.5827893505430519
17,JCHAIN,4.478185,4.5171432,0.0016104285830765112,0.5979199243246471
18,COX4I1,4.26447,3.0178354,0.0005461540988815685,0.2816334636565955
19,TMSB10,4.1282125,2.311,0.0008703416569534126,0.4197640842776641
20,PLAAT4,4.127915,3.590169,0.0021192926671239256,0.7285657235646028
21,MT-CO1,4.090896,1.9144228,0.0004232896919273278,0.24556093252934105
22,FCGBP,4.053967,2.6944382,0.0009782390643609013,0.4323816664475183
23,HLA-DPA1,4.0239873,3.9635487,0.0027418365902560637,0.7530489897983191
24,UQCR10,4.0,29.12977,0.003949772803445322,0.7530489897983191
25,IGLC2,3.8471212,4.1148305,0.0038666977037064895,0.7530489897983191
26,PHGR1,3.8283405,2.2904882,0.0009044690460626247,0.4197640842776641
27,HLA-B,3.8227997,1.6331574,0.0011971871629936264,0.5051041475866745
28,PSME2,3.755424,4.253746,0.003967636504981902,0.7530489897983191
29,TXNIP,3.6698117,3.0817373,0.0029126920227454437,0.7530489897983191
30,C15orf48,3.6474345,3.452962,0.004006530073212397,0.7530489897983191
31,MUC13,3.602258,2.2726495,0.001506889077034394,0.5827893505430519
32,LIMD1-AS1,3.585476,2.327407,0.0034755457119517324,0.7530489897983191
33,ANPEP,3.5277958,2.3362455,0.0023136059225072453,0.7530489897983191
34,MT-CO3,3.503755,1.4152071,0.0021003034409961714,0.7285657235646028
