,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHM,7.1376495,3.2790058,1.2569594178355335e-06,0.005856288996330167
1,AL627171.2,6.8917317,2.33279,1.261859296774438e-06,0.005856288996330167
2,IGHG4,5.638364,2.7890306,2.7040648392416085e-05,0.050198259675681214
3,REG1A,4.947076,2.4183178,0.00016588186530549012,0.19246443422069492
4,IGKC,4.6638546,2.2850773,0.00011240224845140345,0.17388627835432113
5,IGHG3,4.4042993,30.29744,0.002273653197646009,0.2846662473211317
6,DMBT1,4.269721,2.5887573,0.0009098254912402232,0.2828226007833641
7,IGLC2,3.815823,4.0381675,0.00396660052428569,0.3042808765819816
8,RARRES1,3.1239004,2.4024522,0.007989965486214511,0.31189564719566526
9,HLA-DPA1,2.9663053,2.1941009,0.012150592720252658,0.31189564719566526
10,MTRNR2L1,2.9422271,2.3758042,0.012652069331926976,0.31400135705600585
11,IGHA1,2.7188,1.8637602,0.014526182157849028,0.31486103404494853
12,IGLC3,2.529822,28.426584,0.03526520347508,0.34739168742216653
13,JCHAIN,2.2258782,1.6712444,0.041158595654115115,0.34739168742216653
14,IGLC1,2.197883,2.6263595,0.05266470997762999,0.3703802581959014
15,PYCARD,2.1364248,3.2795293,0.05990066257527596,0.39954327310918464
16,ATAD3B,2.1364248,3.2795293,0.05990066257527596,0.39954327310918464
17,C19orf12,2.1364248,3.2795293,0.05990066257527596,0.39954327310918464
18,AC009133.1,2.1364248,3.2795293,0.05990066257527596,0.39954327310918464
19,LINC02739,2.075355,2.2163005,0.06244841089307984,0.39954327310918464
20,LIMD1-AS1,2.0545628,1.2055063,0.0548340903202888,0.38096558858751545
21,ANXA6,2.0,27.953499,0.08051623795726257,0.39954327310918464
22,SERPING1,2.0,27.953499,0.08051623795726257,0.39954327310918464
23,CCDC9B,2.0,27.953499,0.08051623795726257,0.39954327310918464
24,MUC1,2.0,27.953499,0.08051623795726257,0.39954327310918464
25,HLA-DQA1,1.9246128,28.244364,0.0904695554233022,0.39954327310918464
26,TRAF7,1.8563509,2.599566,0.0886440995550874,0.39954327310918464
27,TMEM107,1.7548474,1.8591887,0.10637906995783585,0.4412022016749921
28,STAT2,1.6959468,1.4789672,0.11033835967839456,0.4532903651489151
29,FGL2,1.6285732,1.7655413,0.13411965987769403,0.46572230358230576
30,APOE,1.6187893,3.0973089,0.13975425803729752,0.46572230358230576
31,PDZK1IP1,1.6187893,3.0973089,0.13975425803729752,0.46572230358230576
32,CD79A,1.6187893,3.0973089,0.13975425803729752,0.46572230358230576
33,GNAI2,1.6187893,3.0973089,0.13975425803729752,0.46572230358230576
34,AL049543.1,1.6164682,2.098417,0.13312348587098247,0.46572230358230576
35,ZNF266,1.6060339,2.8064435,0.14050983070590425,0.46572230358230576
36,CTBP2,1.6060339,2.8064435,0.14050983070590425,0.46572230358230576
37,POMT1,1.6060339,2.8064435,0.14050983070590425,0.46572230358230576
38,UBD,1.6060339,2.8064435,0.14050983070590425,0.46572230358230576
39,CLEC16A,1.6060339,2.8064435,0.14050983070590425,0.46572230358230576
40,NAP1L1,1.6060339,2.8064435,0.14050983070590425,0.46572230358230576
41,SNHG14,1.6060339,2.8064435,0.14050983070590425,0.46572230358230576
42,PSMB8,1.5810996,1.3018224,0.13268632911193196,0.46572230358230576
43,RNF10,1.5490534,1.8724905,0.15023723811055997,0.46572230358230576
44,ZNF513,1.5490534,1.8724905,0.15023723811055997,0.46572230358230576
45,AC007952.4,1.5425183,1.2013493,0.1462879048767612,0.46572230358230576
46,DDX19B,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
47,NCDN,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
48,AGTRAP,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
49,MESD,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
50,PHF20L1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
51,LPCAT1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
52,CNOT4,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
53,NCF4,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
54,PPOX,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
55,SLFN11,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
56,DPH7,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
57,AK1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
58,RNF113A,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
59,DROSHA,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
60,GATAD2A,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
61,FYB1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
62,ARMC6,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
63,ISCA1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
64,LSP1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
65,MRPL23,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
66,GPNMB,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
67,AIF1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
68,OMA1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
69,ARHGEF19,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
70,PSTPIP1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
71,MRTFA,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
72,INPP5E,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
73,HMGXB3,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
74,SMIM3,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
75,TRIM25,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
76,RNF20,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
77,RBMS2,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
78,CCDC69,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
79,THUMPD3,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
80,MZB1,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
81,FASTKD5,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
82,ICE2,1.5118579,27.3112,0.16902020301916998,0.46572230358230576
