,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,11.183866,3.5215015,9.457058858970647e-20,8.778042032896554e-16
1,IGHA1,8.241561,2.597042,1.0810883265122156e-12,5.017330923343193e-09
2,IGKC,7.5243587,2.2818995,1.2376078692369216e-10,2.8718690605642766e-07
3,JCHAIN,7.2709785,2.5681732,9.810444316394911e-11,2.8718690605642766e-07
4,AL627171.2,6.565601,1.4454409,3.6012805280939284e-09,5.571180976961308e-06
5,S100A6,6.4712515,2.360649,3.012201675085825e-09,5.571180976961308e-06
6,SPINK1,5.958303,3.8152854,4.275945376841177e-08,5.6699035696914e-05
7,PLA2G2A,5.8312387,2.3416827,5.330206534093331e-08,6.184372131181788e-05
8,DMBT1,5.6781454,2.4450223,1.1389047571168922e-07,0.00011745904395065548
9,B2M,5.596397,1.5191122,2.3024865482716764e-07,0.00017809733450881417
10,IGHG4,5.594767,2.0841537,3.7988584962977315e-07,0.00025321591529568413
11,MT-CO2,5.547252,1.3742167,2.0814749376395144e-07,0.00017563863973790885
12,KRT8,5.545263,2.3622677,1.9075491489272193e-07,0.00017563863973790885
13,FTL,5.3930206,1.8838868,3.8192445745955374e-07,0.00025321591529568413
14,AL049543.1,5.269171,4.443996,1.070053156598557e-06,0.0005842490235028121
15,LCN2,5.2572966,3.8421319,1.0446935951853792e-06,0.0005842490235028121
16,IGLC2,5.1702757,2.3557043,9.97595549593353e-07,0.0005842490235028121
17,IGHM,5.1573863,1.8963336,1.1389668538676099e-06,0.0005873272409777308
18,IGHG3,5.0666313,2.1204689,1.993801660900135e-06,0.0009740245798144765
19,IGLC3,5.0419807,3.646352,2.713501183872244e-06,0.0012593358994351085
20,TMSB10,4.9250236,1.6785313,3.219539874578604e-06,0.0014092979511651908
21,COL18A1,4.917404,4.2609863,4.295388713463452e-06,0.0015947919215347104
22,LINC02739,4.896248,1.6064799,3.4921194652875874e-06,0.0014092979511651908
23,LYZ,4.8806405,1.9034058,3.440755185875918e-06,0.0014092979511651908
24,IFI27,4.8438787,2.2013032,4.012708664180804e-06,0.001551915075871926
25,HLA-B,4.7225027,1.3021686,9.080409515608764e-06,0.002883328598977072
26,CALR,4.721102,2.757405,7.430874009204365e-06,0.0025545693538309225
27,IGHG2,4.6967716,3.4686785,1.0367873316131863e-05,0.0030073312537604985
28,COL1A2,4.66288,2.824033,9.3190969585555e-06,0.002883328598977072
29,COX4I1,4.661104,2.210411,8.670599860671442e-06,0.0028743038538125826
30,MT-CO1,4.6335487,1.3386065,1.0060068128350138e-05,0.0030073312537604985
31,PHGR1,4.555833,1.3473974,1.4820917479676373e-05,0.004168719880192609
32,ACTB,4.5361977,1.4922174,1.7454281787602827e-05,0.004765018928015572
33,HLA-C,4.4820843,1.5024858,1.9787449526516988e-05,0.005247631614432305
34,GRINA,4.447667,27.742847,3.1908060945786436e-05,0.007404265542469742
35,CD63,4.4055448,2.3406978,2.4065079269446402e-05,0.006204779604972264
36,CD74,4.3935313,1.5881064,2.9597562624119553e-05,0.007044219904540454
37,S100A10,4.3932366,2.111265,2.5219210181692353e-05,0.006326613754228876
38,FABP1,4.377452,1.4955834,2.715644564206542e-05,0.006633319169727664
39,PIGR,4.364515,1.2174567,3.3740530520573075e-05,0.007638526933950227
40,CLTC,4.343946,27.480719,4.637266532625169e-05,0.009782524535415187
41,HLA-DRA,4.3220673,1.3716518,3.655279260227424e-05,0.008078167165102606
42,CTSB,4.2359824,1.8187336,4.6135532901064644e-05,0.009782524535415187
43,STAT1,4.22952,2.4183419,4.9201768985797625e-05,0.010148684882803856
44,MUC1,4.211081,2.259016,5.131562152932211e-05,0.010354599979025388
45,IGLC1,4.1676617,1.7893246,6.170196231925602e-05,0.012185481154198603
46,FTH1,4.1533704,1.5260694,6.335051912333767e-05,0.012250406635475422
47,AGPAT2,4.106681,3.8084233,8.961579804936264e-05,0.016975792601922123
48,PSMA6,4.0934715,27.189178,0.00011230347802377464,0.019303720055864376
49,FARSA,4.0572476,27.25013,0.00012734219832716376,0.02073667166443393
50,EEF1B2,4.0422497,2.2850587,9.904238500306417e-05,0.017679065723046953
51,C1QA,4.039444,1.6145384,9.899674927881625e-05,0.017679065723046953
52,ACP5,4.0254154,2.9830303,0.00011450296698208457,0.019323937082321982
53,MUC13,4.0084057,1.529859,0.00010901045467377195,0.01909122717513116
54,GNAI2,3.9975104,3.986955,0.00013776792108300082,0.021370720980060775
55,P4HB,3.9707212,1.6012847,0.0001263598669384078,0.02073667166443393
56,TMSB4X,3.967352,1.7304747,0.00013048015704168116,0.02088132444242904
57,RAC1,3.9489865,2.202509,0.00013814299276057384,0.021370720980060775
58,IDO1,3.8941278,3.9856536,0.00019911565544781338,0.02843371559794775
59,PSMB10,3.8934565,2.6950655,0.00017749977973617888,0.027009064844446103
60,ATP6V0B,3.8707678,2.341857,0.00018254779538357232,0.027257065340774832
61,COX5A,3.8654902,1.6693891,0.00019272545730652897,0.02795121397998753
62,KRT19,3.8641834,1.827934,0.00018500270593286086,0.027257065340774832
63,CXCL9,3.8446813,4.45304,0.00024786157587979675,0.03433807682561602
64,SNHG1,3.8025246,1.1092485,0.0002412819033900705,0.033933009504039914
65,TIMM13,3.7896264,27.308939,0.0003162856095427959,0.0406276623803692
66,RPN1,3.7697604,3.0233366,0.0002829018926094131,0.03738815495685002
67,ASS1,3.761388,2.3246558,0.00027450004091630144,0.03738815495685002
68,AGR2,3.7557044,2.1440525,0.0002820508727481793,0.03738815495685002
69,ANXA2,3.7429101,1.8397125,0.00028598998081624127,0.03738815495685002
70,EEF1A1,3.741541,1.3720578,0.00031952373990163236,0.0406276623803692
71,COL17A1,3.7204082,26.962002,0.0003979674965962816,0.046758662068439066
72,ANXA5,3.717341,3.6762602,0.00035404127079943033,0.04267806591636769
73,PDLIM1,3.717341,3.6762602,0.00035404127079943033,0.04267806591636769
74,CTSD,3.6948633,1.4470052,0.0003417530519961347,0.04267806591636769
75,EPCAM,3.6870582,1.608669,0.0003480425284434265,0.04267806591636769
76,ITM2B,3.664976,1.8695967,0.000377013549910255,0.04486461243932035
