,names,scores,logfoldchanges,pvals,pvals_adj
0,FAAH,-2.8749597,-1.5473207,0.004299464941926469,0.04914733200857326
1,ARHGAP18,-2.875576,-2.0835738,0.004264424219791667,0.0489881010001315
2,PLEKHG6,-2.878612,-1.6332095,0.00426246377256941,0.0489881010001315
3,GALNT4,-2.8789105,-1.4808387,0.004289541875663766,0.04914733200857326
4,SHROOM1,-2.8911057,-1.2316142,0.004168140323539506,0.04854288391856172
5,SLC25A1,-2.899516,-1.1095827,0.004042696365406808,0.04731942958853215
6,C2CD2L,-2.9041831,-1.3612043,0.0039511284183340045,0.046807777560801185
7,CCNG1,-2.9379878,-2.0835738,0.0035153286404208026,0.04259697185428967
8,KCNJ13,-2.9540548,-1.7004888,0.003366896484629777,0.041314304081725144
9,RAB17,-2.966913,-1.002595,0.0033203463795272053,0.041037889606886174
10,PLEKHS1,-2.9682977,-1.2713273,0.003232744380117657,0.040356147305518494
11,ABCA5,-2.968569,-1.196207,0.003234752595917449,0.040356147305518494
12,ENPP3,-2.9757483,-2.7563965,0.003087482593909156,0.03893751825633803
13,TMEM30B,-2.9783363,-1.8875725,0.003092579114269062,0.038948872915394075
14,KCTD3,-2.9797595,-2.769587,0.003047820377486225,0.038647361671895
15,SIAE,-2.982731,-1.8617114,0.00305759987896296,0.03871847486566739
16,ZDHHC13,-2.991569,-24.273174,0.002984461655285048,0.03799968873025489
17,PHACTR2,-2.991569,-24.273174,0.002984461655285048,0.03799968873025489
18,TEAD1,-2.991569,-24.273174,0.002984461655285042,0.03799968873025489
19,HNF1A-AS1,-3.0002196,-2.615517,0.0028650338537720356,0.036680336869947636
20,CYBRD1,-3.0275757,-1.1483493,0.0026778882512277593,0.03510101763379621
21,PLXDC2,-3.0332341,-2.6601536,0.002572595865502232,0.03421677062134967
22,ATP9B,-3.0370383,-24.18144,0.002579523854902389,0.03421677062134967
23,SLC7A1,-3.0370383,-24.18144,0.002579523854902389,0.03421677062134967
24,GTF2H4,-3.0370383,-24.18144,0.002579523854902389,0.03421677062134967
25,CTIF,-3.0370383,-24.18144,0.002579523854902389,0.03421677062134967
26,HSPA1B,-3.0370383,-24.18144,0.002579523854902389,0.03421677062134967
27,VAMP4,-3.0370383,-24.18144,0.002579523854902389,0.03421677062134967
28,TMEM125,-3.0394087,-1.6099597,0.002554538287900057,0.03421677062134967
29,CDS1,-3.0578737,-2.1391993,0.002392874867073828,0.03237706197693771
30,NIPBL,-3.0578737,-2.1391993,0.002392874867073828,0.03237706197693771
31,MICA,-3.0649164,-2.089402,0.0023631137110843945,0.03224808271946177
32,ANKIB1,-3.066565,-2.7035027,0.0023059057771158457,0.03167565483723443
33,VPS35,-3.0837123,-1.7136174,0.0022183197169673282,0.030777942620165533
34,ABHD18,-3.089994,-24.473978,0.0021718379975030097,0.030223388744861975
35,HEPACAM2,-3.0985181,-1.9682555,0.0020892619562250885,0.029161698462678607
36,SIDT2,-3.1002448,-1.53093,0.0020993673601228655,0.029258750505496155
37,ERN2,-3.1075723,-1.7575265,0.0020643069595694054,0.028900297433971676
38,MARCH5,-3.1207016,-24.641832,0.0019635025773926296,0.027740077508916876
39,STRADB,-3.135237,-2.201805,0.0018502988828052508,0.0268771114713589
40,RASSF6,-3.1361353,-24.496353,0.0018659008666186841,0.02693513506058262
41,BDH2,-3.146056,-1.8048977,0.0017901504719157405,0.02620848056833108
42,IL17RE,-3.1511512,-1.9721261,0.0017571599175807862,0.025806896131305157
43,IRF5,-3.161808,-24.417862,0.001713413417288456,0.025244291014716588
44,SEMA3G,-3.161808,-24.417862,0.001713413417288456,0.025244291014716588
45,LYSMD4,-3.161808,-24.417862,0.001713413417288456,0.025244291014716588
46,DICER1,-3.17057,-2.733519,0.001634005894049821,0.024423257179662542
47,CDHR1,-3.176261,-1.9991007,0.0016130046477701697,0.02418725224653104
48,AVL9,-3.188897,-2.2146034,0.0015471446926240476,0.023388594522697734
49,ERBB3,-3.2008195,-1.0245794,0.001535164029707426,0.02324533853791897
50,WBP4,-3.2063022,-24.334959,0.0014761062576066604,0.022550131974032925
51,MXD3,-3.2063022,-24.334959,0.0014761062576066604,0.022550131974032925
52,NIPAL3,-3.2063022,-24.334959,0.0014761062576066604,0.022550131974032925
53,FAM98C,-3.2063022,-24.334959,0.0014761062576066604,0.022550131974032925
54,GTF3C2,-3.2063022,-24.334959,0.0014761062576066604,0.022550131974032925
55,FMO5,-3.20642,-1.5831457,0.0014702914035000197,0.022550131974032925
56,AQP7,-3.2134728,-1.7828887,0.0014434787421064104,0.022367895966997828
57,STAU2,-3.2222605,-1.7350487,0.0014160960622626902,0.022091098571297967
58,DHRS7,-3.23294,-1.2854891,0.0013574250386088615,0.021501056669569033
59,GGNBP2,-3.2491298,-1.9340094,0.0012738140801603183,0.02067052848260153
60,ACSF2,-3.2629912,-1.4778867,0.001225325034644223,0.020059024641212838
61,FGD4,-3.283418,-24.690187,0.0011354991169743706,0.018990455502263255
62,ZNF91,-3.29985,-2.303239,0.0010549003764357906,0.01793330639940844
63,POR,-3.3004727,-1.4175482,0.001080594413524745,0.018203407162135542
64,LINC01106,-3.304945,-2.8034766,0.0010315820747657466,0.017633784195166962
65,ABHD6,-3.3071103,-1.9191065,0.0010294848021712556,0.0176304020917963
66,RTKN,-3.3244967,-24.549616,0.0009853917706286477,0.017000755418169346
67,BST1,-3.3244967,-24.549616,0.0009853917706286477,0.017000755418169346
68,MGAT3,-3.3244967,-24.549616,0.0009853917706286477,0.017000755418169346
69,AGL,-3.3244967,-24.549616,0.0009853917706286477,0.017000755418169346
70,TNNC2,-3.333581,-2.8703346,0.0009320194125363208,0.01635303349321297
71,BOD1L1,-3.3350847,-2.897238,0.0009266641080949953,0.016352274242086972
72,CACNB2,-3.3391247,-2.3471155,0.0009181776504458702,0.01626436059434841
73,SELENBP1,-3.3510182,-1.0514778,0.0009333978339635806,0.01635303349321297
74,EPHX2,-3.3515337,-1.097739,0.0009092047394810112,0.0161671233560589
75,SAT2,-3.3551807,-1.0829617,0.0009029403945794046,0.016086550369454958
76,PRR12,-3.3680484,-24.473978,0.0008465471793104493,0.015333882180095161
77,TRAF6,-3.3680484,-24.473978,0.0008465471793104493,0.015333882180095161
78,NAE1,-3.3680484,-24.473978,0.0008465471793104493,0.015333882180095161
79,FUT4,-3.3680484,-24.473978,0.0008465471793104493,0.015333882180095161
80,RIMKLB,-3.3680484,-24.473978,0.0008465471793104493,0.015333882180095161
81,MYL5,-3.3730164,-2.2657368,0.0008215454034254903,0.015190407240229882
82,AATK,-3.3889546,-1.4602047,0.0008045228354223744,0.014905351214352254
83,KMT2E,-3.3910472,-2.0000277,0.0007761877782367653,0.014409149915187311
84,ADAP1,-3.4341698,-1.7155122,0.0006707358060888864,0.012874381545718674
85,GOLGA4,-3.4416142,-1.5266457,0.0006580744265387529,0.0126757791457127
86,NAAA,-3.4524922,-2.3434472,0.0006159631363833259,0.01211307167777549
87,RYK,-3.453339,-24.737015,0.0006258619668195683,0.012178722800878896
88,RRNAD1,-3.453339,-24.737015,0.0006258619668195683,0.012178722800878896
89,ABCG2,-3.4562845,-1.7274,0.0006254096483293069,0.012178722800878896
90,CGGBP1,-3.459863,-2.0083196,0.0006138714352017272,0.01211307167777549
91,MEP1B,-3.463863,-1.9640099,0.0005914903726922631,0.01178157433332529
