,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,26.003569,3.710969,8.049704376376738e-64,7.471735602152889e-60
1,AL627171.2,23.400476,2.9484158,5.74953151649511e-60,2.6683575768053805e-56
2,IGHA1,21.745747,4.106869,7.713974334814777e-48,2.3867036591916917e-44
3,REG1A,21.427248,4.615937,5.444853563537319e-45,1.2634782694188348e-41
4,IGHG4,19.530884,3.5165105,3.353255661630749e-44,6.224983810251322e-41
5,JCHAIN,16.913864,3.7759285,1.1709625340712583e-34,1.8114790402082367e-31
6,IGHM,13.785628,3.716663,1.0433157454224724e-26,1.2105070936264236e-23
7,IGHG3,13.68929,3.6637003,8.609706891236958e-27,1.1416471337780205e-23
8,DMBT1,11.224558,3.6165388,2.3076565706767834e-20,1.947242571729264e-17
9,S100A6,11.197063,2.6198342,2.8536281419361924e-21,2.6487376413451736e-18
10,TMSB10,11.102507,2.3028808,1.6185665513574008e-21,1.669281636633266e-18
11,ACTB,10.378998,1.8838984,4.78645481823611e-20,3.7023228019056313e-17
12,PLA2G2A,9.839654,2.7670448,2.702556542009073e-17,1.7917949873520152e-14
13,C1QA,9.778621,2.8163123,3.7244385313546826e-17,2.0335434381196566e-14
14,LINC02739,9.706855,2.1407356,3.07484104803517e-17,1.7922729370286656e-14
15,IGLC2,9.457022,3.3968513,4.743382655650597e-16,2.0965751337975638e-13
16,SNHG1,9.367266,1.8160255,1.0947466250975215e-16,5.645243430086219e-14
17,HLA-DRA,9.335735,1.7771406,3.08945992161804e-17,1.7922729370286656e-14
18,IGLC1,8.817488,2.7296615,1.009484083385336e-14,3.6038581776856496e-12
19,LYZ,8.793015,2.227173,6.649338925298511e-15,2.5716318293591993e-12
20,CD74,8.727857,1.6633247,1.6898405618884896e-15,7.129590952476801e-13
21,CTSB,8.480129,2.3576398,4.8434296916095755e-14,1.6272538278935346e-11
22,RACK1,8.27425,1.6013519,5.0840725068856396e-14,1.6272538278935346e-11
23,MUC1,8.27289,4.1140013,3.6409550578460626e-13,9.655812813407758e-11
24,HLA-C,8.070509,1.5689908,9.216561906590607e-14,2.7596170199023878e-11
25,TMSB4X,8.06914,2.0909114,2.923010585689238e-13,7.979818898931619e-11
26,KRT8,7.9536033,2.0326335,4.4346259374771333e-13,1.1433943875461875e-10
27,B2M,7.7986445,1.2380373,2.3601445200077387e-13,6.638442859003585e-11
28,HLA-DQB1,7.7411866,2.8950224,3.445634237139701e-12,8.416414997139659e-10
29,CD24,7.6832924,3.2914853,5.901737601248117e-12,1.3694982103696254e-09
30,CXCL14,7.6397276,2.714352,5.533925381574156e-12,1.3170742408146492e-09
31,PSAP,7.569244,2.1720016,6.354796843471794e-12,1.438664007344029e-09
32,LCN2,7.232131,4.399221,7.119240129777615e-11,1.4365388453173006e-08
33,FTL,7.101643,1.483664,3.385400145182212e-11,7.3077404994375106e-09
34,WARS,7.0864615,2.817497,1.1385148124576977e-10,2.1936940204646724e-08
35,ACTG1,6.9579816,1.3892999,6.723958572149427e-11,1.3869285214820218e-08
36,UBA52,6.866729,1.5423023,1.5576881007465157e-10,2.7804732598325304e-08
37,TPT1,6.86449,1.4282635,1.243291806775097e-10,2.3080469100972898e-08
38,IGLC3,6.74388,4.488043,8.15856786848387e-10,1.2214165637946338e-07
39,S100A10,6.738404,1.8681858,3.634983434182964e-10,5.919283550190574e-08
40,EEF1A1,6.657056,1.2860143,3.520831376474376e-10,5.835778006506278e-08
41,GAPDH,6.6343603,1.616153,5.703925955589853e-10,8.679318150784429e-08
42,SPINK1,6.6180944,2.193021,8.340672745731777e-10,1.2288591178711484e-07
43,IGHG2,6.486949,4.850171,2.8757327718325972e-09,4.044325998204571e-07
44,STAT1,6.4715056,2.9869373,2.5042408302283016e-09,3.5760559055660147e-07
45,SPINK4,6.308213,1.9264166,4.200402815054674e-09,5.733549842549629e-07
46,ACP5,6.2684374,5.116796,7.993362750195608e-09,1.002626933071833e-06
47,COL1A2,6.191374,2.8166842,9.63261074864812e-09,1.161167441155219e-06
48,IFI30,6.189099,3.1609588,1.025597629047001e-08,1.220461178565931e-06
49,GAS5,6.1645975,1.4534943,6.95957493064798e-09,8.972052014760354e-07
50,S100A11,6.1303425,3.066188,1.2799580359035055e-08,1.466737097439054e-06
51,EEF2,6.121294,1.4469224,6.8678099716398435e-09,8.972052014760354e-07
52,PLCG2,5.9903235,2.2942226,2.2124390557595114e-08,2.415983448889386e-06
53,IDO1,5.9897633,5.5326266,2.964655659400786e-08,3.091902677590797e-06
54,MZB1,5.9457917,3.1523013,3.033987004247576e-08,3.129051930380667e-06
55,COX4I1,5.925577,1.5731938,1.9614594322044018e-08,2.1935260782796697e-06
56,PDZK1IP1,5.923151,3.7867312,3.677464178786486e-08,3.7102415769017573e-06
57,UQCRQ,5.893706,1.8584354,2.4497894117831132e-08,2.6440634093221927e-06
58,COL18A1,5.8871937,3.4498253,4.220761667295182e-08,4.123906294298303e-06
59,ANXA2,5.8386364,1.8753756,3.873092131270139e-08,3.865595823919294e-06
60,TAPBP,5.834799,1.4366369,3.2038955994247805e-08,3.2679735114132763e-06
61,ATP6V0B,5.819232,2.351983,4.800496510805976e-08,4.5936297539485644e-06
62,HLA-DPB1,5.788634,1.8050683,4.6586003340176044e-08,4.504284197953272e-06
63,SERF2,5.73151,1.8006006,6.227029886881179e-08,5.748954648845924e-06
64,AGR2,5.725919,2.0260344,6.886991006918445e-08,6.267161816295784e-06
65,MUC13,5.7121563,1.392693,6.25559598721653e-08,5.748954648845924e-06
66,TNFRSF6B,5.6947665,4.1049905,1.0804012408811765e-07,9.285448442462111e-06
67,GBP2,5.6860013,2.5198636,8.98153452810888e-08,7.93967652284825e-06
68,APOL1,5.631774,2.8739533,1.303210290484685e-07,1.0897655780431393e-05
69,IFI27,5.5998516,1.4048272,9.123144209156173e-08,7.988775900885622e-06
70,CD59,5.586219,2.989469,1.5648653696884079e-07,1.296882175129268e-05
71,COX7C,5.5623603,1.5608798,1.2452081695493097e-07,1.0507292936142448e-05
72,GPX2,5.5400867,2.1272547,1.7104576307449583e-07,1.3926726077697109e-05
73,TIMP1,5.5314703,3.8766952,2.2127766284143363e-07,1.7405925987238873e-05
74,CD63,5.509432,1.7293173,1.811138982960264e-07,1.4618253947684499e-05
75,PARP14,5.507521,1.9917048,1.9773384524038672e-07,1.582211682345922e-05
76,PHGR1,5.4979515,1.035992,1.0920339744114856e-07,9.29932050503432e-06
77,CDC25B,5.480517,2.722757,2.5114473235814694e-07,1.9265499221060496e-05
78,HLA-E,5.44914,1.2813804,2.0661065600768372e-07,1.639111204327624e-05
79,RARRES2,5.4319787,3.6743126,3.3394526565982096e-07,2.4600634570273476e-05
80,HINT1,5.356153,1.9631681,3.929976412756159e-07,2.8498469580627086e-05
81,SH3BGRL3,5.31121,1.9688573,4.85021600874178e-07,3.384940225048211e-05
82,CALR,5.309194,1.7561818,4.258730424176127e-07,3.040733522861755e-05
83,EIF4A2,5.2558355,0.9571987,4.589573903330178e-07,3.227304922023539e-05
84,MXRA5,5.2508492,3.9851253,7.584057963914196e-07,5.1011033348588095e-05
85,PIGR,5.249929,0.8691904,3.7839839897682186e-07,2.7655857789786303e-05
86,SERPINA1,5.243455,1.125594,4.4893950407408796e-07,3.180959142607393e-05
87,TUBA1B,5.1510334,1.9247792,8.96031389589214e-07,5.85701644941344e-05
88,HLA-DRB1,5.1368093,1.2773603,7.826212006479022e-07,5.226107902455991e-05
89,NCF1,5.0930305,2.3790889,1.3456007191337912e-06,8.382460318791847e-05
90,MMP2,5.086555,3.6109662,1.5126537362434352e-06,9.137507559303706e-05
91,VIM,5.0720463,2.5370169,1.4414946568966314e-06,8.860896294910285e-05
92,SSR4,5.0555573,2.160878,1.553377794947519e-06,9.302227543679272e-05
93,TAP1,5.042989,1.5872867,1.4722502839722905e-06,8.990412589362369e-05
94,UBD,5.0358706,3.145826,1.7918914290059581e-06,0.0001052679509116032
95,PKM,5.024696,2.1181169,1.6567729687282437e-06,9.795010634226472e-05
96,GSTP1,4.997827,2.123069,1.929656836371591e-06,0.00010988389420368777
97,C1S,4.9900546,2.7796886,2.1642963557749002e-06,0.00012032734607022963
98,ENO1,4.9808846,1.5070859,1.8175730136717583e-06,0.00010610511140189471
99,CXCL9,4.9482617,4.3953524,2.8202046934756786e-06,0.00015044333313127156
100,ATP6V0C,4.9360147,1.0202343,1.8915827354351547e-06,0.00010905385683421804
101,TXNDC5,4.932809,2.2900593,2.6254741818613067e-06,0.00014086503674009624
102,MIF,4.923514,1.6483176,2.4314799556319448e-06,0.0001319824382934252
103,PFN1,4.9157233,1.1858773,2.1649070021254413e-06,0.00012032734607022963
104,PLAAT4,4.908036,1.4069172,2.3873762131389534e-06,0.00013035074123738684
105,EEF1G,4.8988485,1.37116,2.558080619436092e-06,0.00013804711807910354
106,P4HB,4.8943777,1.1758866,2.333995099200496e-06,0.00012819019237147338
107,C1QB,4.884427,2.7734835,3.444569097602199e-06,0.00017962073238170567
108,TNFAIP2,4.856592,2.617757,3.7693163954932725e-06,0.00019118467094518337
109,EEF1B2,4.850704,1.5540104,3.1990452096753108e-06,0.00016776009963958324
110,MYL6,4.83687,1.1086941,3.1433644661633e-06,0.00016577675553936221
111,A2M,4.8368583,2.6061292,4.163525114621395e-06,0.00020889643304819344
112,SOD2,4.829904,1.8820043,3.838696157841114e-06,0.00019364553117978922
113,IL7R,4.8273406,3.4194853,4.418000766092817e-06,0.0002192934925715162
114,FGL2,4.7940593,2.299752,4.596777693606326e-06,0.00022695367314922295
115,CD55,4.7759795,3.2492926,5.554156367478457e-06,0.00026169380407581235
116,RNF213,4.7593436,1.3880941,4.8799053058428585e-06,0.00023714806831849955
117,CCDC88B,4.7459345,1.831636,5.364354851261154e-06,0.0002566594934505466
118,SLC40A1,4.733341,2.9080772,6.3433415883710525e-06,0.00029439448311630056
119,IFITM3,4.7139997,2.422053,6.655366412552583e-06,0.00030431089182912847
120,GM2A,4.7074814,3.2896607,7.268455650495419e-06,0.0003275039094558179
121,RAC1,4.6847835,1.6282676,6.639908631120261e-06,0.00030431089182912847
122,SERPINB6,4.679823,1.3547616,6.614910843625692e-06,0.00030431089182912847
123,ISG15,4.675815,2.3649454,7.932036497279143e-06,0.0003505960131797381
124,HLA-A,4.675521,0.9057327,5.501228780314144e-06,0.00026169380407581235
125,ARPC4,4.67496,1.6040263,7.024313974122437e-06,0.0003180472307697778
126,TGM2,4.670359,2.471148,8.049981225951974e-06,0.00035245247990229353
127,LGALS3,4.66818,1.3457153,6.756860660142338e-06,0.00030743716003647634
128,MT-CO2,4.666715,0.7625958,5.528157355779169e-06,0.00026169380407581235
129,IGFBP7,4.6627474,2.1709616,8.029130681172535e-06,0.00035245247990229353
130,HSP90B1,4.661516,1.4634446,7.3510324827220646e-06,0.0003280398245414721
131,COL3A1,4.635566,2.8391285,9.555126477229181e-06,0.0004106050183409318
132,HLA-B,4.6355166,0.7004622,5.950754570541726e-06,0.00027756233127521757
133,LGALS1,4.6249566,2.5038764,9.700882734719378e-06,0.0004149474356850934
134,PGK1,4.622655,1.8325399,9.132567823342304e-06,0.00039797415275240973
135,CTSC,4.5980415,3.5249097,1.1532069561207948e-05,0.0004800030029916241
136,CYBA,4.5903854,1.9903247,1.039209877963728e-05,0.00044045415923558555
137,CTSS,4.5900106,1.7755159,1.029948961349965e-05,0.0004385314797821273
138,C1R,4.5858088,3.3000846,1.182524824839868e-05,0.0004900087242930202
139,GRN,4.5843997,1.8999734,1.0602958002516606e-05,0.0004473484371789052
140,TSPAN1,4.5558677,1.289646,1.0804994052144864e-05,0.00045362614937373636
141,ELOB,4.551162,1.9446102,1.251626402435954e-05,0.0005163376118849122
142,ARHGAP4,4.52871,1.9706503,1.3575904559809165e-05,0.000555116943278188
143,PSMB10,4.5179367,1.966863,1.4078239683045814e-05,0.0005706297848822326
144,YWHAZ,4.510467,1.354915,1.3658144364992237e-05,0.0005560302455958682
145,MMP12,4.4950857,4.6621094,1.7801348646872946e-05,0.0007061201629926269
146,FTH1,4.482336,1.0275238,1.2992592053742878e-05,0.0005336161037293867
147,ITGB2,4.4617567,2.691048,1.918192474546567e-05,0.0007576452148400525
148,MFGE8,4.450544,3.117455,2.021210163410227e-05,0.0007915980057710434
149,FABP1,4.4503975,0.9699999,1.4309791419766198e-05,0.0005749934370487872
150,RPN1,4.4417367,2.1425302,1.9634293414411432e-05,0.0007722267435278259
151,IL32,4.4411263,1.1701053,1.680108170697741e-05,0.000669303177700276
152,BST2,4.420496,2.1324415,2.1487623774483864e-05,0.000834510978555478
153,RARRES1,4.4167023,2.419664,2.169770570281985e-05,0.0008391587680565577
154,C3,4.385987,2.463667,2.4997166131353474e-05,0.0009587756034348055
155,GBP1,4.383326,2.2889364,2.5302742579172722e-05,0.0009665022906167951
156,GPNMB,4.3649287,2.6230574,2.76482811097128e-05,0.0010474748786136905
157,ANXA5,4.3576393,2.915879,2.8812939329921132e-05,0.001082759930608615
158,ICAM1,4.3477273,3.6516414,3.087720104437342e-05,0.0011418413549556736
159,CTSD,4.3445415,0.98197806,2.434336524843213e-05,0.0009375730964147179
160,GRINA,4.341687,2.3421366,2.9784344518469073e-05,0.0011058331432817197
161,PRELID1,4.3342237,3.1289968,3.194032333426653e-05,0.001172423790675982
162,AL049543.1,4.3335333,1.7187091,2.921029742140296e-05,0.001092150811176424
163,PLAC8,4.3274307,2.60267,3.208313325056017e-05,0.001172423790675982
164,DNASE1L3,4.3147964,4.2797756,3.565198795251491e-05,0.001282642450291641
165,GCNT3,4.3129706,2.485898,3.385220166957863e-05,0.001227406780847769
166,PIM2,4.3037753,3.1228952,3.502382166741107e-05,0.0012649459638790256
