,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG4,16.457544,3.8661923,7.0201956070107e-28,6.516145562427332e-24
1,IGKC,16.439,3.7782981,1.7178114699678017e-22,3.986181516060284e-19
2,AL627171.2,14.808973,3.5388393,4.496639534510381e-19,5.962544022760765e-16
3,IGHA1,14.370745,4.328145,4.2540927035170224e-21,7.897297694809e-18
4,JCHAIN,14.007014,3.843716,7.190391656134614e-25,2.2247071784080496e-21
5,IGHG3,13.192639,4.031133,9.790310726903675e-26,4.5436832083559955e-22
6,IGHM,11.561085,3.449777,6.813851616695688e-21,1.0541028451028229e-17
7,REG1A,10.235627,4.111553,6.520384038015248e-14,6.052220464085753e-11
8,IGLC2,9.64151,3.719374,2.3607067628180475e-17,2.7390100215596397e-14
9,LCN2,8.850581,29.509151,1.0928689666011415e-14,1.1271121942213106e-11
10,IGLC3,8.424155,29.513464,1.0660769148368656e-13,8.995750839559807e-11
11,IGLC1,8.058144,3.0842905,7.452084035599612e-13,5.320788001418123e-10
12,CXCL14,8.028216,3.639216,3.8697806950622946e-13,2.993275367630685e-10
13,IGHG2,7.8201423,29.316599,2.56814409750108e-12,1.702679536643216e-09
14,PSAP,7.79406,3.2150114,5.264861464184113e-12,3.2578962740371297e-09
15,LYZ,7.709546,2.8901918,2.5569737845336276e-11,1.4833644167525708e-08
16,ACP5,7.34121,28.755014,3.050467328068428e-11,1.6655551611253617e-08
17,LINC02739,7.3164854,2.3295972,2.6140232153626635e-10,1.213168174249812e-07
18,IDO1,7.0443544,28.721275,1.377565935763501e-10,7.10364834208712e-08
19,S100A6,6.9513574,2.676437,2.903432219107414e-09,1.0365253022213467e-06
20,C1QA,6.935746,2.5900273,1.007394656722944e-09,4.065494436392333e-07
21,MUC1,6.853309,3.2747934,2.4377525600649105e-10,1.1909062769748683e-07
22,PLA2G2A,6.799478,3.3993194,3.9673368390654076e-09,1.3151721621501825e-06
23,COL1A2,6.738213,3.6921775,3.3171694131831366e-10,1.4661888806269461e-07
24,HLA-DQB1,6.734085,3.1008868,7.056519150806221e-10,2.977209579899243e-07
25,CTSB,6.6550717,2.6437097,3.5966801838018735e-09,1.2364587209647774e-06
26,TIMP1,6.464551,28.268625,2.4420740489476344e-09,9.066932528932777e-07
27,SH3BGRL3,6.4195933,3.2769825,1.8246629805922065e-09,7.056884077440359e-07
28,UBD,6.2756104,27.818638,6.093266764028088e-09,1.950265589783059e-06
