,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,8.703125,3.512742,2.887635234615823e-06,0.0001320037562494536
1,IGHG4,8.316597,4.295777,1.259448592385738e-05,0.000367616409890705
2,AL627171.2,7.6039886,2.4123137,5.378724070915178e-07,4.341331897933451e-05
3,IGHM,7.071934,2.6985629,4.656090523735021e-06,0.00018390566911195093
4,REG1A,7.0257816,3.3257442,4.0377212143299384e-05,0.0008147419198132716
5,DMBT1,5.550964,3.5105863,0.0003224853301670311,0.0034114944357649525
6,IGHA1,5.276198,3.4562926,0.00040797639209159617,0.003961126434512757
7,IGLC2,3.9786043,4.446201,0.0035558940835810834,0.018078463519355124
8,IGHG3,3.9020953,3.903164,0.004028165655224119,0.01945339938178474
9,RARRES1,3.489139,2.509261,0.006237744198580968,0.026198525634040064
10,JCHAIN,3.3417234,2.445046,0.007944075405278318,0.030454126958115876
11,IGLC1,2.2008944,2.427868,0.056566267166377825,0.12642622004293738
12,HLA-DPA1,2.1834733,1.3311487,0.05198764885595072,0.1168117542195436
13,IGLC3,2.178925,3.2000556,0.05893388576965401,0.13071071152065197
14,AC007952.4,2.115807,1.6434354,0.061514618733115214,0.1360120750549727
15,MTRNR2L1,2.016837,1.2672857,0.07035789815793651,0.15391515689417082
16,LIMD1-AS1,2.0142672,0.98177415,0.06756837993317431,0.14833720495263103
17,MUC1,2.0,27.953499,0.08051623795726257,0.16467846420146212
18,CCDC9B,1.8773359,4.33053,0.09640983383279168,0.18477722024281898
19,CD79A,1.8278344,4.6213956,0.10439590676751251,0.19852546744848415
20,AC009133.1,1.7697285,2.0323086,0.10963642920034108,0.20759798772696164
21,AL049543.1,1.7661859,2.1714253,0.11198285260235194,0.21139410979357956
22,SERPING1,1.7566276,3.3212411,0.11529028541132876,0.21697575612083406
23,POLD2,1.7566276,3.3212411,0.11529028541132876,0.21697575612083406
24,UBD,1.7566276,3.3212411,0.11529028541132876,0.21697575612083406
25,PDZK1IP1,1.7321078,3.6121066,0.120336400085755,0.22555784846445434
26,HMCN2,1.6616725,1.8189422,0.12952113776433707,0.24087661805822014
27,GBP4,1.6373711,3.0178351,0.1385017773172559,0.25603933420807995
28,ATAD3B,1.5913525,1.7062538,0.1436979871435442,0.2646437929893606
29,SNHG1,1.5906879,1.1821085,0.14468000920082166,0.266241047859244
30,PLA2G2A,1.5768206,1.3017559,0.14932229975240124,0.2683820251189173
31,CFB,1.5652137,0.936425,0.14435562799576582,0.2656967953711478
32,C19orf12,1.5547682,1.630853,0.15254608180310145,0.2683820251189173
33,MXRA5,1.5435649,2.5934691,0.1591041310784732,0.2683820251189173
34,SMIM10L1,1.5205396,2.3026037,0.16361467852640546,0.2750718069339061
35,GAS5,1.5203599,1.0188152,0.1580265100975903,0.2683820251189173
36,SMIM3,1.5118579,27.3112,0.16902020301916998,0.282022838018052
37,PFKFB3,1.4447384,2.1002278,0.18221744923164573,0.3003093685667855
38,HLA-DQA1,1.3916073,2.0970955,0.19824762359156428,0.32356250456011376
39,TMEM107,1.3888607,1.2085832,0.19701053229489907,0.32177578053163
40,RNF20,1.375,3.6882303,0.20529014328003836,0.3337717831363314
41,LUM,1.375,3.6882303,0.20529014328003836,0.3337717831363314
42,ERN1,1.375,3.6882303,0.20529014328003836,0.3337717831363314
43,NCF4,1.375,3.6882303,0.20529014328003836,0.3337717831363314
44,ARHGEF19,1.375,3.6882303,0.20529014328003836,0.3337717831363314
45,ARMH1,1.375,3.6882303,0.20529014328003836,0.3337717831363314
46,ERCC3,1.375,3.6882303,0.20529014328003836,0.3337717831363314
47,PHF19,1.375,3.6882303,0.20529014328003836,0.3337717831363314
48,ARMC6,1.375,3.6882303,0.20529014328003836,0.3337717831363314
49,UBE2G2,1.3660495,1.050404,0.19901427629516366,0.3246913425100101
50,TPSB2,1.3639323,4.0918274,0.20909349463190857,0.3392424081757342
51,BIRC3,1.3612448,0.96530175,0.2013344317679722,0.3279723053124461
52,BST2,1.3585196,1.9897901,0.20844225127377056,0.33836323475395913
53,PARP14,1.3379197,1.1604774,0.21159594147828462,0.34186832529180816
54,APOE,1.3333262,1.9479058,0.215260981512307,0.34724581689211564
55,GALM,1.3306766,1.8062301,0.2152277038178203,0.34724581689211564
56,DOCK9,1.3306766,1.8062301,0.2152277038178203,0.34724581689211564
57,NAP1L1,1.3306766,1.8062301,0.2152277038178203,0.34724581689211564
58,GNL3,1.2907408,1.6989247,0.22860951931366924,0.3667392945505492
59,P4HA1,1.2907408,1.6989247,0.22860951931366924,0.3667392945505492
60,ARAP2,1.2907408,1.6989247,0.22860951931366924,0.3667392945505492
61,EEF1D,1.2777317,0.5851629,0.22247167935199133,0.35769654040276866
62,IGHG2,1.2708272,4.721167,0.2392639622049195,0.381654596526218
63,PTPN12,1.2645665,3.0825384,0.24045085136625916,0.38335018934758114
64,STAT2,1.2598271,0.8753138,0.23409762415232388,0.37405648947871756
65,PDGFRB,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
66,ZNF784,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
67,DERL3,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
68,MED1,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
69,SLFN11,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
70,RGP1,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
71,INPP5D,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
72,INPP5E,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
73,AK1,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
74,CCDC69,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
75,IDO1,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
76,NCDN,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
77,SUOX,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
78,KLHL9,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
79,BX284668.5,1.2407075,2.6789415,0.2478466160343762,0.3929141400565465
80,ANP32B,1.2401657,1.1701064,0.24350264554527967,0.3874835515088781
81,PYCARD,1.2277464,1.1701064,0.2468662610511625,0.39243237456360514
82,WDR13,1.2203673,0.9621389,0.25138247606324127,0.3977722711931479
