,names,scores,logfoldchanges,pvals,pvals_adj
0,PABPC1,8.5229845,29.336403,1.7924701514266259e-12,1.6637707945541942e-08
1,KRT19,8.000064,29.69423,1.6718212861141266e-11,7.758922588855661e-08
2,EPCAM,7.879795,29.322092,2.7935240735870718e-11,8.6431634836784e-08
3,MYO15B,7.5816107,29.046707,9.960514115044934e-11,2.311337300396177e-07
4,LINC01962,7.113614,28.882267,7.265409029109567e-10,1.3487505321638998e-06
5,GPX2,6.884966,28.923086,1.907139238343216e-09,2.9503444017169553e-06
6,WASHC1,6.7169943,28.602419,3.862561389258355e-09,5.121756402156579e-06
7,SERPINB6,6.597541,28.92672,6.3678849827092394e-09,6.362770101609661e-06
8,PLAAT4,6.579895,28.562206,6.854955937954817e-09,6.362770101609661e-06
9,CIB1,6.579895,28.562206,6.854955937954817e-09,6.362770101609661e-06
10,TSPAN1,6.5164967,28.721256,8.93020505958945e-09,7.5354693966462985e-06
11,STAT2,6.466903,28.857582,1.0978561380800916e-08,8.491917228049508e-06
12,TAP1,6.2855115,29.111681,2.3294950038253164e-08,1.663259432731276e-05
13,ATP6V0B,6.1999655,28.637466,3.3157102344593116e-08,2.1983158854465236e-05
14,ATP5MPL,5.8947845,28.439466,1.1560240915983536e-07,6.857178499479817e-05
15,IFI30,5.880589,29.190855,1.2246375664901818e-07,6.857178499479817e-05
16,RBM5,5.871678,28.515621,1.2697491942125546e-07,6.857178499479817e-05
17,ARHGAP4,5.860295,28.324135,1.3297695861951812e-07,6.857178499479817e-05
18,OLFM4,5.8246794,28.605242,1.5362390722574117e-07,7.504932141417523e-05
19,C19orf33,5.773162,28.43428,1.8920135972236363e-07,8.780835104714895e-05
20,CCNL2,5.740228,28.210386,2.1608518920226013e-07,9.550965362739897e-05
21,IL7R,5.6713185,27.964903,2.8511467365769234e-07,0.00012029247276775911
22,TRIR,5.6268506,28.32703,3.4076973566502033e-07,0.00013298829343033955
23,AL049543.1,5.6245956,28.219275,3.4386113362725155e-07,0.00013298829343033955
24,GSDMD,5.6121044,28.346916,3.614912329116094e-07,0.00013421446495542232
25,CDH17,5.601003,28.355194,3.779051170078118e-07,0.0001349121267717888
26,ACTN4,5.5577354,28.03061,4.491852560395648e-07,0.0001544199091318237
27,CYBA,5.526033,28.39674,5.096650471494928e-07,0.00016895396313005683
28,SLC25A6,5.511642,28.210386,5.396986410782572e-07,0.00017274078574097874
29,PGK1,5.502988,28.418692,5.585922009033269e-07,0.00017282842695948934
30,RBM39,5.433963,28.258423,7.344930929229642e-07,0.0002199214480164824
31,S100A11,5.365322,28.268108,9.63136476733706e-07,0.0002793697742825706
32,CNDP2,5.3517623,27.783106,1.015957079253198e-06,0.0002857610184735813
33,CDC25B,5.3083553,28.210386,1.204911925457542e-06,0.000328940955649909
34,ZFP36L2,5.293833,28.104616,1.2755278303329035e-06,0.0003344952769457982
35,OST4,5.2800846,28.134869,1.346116311829819e-06,0.0003344952769457982
36,DDX3X,5.275704,27.86767,1.3694053570286933e-06,0.0003344952769457982
