,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,9.175481,2.7112777,3.6903744449891005e-07,0.00015641398884310445
1,IGHM,7.1241655,2.886502,7.506976044931422e-05,0.0028096674052037686
2,REG1A,7.0671296,2.8339527,2.6632113811897557e-05,0.0015645524076078048
3,IGKC,6.81404,2.1473403,2.708763016936906e-05,0.0015813042970571295
4,IGHA1,5.0979214,2.7191112,0.0009138249388978438,0.012252653977167427
5,DMBT1,4.854623,3.1185248,0.0018478942784206696,0.019185855360515276
6,IGHG4,4.836611,1.8623853,0.0010959664646187136,0.013897214104632377
7,RARRES1,4.29056,3.2884066,0.004122490949167169,0.031008882487981896
8,IGLC2,3.7810576,2.8964214,0.0075993277645342,0.044785371625654886
9,JCHAIN,3.6770902,2.3561587,0.007550673837375562,0.04452690886818295
10,HLA-DRB1,3.4166932,1.1245493,0.0031378873984185787,0.02619232988500112
11,HLA-C,3.2450726,1.3741658,0.008254212647925406,0.046874087251291136
12,ACADVL,3.075963,1.24841,0.011941247443544752,0.062230714570563735
13,ACTB,2.968412,0.90325624,0.0089205418950808,0.04855834290766058
14,MTRNR2L1,2.867897,1.8939147,0.02378927627513401,0.08953343058847318
15,BCAR1,2.739663,2.499926,0.03066120622282079,0.1069110879640205
16,S100A6,2.6851997,1.0154781,0.018162208742682824,0.0784465432990144
17,PTP4A2,2.5890665,2.244504,0.03739503021618408,0.12908169225236912
18,HLA-DRA,2.5576878,1.023999,0.024304366288890565,0.08953343058847318
19,ZNF513,2.4848545,4.2051277,0.04661941271211551,0.13772163869950865
20,IGHG3,2.4576006,2.0305858,0.045200144931778846,0.13357139295026146
21,PLAAT4,2.41933,1.3205906,0.041447931090714735,0.13241454170026049
22,ENO1,2.4101324,1.2630054,0.03926028618420863,0.13241454170026049
23,CFB,2.4057152,1.3655413,0.03953544628744039,0.13241454170026049
24,UHMK1,2.3664353,1.7080362,0.04916258825394509,0.14209930578443872
25,ARHGEF18,2.3336833,1.6770617,0.05124909999266148,0.14428090571182403
26,NECTIN2,2.3185372,1.6770617,0.051533613756693734,0.14503790263481844
27,CD74,2.3164456,0.9569428,0.03975298458538521,0.13241454170026049
28,CD24,2.2672427,2.6724977,0.06121335946595535,0.1710877454269791
29,MT-CO2,2.2336552,0.840833,0.04351533813321487,0.13241454170026049
30,PLA2G2A,2.2065814,2.0922923,0.06640907612137456,0.18544195082990333
31,FCGBP,2.192355,1.092051,0.056193564007196176,0.1579136122055086
32,SGK1,2.0819685,1.6146327,0.0735306622308374,0.19969883885662038
33,STAT2,2.0337014,1.6676531,0.08357426531857018,0.20044866426019856
34,UBE2G2,2.0288112,1.3670226,0.07993576854030912,0.19969883885662038
35,EEF1D,2.007218,1.1746215,0.08209760668089243,0.19969883885662038
36,P4HA1,1.9917731,4.324681,0.09278988206859413,0.21634656753596856
37,RBCK1,1.9769901,2.268037,0.09194370400561247,0.2144305884360676
38,AURKAIP1,1.9760855,2.0263932,0.09119960393635046,0.21373349544123532
39,H3F3B,1.9629966,1.5164317,0.08950405613659217,0.21373349544123532
40,IGLC3,1.9507517,3.9509146,0.09773066847336431,0.2275234674616924
41,PSMB8,1.9251387,1.4226522,0.0941203705309891,0.2193935909765547
42,COPE,1.9151862,2.139808,0.09999481023919687,0.23267782116826907
43,PLXNB2,1.9062732,0.92838264,0.0896672733744768,0.21373349544123532
44,TMSB10,1.8943199,0.8027732,0.0829525704321286,0.19969883885662038
45,CAB39,1.8828677,2.04658,0.10561211144024851,0.24464477623867897
46,ANXA11,1.8791032,1.7588558,0.10385680734985359,0.2407589624928424
47,MXRA5,1.8756157,4.0345683,0.10914416816865324,0.2520717016525104
48,SOD1,1.8624474,1.3444706,0.10435520120392971,0.24179355406262495
