Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	innate immune response in mucosa (GO:0002227)	2/21	5.742193e-05	4.022582e-03	0	0	2.335673e+02	2.280804e+03	DEFA6;DEFA5
GO_Biological_Process_2021	mucosal immune response (GO:0002385)	2/28	1.031431e-04	4.022582e-03	0	0	1.706239e+02	1.566224e+03	DEFA6;DEFA5
GO_Biological_Process_2021	antibacterial humoral response (GO:0019731)	2/44	2.568962e-04	6.679302e-03	0	0	1.055397e+02	8.724795e+02	DEFA6;DEFA5
GO_Biological_Process_2021	antimicrobial humoral immune response mediated by antimicrobial peptide (GO:0061844)	2/64	5.441933e-04	9.197277e-03	0	0	7.142294e+01	5.368295e+02	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to Gram-positive bacterium (GO:0050830)	2/70	6.507264e-04	9.197277e-03	0	0	6.510131e+01	4.776757e+02	DEFA6;DEFA5
GO_Biological_Process_2021	defense response to Gram-negative bacterium (GO:0050829)	2/73	7.074828e-04	9.197277e-03	0	0	6.234116e+01	4.522101e+02	DEFA6;DEFA5
GO_Biological_Process_2021	cellular response to molecule of bacterial origin (GO:0071219)	2/115	1.742579e-03	1.847869e-02	0	0	3.908751e+01	2.482991e+02	DEFA6;DEFA5
GO_Biological_Process_2021	cellular response to lipopolysaccharide (GO:0071222)	2/120	1.895250e-03	1.847869e-02	0	0	3.742185e+01	2.345753e+02	DEFA6;DEFA5
GO_Biological_Process_2021	positive regulation of membrane permeability (GO:1905710)	1/5	2.747205e-03	2.090243e-02	0	0	4.996250e+02	2.946374e+03	DEFA5
GO_Biological_Process_2021	leukotriene B4 metabolic process (GO:0036102)	1/5	2.747205e-03	2.090243e-02	0	0	4.996250e+02	2.946374e+03	PTGR1
GO_Biological_Process_2021	response to lipopolysaccharide (GO:0032496)	2/159	3.295427e-03	2.090243e-02	0	0	2.807077e+01	1.604306e+02	DEFA6;DEFA5
GO_Biological_Process_2021	lipoxin metabolic process (GO:2001300)	1/6	3.295826e-03	2.090243e-02	0	0	3.996800e+02	2.284211e+03	PTGR1
GO_Biological_Process_2021	surfactant homeostasis (GO:0043129)	1/7	3.844172e-03	2.090243e-02	0	0	3.330500e+02	1.852157e+03	RCN3
GO_Biological_Process_2021	chemical homeostasis within a tissue (GO:0048875)	1/7	3.844172e-03	2.090243e-02	0	0	3.330500e+02	1.852157e+03	RCN3
GO_Biological_Process_2021	defense response to bacterium (GO:0042742)	2/176	4.019697e-03	2.090243e-02	0	0	2.530651e+01	1.396046e+02	DEFA6;DEFA5
GO_Biological_Process_2021	macromolecule modification (GO:0043412)	1/8	4.392244e-03	2.141219e-02	0	0	2.854571e+02	1.549437e+03	CHD1
GO_Biological_Process_2021	lung epithelium development (GO:0060428)	1/10	5.487568e-03	2.517825e-02	0	0	2.220000e+02	1.155570e+03	RCN3
GO_Biological_Process_2021	cellular response to lipid (GO:0071396)	2/219	6.150933e-03	2.665404e-02	0	0	2.024782e+01	1.030847e+02	DEFA6;DEFA5
GO_Biological_Process_2021	phospholipid homeostasis (GO:0055091)	1/12	6.581796e-03	2.702001e-02	0	0	1.816182e+02	9.123494e+02	RCN3
