Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	long-chain fatty acid metabolic process (GO:0001676)	12/83	7.311245e-08	7.569461e-05	0	0	8.712921e+00	1.431643e+02	CYP2J2;CYP2C9;FAAH;DAGLA;PNPLA8;CYP4F2;EPHX2;GSTA1;CYP3A4;ABCD1;CYP4F12;SLC27A4
GO_Biological_Process_2021	unsaturated fatty acid metabolic process (GO:0033559)	10/54	8.085829e-08	7.569461e-05	0	0	1.167084e+01	1.905915e+02	CYP2J2;FAAH;DAGLA;PNPLA8;CYP4F2;GSTA1;PTGR1;DECR2;ABCD1;CYP4F12
GO_Biological_Process_2021	arachidonic acid metabolic process (GO:0019369)	10/57	1.384926e-07	7.569461e-05	0	0	1.092422e+01	1.725202e+02	CYP2J2;CBR1;CYP2C9;FAAH;DAGLA;PNPLA8;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	15/143	1.403702e-07	7.569461e-05	0	0	6.071622e+00	9.580401e+01	SLC36A1;CUBN;SLC6A19;AMN;SLC22A5;ABCC2;TMEM30B;SLC23A1;AQP1;SLC6A4;RCN3;FLVCR1;SLC15A4;CEP290;ABCG2
GO_Biological_Process_2021	epoxygenase P450 pathway (GO:0019373)	6/19	1.175232e-06	5.069951e-04	0	0	2.349171e+01	3.207568e+02	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	icosanoid metabolic process (GO:0006690)	9/57	1.494256e-06	5.371850e-04	0	0	9.601276e+00	1.287904e+02	CYP2J2;CYP2C9;FAAH;DAGLA;PNPLA8;CYP4F2;DPEP1;PTGR1;CYP4F12
GO_Biological_Process_2021	organic substance transport (GO:0071702)	13/136	2.756494e-06	8.493939e-04	0	0	5.448402e+00	6.974800e+01	CUBN;AMN;SLC22A5;ATP8A1;ABCA5;SLC23A1;APOA1;SLC6A4;RCN3;FLVCR1;ABCD1;CEP290;ABCG2
GO_Biological_Process_2021	monocarboxylic acid metabolic process (GO:0032787)	13/143	4.822187e-06	1.300182e-03	0	0	5.153175e+00	6.308662e+01	CYP2J2;PNPLA8;MTHFS;CROT;PTGR1;CYP3A4;CYP2C18;CYP4F12;ACSF2;CYP2C9;GATM;NAAA;SLC27A4
GO_Biological_Process_2021	fat-soluble vitamin metabolic process (GO:0006775)	6/25	6.945698e-06	1.664652e-03	0	0	1.606835e+01	1.908501e+02	CBR1;CUBN;CYP4F2;CYP2R1;CYP3A4;CYP4F12
GO_Biological_Process_2021	fatty acid metabolic process (GO:0006631)	11/124	3.250784e-05	7.011942e-03	0	0	4.994318e+00	5.161142e+01	CYP2J2;FAAH;PNPLA8;CYP4F2;NAAA;CROT;CYP4F12;MCAT;ACSF2;CES1;SLC27A4
GO_Biological_Process_2021	exogenous drug catabolic process (GO:0042738)	5/22	5.571547e-05	9.137377e-03	0	0	1.492838e+01	1.462272e+02	CYP2J2;CYP2C9;CYP2R1;CYP3A4;CYP2C18
GO_Biological_Process_2021	angiotensin maturation (GO:0002003)	4/12	6.288135e-05	9.137377e-03	0	0	2.532429e+01	2.449938e+02	ENPEP;ACE;MME;CES1
GO_Biological_Process_2021	regulation of angiotensin levels in blood (GO:0002002)	4/12	6.288135e-05	9.137377e-03	0	0	2.532429e+01	2.449938e+02	ENPEP;ACE;MME;CES1
GO_Biological_Process_2021	regulation of triglyceride catabolic process (GO:0010896)	4/12	6.288135e-05	9.137377e-03	0	0	2.532429e+01	2.449938e+02	AADAC;APOA1;APOC3;ABHD5
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	8/70	6.510361e-05	9.137377e-03	0	0	6.585362e+00	6.347980e+01	FAAH;PHYH;BDH2;ECHDC2;CROT;ABCD1;MCAT;SLC27A4
GO_Biological_Process_2021	drug catabolic process (GO:0042737)	5/23	7.005536e-05	9.137377e-03	0	0	1.409830e+01	1.348675e+02	CYP2J2;CYP2C9;CYP2R1;CYP3A4;CYP2C18
GO_Biological_Process_2021	leukotriene B4 metabolic process (GO:0036102)	3/5	7.201457e-05	9.137377e-03	0	0	7.580026e+01	7.230315e+02	CYP4F2;PTGR1;CYP4F12
GO_Biological_Process_2021	regulation of systemic arterial blood pressure by hormone (GO:0001990)	4/16	2.172937e-04	2.421417e-02	0	0	1.687941e+01	1.423654e+02	ENPEP;ACE;EDN2;EDN3
GO_Biological_Process_2021	transepithelial transport (GO:0070633)	4/16	2.172937e-04	2.421417e-02	0	0	1.687941e+01	1.423654e+02	ABCC2;SLC23A1;SLC1A1;ABCG2
GO_Biological_Process_2021	lipid catabolic process (GO:0016042)	5/29	2.245171e-04	2.421417e-02	0	0	1.057049e+01	8.880857e+01	LIPE;CYP4F2;CYP3A4;CYP4F12;CES1
GO_Biological_Process_2021	reverse cholesterol transport (GO:0043691)	4/17	2.797874e-04	2.873816e-02	0	0	1.558020e+01	1.274691e+02	ABCA5;APOA1;APOC3;CES1
GO_Biological_Process_2021	vitamin transport (GO:0051180)	5/31	3.110911e-04	3.050107e-02	0	0	9.756377e+00	7.878689e+01	CUBN;AMN;SLC23A1;APOA1;ABCG2
GO_Biological_Process_2021	vitamin K metabolic process (GO:0042373)	3/8	3.859845e-04	3.469036e-02	0	0	3.031546e+01	2.382709e+02	CBR1;CYP4F2;CYP4F12
GO_Biological_Process_2021	positive regulation of triglyceride catabolic process (GO:0010898)	3/8	3.859845e-04	3.469036e-02	0	0	3.031546e+01	2.382709e+02	AADAC;APOA1;ABHD5
GO_Biological_Process_2021	regulation of leukocyte chemotaxis (GO:0002688)	4/19	4.417725e-04	3.811613e-02	0	0	1.350146e+01	1.042950e+02	EDN2;EDN3;MTUS1;IL6R
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	7/72	5.112079e-04	4.089281e-02	0	0	5.481090e+00	4.153972e+01	ABCA5;EPHX2;APOA1;APOC3;APOB;ABCD1;CES1
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	6/52	5.118710e-04	4.089281e-02	0	0	6.627781e+00	5.022160e+01	BDH2;ECHDC2;CROT;DECR2;ABCD1;MCAT
GO_Biological_Process_2021	acylglycerol catabolic process (GO:0046464)	5/35	5.574863e-04	4.244032e-02	0	0	8.453800e+00	6.333648e+01	LIPE;FAAH;DAGLA;FABP6;APOC3
GO_Biological_Process_2021	chylomicron remodeling (GO:0034371)	3/9	5.705930e-04	4.244032e-02	0	0	2.526160e+01	1.886747e+02	APOA1;APOC3;APOB
GO_Biological_Process_2021	cation transport (GO:0006812)	11/174	6.490729e-04	4.458208e-02	0	0	3.453439e+00	2.534812e+01	KCNG1;KCNK5;SLC36A1;SLC5A9;SLC23A1;KCNJ13;SLC1A1;SLC5A12;TRPM6;AQP1;SLC17A4
GO_Biological_Process_2021	regulation of cholesterol metabolic process (GO:0090181)	4/21	6.613939e-04	4.458208e-02	0	0	1.191184e+01	8.720850e+01	SEC14L2;EPHX2;FMO5;CES1
GO_Biological_Process_2021	linoleic acid metabolic process (GO:0043651)	4/21	6.613939e-04	4.458208e-02	0	0	1.191184e+01	8.720850e+01	CYP2J2;PNPLA8;GSTA1;ABCD1
GO_Biological_Process_2021	organic acid transport (GO:0015849)	8/100	7.726636e-04	4.950873e-02	0	0	4.431150e+00	3.175214e+01	SLC36A1;SLC6A19;ABCC2;SLC23A1;SLC10A2;SLC51A;ABCG2;SLC27A4
GO_Biological_Process_2021	positive regulation of lipid catabolic process (GO:0050996)	4/22	7.959898e-04	4.950873e-02	0	0	1.124950e+01	8.027556e+01	AADAC;APOA1;ABHD5;ABCD1
GO_Biological_Process_2021	chylomicron assembly (GO:0034378)	3/10	8.033406e-04	4.950873e-02	0	0	2.165169e+01	1.543058e+02	APOA1;APOC3;APOB
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	6/59	1.010245e-03	6.053050e-02	0	0	5.750355e+00	3.966344e+01	PHYH;BDH2;ECHDC2;CROT;ABCD1;MCAT
GO_Biological_Process_2021	inositol phosphate dephosphorylation (GO:0046855)	3/11	1.088629e-03	6.179400e-02	0	0	1.894427e+01	1.292536e+02	IMPA1;IMPA2;INPP5J
GO_Biological_Process_2021	phosphorylated carbohydrate dephosphorylation (GO:0046838)	3/11	1.088629e-03	6.179400e-02	0	0	1.894427e+01	1.292536e+02	IMPA1;IMPA2;INPP5J
GO_Biological_Process_2021	peptide metabolic process (GO:0006518)	7/83	1.199844e-03	6.636061e-02	0	0	4.685136e+00	3.151018e+01	ENPEP;ACE;MME;GSTA1;MGAT3;DPEP1;NAALADL1
GO_Biological_Process_2021	acylglycerol homeostasis (GO:0055090)	4/25	1.314322e-03	6.708018e-02	0	0	9.640950e+00	6.396225e+01	MLXIPL;PNPLA8;APOA1;APOC3
GO_Biological_Process_2021	peptide catabolic process (GO:0043171)	4/25	1.314322e-03	6.708018e-02	0	0	9.640950e+00	6.396225e+01	ENPEP;ACE;DPEP1;NAALADL1
GO_Biological_Process_2021	lipid transport (GO:0006869)	8/109	1.355676e-03	6.708018e-02	0	0	4.034434e+00	2.664120e+01	ABCC2;ATP8A1;ABCA5;SLC10A2;APOA1;SLC51A;ABCD1;SLC27A4
GO_Biological_Process_2021	organonitrogen compound catabolic process (GO:1901565)	6/63	1.427081e-03	6.708018e-02	0	0	5.345728e+00	3.502587e+01	ENPEP;RIDA;ACE;PNPLA8;CYP3A4;NAALADL1
GO_Biological_Process_2021	fat-soluble vitamin catabolic process (GO:0042363)	3/12	1.430546e-03	6.708018e-02	0	0	1.683849e+01	1.102870e+02	CYP4F2;CYP3A4;CYP4F12
GO_Biological_Process_2021	inositol phosphate catabolic process (GO:0071545)	3/12	1.430546e-03	6.708018e-02	0	0	1.683849e+01	1.102870e+02	IMPA1;IMPA2;INPP5J
GO_Biological_Process_2021	organic hydroxy compound catabolic process (GO:1901616)	3/12	1.430546e-03	6.708018e-02	0	0	1.683849e+01	1.102870e+02	CYP4F2;CYP3A4;CYP4F12
GO_Biological_Process_2021	regulation of potassium ion transmembrane transporter activity (GO:1901016)	4/26	1.529563e-03	6.961826e-02	0	0	9.202255e+00	5.965613e+01	KCNG1;NEDD4;AKAP9;CACNA1D
GO_Biological_Process_2021	lipid homeostasis (GO:0055088)	6/64	1.549224e-03	6.961826e-02	0	0	5.253292e+00	3.398880e+01	RCN3;MLXIPL;PNPLA8;APOA1;ABHD5;ABCD1
