,names,scores,logfoldchanges,pvals,pvals_adj
0,SLC27A4,-2.7506313,-1.3338249,0.006473233967893179,0.049697731753502464
1,STEAP3,-2.7723827,-2.2911608,0.005859245529446694,0.045817621739110546
2,MAN1A1,-2.78998,-1.2033181,0.005718364116584201,0.044981233669605554
3,MCTP2,-2.793572,-2.2824805,0.005510003878835964,0.04390030558227933
4,NFIC,-2.796202,-2.2522056,0.005492868130923242,0.04380137628112502
5,KCTD3,-2.7965941,-1.8346964,0.005530975386705552,0.0439542067974323
6,MEP1B,-2.826598,-1.4992023,0.005061049088295633,0.0411354270031174
7,NEURL1,-2.8279421,-1.6281877,0.0050500687830741615,0.04108215464022293
8,PHF14,-2.8371732,-2.2824805,0.004839756113090428,0.03957939756978446
9,EPHB3,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
10,FRMD4B,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
11,FOXO4,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
12,SLC15A4,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
13,HPS6,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
14,EXOSC9,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
15,PIAS3,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
16,ZNF417,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
17,SETBP1,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
18,AEBP2,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
19,GTF2H4,-2.8435698,-23.00833,0.004599370668078457,0.03811728441170022
20,C19orf54,-2.8448744,-2.328231,0.0046968320122244556,0.03871757969579698
21,DHRS7,-2.8529952,-1.0151098,0.004748738621697923,0.03900689547486737
22,HEPACAM2,-2.8643978,-1.6594698,0.0044985597295311335,0.03779307917697315
23,PPFIBP2,-2.8675587,-1.6235188,0.004499176092496803,0.03779307917697315
24,NAGPA,-2.8776069,-2.3121512,0.00426507017516677,0.03628632572492939
25,AC006230.1,-2.8776069,-2.3121512,0.00426507017516677,0.03628632572492939
26,RETSAT,-2.8776615,-1.1010236,0.00436469738335118,0.036897195912810245
27,R3HDM2,-2.877864,-1.8433278,0.004343048912470055,0.03675748327503832
28,TM4SF5,-2.879627,-1.501315,0.00432378260425302,0.03671852711132345
29,BDH2,-2.8839338,-1.509002,0.004259250477079839,0.03628632572492939
30,WDR60,-2.8876042,-1.6348975,0.0042256708867469675,0.03623221584049294
31,PNISR,-2.900052,-1.0008602,0.004167944209828228,0.035821164958912605
32,NGEF,-2.9007204,-1.4841022,0.004083356630310509,0.03523901202909297
33,KATNBL1,-2.9017272,-2.3035932,0.003970152340145223,0.034601834761716396
34,HSPA1B,-2.9029484,-23.331776,0.0038202459717705485,0.03357909385414226
35,GPSM2,-2.9499102,-23.356213,0.0032913818663493546,0.029924116201867867
36,AQP1,-2.959599,-1.4028378,0.0034007647962119897,0.03052794858649873
37,RAB3IP,-2.960017,-2.353264,0.003291588304471783,0.029924116201867867
38,TMEM222,-2.9691255,-2.3689084,0.003191458357111537,0.029214118807405605
39,SLC51A,-2.970219,-1.158028,0.0033290906394040833,0.030088236918158425
40,GALNT4,-2.9707832,-1.3155326,0.00329808042296409,0.029924518559093533
41,AJM1,-2.9737942,-23.270304,0.0030488776778186074,0.028299682605512314
42,POU2F1,-2.9737942,-23.270304,0.0030488776778186074,0.028299682605512314
43,PARP16,-2.9737942,-23.270304,0.0030488776778186074,0.028299682605512314
44,RNF128,-2.9811242,-1.8942819,0.0031695511428174294,0.029099677257795626
45,CROT,-2.98149,-1.917659,0.00311513417501193,0.028828190839940912
46,STBD1,-2.98149,-1.917659,0.00311513417501193,0.028828190839940912
