,names,scores,logfoldchanges,pvals,pvals_adj
0,IGLC1,7.3089576,3.4433153,2.152514884448958e-10,9.989821578727614e-07
1,RARRES1,6.8498096,27.420061,9.112469506480516e-11,8.458194195915215e-07
2,CDC42SE2,6.4200616,27.2826,9.873016920969713e-10,3.054711435348029e-06
3,IDO1,6.3016777,27.762293,1.8721844764362095e-09,4.344404077570224e-06
4,UBXN1,5.774872,26.693726,2.943897953183977e-08,5.465052160290735e-05
5,IGLC3,5.699608,3.8121128,5.2031047701444835e-08,8.049203079413516e-05
6,CARD16,5.5792747,26.732006,7.86527459086348e-08,0.00010429354107484975
7,MSN,5.506809,26.619404,1.1254429878236568e-07,0.00012877040200535004
8,NPC2,5.4856887,26.978798,1.2485817906142538e-07,0.00012877040200535004
9,GPNMB,5.4434037,26.793215,1.535834643140779e-07,0.0001425561715763271
10,IGHG3,5.376598,2.4132364,2.5217737537264207e-06,0.0007314719994402699
11,NUDT22,5.3613276,26.59693,2.2884304711596785e-07,0.0001931019239391285
12,C1QC,5.299258,26.902308,3.085395455761715e-07,0.00022666759720718212
13,LPCAT1,5.2933106,26.817617,3.174616207383503e-07,0.00022666759720718212
14,IGHM,5.2917023,2.301423,3.432935944591024e-06,0.0008249204570441774
15,IGLC2,5.2365565,2.4700303,2.0481280368088474e-06,0.0006336908145886574
16,YWHAQ,5.203637,26.658543,4.866125654056761e-07,0.00032262413086396325
17,CDC42SE1,5.1261787,26.58252,7.008516721314019e-07,0.0003912223727369004
18,NID1,5.1172767,26.48393,7.306831180350335e-07,0.0003912223727369004
19,LRRC59,5.1172767,26.48393,7.306831180350392e-07,0.0003912223727369004
20,ICAM1,5.109239,26.645632,7.586729917328386e-07,0.0003912223727369004
21,COMMD4,5.081536,26.473948,8.633501126271423e-07,0.00040835193687099636
22,TYROBP,5.077462,26.756464,8.798792003253532e-07,0.00040835193687099636
23,CSTB,5.048962,26.541437,1.004413342749775e-06,0.0004251330774824959
24,VAMP2,5.0482697,26.351421,1.0076414247592016e-06,0.0004251330774824959
25,IGHG4,5.0368643,1.7317822,1.0186706872869587e-05,0.0015100014230648568
26,SLC25A6,5.0268373,3.1774628,2.7961123759050923e-06,0.0007581810167553998
27,MMP12,5.0237164,26.768515,1.128875842938727e-06,0.00043144564306023546
28,CSNK1E,5.0174437,26.388258,1.1620492433210374e-06,0.00043144564306023546
29,CD79B,5.0174437,26.388258,1.1620492433210393e-06,0.00043144564306023546
30,DNASE1L3,4.993055,26.424248,1.3002359784978514e-06,0.00046418424432373293
31,TAOK2,4.9741316,26.459435,1.4182998240037475e-06,0.00048757996171862165
32,APOC1,4.9557548,26.676273,1.5428594903760556e-06,0.0005114579210596625
33,HPS1,4.9389668,26.449293,1.665863804772234e-06,0.0005331913046860647
34,LCN2,4.9372935,2.7804213,3.73267175133112e-06,0.0008249204570441774
35,STARD3,4.8488045,26.398798,2.5070982513219917e-06,0.0007314719994402699
36,HAPLN3,4.8352394,26.434551,2.66488526777451e-06,0.0007495595471358486
37,HEXA,4.8133016,26.388258,2.940585714629837e-06,0.0007581810167553998
38,BTN2A1,4.8133016,26.388258,2.9405857146298638e-06,0.0007581810167553998
39,GTF3C5,4.7939696,26.21849,3.2062276042333572e-06,0.0008043298546620007
40,TRIM25,4.7632456,26.258556,3.67676000615531e-06,0.0008249204570441774
41,EHMT1,4.7632456,26.258556,3.67676000615531e-06,0.0008249204570441774
42,TMUB1,4.7632456,26.258556,3.67676000615531e-06,0.0008249204570441774
43,RNF181,4.739551,26.297617,4.084514983661665e-06,0.000881685304147618
44,MPEG1,4.7034993,26.104433,4.7898351003501585e-06,0.0009915944087539857
45,LCK,4.702671,26.286371,4.807341994605619e-06,0.0009915944087539857
46,VIM,4.6662455,3.1219254,1.0248878437091789e-05,0.0015100014230648568
