Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	20/481	4.948969e-07	3.520028e-04	0	0	4.128100e+00	5.993554e+01	GPI;ASAH1;DDX3X;CANT1;FGL2;NDUFC2;CYBA;PSEN1;TUBB4B;GNS;AGPAT2;LGALS3;VAPA;CSNK2B;CYSTM1;CD47;CD68;ATP6V0C;CD55;CTSB
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	20/485	5.634512e-07	3.520028e-04	0	0	4.091742e+00	5.887683e+01	GPI;ASAH1;DDX3X;CANT1;FGL2;NDUFC2;CYBA;PSEN1;TUBB4B;GNS;AGPAT2;LGALS3;VAPA;CSNK2B;CYSTM1;CD47;CD68;ATP6V0C;CD55;CTSB
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	20/488	6.204515e-07	3.520028e-04	0	0	4.064881e+00	5.809861e+01	GPI;ASAH1;DDX3X;CANT1;FGL2;NDUFC2;CYBA;PSEN1;TUBB4B;GNS;AGPAT2;LGALS3;VAPA;CSNK2B;CYSTM1;CD47;CD68;ATP6V0C;CD55;CTSB
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I (GO:0042590)	8/78	2.526451e-06	1.075005e-03	0	0	1.047548e+01	1.350153e+02	PSMC6;NCF1;PSMA1;TAP2;PSME2;CYBA;IFI30;PSMB10
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent (GO:0002479)	7/73	1.701454e-05	5.791749e-03	0	0	9.678521e+00	1.062841e+02	PSMC6;NCF1;PSMA1;TAP2;PSME2;CYBA;PSMB10
GO_Biological_Process_2021	transferrin transport (GO:0033572)	5/36	4.686303e-05	1.329348e-02	0	0	1.460935e+01	1.456301e+02	TFRC;ATP6AP1;ATP6V0D1;ATP6V0C;DNM2
GO_Biological_Process_2021	regulation of PERK-mediated unfolded protein response (GO:1903897)	3/9	1.093264e-04	2.429271e-02	0	0	4.493409e+01	4.098516e+02	HSPA5;TMEM33;AGR2
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886)	7/98	1.141843e-04	2.429271e-02	0	0	7.010684e+00	6.364086e+01	DYNC1LI2;HLA-DRB5;AP1B1;AP2S1;IFI30;AP2M1;DNM2
GO_Biological_Process_2021	antigen processing and presentation of peptide antigen via MHC class II (GO:0002495)	7/100	1.296619e-04	2.452051e-02	0	0	6.859219e+00	6.139399e+01	DYNC1LI2;HLA-DRB5;AP1B1;AP2S1;IFI30;AP2M1;DNM2
GO_Biological_Process_2021	antigen processing and presentation of exogenous peptide antigen (GO:0002478)	7/103	1.560326e-04	2.655675e-02	0	0	6.643856e+00	5.823636e+01	DYNC1LI2;HLA-DRB5;AP1B1;AP2S1;IFI30;AP2M1;DNM2
