,names,scores,logfoldchanges,pvals,pvals_adj
0,LIMD1-AS1,6.149497,2.156272,8.539435794464846e-09,7.92630430442227e-05
1,ARHGEF1,5.6826935,26.921082,5.148703676575999e-08,0.00023895133762989214
2,IGHG4,5.6488953,1.6078889,1.0840197667875001e-07,0.00033539571584405254
3,IGKC,5.3533993,1.5260146,6.066335834598594e-07,0.0011261545843348829
4,IGHG3,5.299042,1.9061669,4.4705952980592005e-07,0.0010374016389146374
5,IGHA1,5.234624,1.7711523,1.0010745060201057e-06,0.00132742479498266
6,LINC02739,4.9931903,1.8824292,2.400810620600415e-06,0.002228432418041305
7,CDC42SE1,4.903117,26.586815,2.072719188004696e-06,0.0021759489601310446
8,AL049543.1,4.8891706,2.8236532,2.109840620682978e-06,0.0021759489601310446
9,PIM2,4.784665,26.37622,3.516146590019972e-06,0.002966988422596853
10,TYMP,4.7579293,1.6094855,6.73956007446058e-06,0.004812045893164854
11,GBP4,4.6769104,3.0034747,5.01135280332512e-06,0.0038762813933719805
12,IGHM,4.580969,1.6495038,1.135468682823226e-05,0.007528157367117988
13,IRF1,4.5039907,2.091188,1.5256396629029148e-05,0.009440658234043237
14,IGLC1,4.397552,1.6737047,2.2575155611019018e-05,0.010477129719073925
15,TNFRSF6B,4.3900213,3.1634574,1.8334765691156e-05,0.010477129719073925
16,CCDC107,4.378996,26.369892,2.0027260870964953e-05,0.010477129719073925
17,SULF2,4.3602624,26.203176,2.1644289396004764e-05,0.010477129719073925
18,PLEKHO1,4.3602624,26.203176,2.1644289396004764e-05,0.010477129719073925
19,MMP12,4.3281407,26.500519,2.4712639804298686e-05,0.010922986793500018
20,PIGQ,4.3161025,25.97893,2.5966705113274855e-05,0.010955588948246237
21,ITPA,4.2746115,26.029345,3.077348806171702e-05,0.01174527922427888
22,AIF1,4.2746115,26.029345,3.077348806171702e-05,0.01174527922427888
23,AARS,4.2440176,26.078161,3.485216909326236e-05,0.012442224366294663
24,ITGAV,4.2072496,26.171402,4.044026573681516e-05,0.013902464687745123
25,MTMR10,4.132736,25.942131,5.450433863577726e-05,0.014874916928243444
26,TIMM17B,4.132736,25.942131,5.4504338635777336e-05,0.014874916928243444
27,CD2,4.132736,25.942131,5.4504338635777336e-05,0.014874916928243444
28,RDH13,4.132736,25.942131,5.4504338635777336e-05,0.014874916928243444
29,ZAP70,4.132736,25.942131,5.4504338635777336e-05,0.014874916928243444
30,LINC01089,4.132736,25.942131,5.4504338635777336e-05,0.014874916928243444
31,C1R,4.1195393,3.4118433,5.290840867921075e-05,0.014874916928243444
32,VWF,4.071731,26.596869,6.938678511699327e-05,0.017890226095998097
33,UBD,4.0326743,3.14426,7.60381827335222e-05,0.01907530843601495
34,STK4,4.0302114,25.792868,8.165334896368436e-05,0.019398346335780307
35,ZNF224,4.0302114,25.792868,8.165334896368436e-05,0.019398346335780307
36,MUC1,4.0296206,1.9852202,9.335321190418425e-05,0.019398346335780307
37,IDO1,3.9886444,3.1111355,9.138806748204106e-05,0.019398346335780307
38,LINC00926,3.9883103,26.006878,9.611141661866569e-05,0.019398346335780307
39,IFFO1,3.9876246,25.849665,9.636720165319843e-05,0.019398346335780307
40,WASHC2A,3.9876246,25.849665,9.636720165319843e-05,0.019398346335780307
41,TNKS1BP1,3.9876246,25.849665,9.636720165319868e-05,0.019398346335780307
42,PLAUR,3.9772546,26.0564,0.00010031465461295568,0.019398346335780307
43,EPB41L2,3.9772546,26.0564,0.00010031465461295568,0.019398346335780307
44,RASGRP2,3.9751818,3.1524947,9.50492722300863e-05,0.019398346335780307
45,DNM2,3.9716237,1.7780268,0.00011953457917218917,0.021755293409338426
46,JCHAIN,3.9521058,1.3329172,0.00015402560405823322,0.024231621302856284
47,LAT,3.937256,25.957304,0.00011703031462322337,0.021755293409338426
48,PARM1,3.9246469,26.008419,0.00012282718374749066,0.021924652298927084
49,CASP10,3.920157,3.0575974,0.00011905672413133213,0.021755293409338426
50,SSBP4,3.8905203,3.0055106,0.00013455829086266691,0.023121028326411407
51,INPP5K,3.8820856,25.69059,0.00014447529012409627,0.023121028326411407
52,ELOF1,3.8820856,25.69059,0.00014447529012409627,0.023121028326411407
53,IQCE,3.8820856,25.69059,0.00014447529012409627,0.023121028326411407
54,KIAA0319L,3.8820856,25.69059,0.00014447529012409627,0.023121028326411407
55,TCIM,3.8820856,25.69059,0.00014447529012409627,0.023121028326411407
56,SLC35A4,3.8388844,25.75125,0.00017012385259159978,0.025886714750085724
57,MED24,3.8388844,25.75125,0.00017012385259159978,0.025886714750085724
58,TPRA1,3.809217,25.809586,0.0001901775489027469,0.02847141949863382
59,UNC13D,3.7899015,25.865776,0.00020441645779170362,0.02964677439410302
60,FMNL1,3.7899015,25.865776,0.00020441645779170362,0.02964677439410302
61,NKTR,3.7853434,2.420045,0.00020942755193241626,0.02990625441594904
62,REG1A,3.7584412,1.4362876,0.00032145057335112345,0.04032032732223146
63,MAPK14,3.7485094,25.849665,0.00023840132502543542,0.03352789543766806
64,WDR11,3.729917,25.580935,0.00025534749279762595,0.034349788813732816
65,ISLR,3.729917,25.580935,0.00025534749279762595,0.034349788813732816
66,SAFB2,3.729917,25.580935,0.00025534749279762595,0.034349788813732816
67,AC073140.1,3.7212553,0.8984392,0.000407192360081501,0.04840735394853781
68,TMEM41A,3.686054,25.646036,0.000299949067005448,0.03813872931430927
69,INTS3,3.686054,25.646036,0.000299949067005448,0.03813872931430927
70,DNMT3A,3.686054,25.646036,0.000299949067005448,0.03813872931430927
71,AOAH,3.686054,25.646036,0.0002999490670054489,0.03813872931430927
72,WDR6,3.6338704,2.0854516,0.0003750598216948433,0.0464174035329538
