,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,12.034791,3.2399454,3.090538642929767e-20,1.434318984183705e-16
1,REG1A,11.414524,3.5635974,7.128492855876645e-22,6.6166670688247016e-18
2,JCHAIN,10.72346,3.3418882,6.492882876790307e-20,2.0088979620789212e-16
3,IGHG4,9.785771,2.7604718,8.867592908982164e-17,2.0577249345293113e-13
4,IGLC1,9.091358,3.7839358,1.1216183307347271e-16,2.0821722691759473e-13
5,PLA2G2A,9.005648,3.4168904,5.359387683870646e-16,7.658696257190123e-13
6,IGHA1,8.9778385,3.2078989,1.9485922622295967e-13,1.644257579819556e-10
7,MUC1,8.71508,5.0960655,5.775789032571738e-16,7.658696257190123e-13
8,IGHG3,8.615119,2.9293387,5.872859757396658e-15,6.813985533519473e-12
9,LCN2,8.232234,28.605913,2.4405146471600875e-14,2.516984106104437e-11
10,AL627171.2,8.220332,2.0571527,9.637956252099139e-12,5.591219370749013e-09
11,IGLC2,7.9097786,3.4360209,1.70486794322979e-13,1.582458424905891e-10
12,PSME2,7.9033527,3.2900598,1.1692503520972469e-12,8.348447513974342e-10
13,IGHM,7.7652016,2.9358757,3.862404821650466e-12,2.560774396754259e-09
14,HM13,7.634938,27.724606,9.387938385221332e-13,7.261570340968701e-10
15,IGHG2,7.28638,28.452286,7.399827562008542e-12,4.579013295370886e-09
16,C1QA,7.1691475,3.226191,1.4894353854082226e-10,6.583304403504343e-08
17,CTSB,7.002534,2.458571,3.426214981966143e-10,1.2720850985043895e-07
18,RARRES2,6.903296,27.814995,6.731276971007786e-11,3.675277226170251e-08
19,SYNGR2,6.8836875,27.406305,7.522963059061745e-11,3.87934128412284e-08
20,RARRES1,6.8498096,27.420061,9.112469506480516e-11,4.346121795956259e-08
21,GM2A,6.8449774,27.249157,9.364623563792845e-11,4.346121795956259e-08
22,SERINC2,6.720038,3.8482924,2.183502691938989e-10,9.212396357535317e-08
23,TNFRSF25,6.6578546,27.083294,2.6716624354239603e-10,1.0332654469002166e-07
24,CYBA,6.6527247,3.9489858,2.607342826547618e-10,1.0332654469002166e-07
25,CD24,6.4373946,2.9946668,1.4940653376065286e-09,4.952826594165642e-07
26,S100A11,6.390357,3.8351393,1.185672777515734e-09,4.145381592324812e-07
27,TYMP,6.3654337,2.2289898,1.4796961318725719e-08,4.039570440012122e-06
28,IGLC3,6.337128,4.3630075,1.2058317495450326e-09,4.145381592324812e-07
29,IDO1,6.3016777,27.762293,1.8721844764362095e-09,5.792538770093633e-07
30,PDZK1IP1,6.2825446,4.0138254,1.759193976269937e-09,5.630633961288812e-07
31,HLA-DQB1,6.2517242,2.7968445,6.8379483467813714e-09,2.0474140824137e-06
32,IRF1,6.1937776,2.8002846,8.389051393835592e-09,2.4333492199244365e-06
33,S100A6,6.109386,2.4838867,6.086660751940233e-08,1.4124096274877309e-05
34,PRELID1,5.9507937,26.84868,1.1934833358159005e-08,3.3569431281949054e-06
35,YWHAH,5.8958554,26.92847,1.585221283773289e-08,4.204006844566762e-06
36,UBD,5.8494205,27.014124,2.0123476151925577e-08,5.188502934504811e-06
37,SNHG1,5.838855,1.6889763,1.9192807992573053e-07,3.562952875741262e-05
38,RING1,5.774872,26.693726,2.943897953183977e-08,7.3852056220145074e-06
39,TAP1,5.7659216,2.298071,6.969257174714207e-08,1.5777718316023723e-05
40,CD81,5.7265916,27.219225,3.7599097162465855e-08,9.18407420689495e-06
41,CD74,5.72337,1.4022139,1.687168962763464e-07,3.262562981743849e-05
42,WARS,5.685398,2.9846992,9.563657889913609e-08,2.1135683936709073e-05
43,TRIM22,5.6648393,26.88267,5.131207179099926e-08,1.2212273086257825e-05
44,DMBT1,5.608392,2.1299767,2.9663997192450733e-07,4.830547753339083e-05
45,CDC25B,5.554435,3.5391388,9.909991681224123e-08,2.1391754136074957e-05
46,CDK2AP2,5.506809,26.619404,1.1254429878236568e-07,2.3741731393134508e-05
47,TRAFD1,5.481387,26.650549,1.2752241972541718e-07,2.573180651937657e-05
48,RHOG,5.481387,26.650549,1.2752241972541718e-07,2.573180651937657e-05
49,R3HDM4,5.4607415,26.681097,1.4110102601451145e-07,2.7865951563121174e-05
50,HLA-C,5.4522376,1.914981,1.1835192617991075e-06,0.00013323768746142662
51,IFI27,5.4486957,2.1513438,6.624538667422847e-07,8.911444624785344e-05
52,H2AFZ,5.398801,26.732006,1.9084780945809674e-07,3.562952875741262e-05
53,BIRC3,5.39405,2.4289699,3.70202355754607e-07,5.542287525990745e-05
54,SEL1L3,5.386524,26.564705,2.0256325427835097e-07,3.686651227865987e-05
55,HLA-DPA1,5.386371,2.6597211,3.1286686469086424e-07,4.9220851492552574e-05
56,TNFRSF6B,5.368404,3.5541794,2.282244886936914e-07,4.007775779868721e-05
57,ANKRD13D,5.3613276,26.59693,2.2884304711596873e-07,4.007775779868721e-05
58,SCAND1,5.3575354,3.4710376,2.611182293235975e-07,4.4067261901484214e-05
59,TMEM107,5.3461146,1.8340724,1.4068730333868685e-06,0.000151317919154055
60,LGMN,5.3410616,26.628513,2.52361684563346e-07,4.33781695577218e-05
61,PLCG2,5.340351,2.6280572,4.0435057766948353e-07,5.938882898217694e-05
62,HLA-DRA,5.339502,1.946606,1.7654999125546636e-06,0.00018208189098147098
63,ATP5PB,5.326203,26.587635,2.710837654131904e-07,4.493213411723631e-05
64,LGALS1,5.2997155,3.4478629,3.465067353564977e-07,5.36045919596502e-05
65,C1QC,5.299258,26.902308,3.085395455761715e-07,4.9220851492552574e-05
66,WDR26,5.264946,26.508053,3.635814518254601e-07,5.532398419416263e-05
67,TMSB10,5.254995,1.6432587,2.009588001950934e-06,0.00020056984767858674
68,UBE2J1,5.239994,26.541437,4.094898787825171e-07,5.938882898217694e-05
