,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHG1,3.4840102,3.6639557,0.0012819386231716523,0.661090134581525
1,KMT2B,2.6925824,27.147814,0.011654793675504337,0.661090134581525
2,PARP12,2.6925824,27.147814,0.011654793675504337,0.661090134581525
3,GPM6A,2.6285417,27.292011,0.013569952964768511,0.661090134581525
4,SYNE2,2.6285417,27.292011,0.013569952964768511,0.661090134581525
5,CRACR2B,2.5357177,27.38729,0.016869159998763757,0.661090134581525
6,TMEM87A,2.408319,26.86776,0.0226083793967926,0.661090134581525
7,VARS2,2.408319,26.86776,0.0226083793967926,0.661090134581525
8,ANKH,2.408319,26.86776,0.0226083793967926,0.661090134581525
9,LARP1,2.408319,26.86776,0.0226083793967926,0.661090134581525
10,NFIA,2.408319,26.86776,0.0226083793967926,0.661090134581525
11,TECR,2.408319,26.86776,0.0226083793967926,0.661090134581525
12,RNASEK,2.408319,26.86776,0.0226083793967926,0.661090134581525
13,ARFGAP2,2.408319,26.86776,0.0226083793967926,0.661090134581525
14,FXYD3,2.408319,26.86776,0.0226083793967926,0.661090134581525
15,SLC39A4,2.408319,26.86776,0.0226083793967926,0.661090134581525
16,GPT,2.408319,26.86776,0.0226083793967926,0.661090134581525
17,DNAJC5,2.408319,26.86776,0.0226083793967926,0.661090134581525
18,SNHG5,2.3954875,1.8574193,0.027543012356386943,0.661090134581525
19,MTRNR2L12,2.3595912,1.0448471,0.02424118095109929,0.661090134581525
20,WDR34,2.3473105,27.037327,0.02594649746235176,0.661090134581525
21,SULT1A1,2.3473105,27.037327,0.02594649746235176,0.661090134581525
22,GBP2,2.3473105,27.037327,0.02594649746235176,0.661090134581525
23,AVL9,2.3473105,27.037327,0.02594649746235176,0.661090134581525
24,CCDC57,2.3473105,27.037327,0.02594649746235176,0.661090134581525
25,ARHGEF1,2.1122353,26.528875,0.04339741781077555,0.661090134581525
26,NAPRT,2.1122353,26.528875,0.04339741781077555,0.661090134581525
27,PLPP2,2.1122353,26.528875,0.04339741781077555,0.661090134581525
28,HMGN1,2.1122353,26.528875,0.04339741781077555,0.661090134581525
29,MSL2,2.1122353,26.528875,0.04339741781077555,0.661090134581525
30,SDHAF1,2.1122353,26.528875,0.04339741781077555,0.661090134581525
31,HEPACAM2,2.1122353,26.528875,0.04339741781077555,0.661090134581525
32,TRIM8,2.1122353,26.528875,0.04339741781077555,0.661090134581525
33,OIP5-AS1,2.1122353,26.528875,0.04339741781077555,0.661090134581525
34,TAOK1,2.1122353,26.528875,0.04339741781077555,0.661090134581525
35,TNFRSF1B,2.1122353,26.528875,0.04339741781077555,0.661090134581525
36,TUBB,2.1122353,26.528875,0.04339741781077555,0.661090134581525
37,TMEM176A,2.1122353,26.528875,0.04339741781077555,0.661090134581525
38,PCMTD2,2.1122353,26.528875,0.04339741781077555,0.661090134581525
39,AGAP3,2.1122353,26.528875,0.04339741781077555,0.661090134581525
40,AP2A2,2.1122353,26.528875,0.04339741781077555,0.661090134581525
41,AC084082.1,2.1122353,26.528875,0.04339741781077555,0.661090134581525
42,POLE,2.1122353,26.528875,0.04339741781077555,0.661090134581525
43,FAM126B,2.1122353,26.528875,0.04339741781077555,0.661090134581525
44,RHOA,2.1122353,26.528875,0.04339741781077555,0.661090134581525
45,HGSNAT,2.1122353,26.528875,0.04339741781077555,0.661090134581525
46,TRIM14,2.1122353,26.528875,0.04339741781077555,0.661090134581525
47,ZNF326,2.1122353,26.528875,0.04339741781077555,0.661090134581525
