,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,5.0424633,1.6920568,9.522427631048988e-06,0.003535486930855868
1,IGHA1,4.005184,1.9424076,0.0002574583254178528,0.022424023634259764
2,JCHAIN,3.7607715,2.1287704,0.0005513624083940884,0.034118305831426186
3,DMBT1,3.6004174,2.2567666,0.0008588232576354957,0.04491193033693461
4,AL627171.2,3.425026,1.0744344,0.001409311857175967,0.05503988724028808
5,REG1A,3.3095598,2.0596437,0.001981978892098091,0.0657026002730517
6,CXCL14,3.0841134,1.8064363,0.0035933160184333807,0.08731193529606975
7,IGHG4,3.0766766,1.1821228,0.00360846346164932,0.08745106488519318
8,PDZK1IP1,2.9547312,2.6731806,0.005229776007445754,0.10284487479049045
9,LIMD1-AS1,2.883347,1.1162804,0.006099756472731775,0.11770881409541857
10,CFI,2.6155078,2.7963052,0.01261054322455453,0.1674584540702647
11,PRRC2C,2.5968893,1.6994358,0.012981503894278466,0.1674584540702647
12,SNHG1,2.57072,0.8492287,0.013233571017683625,0.1674584540702647
13,HLA-DQB1,2.4720669,1.7557474,0.01771656563455203,0.19908615280861008
14,FBXO7,2.46851,2.2739694,0.01808599585859801,0.20299179390508673
15,KRT8,2.3803813,1.0920018,0.021562968419344672,0.22942922174497607
16,OPTN,2.3627415,1.1751189,0.02277090461171322,0.22942922174497607
17,MUC1,2.353631,2.0628543,0.02370422690646325,0.22942922174497607
18,IGHM,2.3415818,1.4228814,0.024021511795756397,0.22942922174497607
19,TMSB4X,2.3224432,0.9008921,0.02438446574859112,0.22942922174497607
20,TPRA1,2.3126318,2.5076818,0.02610125461757423,0.23869147326140294
21,PFKFB3,2.2829316,4.933141,0.028361916350345767,0.2514377340629507
22,RBM42,2.2594864,3.0047007,0.029630590676247754,0.2614364473925206
23,TCIM,2.2319605,2.8787193,0.031586222583780084,0.27528950049074813
24,EIF4A3,2.2319605,2.8787193,0.031586222583780084,0.27528950049074813
25,TMSB10,2.2186615,0.8820806,0.03143112367232844,0.27528950049074813
26,IRF1,2.2156608,1.2411367,0.032218881812977676,0.28027709558393515
27,EIF4A2,2.1987755,0.638257,0.03273451388107567,0.2834344756008809
28,EDIL3,2.1948264,3.9308248,0.034537344658747665,0.2976561124628559
29,RARRES1,2.188198,2.0438912,0.034646389354939466,0.298318910939284
30,SERINC2,2.185631,1.1259925,0.03418334978611748,0.29487904527392417
31,SYNCRIP,2.181344,2.4395196,0.035391415105393724,0.3041695509335783
32,CTSB,2.1671498,1.2048311,0.03612869195115566,0.30907513243375745
33,ACTB,2.1662076,0.7802019,0.03551789801847916,0.3049742177682919
34,PLA2G2A,2.166073,1.1507348,0.03596572172153252,0.307964786918141
35,PLAAT4,2.1542797,0.9848831,0.03660408524674276,0.31285370097630416
36,WDR5,2.1539967,2.227151,0.037499251832591694,0.3199154921967979
37,TESK1,2.1381235,2.103279,0.03874126083531829,0.3258215481042619
38,PRR15L,2.1371028,0.94440144,0.03784079781238455,0.3225328606928865
39,CD74,2.1330333,0.7414643,0.03811322782532303,0.32455686300426456
40,TM9SF2,2.1171875,1.1948838,0.04006767471925129,0.3258215481042619
41,GPRC5A,2.0785944,1.7374815,0.04385947173072507,0.3258215481042619
42,NAIP,2.0724604,2.388648,0.04490911193109079,0.3258215481042619
43,IGLC2,2.0691786,1.2807531,0.04477519612288705,0.3258215481042619
44,ZFP36,2.0609083,1.1181072,0.04524714237302237,0.3258215481042619
45,RASAL3,2.021047,2.2715015,0.050097453653239775,0.3529380645864505
46,IFI44,2.021047,2.2715015,0.050097453653239775,0.3529380645864505
47,RUBCNL,2.020558,2.926188,0.050434042149834594,0.3529380645864505
48,BRD7,2.020558,2.926188,0.050434042149834594,0.3529380645864505
49,MESD,2.020558,2.926188,0.050434042149834594,0.3529380645864505
50,SCAND1,2.0199363,1.3903052,0.0497414871215419,0.3529380645864505
51,FCGBP,1.997006,0.76435405,0.051636961977236086,0.3592910652718931
52,HLA-DPB1,1.9956532,1.0055878,0.05208075415416842,0.3616577110833825
53,TM4SF20,1.9920242,1.3163319,0.052906430692526346,0.36702353489389355
54,ABLIM1,1.9809895,1.4272575,0.05404573924792385,0.37408840544312394
55,PLCG2,1.9794266,1.227515,0.05424444741965598,0.3751840245523448
56,PARP9,1.9739897,1.7259089,0.055315557860137844,0.38145542946344685
57,RGL1,1.9642054,2.7279208,0.05673186110111715,0.3900630627707921
58,TAPBP,1.9458053,0.7761318,0.05785099591448126,0.39687579015389135
59,ATP11B,1.9351507,2.7695944,0.06048044848825328,0.4115685651524684
60,MFSD6,1.9343603,2.6019394,0.06046913773967678,0.4115685651524684
61,TOR2A,1.9343603,2.6019394,0.06046913773967678,0.4115685651524684
62,CALML4,1.9340397,1.220222,0.05960464725248526,0.40680171749821187
63,SCPEP1,1.9256468,1.8298839,0.06130072026984563,0.41623760851990954
64,FBXO9,1.9194429,1.5530212,0.061967074551388945,0.4198382379459797
65,UBA6,1.917949,1.7177802,0.06217755457766079,0.4203189056714624
66,MTRNR2L12,1.9146558,0.47187588,0.06114625079938995,0.41579450543585167
67,MALAT1,1.9136208,0.5697109,0.06148195277607902,0.4171604427394484
68,MAP2K3,1.9114741,1.2580985,0.06262855905105119,0.42216287952930803
69,SPINT2,1.9083514,0.8006257,0.06232716330150333,0.4204365768637746
70,SEMA6D,1.9026754,1.3765727,0.06392906054478176,0.42968105718802685
71,NEDD8,1.9026754,1.3765727,0.06392906054478184,0.42968105718802685
72,PPP4R1,1.8972279,1.6986487,0.06480058786240518,0.4350065776798934
73,ACP5,1.8949844,3.5951934,0.06589598750969958,0.4403502923434352
74,OSBPL3,1.8949844,3.5951934,0.06589598750969958,0.4403502923434352
75,FLNA,1.8922436,1.4777244,0.06539805569053639,0.43796879720025883
76,STAT1,1.8922436,1.4777244,0.06539805569053639,0.43796879720025883
77,NOP56,1.8878082,1.3331472,0.06570619962286237,0.43971517296280355
78,MUC13,1.8828915,0.7088668,0.06613163720158029,0.44160709101084045
79,CRIM1,1.878651,2.440962,0.0677637943342,0.45185599066813537
80,SBF1,1.8644229,1.92922,0.06956819970478322,0.4548735371393362
81,TOB2,1.8606925,2.5042384,0.07050812301510404,0.4548735371393362
82,WBP2,1.8552321,1.2342876,0.07032574614287475,0.4548735371393362
83,UBD,1.8487645,2.3365834,0.07211661803619453,0.4548735371393362
84,AC132872.1,1.8487645,2.3365834,0.07211661803619453,0.4548735371393362
85,DDX27,1.8487645,2.3365834,0.07211661803619453,0.4548735371393362
86,DRG1,1.8367343,1.8670989,0.07368708113792238,0.4548735371393362
87,ITGB2,1.8367343,1.8670989,0.07368708113792238,0.4548735371393362
88,AL049796.1,1.8260779,0.9370085,0.07440872388701034,0.4548735371393362
89,AL049543.1,1.8244416,1.199349,0.07522285258000833,0.4548735371393362
90,EEF2,1.8241066,0.8646454,0.07486877617585863,0.4548735371393362
91,SLC16A3,1.8150641,1.2862195,0.07653412884195968,0.4548735371393362
92,SPINK1,1.8130262,1.1410455,0.0770009288146394,0.4548735371393362
93,GSTP1,1.8103285,1.2505413,0.07711684323527204,0.4548735371393362
94,LAP3,1.8096995,1.343875,0.07760661517732535,0.4548735371393362
95,TPRN,1.7993886,0.87298435,0.0787219889228224,0.4548735371393362
96,RANBP9,1.7992907,3.007913,0.07997488155097372,0.4548735371393362
97,TUT4,1.7992907,3.007913,0.07997488155097372,0.4548735371393362
98,POGK,1.7992907,3.007913,0.07997488155097372,0.4548735371393362
99,CRIPT,1.7992907,3.007913,0.07997488155097372,0.4548735371393362
100,EEF1A1,1.7992005,0.60109586,0.07816493490653557,0.4548735371393362
101,DENR,1.798994,1.5481143,0.07930471320921036,0.4548735371393362
102,ASXL1,1.798994,1.5481143,0.07930471320921036,0.4548735371393362
103,C1QA,1.7917007,1.1033403,0.0803161037101997,0.4548735371393362
104,CD2,1.7907181,3.212834,0.08146940615070017,0.4548735371393362
105,PLS1,1.7880664,0.8040382,0.08006962471406961,0.4548735371393362
106,NCOA4,1.7838142,1.1699992,0.08097957065722979,0.4548735371393362
107,FGL2,1.7762853,1.4080591,0.08285330599843531,0.4548735371393362
108,MBD3,1.7733545,1.3495171,0.08320425015681641,0.4548735371393362
109,S100A6,1.7690842,0.75790316,0.08349643617671157,0.4558905415248452
110,ULK1,1.7632259,1.1978146,0.08491005344772277,0.46252060804094064
111,ALCAM,1.759053,1.7272676,0.08614232370868909,0.467283783606804
112,VPS26A,1.759053,1.7272676,0.08614232370868909,0.467283783606804
113,E2F4,1.7586683,1.5350937,0.08618722662517221,0.467283783606804
114,PPP4C,1.7577207,0.7775101,0.08507625965138545,0.4629493468336029
115,LYZ,1.7568702,0.75164586,0.08554351483380522,0.4651522581648389
116,GRB2,1.7556084,1.7934284,0.08681932572837785,0.46988745271766946
117,GOLGA4,1.750035,0.8745653,0.08659744340444121,0.46919456776440727
118,SNHG5,1.7422098,0.62102157,0.08801382695660685,0.4746916570663712
119,RNF168,1.7392471,2.9544818,0.09011304362947894,0.48404471699584695
120,HLA-A,1.7346694,0.591348,0.08911287953241118,0.479782916368817
121,PICK1,1.7305498,1.7416806,0.0912860419677215,0.4847406070133732
122,CD24,1.7270448,1.4501078,0.09154818833165732,0.4847406070133732
123,EHD1,1.7230403,1.3289626,0.09211786019850386,0.4863697260310085
124,RAC1,1.7226952,0.9188927,0.09163923608119472,0.4849460600374284
125,TGOLN2,1.7202402,0.84530646,0.09195347117905633,0.48605473774715313
126,B3GNT8,1.7175461,1.4819239,0.09343405450584215,0.4916410963283599
127,PIKFYVE,1.712958,2.084554,0.09469125559690618,0.4965673640963182
128,H2AFY,1.7114482,0.94425744,0.09407575553004525,0.494737202736476
129,MGP,1.7106572,2.7954772,0.09537248531505661,0.49788943121167345
130,PEF1,1.7106572,2.7954772,0.09537248531505661,0.49788943121167345
131,NFU1,1.7106572,2.7954772,0.09537248531505661,0.49788943121167345
132,RAB27A,1.7095616,1.6511555,0.09490309699084375,0.49683617950874887
133,CACUL1,1.7095616,1.6511555,0.09490309699084375,0.49683617950874887
134,GRSF1,1.7095616,1.6511555,0.09490309699084375,0.49683617950874887
135,WIPF1,1.7092875,1.9947217,0.09514158220865698,0.49780392675352547
136,AGPAT5,1.704416,2.5905564,0.09640391113570955,0.5010196546257872
137,GPSM3,1.704416,2.5905564,0.09640391113570955,0.5010196546257872
138,MECP2,1.704416,2.5905564,0.09640391113570955,0.5010196546257872
139,CLEC16A,1.704416,2.5905564,0.09640391113570955,0.5010196546257872
140,BRD2,1.701322,1.2240299,0.0961660890393935,0.5009055210233728
141,DDX60,1.6987599,1.1570203,0.09615517977587475,0.5009055210233728
142,WASF2,1.6963551,2.064059,0.09787393164423538,0.5069563803135004
143,HLA-C,1.6928654,0.64676815,0.09721019912934528,0.5049272906091677
144,DSG2,1.6925143,1.2416927,0.09758973615629905,0.5062375268269568
145,ACAP1,1.6871736,1.4452956,0.09909242914736854,0.5126956116755155
146,IL32,1.6819284,0.7319682,0.09941572010742207,0.5140817348396054
147,PLCG1,1.6818005,1.5994077,0.10025170566142332,0.516677585757541
148,NDST1,1.6814694,1.3955839,0.1000372110376667,0.5166574780309453
149,PITPNB,1.6793152,1.916899,0.10093447274983817,0.5190436432487523
150,LARP7,1.6793152,1.916899,0.10093447274983817,0.5190436432487523
151,SH3BGRL3,1.6771415,0.8628593,0.10016932856022791,0.5166574780309453
152,CYBA,1.6747661,1.7504627,0.10194695668884862,0.5239599401915243
153,LRCH1,1.6718657,4.1688113,0.1030458525170573,0.5264015426875761
154,TMEM150A,1.6718657,4.1688113,0.1030458525170573,0.5264015426875761
155,CP,1.6718657,4.1688113,0.1030458525170573,0.5264015426875761
