,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,11.109128,3.7296124,3.7839082317044434e-20,3.5122236206680644e-16
1,IGHA1,7.352104,2.4838474,3.951166799797055e-11,1.8337365117858135e-07
2,S100A6,6.3833447,2.4660413,3.434467921540503e-09,1.0626243749246317e-05
3,JCHAIN,5.9999657,2.4593854,2.7217930876767106e-08,5.0527366879630455e-05
4,CTSB,5.9870696,2.3336165,2.2838847441080768e-08,5.0527366879630455e-05
5,IGKC,5.953372,1.9818579,5.1762098536518314e-08,8.007596643599384e-05
6,SPINK1,5.643724,4.656116,1.943218232694755e-07,0.0002576707376553245
7,KRT8,5.4712553,2.22844,2.5670760827834554e-07,0.00029784500250495044
8,DMBT1,5.4146748,2.3686867,3.2821126894677695e-07,0.00033849522204044264
9,PLA2G2A,5.09741,2.1627235,1.300973942103587e-06,0.0012075640130605496
10,AL049543.1,5.093761,4.1728873,1.7643426683130926e-06,0.0014887844224801933
11,FTL,4.8735795,1.683423,3.5058104920010866e-06,0.0027117444155628405
12,AL627171.2,4.8272824,1.1736073,4.359879263102465e-06,0.00311295379385516
13,IGHG4,4.7227764,1.9133021,9.497113152885076e-06,0.004736260092105832
14,IGLC3,4.69916,3.3582985,8.990386871935615e-06,0.004736260092105832
15,IFI27,4.6727896,2.242312,7.894661322741914e-06,0.004736260092105832
16,HLA-C,4.643996,1.5762324,9.978235598417665e-06,0.004736260092105832
17,LCN2,4.6332774,3.5339177,1.1123002177983349e-05,0.004736260092105832
18,MUC1,4.6329155,2.6460845,9.750126356863864e-06,0.004736260092105832
19,APOL1,4.6199565,3.203441,1.0634082560275094e-05,0.004736260092105832
20,TMSB10,4.6106925,1.5431026,1.1752475238222204e-05,0.004742890224399065
21,IGHM,4.609146,1.8526748,1.0469308529724453e-05,0.004736260092105832
22,MUC13,4.6030874,1.6410917,1.1225783454678764e-05,0.004736260092105832
23,KRT19,4.534519,2.1317766,1.3775389362972253e-05,0.005327631836129519
24,TSPAN1,4.5247536,2.5775316,1.451209585480944e-05,0.005388050948973649
25,AGR2,4.520055,2.7857797,1.5879956373505697e-05,0.005669144425341534
26,LINC02739,4.452151,1.5770497,2.0001875815264865e-05,0.0068762004191588325
27,ARF1,4.4370546,27.561768,2.9966976499675873e-05,0.009271782528999717
28,CALR,4.410825,2.5236664,2.3071663961975027e-05,0.007648256603394721
29,ACP5,4.389669,4.5068955,3.217485718644458e-05,0.009287874844719652
30,MT-CO2,4.3620977,1.1036294,2.9331304733454732e-05,0.009271782528999717
31,IGHG3,4.358243,1.9598376,3.284538156746258e-05,0.009287874844719652
32,ALDH2,4.343522,27.348639,4.2258084750175825e-05,0.01123852566831105
33,LGALS3,4.3161926,1.8856964,3.3020886648970965e-05,0.009287874844719652
34,IGHG2,4.2605524,3.521424,4.997816088419933e-05,0.012216690147517993
35,FCGBP,4.258089,1.5714358,4.358833484800666e-05,0.01123852566831105
36,LYZ,4.244893,1.7651633,4.334474519750627e-05,0.01123852566831105
37,COL18A1,4.2419147,3.77763,5.001446084956731e-05,0.012216690147517993
38,PSMA6,4.1943073,27.20332,7.253731468719033e-05,0.015657938486662804
39,CLTC,4.1699677,27.25843,7.914435610336953e-05,0.015969954638075566
40,STOM,4.1699677,27.25843,7.914435610336953e-05,0.015969954638075566
41,IGLC1,4.159282,1.8806646,6.35627062958653e-05,0.015127924098415941
42,CTSD,4.13908,1.6034274,6.671602520700261e-05,0.01538475623443052
43,COX4I1,4.127845,2.1775112,6.795679870843043e-05,0.01538475623443052
44,EEF1B2,4.1220713,2.472366,7.107249706705939e-05,0.015657938486662804
45,B2M,4.119017,1.1859584,7.863095727776503e-05,0.015969954638075566
46,TNFRSF6B,4.1112275,3.8595736,8.340349093030945e-05,0.016471302187556006
47,PDLIM1,4.0737987,3.7044265,9.324058128927752e-05,0.01803039740681404
48,HLA-DRB5,4.0612245,3.6601355,9.690490820729003e-05,0.018356558326123797
49,GRINA,4.046072,27.515808,0.00012281711979709962,0.02235271580307213
50,COL1A2,4.0283794,2.7127774,0.0001017793511327284,0.0188943187442797
51,CXCL9,3.974309,4.4022703,0.00014721644863543033,0.0253048717821123
52,P4HB,3.9381135,1.6469865,0.00014242950514662618,0.025098180141590973
53,F11R,3.9330945,3.5952744,0.0001539795851856248,0.02552211624451731
54,TM4SF20,3.9330945,3.5952744,0.0001539795851856248,0.02552211624451731
55,GNAI2,3.93246,27.311783,0.00018257142102253966,0.029730314560196723
56,CD63,3.9312744,2.4735515,0.00014331001373672932,0.025098180141590973
57,HLA-B,3.8962536,1.1355793,0.0001884055594769321,0.02973737718651147
58,STAT1,3.8635926,2.6717792,0.00018902232859342562,0.02973737718651147
59,RHOC,3.8026075,2.2424421,0.0002268610925048779,0.03509541101050462
60,IGLC2,3.7803633,2.0534391,0.0002454508354504834,0.03734876483035061
61,OLFM4,3.7761703,2.2168448,0.0002527450790395922,0.037838384252346695
62,FABP1,3.7666767,1.379018,0.0002655478651679732,0.03912405213474805
63,PMP22,3.7480688,3.4641721,0.0002942189066367116,0.04201445986772242
64,SH3BGRL3,3.7360559,2.046577,0.0002906412032302519,0.04201445986772242
65,PHGR1,3.7261994,1.1898926,0.0003177033690190322,0.0433927915126728
66,ATP1A1,3.7193282,1.9720554,0.00030917157816562254,0.0433927915126728
67,FTH1,3.7118733,1.4000454,0.0003178959085177494,0.0433927915126728
68,GBP1,3.6867669,2.725407,0.00034362163517399414,0.04622457996644948
69,MT-CO1,3.681168,1.0898998,0.00036657879336098785,0.04860834799966699
