,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,13.190157,2.4705646,1.4236761047496255e-30,1.3214561604286024e-26
1,REG1A,13.17314,3.5023775,8.997393494660211e-30,4.175690320871804e-26
2,IGHA1,12.664411,2.8691113,2.250193874441634e-28,6.962099847522416e-25
3,AL627171.2,11.237226,1.7625167,2.8990956501399938e-24,6.727351456149856e-21
4,JCHAIN,11.213373,2.821328,1.5582362707318568e-23,2.892709812986619e-20
5,IGHG4,10.671384,2.359595,3.8753491075157845e-22,5.995165069326919e-19
6,DMBT1,9.285545,2.798805,1.4321025595064384e-17,1.8989679939055374e-14
7,IGHM,9.035158,2.6897132,9.466216769162573e-17,1.0983178006420875e-13
8,IGHG3,8.520715,2.5279486,2.326042986252211e-15,2.3989256664881137e-12
9,TMSB10,7.8944063,1.5349067,5.181348748333633e-14,4.809327908203278e-11
10,CTSB,7.819698,1.9187065,1.6409793402944482e-13,1.3846882033284608e-10
11,PLA2G2A,7.7014112,2.0407963,3.4685905088356006e-13,2.4765736233086187e-10
12,S100A6,7.6576104,1.7748764,3.359957831377519e-13,2.4765736233086187e-10
13,MUC1,7.369425,3.2162411,4.561098786759458e-12,2.822407929246753e-09
14,C1QA,7.308402,2.037857,4.0085069730311875e-12,2.657640123119677e-09
15,CD24,6.9571476,2.684023,4.152156078656248e-11,2.3891761986210777e-08
16,IGLC1,6.9250245,2.0269532,4.375780583555087e-11,2.3891761986210777e-08
17,IGLC2,6.7874374,2.3570156,1.1231604548411663e-10,5.473639164237336e-08
18,CXCL14,6.7477565,2.025998,1.0736829641056742e-10,5.473639164237336e-08
19,HLA-DQB1,6.7426276,2.25344,1.1794094299153925e-10,5.473639164237336e-08
20,SPINK4,6.646433,1.7585373,1.9176213793744723e-10,8.475886496835167e-08
21,SNHG1,6.5293417,1.149369,2.6955783600116427e-10,1.1372890153467304e-07
22,LYZ,6.455376,1.5937308,5.736008817559318e-10,2.314853645416765e-07
23,STAT1,6.4223065,2.5205042,8.578463162698212e-10,3.3177206281735336e-07
24,LINC02739,6.2757416,1.3707664,1.4628394608064775e-09,5.43123035008229e-07
25,LCN2,6.210605,3.2272441,2.8990233010567435e-09,1.0349513184772574e-06
26,KRT8,5.9417186,1.4247288,8.040264748817905e-09,2.764064348093622e-06
27,ACTB,5.8439603,1.1015334,1.3012489638121293e-08,4.313640315037209e-06
28,RACK1,5.788926,1.0387622,1.6959212862142812e-08,5.428117716772744e-06
29,GAS5,5.7831254,1.1435571,1.8541227731453763e-08,5.736655860111795e-06
30,PDZK1IP1,5.7127175,2.967569,3.876869369286298e-08,1.1608097253456586e-05
31,IGHG2,5.6997066,3.8355532,4.6706099271395765e-08,1.3547687919909235e-05
32,S100A11,5.616566,2.475078,5.90994844056268e-08,1.5325648793304515e-05
33,PSAP,5.579948,1.4274325,6.1622579715004e-08,1.5458940132828845e-05
34,IGLC3,5.534485,3.5485897,1.0454423760421946e-07,2.3406865034333554e-05
35,SH3BGRL3,5.5323453,1.6809788,8.180609384548023e-08,1.9982214817730196e-05
36,WARS,5.5132294,1.88378,9.181033394750495e-08,2.185085947950618e-05
37,TNFRSF6B,5.4727283,3.4692507,1.36720143271567e-07,2.7587747170580108e-05
38,AGR2,5.453257,1.772236,1.2198961522135623e-07,2.5734263829196104e-05
39,TIMP1,5.4453354,3.2940972,1.5487166455912252e-07,2.9948308134120316e-05
40,APOL1,5.423226,2.2077758,1.5215403197405915e-07,2.9948308134120316e-05
41,RARRES2,5.3476825,3.2842076,2.451706916794382e-07,4.2142117780898984e-05
42,SPINK1,5.342453,1.6556371,2.011268347788006e-07,3.522376000786467e-05
43,ACP5,5.2069316,4.3666663,5.105768860833087e-07,8.462811886830842e-05
44,MZB1,5.157153,2.421159,5.603858984567638e-07,9.125441946448565e-05
45,IDO1,5.1229014,4.068385,7.504888200880264e-07,0.0001141973316074928
46,COL1A2,5.079,2.0439122,8.217100880967663e-07,0.00012106528631292356
47,SSR4,5.070401,1.7321544,7.980859596835661e-07,0.00011948119157714292
48,TMSB4X,4.9727063,1.1962907,1.1385281842126664e-06,0.0001636485251628203
49,CXCL9,4.9662485,3.459322,1.5104820092955046e-06,0.0002061807942688364
50,GM2A,4.9567895,2.8687568,1.495763486143121e-06,0.0002061807942688364
51,NCF1,4.9025636,1.8037995,1.7377331732153722e-06,0.00023376288860558095
52,GBP1,4.8845415,2.0649889,1.956558839354194e-06,0.00025578562178712154
53,IFI30,4.872911,2.2964609,2.195696236803552e-06,0.00027541151986500774
54,ANXA2,4.8636103,1.3578422,1.954250439491849e-06,0.00025578562178712154
55,COL18A1,4.8452525,2.562172,2.4616420723083573e-06,0.00029293540660469455
56,LGALS1,4.842048,2.2270706,2.427464060562916e-06,0.00029293540660469455
57,CYBA,4.8269625,1.8432428,2.455999765799728e-06,0.00029293540660469455
58,VIM,4.788628,2.2048151,3.075783202476188e-06,0.0003568677460672997
59,CDC25B,4.7356677,2.039783,3.883510503480598e-06,0.0004395944450403282
60,C1QB,4.671237,2.1526766,5.280463101178884e-06,0.0005699216105249116
61,CD55,4.6640167,2.4554837,5.471039918367272e-06,0.0005837033623251152
62,HSP90B1,4.654706,1.2193899,5.006115532579639e-06,0.0005466678161576966
63,IRF1,4.604898,1.2973726,6.344841852446344e-06,0.0006678280686032938
64,S100A10,4.5966787,1.1976454,6.4034365552352025e-06,0.0006678280686032938
65,GCNT3,4.5357738,2.0788171,9.35459433776682e-06,0.0009336488671306624
66,PLCG2,4.5100613,1.5207286,1.0086978278149789e-05,0.000985550867134593
67,GAPDH,4.5031724,1.0074682,9.530221557122704e-06,0.0009410586860980099
68,IFI16,4.449993,3.0799248,1.4342484846804978e-05,0.0013447166095762
69,FGL2,4.4494667,1.8177835,1.2990223310839825e-05,0.0012559922163668255
70,SLC40A1,4.4439607,2.4553883,1.411657681364301e-05,0.0013370414896350451
71,A2M,4.4375715,2.103132,1.4693828661727092e-05,0.0013503774023579294
72,ISG15,4.4311824,1.8936079,1.4676892214832184e-05,0.0013503774023579294
73,EEF2,4.4162273,1.0088352,1.3878319541987968e-05,0.0013280264122549725
74,GBP2,4.3953934,1.7581879,1.6377679396169127e-05,0.0014903688250513904
75,GSTP1,4.371824,1.6045614,1.819574376543588e-05,0.0016239701310651522
76,CNN2,4.3713646,2.058601,1.870381196610548e-05,0.0016534169778037245
77,EEF1B2,4.3360934,1.2350608,2.017278065544695e-05,0.0017656861403324347
78,TAP1,4.2864833,1.1543846,2.5310827558878687e-05,0.0021753250129769625
79,TXNDC5,4.2464705,1.6746242,3.11255350234805e-05,0.0025207284139753734
80,RARRES1,4.2437205,1.9481235,3.123074419383408e-05,0.0025207284139753734
81,COL3A1,4.2365217,2.3189344,3.3948142802215644e-05,0.0026703954363573356
82,CD59,4.2346597,2.2576532,3.424714772356929e-05,0.0026712775224384047
83,CALR,4.2302103,1.2530837,3.15764195546518e-05,0.002526657985398948
84,TUBA1B,4.174632,1.4041113,4.0023869416314285e-05,0.0030203378530262535
85,TGM2,4.163652,1.8836787,4.427755133595183e-05,0.0032360963110260226
86,HLA-DPB1,4.1526475,1.1930612,4.385083155551126e-05,0.003230344591255996
87,CASP1,4.1515436,1.7345133,4.5815531689118217e-05,0.0032712289626030404
