,names,scores,logfoldchanges,pvals,pvals_adj
0,ACY3,-3.0805933,-1.311715,0.0021805739326590727,0.049225451479801605
1,CMBL,-3.108365,-1.0797462,0.001991971592840937,0.04593562061585115
2,SAR1B,-3.1171806,-1.0582672,0.001938883413020123,0.04499178959913196
3,KCNG1,-3.1302204,-3.05503,0.0018612704871996798,0.04389461772348586
4,CNNM2,-3.1370428,-24.527555,0.0018637170045863215,0.04389461772348586
5,ZG16,-3.1515574,-1.0405555,0.0017245889588118853,0.04157827198881018
6,TENT4B,-3.1535666,-1.6735184,0.0017100841551544546,0.04147405736322954
7,WHAMM,-3.15772,-3.165196,0.0017019024487025033,0.04147405736322954
8,PDZK1,-3.1608505,-1.5863047,0.0016687560515335285,0.04104110259505172
9,IRF5,-3.1627398,-24.449047,0.0017113298825810078,0.04147405736322954
10,SEMA3G,-3.1627398,-24.449047,0.0017113298825810078,0.04147405736322954
11,SLC36A1,-3.1681485,-1.2876325,0.0016367319885097148,0.04040464446102971
12,SIDT2,-3.169949,-1.3401904,0.0016185324143490358,0.04038499427416062
13,WNK2,-3.1783872,-1.3490686,0.0015738701789524917,0.03969745380716584
14,GOLT1A,-3.1942825,-1.6623304,0.0014915167979349044,0.03845627477342162
15,HECTD3,-3.1945322,-1.3319207,0.0014891748707793059,0.03845627477342162
16,ROGDI,-3.206272,-1.6637437,0.0014317233079821797,0.037434523224480536
17,CYP2C18,-3.2271743,-1.347831,0.0013326809904454973,0.035760314779121116
18,CCDC84,-3.227369,-1.9450301,0.0013315917596393033,0.035760314779121116
19,MLXIPL,-3.251325,-1.0266479,0.0012340073457628453,0.034191212487673824
20,EDN2,-3.2702322,-1.6882392,0.001149092506477624,0.032320838318561536
21,TTC38,-3.274906,-1.1269462,0.0011350288036275963,0.03211993096119314
22,CYP2C9,-3.2800515,-1.5546203,0.0011105100540234419,0.031533276588944247
23,PPIP5K1,-3.2938068,-3.202403,0.0010694445169090298,0.030732458222754225
24,MGAT3,-3.3255913,-24.580833,0.0009838806322462793,0.029133023781566486
25,EPHX2,-3.3560371,-1.0030344,0.0008531079400142369,0.0265766164901619
26,FLVCR1,-3.3570802,-1.3474818,0.0008500458156927697,0.0265766164901619
27,TRAF6,-3.3691895,-24.505177,0.0008451695980742205,0.0265766164901619
28,CPO,-3.389125,-2.7594004,0.0007640621921461975,0.024971919955989456
29,ITGB8,-3.3914998,-2.6156173,0.0007541512888877361,0.024861170935241827
30,SPEN,-3.399299,-2.587495,0.0007327956863521852,0.02429217700257494
31,LPIN3,-3.4079607,-1.1406983,0.0007102226284425738,0.02394431898297402
32,CACNB2,-3.41002,-2.130564,0.0007039422928600021,0.023846687453746497
33,SLC52A1,-3.4166195,-1.8432046,0.0006863114621131967,0.023420378644612837
34,SARM1,-3.434451,-3.2387064,0.0006505138505138748,0.022530110300260395
35,ABCG2,-3.4379861,-1.411846,0.000635528200156248,0.022096433905154828
36,ATP8A1,-3.4789152,-1.266998,0.0005484928610259575,0.019732987349003635
37,CEL,-3.4942367,-3.2690961,0.0005312443247135004,0.019261757117151213
38,SFRP5,-3.4970038,-1.9211088,0.0005126209749876376,0.018663314189245772
39,MATN2,-3.4984474,-1.85407,0.0005099188408404268,0.018663314189245772
40,MARC2,-3.5022707,-1.1630572,0.0005046123962726413,0.018648891803458308
41,ENTPD5,-3.50431,-1.7970363,0.0004994523020848046,0.018543665071804626
42,SMIM24,-3.5632706,-1.072178,0.0004042627419728966,0.01589985919912045
43,FABP6,-3.5666773,-1.0629908,0.000397631220070494,0.01584039907594131
44,ADAP1,-3.5695267,-1.5270846,0.0003923225138606837,0.015808271754295545
45,CAMK2N1,-3.5916016,-1.0099437,0.0003630877001649158,0.015045446575583698
46,ULK3,-3.5962315,-1.1782357,0.0003560698217217763,0.014954932512314606
47,ATG4D,-3.6002765,-1.5006433,0.000349808883720455,0.01477153137108139
