,names,scores,logfoldchanges,pvals,pvals_adj
0,ARID1A,-2.3968244,-1.7768644,0.018712641092336446,0.0499111306376629
1,ZER1,-2.401762,-1.3327332,0.01842445172293652,0.04918486076856393
2,STAU1,-2.4031117,-1.6959112,0.01850469964747266,0.04938488272795895
3,PPP4R2,-2.4038446,-2.309897,0.018650996563083774,0.04976100893893176
4,GMDS,-2.4063752,-1.5844586,0.01817609535414717,0.04854978908696231
5,EPN1,-2.4105234,-1.001051,0.01795052356046661,0.04801635725886198
6,SLC25A25-AS1,-2.412874,-1.4276961,0.017877993950355064,0.04783613140593707
7,BSDC1,-2.4146347,-2.3846562,0.01823245996426848,0.04868633296557538
8,GABARAPL2,-2.4154644,-1.522441,0.0178152129935168,0.04769265791640502
9,ZNF292,-2.4154644,-1.522441,0.017815212993516797,0.04769265791640502
10,REG4,-2.4180238,-1.1905359,0.017597997788633284,0.04728524887625738
11,DLG3,-2.4205244,-2.2685857,0.017813985905168903,0.04769265791640502
12,CBLB,-2.4205244,-2.2685857,0.017813985905168903,0.04769265791640502
13,KIAA1671,-2.4216323,-1.9457724,0.017556787838130538,0.04728524887625738
14,TRAPPC12,-2.4221685,-1.7638298,0.017509422783862208,0.047231171833713746
15,TRAF4,-2.4229393,-1.3196179,0.017442595316939667,0.04707826976790753
16,THRA,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
17,FAM120AOS,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
18,LTA4H,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
19,KIAA0232,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
20,MAP4K5,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
21,ARRB1,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
22,CHPF2,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
23,SPNS1,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
24,AMD1,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
25,TNFRSF11A,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
26,LIN37,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
27,UBAP1,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
28,PPID,-2.4234598,-2.2137885,0.01761097881547315,0.04728524887625738
