,names,scores,logfoldchanges,pvals,pvals_adj
0,KRT19,8.716831,29.592966,2.633705036835189e-13,2.4446050151904225e-09
1,MYO15B,6.782433,28.758297,1.6893269457478099e-09,7.840166355215586e-06
2,TAP1,6.520561,29.080687,5.3636849198466434e-09,1.6595241142005516e-05
3,CYBA,6.3784695,28.521107,9.987398935487393e-09,2.3175759229798497e-05
4,UQCR10,6.2862473,28.253601,1.4919385237515764e-08,2.7696346754924264e-05
5,PLAAT4,6.129521,28.458036,2.9386882843104136e-08,3.9910483038778575e-05
6,ANO9,6.123966,28.048689,3.009840349832472e-08,3.9910483038778575e-05
7,FCGBP,6.0676723,3.6356857,1.0837639721522627e-05,0.0018428177387538498
8,CAPZB,5.912722,28.14257,7.435987474610941e-08,8.362378258811987e-05
9,SLC25A6,5.8923697,28.310875,8.10831763944278e-08,8.362378258811987e-05
10,MTTP,5.849732,27.863905,9.717048511904495e-08,9.019364428749752e-05
11,GSDMD,5.804825,28.165253,1.1751651136656315e-07,9.916256895494901e-05
12,WASHC1,5.7058487,27.992395,1.7833646225581904e-07,0.00013159217290653123
13,S100A11,5.6980124,28.195469,1.843027631744135e-07,0.00013159217290653123
14,RBM39,5.663279,28.204157,2.131998617829894e-07,0.0001331810015174927
15,ACTN4,5.661022,27.982655,2.1522463076517892e-07,0.0001331810015174927
16,VMP1,5.5340996,28.11244,3.653594435845493e-07,0.0002119541472094867
17,ELF3,5.486452,28.18674,4.451050720546063e-07,0.00023151597109151342
18,APOL2,5.4843645,28.025534,4.48964391256975e-07,0.00023151597109151342
19,MS4A1,5.463748,28.028479,4.888924166212804e-07,0.00023221236807678867
20,ATP6V0B,5.4581366,28.270416,5.003498558000187e-07,0.00023221236807678867
21,ATP1B1,5.386794,27.62903,6.711414665905539e-07,0.0002966445282330248
22,TXNDC5,5.3287296,28.002083,8.513292904999845e-07,0.0003591835670191299
23,SLC6A19,5.3134027,27.89384,9.063190484032402e-07,0.00036575884379473373
24,GSKIP,5.2970004,27.65788,9.690236000948431e-07,0.00036935549357403416
25,OST4,5.290554,27.747904,9.94816563170745e-07,0.00036935549357403416
26,MED15,5.2605176,27.822926,1.1241345288374471e-06,0.0004013160267949686
27,SLC38A10,5.2165146,27.812223,1.3438019971865555e-06,0.00046196926436613365
28,HLA-DRB5,5.101067,27.62903,2.1396084283129133e-06,0.0007092801939857308
29,MEP1A,5.089488,27.833565,2.2412041681127156e-06,0.0007173398996007664
30,CYP3A5,5.0642505,27.709166,2.479260098348108e-06,0.0007670830744289047
31,UBE2Z,5.049064,27.78581,2.6342339992746444e-06,0.000788740644557008
32,VAPA,5.012187,27.5269,3.051023602716551e-06,0.0008530322591572515
33,PGK1,5.0094237,27.978329,3.084726542757145e-06,0.0008530322591572515
34,TNFRSF6B,5.0061874,27.812223,3.1246602899533023e-06,0.0008530322591572515
