,names,scores,logfoldchanges,pvals,pvals_adj
0,NAAA,-3.6847615,-3.3702648,0.00036934367481651165,0.04968475347314292
1,ZZEF1,-3.7180932,-2.2244272,0.0003204059981417626,0.04613319763983185
2,GAK,-3.7196753,-2.4171047,0.0003183454781029194,0.04613319763983185
3,NEDD4,-3.75,-26.785288,0.00034581204901351745,0.04720334469034513
4,NINJ1,-3.75,-26.785288,0.00034581204901351745,0.04720334469034513
5,PKIG,-3.75,-26.785288,0.00034581204901351745,0.04720334469034513
6,DAZAP2,-3.7507668,-2.0922978,0.00028801074518342457,0.04382000846684661
7,LAMP2,-3.7526944,-3.425942,0.00029269990572554296,0.04382000846684661
8,TST,-3.7531583,-2.0819666,0.00028803075830849845,0.04382000846684661
9,SLC39A14,-3.7625446,-2.1100597,0.0002741817766158072,0.043134834755049534
10,IK,-3.7702577,-27.259815,0.00032306160812207177,0.04613319763983185
11,OAS1,-3.8266494,-27.10194,0.000267013378885784,0.04273134797961805
12,SLCO2B1,-3.8418589,-3.65661,0.00021986624071313276,0.03728864051389114
13,CHP2,-3.8425028,-2.5098681,0.0002060664313465707,0.03678285799536287
14,MIR22HG,-3.8479226,-27.039646,0.00024838981534340565,0.040448320456447216
15,KIAA1191,-3.8479226,-27.039646,0.00024838981534340565,0.040448320456447216
16,CD82,-3.8596823,-3.413562,0.00019915409110537633,0.03624604458117849
17,MME,-3.8678415,-2.154664,0.0001925640306890693,0.03574758665711883
18,ACAP3,-3.8822231,-26.974895,0.00022095186686748683,0.03728864051389114
19,BNIP2,-3.8822231,-26.974895,0.00022095186686748556,0.03728864051389114
20,KIAA1522,-3.9019296,-2.3693442,0.0001703996891832814,0.03427582091756493
21,MT1G,-3.9055767,-2.1597672,0.00016412726720185515,0.03427582091756493
22,HADHB,-3.9102926,-2.13458,0.00016635108747744677,0.03427582091756493
23,HNRNPH1,-3.912129,-1.7381681,0.00017554946170982851,0.03427582091756493
24,BAK1,-3.9245954,-3.4679074,0.00015849528508916428,0.03427582091756493
25,BTG1,-3.929089,-2.8350346,0.0001515043938090028,0.03427582091756493
26,CLDN15,-3.9383,-2.0314298,0.00015045962855476537,0.03427582091756493
27,PSMD4,-3.9403687,-27.298801,0.00018094324767945288,0.03427582091756493
28,PPP4R3A,-3.9403687,-27.298801,0.00018094324767945237,0.03427582091756493
29,KDM6B,-3.9422193,-27.352259,0.00017979159305988741,0.03427582091756493
30,IMMT,-3.9489229,-27.404078,0.00017567843628019683,0.03427582091756493
31,OAZ1,-3.969514,-1.9578081,0.00013553172631022874,0.03427582091756493
32,CDC42,-3.9700727,-2.6943412,0.00013094626690881106,0.03427582091756493
33,CYBRD1,-3.9720829,-2.3977182,0.0001322889169511385,0.03427582091756493
34,RXRA,-3.9736674,-27.503208,0.0001612632590537391,0.03427582091756493
35,C3orf85,-3.9812624,-3.62037,0.000131861599180045,0.03427582091756493
36,ZFYVE16,-4.005117,-27.203278,0.00014457440962524628,0.03427582091756493
37,GDI1,-4.005117,-27.203278,0.00014457440962524628,0.03427582091756493
38,PRR15,-4.0131507,-3.5756745,0.00011637109119476814,0.03427582091756493
39,ADAM15,-4.028114,-27.144754,0.0001334344888279973,0.03427582091756493
40,NXF1,-4.028114,-27.144754,0.0001334344888279973,0.03427582091756493
41,EML4,-4.0407133,-3.200427,0.00010010239404262714,0.03427582091756493
42,CCNDBP1,-4.0421457,-3.4558194,0.00010245716100760124,0.03427582091756493
43,RAD23B,-4.0635223,-27.084085,0.00011787902309724603,0.03427582091756493
44,C1S,-4.0635223,-27.084085,0.00011787902309724603,0.03427582091756493
45,HSD17B2,-4.109326,-3.1499634,8.097039551979802e-05,0.034162145964307514
46,SREBF1,-4.1152744,-27.0211,9.824216880918732e-05,0.03427582091756493
47,TYSND1,-4.1152744,-27.0211,9.824216880918732e-05,0.03427582091756493
48,CAPZA1,-4.133537,-3.4313922,7.236825042373136e-05,0.032905825825888205
49,HLA-DRB5,-4.1464,-3.46617,7.444756974182852e-05,0.032905825825888205
50,IFNGR2,-4.17403,-3.0999963,6.280984506453414e-05,0.03068426220468452
51,COX7B,-4.1914525,-3.025751,5.8047348894781686e-05,0.029933082913409088
52,TUFM,-4.1958756,-2.8577178,5.60156495963659e-05,0.029933082913409088
53,PITPNM1,-4.282404,-27.52327,5.408635396531633e-05,0.029933082913409088
54,NCBP3,-4.2846417,-27.475,5.365125242335151e-05,0.029933082913409088
55,INSR,-4.317858,-3.8531969,3.87111947389675e-05,0.025665522111935454
56,PSMD13,-4.3828335,-27.336905,3.75616416683797e-05,0.025665522111935454
57,SP3,-4.3828335,-27.336905,3.75616416683797e-05,0.025665522111935454
58,TRIM28,-4.3828335,-27.336905,3.75616416683797e-05,0.025665522111935454
59,TBRG4,-4.4202023,-27.28295,3.276038496842643e-05,0.025665522111935454
60,BCL3,-4.450844,-2.7590923,2.100885371783892e-05,0.025665522111935454
61,GK,-4.456319,-3.8854454,2.273777807396588e-05,0.025665522111935454
62,PCMTD1,-4.472136,-27.227201,2.706335280209119e-05,0.025665522111935454
63,SCIN,-4.516668,-2.5511913,1.6147450276715033e-05,0.024980105578078157
64,NFE2L1,-4.5252028,-2.9132679,1.5997254350567544e-05,0.024980105578078157
65,CSNK1D,-4.581473,-3.2713978,1.3128751699962008e-05,0.024980105578078157
66,ZFAND5,-4.83194,-3.9148774,5.024456255077923e-06,0.01620183895037205
67,CCDC68,-4.9073176,-27.589523,5.23653489023014e-06,0.01620183895037205
68,SMG1,-5.6450405,-4.1741185,1.6365474800999573e-07,0.0015190433710287805
