,names,scores,logfoldchanges,pvals,pvals_adj
0,UQCR10,5.390184,3.9939694,4.6467306619270523e-07,0.004001701319772363
1,MUC13,5.3311877,2.1943367,8.622497995631035e-07,0.004001701319772363
2,REG1A,5.1405673,2.2401679,4.184915812828422e-06,0.007768877714934681
3,KRT18,5.1329017,28.069475,2.1284797896551947e-06,0.006585516469193173
4,ABCA7,5.006042,27.877989,3.501094869826456e-06,0.007768877714934681
5,DMBT1,4.764287,2.153178,6.4301245076564765e-06,0.009947402613344569
6,ANXA4,4.659558,27.645393,1.3243445492073139e-05,0.015397372035897774
7,S100A11,4.582673,3.7732944,1.3270736510146756e-05,0.015397372035897774
8,AGR2,4.503178,3.0185206,1.7142300696548017e-05,0.017679426118373188
9,CTSB,4.4264936,1.7628449,2.7240588129005817e-05,0.022986103546675636
10,MYH14,4.425064,2.6645892,2.3318937988387363e-05,0.02164463824082115
11,KDELR2,4.413126,27.262638,3.31692093975052e-05,0.025656383468970274
12,CLDN4,4.2174964,27.43236,6.750498274778514e-05,0.0363790971877989
13,TM9SF2,4.2001896,27.223314,7.182596772599584e-05,0.0363790971877989
14,CYCS,4.2001896,27.223314,7.182596772599584e-05,0.0363790971877989
15,CAPG,4.175744,27.278475,7.838633309157272e-05,0.0363790971877989
16,PLD3,4.175744,27.278475,7.838633309157272e-05,0.0363790971877989
17,FABP1,4.170588,1.605715,6.932462070804065e-05,0.0363790971877989
18,TNFRSF6B,4.130704,3.5485673,7.425187157542161e-05,0.0363790971877989
19,TAGLN2,4.123004,2.7713494,7.422684885164273e-05,0.0363790971877989
20,HPCAL1,4.109609,27.001019,9.915921844694107e-05,0.04183617571020486
21,MTTP,4.0628533,3.3344462,9.321930799155576e-05,0.041202934132267645
22,TLN1,4.058077,27.063953,0.0001189235573704237,0.047993411283142294
23,GBP4,4.025045,27.943594,0.0001335291806142442,0.049576714178456584
24,CCDC88B,3.9839952,2.9484196,0.00012516273568231471,0.04840668802513522
