Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	transcription elongation from RNA polymerase II promoter (GO:0006368)	8/67	1.236574e-05	1.702478e-02	0	0	8.417507e+00	9.512272e+01	SUPT16H;ELL;POLR2B;GTF2H1;RTF1;POLR2H;SSRP1;CDK13
GO_Biological_Process_2021	DNA-templated transcription, elongation (GO:0006354)	8/69	1.541401e-05	1.702478e-02	0	0	8.140693e+00	9.020078e+01	SUPT16H;ELL;POLR2B;GTF2H1;RTF1;POLR2H;SSRP1;CDK13
GO_Biological_Process_2021	DNA replication-independent nucleosome organization (GO:0034724)	4/13	4.306667e-05	2.508549e-02	0	0	2.731528e+01	2.745940e+02	SUPT16H;RBBP4;ATRX;CABIN1
GO_Biological_Process_2021	chromatin remodeling (GO:0006338)	9/103	4.542416e-05	2.508549e-02	0	0	5.951976e+00	5.951658e+01	SMARCE1;RBBP4;CHD8;ATRX;BAZ1A;BAZ1B;ZBTB7A;MYSM1;SMARCA4
GO_Biological_Process_2021	negative regulation of gene expression (GO:0010629)	16/322	7.838642e-05	3.463112e-02	0	0	3.288346e+00	3.108756e+01	CELF1;DAPK3;MIF;ATP2B1;PARP9;GIGYF2;FLCN;PINK1;REST;RBBP4;PDCD10;AGO4;DHX36;MPHOSPH8;TNRC6A;PICALM
GO_Biological_Process_2021	mRNA processing (GO:0006397)	15/300	1.219665e-04	4.490401e-02	0	0	3.302844e+00	2.976445e+01	SPEN;AQR;CELF1;SRRT;UPF3B;HNRNPR;GTF2H1;THOC2;PNN;FIP1L1;POLR2B;HNRNPF;PAPOLA;SYMPK;POLR2H
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	15/320	2.458938e-04	7.466595e-02	0	0	3.083081e+00	2.562229e+01	SUPT16H;ELL;SRRT;NR1H4;GTF2H1;RTF1;SSRP1;FIP1L1;POLR2B;PAPOLA;SYMPK;INTS6;POLR2H;CDK13;IRF9
GO_Biological_Process_2021	regulation of intracellular signal transduction (GO:1902531)	18/437	2.998251e-04	7.466595e-02	0	0	2.703496e+00	2.193160e+01	SUPT16H;PPP2R5C;SSRP1;NOC2L;ARHGAP5;LIME1;NFKBIA;ING5;FLCN;DLG1;RBBP4;TRAF5;IKBKG;ARHGEF7;GBP1;SQSTM1;PAK2;BIRC2
GO_Biological_Process_2021	regulation of protein localization to plasma membrane (GO:1903076)	7/80	3.168629e-04	7.466595e-02	0	0	5.929778e+00	4.777647e+01	DLG1;PPFIA1;SQSTM1;GBP1;SPTBN1;ARF6;PICALM
GO_Biological_Process_2021	negative regulation of macromolecule metabolic process (GO:0010605)	11/194	3.380079e-04	7.466595e-02	0	0	3.743484e+00	2.991957e+01	FLCN;PINK1;REST;PDCD10;AGO4;CELF1;SUB1;MIF;PARP9;TNRC6A;PICALM
