,names,scores,logfoldchanges,pvals,pvals_adj
0,PRR22,-2.7817197,-24.23,0.005703488761703374,0.04482623428122838
1,TP53BP2,-2.7886355,-24.139938,0.005585780103176494,0.04393831433702052
2,DYNC1LI1,-2.7886355,-24.139938,0.005585780103176494,0.04393831433702052
3,TIMM23,-2.7886355,-24.139938,0.005585780103176494,0.04393831433702052
4,BNIP3,-2.7886355,-24.139938,0.005585780103176494,0.04393831433702052
5,CAD,-2.7886355,-24.139938,0.005585780103176494,0.04393831433702052
6,OTULIN,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
7,PPRC1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
8,KLC2,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
9,MTRES1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
10,DMTN,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
11,LYST,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
12,UBXN7,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
13,BCKDK,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
14,SF3A3,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
15,PWP1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
16,RAB12,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
17,MRPL23,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
18,ELP1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
19,ANKRD54,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
20,TTC21B,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
21,ATG101,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
22,PLCD1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
23,MRNIP,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
24,SPON1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
25,NEPRO,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
26,CNOT3,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
27,TRIM33,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
28,B4GALT2,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
29,C22orf39,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
30,FBXO22,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
31,ZNF281,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
32,CAV1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
33,PRSS23,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
34,MRPS31,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
35,CYB5R1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
36,ALG8,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
37,DCTPP1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
38,KDM5B,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
39,YARS,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
40,PHC1,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
41,TBC1D14,-2.8111048,-24.043995,0.0052183869119659596,0.041258149332937
42,LPP,-2.839372,-2.169912,0.006277647218028348,0.04921378503187426
43,SRGN,-2.8494346,-24.312334,0.0046419367696026665,0.03792821927416545
44,ADAMTS13,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
45,RHBDL1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
46,RFX5,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
47,SNHG20,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
48,CSTF1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
49,OXR1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
50,USP28,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
51,TMEM68,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
52,POLB,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
53,UBE2S,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
54,REXO2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
55,IL18BP,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
56,FANCI,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
57,CSTF2T,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
58,RNF170,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
59,RRP9,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
60,SYNPO2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
61,DHX34,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
62,RRM1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
63,RAD54L2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
64,GGT7,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
65,MHENCR,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
66,ZNF121,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
67,NUP188,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
68,ZNF766,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
69,TECPR2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
70,DNM1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
71,LRIG1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
72,PARN,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
73,SLC25A26,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
74,CEP295,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
75,USP21,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
76,AC092821.3,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
77,COX15,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
78,ARHGAP30,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
79,TMEM147,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
80,MAP1S,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
81,HPS6,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
82,BOLA2B,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
83,ITPKB,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
84,IL15RA,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
85,ZNF562,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
86,DOCK10,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
87,ATIC,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
88,FZD7,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
89,IMPA2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
90,SLC1A5,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
91,MRE11,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
92,TIMM50,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
93,ZNF780B,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
94,TMEM186,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
95,RSL24D1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
96,ANKRD44,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
97,POU2F2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
98,NUDT3,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
99,KBTBD4,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
100,PTPMT1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
101,TOMM40,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
102,AC015871.1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
103,FAS,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
104,NPAT,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
105,DDX21,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
106,CCDC127,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
107,SOCS7,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
108,SSB,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
109,HERC6,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
110,XYLT2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
111,TXNDC9,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
112,NDUFA8,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
113,MED9,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
114,CHEK2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
115,RHOQ,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
116,HAT1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
117,TCL1A,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
118,TOP3A,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
119,LRATD2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
120,MSH2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
121,RCCD1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
122,SDAD1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
123,UNC119B,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
124,MOAP1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
125,P2RX5,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
126,CCDC88A,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
127,ZNF830,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
128,BCAS3,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
129,SIAH2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
130,NRF1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
131,ZNF140,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
132,ZNF605,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
133,BET1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
134,AARSD1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
135,L3MBTL2,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
136,ALKBH4,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
137,ABHD17B,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
138,POLR2D,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
139,ZBTB34,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
140,PSIP1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
141,LRRC14,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
142,CDC37L1,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
143,TEF,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
144,CDC42EP3,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
145,TAF12,-2.85748,-23.941338,0.004528552840327332,0.037099759456238564
146,TSPAN7,-2.8696437,-24.405106,0.004361908681228221,0.037099759456238564
147,SLC35E2B,-2.9094071,-2.2008145,0.005162653123778838,0.041258149332937
148,TMEM64,-2.9126458,-24.427467,0.003816558172993312,0.034393488312353324
149,OAZ2,-2.9126458,-24.427467,0.003816558172993312,0.034393488312353324
150,ZNF704,-2.917838,-24.266155,0.00375510181877503,0.03390550105240256
151,LDLR,-2.917838,-24.266155,0.00375510181877503,0.03390550105240256
152,IFT43,-2.917838,-24.266155,0.00375510181877503,0.03390550105240256
153,TSFM,-2.917838,-24.266155,0.00375510181877503,0.03390550105240256
154,SYTL2,-2.9256728,-2.218617,0.00487595552329185,0.039805293902546134
155,PRR15,-2.945484,-2.2311287,0.004590311254221798,0.03753944410721298
156,IGF2BP2,-2.949191,-2.226018,0.004574379638445638,0.037442144448018
157,NUBP1,-2.955583,-24.37224,0.003334811595824042,0.030346785521998782
158,ZFAND2A,-2.955583,-24.37224,0.003334811595824042,0.030346785521998782
159,NPFF,-2.955583,-24.37224,0.003334811595824042,0.030346785521998782
160,NMD3,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
161,PTGFRN,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
162,PEX14,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
163,MID1IP1,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
164,COPS4,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
165,JARID2,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
166,NIPSNAP3A,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
167,FHL2,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
168,DDX51,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
169,MRPS2,-2.9656053,-24.29071,0.0032306865778158013,0.029485971303133008
170,DUS3L,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
171,MRPL53,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
172,ZNF397,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
173,CD40,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
174,DAAM1,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
175,MIR4458HG,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
176,MRPL1,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
177,ZC3H12C,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
178,DLAT,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
179,MRPS35,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
180,CNTRL,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
181,ERCC3,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
182,ADAM9,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
183,EIF1B,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
184,PLEKHA3,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
185,STAG1,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
186,RPUSD3,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
187,SELENON,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
188,ZDHHC13,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
189,CNNM2,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
190,CRADD,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
191,KDSR,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
192,AC015813.1,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
193,ZSWIM7,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
194,TERF1,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
195,PRKD3,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
196,LRRC40,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
197,FAM210B,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
198,WDR24,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
199,PTPN12,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
200,SLC52A3,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
201,MLH3,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
202,MTERF2,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
203,SH3BP5-AS1,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
204,PGM1,-2.9899094,-24.204401,0.002990417289347277,0.027618958487285
205,CPQ,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
206,CD27-AS1,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
207,NR1D1,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
208,RHOH,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
209,NOTCH2,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
210,GRWD1,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
211,PIGN,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
212,CCDC115,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
213,NAA16,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
214,KLRB1,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
215,ACD,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
216,CD27,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
217,KLHDC4,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
218,CYFIP2,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
219,BMP2,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
220,RNF139,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
221,NUP88,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
222,PXK,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
223,ANKRD36B,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
224,NDRG2,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
225,C17orf49,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
226,RNF38,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
227,AL355488.1,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
228,G2E3,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
229,MRPS9,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
230,USP43,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
231,MIIP,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
232,DCTN4,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
233,TRMT112,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
234,FERMT3,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
235,LTB4R,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
236,TMEM102,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
237,MAPK9,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
238,NOD1,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
239,POU2AF1,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
240,ZNF646,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
241,MTFMT,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
242,LAMC2,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
243,MYNN,-3.0352952,-24.112707,0.0025850585745506778,0.024762140029906492
