,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,5.636448,1.7476096,5.673282525390239e-07,0.00526594084006722
1,IGHG4,5.085191,2.5945473,4.435799047332485e-06,0.020586543378670066
2,IGHG3,4.7878118,3.6307685,1.686208190443896e-05,0.05217128141233414
3,IGLC1,4.6597714,4.190966,3.17408955867203e-05,0.07365474820898446
4,IDO1,4.362962,28.912971,0.00010794028128252127,0.12523771135804532
5,IGHM,4.3259554,2.8212955,6.667855825865826e-05,0.10643250460218924
6,IGKC,4.31758,2.0778139,6.879929192126001e-05,0.10643250460218924
7,IGHG2,4.278765,5.0132537,0.00012356866542126893,0.1274404836044687
8,PSAP,4.2482505,2.6331184,8.409560087652383e-05,0.11151076676227059
9,REG1A,4.065392,1.7974151,0.00016721477509873498,0.1552087542466458
10,HEXA,3.8541706,27.896734,0.0004750042706708957,0.32949356868475727
11,IGLC3,3.7979643,29.676683,0.0005577008758269982,0.32949356868475727
12,IGLC2,3.74939,3.6126528,0.0005405113382735407,0.32949356868475727
13,HNRNPUL2,3.7185385,3.4708033,0.0005191836503115824,0.32949356868475727
14,CARD16,3.7168505,28.104616,0.0007021366292836728,0.38336659958888536
15,IGHA1,3.691494,1.9480541,0.00056796995248396,0.32949356868475727
16,YWHAQ,3.6011107,27.752115,0.0009725067463741199,0.451340380992229
17,CDC42SE1,3.6011107,27.752115,0.0009725067463741199,0.451340380992229
18,LPCAT1,3.562371,27.838127,0.0010836762148213317,0.4789848869510286
19,CDC42SE2,3.50221,28.12557,0.001280970249873844,0.5404529936058646
20,DLGAP4,3.3497577,27.594606,0.0019477825622002283,0.6989812600145752
21,GAPDH,3.317,1.6602457,0.0016042601189702043,0.6474235836644103
22,VOPP1,3.2645085,3.4247415,0.002069322955942952,0.6989812600145752
23,SLC25A6,3.2645085,3.4247415,0.002069322955942952,0.6989812600145752
24,UBE2M,3.2468705,27.661707,0.002573815332063798,0.7436611347290509
25,SERPINB6,3.2267659,1.8741143,0.0021085407541917805,0.6989812600145752
26,LCN2,3.2154868,3.007101,0.002378271435846831,0.7436611347290509
27,MUC1,3.1755965,2.3025358,0.002588465166872543,0.7436611347290509
28,C1QB,3.1644564,2.5313282,0.002638255070113792,0.7436611347290509
29,CARS2,3.1622777,27.3112,0.0032280210504785282,0.7690261613956237
30,CD79B,3.0982106,27.42135,0.0038256132656860667,0.7690261613956237
31,NUDT22,3.0982106,27.42135,0.0038256132656860667,0.7690261613956237
32,IGHG1,3.0750406,2.0446548,0.0032378419149700285,0.7690261613956237
33,TMUB1,3.0674498,27.524805,0.004148465249159865,0.7690261613956237
34,JCHAIN,3.009193,1.4733057,0.003920429669364269,0.7690261613956237
35,UBXN1,3.0,27.495392,0.004948832670136796,0.7690261613956237
