,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHA1,3.9592042,1.7855203,0.00016921525053388198,0.7853279777277463
1,IGKC,3.3019845,1.4525872,0.001513232446210131,0.806021134380387
2,ARL6IP4,3.2580402,2.0723944,0.0020818526326065873,0.806021134380387
3,IGHG4,3.2121656,1.506068,0.0021105564399256076,0.806021134380387
4,CIZ1,3.1579874,2.998284,0.003005795750903366,0.806021134380387
5,CDC42SE1,3.1205363,3.3665528,0.003388732800593358,0.806021134380387
6,NBEAL2,3.0820048,2.2604494,0.0033947111435004085,0.806021134380387
7,RRBP1,3.0666819,1.811484,0.0033797437241301622,0.806021134380387
8,WDR6,3.0382793,2.4453034,0.004035873632453964,0.806021134380387
9,TMEM41A,2.8786814,3.9326355,0.006564599565870927,0.806021134380387
10,PSMB10,2.7944696,1.9136742,0.007243533003030777,0.806021134380387
11,PKM,2.7123277,1.6760515,0.008931919870893257,0.806021134380387
12,JCHAIN,2.6528776,1.1967185,0.010108606026462266,0.806021134380387
13,IGHG3,2.6474607,1.5751883,0.010684520784163423,0.806021134380387
14,ORMDL1,2.6462107,2.709649,0.011505966523485622,0.806021134380387
15,IGHG2,2.6312954,1.9229722,0.01153314761254618,0.806021134380387
16,AL627171.2,2.6026402,0.8403902,0.010941198073520973,0.806021134380387
17,PARP8,2.591279,27.053572,0.013987600488204415,0.806021134380387
18,MFN2,2.5836265,2.6828318,0.013459373876201558,0.806021134380387
19,ITGAV,2.5822542,3.9654505,0.013954762968290495,0.806021134380387
20,RASGRP2,2.5445771,3.1091597,0.015031412202199534,0.806021134380387
21,IFI35,2.5441732,1.8720884,0.014263612053196444,0.806021134380387
22,FTX,2.5360744,4.0430326,0.01565887636727021,0.806021134380387
23,NADSYN1,2.5213864,1.5883411,0.014803669404400699,0.806021134380387
24,AAMP,2.491294,2.106533,0.016516585263314256,0.806021134380387
25,IDO1,2.4875035,1.8093827,0.01616637718419348,0.806021134380387
26,APOL2,2.4811807,1.4565719,0.016051610599324646,0.806021134380387
27,PLEKHA6,2.4514308,2.353814,0.018093592167451884,0.806021134380387
28,DNM2,2.4356291,1.5353347,0.018385866274850032,0.806021134380387
29,TYMP,2.4325671,1.073649,0.017660977636592537,0.806021134380387
30,STUB1,2.4230497,1.590499,0.018378556837399994,0.806021134380387
31,WARS,2.4165885,1.3136923,0.018561404788927965,0.806021134380387
32,PARP14,2.410072,1.4487596,0.01969456455599784,0.806021134380387
33,ODF3B,2.3985639,2.1924012,0.020729037147393724,0.806021134380387
34,CLK3,2.3985639,2.1924012,0.020729037147393728,0.806021134380387
35,EHBP1L1,2.3927386,1.6302335,0.02022835307847292,0.806021134380387
36,ARHGEF1,2.382129,3.0657194,0.02225545897633003,0.806021134380387
37,CTRL,2.3804762,26.63325,0.023038339947883228,0.806021134380387
38,CEP95,2.3804762,26.63325,0.023038339947883228,0.806021134380387
39,HPS3,2.3804762,26.63325,0.023038339947883228,0.806021134380387
40,FAF2,2.3804762,26.63325,0.023038339947883228,0.806021134380387
41,NOTCH3,2.3804762,26.63325,0.023038339947883228,0.806021134380387
42,UBE2M,2.375253,2.2596772,0.022074591389210165,0.806021134380387
43,GBP4,2.3739715,2.0997071,0.022107728255431995,0.806021134380387
44,NFATC2IP,2.3696976,2.0929406,0.02203163033231062,0.806021134380387
45,TXLNA,2.3569696,2.441881,0.02311595571974399,0.806021134380387
46,RASSF1,2.3569696,2.441881,0.02311595571974399,0.806021134380387
47,UBD,2.3555799,1.996418,0.022639669224659393,0.806021134380387
48,PSMA4,2.3519237,1.5784835,0.02264404063292395,0.806021134380387
49,FAM135A,2.3457253,3.8841486,0.02455238759069908,0.806021134380387
50,SRSF4,2.3444958,2.1308327,0.023761964115689576,0.806021134380387
51,RACK1,2.3417296,0.7219332,0.022001730240506334,0.806021134380387
52,TIAL1,2.3411765,2.3101428,0.024058461209694466,0.806021134380387
53,R3HCC1,2.3377068,2.3314838,0.024003952583753485,0.806021134380387
54,PHF11,2.3377068,2.3314838,0.024003952583753485,0.806021134380387
55,SEPHS1,2.3312318,3.4883666,0.025103790012795526,0.806021134380387
56,MED4,2.3312318,3.4883666,0.025103790012795526,0.806021134380387
57,AARS,2.3312318,3.4883666,0.025103790012795526,0.806021134380387
58,NSMCE1,2.3269694,2.841609,0.02509918134116132,0.806021134380387
59,ZNF740,2.3222256,2.7172642,0.02519938166860626,0.806021134380387
60,TNRC18,2.3222256,2.7172642,0.02519938166860626,0.806021134380387
61,EFTUD2,2.3222256,2.7172642,0.02519938166860626,0.806021134380387
62,SRP54,2.3217866,26.801373,0.026369678148680777,0.806021134380387
63,ORAI2,2.3217866,26.801373,0.026369678148680777,0.806021134380387
64,C1R,2.3133965,2.3680646,0.02519784389131138,0.806021134380387
65,BCL6,2.3127553,3.6311095,0.02634026247247928,0.806021134380387
66,TMEM119,2.3127553,3.6311095,0.02634026247247928,0.806021134380387
67,PFKL,2.303642,1.2823725,0.02473892588214601,0.806021134380387
68,LUC7L3,2.2911432,1.5851865,0.026310808209754805,0.806021134380387
69,HEIH,2.2854176,2.9245484,0.027787336833453236,0.806021134380387
70,NPDC1,2.280538,1.9384575,0.02747726126868925,0.806021134380387
71,INO80E,2.2798505,1.742745,0.02701376400057893,0.806021134380387
72,SERP1,2.2712605,1.3308604,0.027085995686960167,0.806021134380387
73,NELFA,2.2564306,27.053572,0.03058590905206767,0.806021134380387
74,C1S,2.2490754,1.394587,0.028647009324798245,0.806021134380387
75,ZMYM2,2.2397306,26.91083,0.03175605812182498,0.806021134380387
76,CEP170B,2.2394412,2.9861891,0.030986665635879544,0.806021134380387
77,PHF1,2.235606,1.990736,0.030030814480266458,0.806021134380387
78,SCO2,2.2316396,1.8349023,0.030484815623253354,0.806021134380387
79,ABHD2,2.231243,2.0202734,0.030841608430376602,0.806021134380387
80,PPP1R12C,2.2300673,1.7401755,0.0304968182080557,0.806021134380387
81,TMEM94,2.2299495,2.2838385,0.030794934373144043,0.806021134380387
82,IGLC1,2.1866677,1.2999182,0.03359559339992147,0.806021134380387
83,DEDD2,2.1848173,2.180139,0.03395581800736383,0.806021134380387
84,MISP,2.18244,1.0937963,0.032761771258886595,0.806021134380387
85,DOT1L,2.1774142,2.000935,0.034812187686817965,0.806021134380387
86,IRF1,2.1762984,1.3308331,0.03399135321581812,0.806021134380387
87,TXNIP,2.1753685,1.167144,0.0337202031740431,0.806021134380387
88,IFI16,2.1744232,2.4726548,0.03555070767406023,0.806021134380387
89,PPP2R5D,2.1709895,2.1924012,0.035598614099319296,0.806021134380387
90,IL4R,2.1687372,1.30025,0.03434357535196229,0.806021134380387
91,EGLN3,2.1427176,2.466728,0.037602031143261855,0.806021134380387
92,VOPP1,2.1419017,1.4949179,0.036713903991613624,0.806021134380387
93,SSR3,2.1391413,1.2971227,0.036740786635031615,0.806021134380387
94,HSPE1,2.1350677,1.7628804,0.03777864746887086,0.806021134380387
95,FLII,2.1284232,2.0187263,0.03880752075472314,0.806021134380387
96,RNF10,2.1284232,2.0187263,0.03880752075472314,0.806021134380387
97,PIM2,2.1284232,2.0187263,0.03880752075472314,0.806021134380387
98,POLL,2.1284232,2.0187263,0.03880752075472314,0.806021134380387
99,UPK3BL1,2.1132007,1.4627601,0.039447163027451666,0.806021134380387
100,MYO9B,2.1093493,1.533459,0.04036689360566161,0.806021134380387
101,ASS1,2.1045837,1.2687516,0.04005305429225471,0.806021134380387
102,IGHM,2.1027505,1.1149424,0.03989734538230808,0.806021134380387
103,MRPL12,2.09969,1.6717339,0.040865729854412614,0.806021134380387
104,SLCO2A1,2.0945396,26.296824,0.04373781671448248,0.806021134380387
105,TEN1,2.0945396,26.296824,0.04373781671448248,0.806021134380387
106,SCAF4,2.0945396,26.296824,0.04373781671448248,0.806021134380387
107,CFAP298,2.0945396,26.296824,0.04373781671448248,0.806021134380387
108,ZC3H12C,2.0945396,26.296824,0.04373781671448248,0.806021134380387
109,DTX1,2.0945396,26.296824,0.04373781671448248,0.806021134380387
110,FMNL1,2.0945396,26.296824,0.04373781671448248,0.806021134380387
111,STK4,2.0945396,26.296824,0.04373781671448248,0.806021134380387
112,BAHD1,2.0945396,26.296824,0.04373781671448248,0.806021134380387
113,GSK3B,2.0945396,26.296824,0.04373781671448248,0.806021134380387
114,MTG2,2.0945396,26.296824,0.04373781671448248,0.806021134380387
115,NUDT4,2.0891125,1.7920507,0.04196981004039232,0.806021134380387
116,DNAJB6,2.087886,2.0185935,0.04243415897686738,0.806021134380387
117,TRAPPC1,2.0876365,1.9083292,0.04224781908054574,0.806021134380387
118,ASPH,2.0876365,1.9083292,0.04224781908054574,0.806021134380387
119,TNKS1BP1,2.0875494,3.670347,0.043863002643980145,0.806021134380387
120,RNF5,2.0835748,2.2485445,0.04316870209144516,0.806021134380387
121,SIK3,2.0835748,2.2485445,0.043168702091445216,0.806021134380387
122,CABIN1,2.0835748,2.2485445,0.043168702091445216,0.806021134380387
123,FURIN,2.0835748,2.2485445,0.043168702091445216,0.806021134380387
124,CHKB,2.0797787,1.3949908,0.04283690473340403,0.806021134380387
125,PSEN1,2.0734882,1.6582222,0.04289083321164444,0.806021134380387
126,TNFRSF11A,2.0669074,2.841609,0.04547418128426982,0.806021134380387
127,SEMA6D,2.0669074,2.841609,0.04547418128426982,0.806021134380387
128,SDR39U1,2.0523891,3.5311332,0.04724428460025109,0.806021134380387
129,ACP1,2.0523891,3.5311332,0.04724428460025109,0.806021134380387
130,CUL9,2.0516853,2.1241996,0.046029078515003215,0.806021134380387
131,WFS1,2.0516853,2.1241996,0.046029078515003215,0.806021134380387
132,SAMD9L,2.0516853,2.1241996,0.046029078515003215,0.806021134380387
133,TOLLIP,2.0516853,2.1241996,0.046029078515003215,0.806021134380387
134,NCKAP1,2.0514102,2.0929406,0.04565417879328522,0.806021134380387
135,ADA,2.0497963,2.6230226,0.04686372736362994,0.806021134380387
136,COL18A1,2.04578,1.3556411,0.04619662359206512,0.806021134380387
137,ARHGAP4,2.0438883,1.3839272,0.04652133559913106,0.806021134380387
138,PRCP,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
139,TNRC6B,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
140,YES1,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
141,STAU2,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
142,SLC25A36,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
143,CRAMP1,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
144,PLAT,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
145,LZIC,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
146,AMACR,2.0393422,3.2107873,0.048236916420510825,0.806021134380387
147,NAA30,2.0390835,26.502209,0.049276110563165706,0.806021134380387
148,MICALL1,2.0390835,26.502209,0.049276110563165706,0.806021134380387
149,SLC66A1,2.0390835,26.502209,0.049276110563165706,0.806021134380387
150,SPRYD3,2.0390835,26.502209,0.049276110563165706,0.806021134380387
151,GMDS,2.0366716,1.6852527,0.04733088192058888,0.806021134380387
152,DHCR24,2.0366716,1.6852527,0.04733088192058888,0.806021134380387
153,DAG1,2.0322964,2.4802797,0.048405749127114886,0.806021134380387
154,RAD9A,2.0322964,2.4802797,0.048405749127114886,0.806021134380387
155,ANKFY1,2.0322964,2.4802797,0.048405749127114886,0.806021134380387
156,ELOF1,2.0319016,3.3789093,0.049238649715289795,0.806021134380387
157,NMI,2.0319016,3.3789093,0.049238649715289795,0.806021134380387
158,ZBTB8OS,2.0319016,3.3789093,0.049238649715289795,0.806021134380387
159,TNS2,2.0319016,3.3789093,0.049238649715289795,0.806021134380387
160,SRP19,2.0319016,3.3789093,0.049238649715289795,0.806021134380387
161,PUM1,2.0319016,3.3789093,0.049238649715289795,0.806021134380387
162,SP110,2.0319016,3.3789093,0.049238649715289795,0.806021134380387
163,ZC3H18,2.0319016,3.3789093,0.049238649715289795,0.806021134380387
164,IFITM2,2.0317023,1.7652334,0.04769715148755943,0.806021134380387
165,TNFRSF6B,2.0283408,1.4738358,0.047508739327659366,0.806021134380387
166,CALU,2.0280702,2.2109127,0.04862686046917489,0.806021134380387
167,BRI3,2.0184083,1.4689809,0.04868922001890405,0.806021134380387
168,C1QB,2.0162003,1.3605222,0.048774591926902554,0.806021134380387
169,UQCR10,2.008323,1.240726,0.0496816562308959,0.806021134380387
170,FLNA,2.0078146,1.6382955,0.050326487931501726,0.806021134380387
171,RHOT2,1.9938211,1.8813791,0.05229054978360602,0.806021134380387
172,AP2S1,1.9921702,1.3175935,0.05117052487532078,0.806021134380387
173,MLEC,1.9915531,1.1441346,0.051653267561542024,0.806021134380387
174,RALY,1.9899896,1.1985688,0.05131409676932582,0.806021134380387
