,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,8.989498,3.919762,2.6388506862808e-12,1.2246906035029193e-08
1,AL627171.2,8.796813,2.7525518,6.621824821440514e-13,6.146377799261085e-09
2,REG1A,8.675897,3.8674996,1.1145340236510705e-11,2.5862762018823092e-08
3,IGHA1,8.425978,4.1164584,7.761259597949327e-12,2.4013337196055218e-08
4,IGHG4,7.066714,3.5384371,6.603139563685713e-09,1.2258068286026156e-05
5,JCHAIN,6.9745893,3.976885,1.24254836506956e-08,1.922222320762609e-05
6,PLA2G2A,6.0404234,3.7798903,2.6809147446117324e-07,0.0003554892951355157
7,S100A6,5.4394507,3.0342054,9.425043223836696e-07,0.0009720361244850245
8,TMSB10,5.433258,2.3667142,9.341756901424844e-07,0.0009720361244850245
9,IGHG3,5.3332815,3.7911527,3.866994340601169e-06,0.0029225568627218464
10,HLA-DRA,5.2234874,2.632197,2.0334504428832683e-06,0.0018874487010842496
11,TYMP,5.118691,2.6912754,3.897710479404184e-06,0.0029225568627218464
12,IGHM,5.1044064,3.4595244,6.165812401598982e-06,0.003811335692802574
13,CD74,5.094506,1.8831681,4.093216894568412e-06,0.0029225568627218464
14,C1QA,5.0006523,3.5583637,6.980468301836216e-06,0.003811335692802574
15,DMBT1,4.992955,2.6573815,5.746917555621203e-06,0.0038102063393768574
16,PSME2,4.9286084,3.6757731,1.1536519993891082e-05,0.005099141837299858
17,B2M,4.8752303,1.9431051,6.594272324036634e-06,0.003811335692802574
18,IGLC1,4.852724,4.5355163,2.0052799124439822e-05,0.007755420061377101
19,SNHG1,4.844611,1.9106661,8.126038492867632e-06,0.004190327182822076
20,HLA-C,4.7929974,2.3525794,9.857957231145158e-06,0.004584819540407471
21,ACTB,4.785982,2.1060553,9.8789475121902e-06,0.004584819540407471
22,WARS,4.7221866,3.7483594,2.1931707062766996e-05,0.00814280419826413
23,PSAP,4.721933,2.3626132,1.5645852254469962e-05,0.006314121766347399
24,RACK1,4.709188,1.7717276,1.2324563927451523e-05,0.005199845562482048
25,IGHG2,4.693457,29.88054,3.818742098687923e-05,0.013127986725933816
26,MUC1,4.616079,5.703096,4.5272783915471784e-05,0.015007927867978896
27,S100A10,4.536677,2.9654908,2.7554121361124052e-05,0.009836821325921287
28,IDO1,4.3329167,28.864931,0.00011287488609368129,0.031748627052168174
29,ACTG1,4.3087015,2.0849268,5.580482310412391e-05,0.01786139200180959
30,IFI27,4.273877,2.542089,7.378813190376874e-05,0.022127793377281192
31,FTL,4.218082,1.9809506,7.390234806030132e-05,0.022127793377281192
32,IGLC2,4.1416435,4.096472,0.0001797342475543412,0.049067449582335144
33,MYL6,4.129148,2.0172267,0.00010565406935144241,0.030646283491252764
34,LCN2,4.0743594,28.847872,0.00024252654693378604,0.06253142801776117
35,SYNGR2,4.014389,28.13087,0.00028907893328608796,0.0706113331253018
36,CTSB,3.9351401,2.6069977,0.00026701221824910776,0.06698398404833023
37,TAPBP,3.9058485,1.9661415,0.0002243725739310451,0.05950360660651316
38,C1QB,3.8763275,3.7104113,0.00036655107334904104,0.07963269521868921
39,PLCG2,3.8570547,3.2427824,0.0003689081980611545,0.07963269521868921
40,TNFRSF6B,3.8529644,4.30224,0.00040739872327523577,0.08403277665423863
41,LMAN2,3.8514025,3.1900089,0.00034597424859391876,0.07832519452314034
42,PSMB10,3.8355284,3.1067147,0.0003412445481501844,0.07832519452314034
43,UBE2J1,3.833733,27.8527,0.0004883105883679087,0.09064997762461857
44,IRF1,3.8016589,3.1931372,0.00043383531281062856,0.08754042116322293
45,HLA-A,3.7996905,1.8588039,0.00030696903273078936,0.07305862978992787
46,CYBA,3.7957633,4.0569887,0.0004655167193973848,0.09001929561346973
47,CDC25B,3.7957633,4.0569887,0.0004655167193973871,0.09001929561346973
48,CFB,3.774776,2.5649326,0.0004030817880125865,0.08403277665423863
49,UQCR10,3.772983,3.4704833,0.00048051301445629083,0.09064997762461857
50,IGLC3,3.7631905,5.429274,0.0005796579263785899,0.09760165714643676
51,S100A16,3.7503946,3.520981,0.0005210491701461659,0.09300727687109062
52,SERINC2,3.7458296,4.411016,0.0005709055446733715,0.09760165714643676
53,TAP1,3.7067254,2.675562,0.0005637310086383875,0.09760165714643676
54,CD24,3.6760812,3.144616,0.000634444592988976,0.1015330122779944
55,MUC13,3.6647174,2.072571,0.0005118405847313338,0.09300727687109062
56,GPI,3.6425529,3.6204855,0.000662455264844461,0.10399686316104913
