,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,5.368279,1.5269059,1.0896090035443039e-06,0.002528437692724557
1,IGHG4,4.976508,2.5365472,4.896797777966717e-06,0.0064931538535838666
2,IGHG3,4.83599,3.7576118,1.094019637024989e-05,0.011282989189851053
3,LINC02739,4.7646756,2.864174,1.598012003833771e-05,0.012360622849654218
4,IGHG1,4.709736,3.2888,2.3590967368907244e-05,0.015640811365585504
5,IGKC,4.558383,2.058755,2.074855339090356e-05,0.014814467121105141
6,IGHM,4.4210167,2.6574116,5.412251211575726e-05,0.03349101049723059
7,IGLC2,4.119876,4.0540204,0.00018962024738963646,0.0838121493462193
8,IGHG2,3.9790978,4.022537,0.00023555677443435813,0.09938354455907783
9,IGLC1,3.9224467,2.7526677,0.0002980234088272181,0.11070887400284864
10,IGLC3,3.9171922,29.682886,0.0003836270727588174,0.1369548649748978
11,REG1A,3.8019016,1.4949222,0.00029818162573488644,0.11070887400284864
12,TNFRSF6B,3.598718,3.4469514,0.0008197177610033562,0.1950928271187988
13,IGHA1,3.5729733,1.5380552,0.0006351880040402705,0.17340632510299384
14,MUC1,3.4779785,2.557455,0.0011289232256179989,0.2436103847889379
15,WARS,3.3191729,1.8596761,0.0016220925849023795,0.2595907478114463
16,CARD16,3.3164768,3.9639137,0.0019134448748791431,0.2864612149778743
17,TMEM107,3.252259,1.6420579,0.001900017263055726,0.2864612149778743
18,CD79B,3.0879831,27.378513,0.0038679570681222804,0.3698686622793678
19,PDZK1IP1,2.941353,2.867292,0.005161358499899281,0.37799735472818785
20,JCHAIN,2.9325957,1.2953804,0.004632617169658319,0.3739126310327697
21,C1QB,2.908939,2.0907753,0.005333271060356447,0.3808391385711503
22,SNHG1,2.9066865,1.1440319,0.004816902245462214,0.37799735472818785
23,IDO1,2.9016855,2.1191785,0.0055212200466274045,0.3848859184393635
24,UBD,2.78914,2.8454504,0.007655136313173531,0.40305130737872014
25,IFI35,2.5679164,1.9528508,0.012795853814636356,0.4582830022858111
26,MZB1,2.5570107,2.8240066,0.013935552743185553,0.4582830022858111
27,GBP4,2.500954,2.1232922,0.015890126561230584,0.4697202380297525
28,PSMB10,2.487597,1.5337303,0.01545981406561971,0.4621647772494316
29,DMBT1,2.3759751,1.0527756,0.02024234884932563,0.5017058679356405
30,WAS,2.3717082,26.549156,0.02317486576474051,0.5017058679356405
31,ORAI2,2.313738,26.71681,0.026503887564201807,0.5027018366086045
32,MS4A1,2.313738,26.71681,0.026503887564201807,0.5027018366086045
33,PLAUR,2.301332,3.3400679,0.0264232020312644,0.5027018366086045
34,C1QC,2.3010476,26.868567,0.02728777204518285,0.5027018366086045
35,SERPING1,2.28049,3.4650033,0.027881226710683545,0.5027018366086045
36,LIMD2,2.2688148,2.470187,0.027809976092556334,0.5027018366086045
37,LTB,2.233629,1.7081997,0.029417183970941046,0.5056487067005089
38,CD53,2.218353,2.3728333,0.031137230934572137,0.5207491487111686
39,SH3BGRL3,2.206514,1.2128146,0.030983740603028685,0.5195463737313523
40,IFI30,2.177653,1.5026269,0.033799022092117145,0.521663057310413
41,SPCS3,2.1717987,2.2696111,0.03448470270845033,0.521663057310413
42,POLL,2.1717987,2.2696111,0.03448470270845033,0.521663057310413
43,NCF1,2.1336653,1.7548622,0.037592095700563044,0.521663057310413
44,FXYD5,2.1035178,3.0030425,0.041147989102421734,0.521663057310413
45,LCN2,2.0901415,1.4486176,0.04111978637372741,0.521663057310413
46,SPIB,2.0889318,26.213524,0.04384514714627481,0.521663057310413
47,CHD6,2.0889318,26.213524,0.04384514714627481,0.521663057310413
48,DHX58,2.0889318,26.213524,0.04384514714627481,0.521663057310413
49,ATP6V0E2,2.0889318,26.213524,0.04384514714627481,0.521663057310413
50,ZNF623,2.0889318,26.213524,0.04384514714627481,0.521663057310413
51,ACVRL1,2.0889318,26.213524,0.04384514714627481,0.521663057310413
52,PCED1B-AS1,2.0889318,26.213524,0.04384514714627481,0.521663057310413
53,GTPBP2,2.0889318,26.213524,0.04384514714627481,0.521663057310413
54,FMNL1,2.0889318,26.213524,0.04384514714627481,0.521663057310413
55,AC067852.2,2.0889318,26.213524,0.04384514714627481,0.521663057310413
56,MESD,2.0889318,26.213524,0.04384514714627481,0.521663057310413
57,RCSD1,2.0889318,26.213524,0.04384514714627481,0.521663057310413
58,TCL1A,2.0889318,26.213524,0.04384514714627481,0.521663057310413
59,SLC38A9,2.0889318,26.213524,0.04384514714627481,0.521663057310413
60,CDK2AP1,2.0889318,26.213524,0.04384514714627481,0.521663057310413
61,EPB41L4A-AS1,2.0889318,26.213524,0.04384514714627481,0.521663057310413
