,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,8.83235,2.2463784,8.147402015851308e-11,3.7812092755565925e-07
1,REG1A,8.099719,3.1696997,9.744547307953599e-10,2.2612222028106325e-06
2,IGHA1,7.9797263,3.5247686,2.2730189571432168e-09,4.219632392040668e-06
3,IGKC,7.0929456,2.913701,2.9758767851255093e-08,2.5110989381395437e-05
4,IGHG4,5.860298,2.9142802,1.2786315156885844e-06,0.0005354589105050743
5,JCHAIN,5.686866,3.07748,2.2730305403803435e-06,0.0007535096241360838
6,RACK1,5.3685756,1.6971693,4.549203679815566e-06,0.001141235366379678
7,TMSB10,5.175702,2.0440342,8.708449833464538e-06,0.0017962629189826188
8,DMBT1,5.169019,2.8461516,1.0253263504955343e-05,0.00194332877577339
9,S100A6,4.5548754,1.9267738,5.7226382922349554e-05,0.005968261643654478
10,PSAP,4.388452,2.1142032,0.00010185435416965464,0.008244275418818713
11,IGHM,4.299209,2.8411915,0.00014124781688273997,0.010008108674088492
12,IGHG3,4.2855215,3.0385458,0.00014727369796839913,0.010273656918122787
13,PLA2G2A,4.2070136,1.9272162,0.00016561151304554536,0.010457184109447293
14,WARS,4.0321097,2.366152,0.00029325303749689854,0.015917980666936914
15,SNHG1,3.9277027,1.2858543,0.00035901021877107677,0.018056866588778076
16,C1QA,3.8834105,2.1020503,0.00044587008786818035,0.020765763071824483
17,IGHG2,3.81078,4.299813,0.0005876092962018901,0.022916762551873714
18,CD74,3.7851934,1.3227148,0.0005346571416216303,0.022284507822931884
19,CXCL14,3.7691836,2.3986464,0.0006303589202015573,0.024277973017887363
20,PFDN5,3.6957767,1.7974892,0.0007489096518393797,0.028489259788414437
21,ANXA2,3.6557763,1.8511994,0.0008290556621317538,0.028958455013080104
22,IGLC1,3.6427536,2.5984275,0.0009165914197182716,0.030714085046299626
23,S100A10,3.6261706,1.8271645,0.0009045218515113383,0.030530079366284515
24,GAPDH,3.6250763,1.4927108,0.000879869841228521,0.029915574601769714
25,HSP90B1,3.6110218,1.756296,0.0009444740631545802,0.031534562065470555
26,ACTB,3.603539,1.2921739,0.0009147729772731812,0.030714085046299626
27,C1S,3.5957305,2.6398227,0.0010205250702329041,0.03255159347732583
28,HLA-DRA,3.558376,1.4557709,0.0010626458888750292,0.033779038152527474
29,COL18A1,3.5340912,3.4430344,0.0012458021320532824,0.03867403140374103
30,C1QB,3.4199526,2.850845,0.0016854410108622883,0.04329538887588012
31,PKM,3.4189029,2.2488983,0.0016389334542401632,0.04321755773368522
32,IDO1,3.3980734,3.9709332,0.0018055508431032452,0.04541767730537757
33,TAPBP,3.3557286,1.3943563,0.0018745883569161461,0.04702683548350181
34,FTL,3.3289464,1.2962064,0.001998341109064137,0.049996232275831054
35,IGLC2,3.281073,2.7685206,0.0024597488852983445,0.055765057644757345
36,SERP1,3.2726607,2.4011385,0.0024792196259742962,0.055765057644757345
37,HLA-DRB5,3.2622848,3.0333495,0.0025815653644079375,0.055765057644757345
38,MUC1,3.248904,2.8144093,0.002652538979470408,0.057124980991750174
39,APOL1,3.235296,2.6964571,0.002752972214591001,0.059150666888503865
40,SERPINB6,3.2066824,1.421027,0.002809531976610736,0.060226503018246766
41,GAS5,3.1598153,1.4440709,0.0032755419086298834,0.06566647947279174
42,PSMB10,3.1598074,2.1655262,0.003301483928270358,0.06603479481888018
43,RALY,3.1310968,1.9589643,0.0035531884759079503,0.07077402453514504
44,ARPC1B,3.1275902,1.8586599,0.0035906889674900723,0.07136782654441724
45,SPINK4,3.0944877,1.7315464,0.0038864008706326315,0.07652777003936713
46,SH3BGRL3,3.0902865,1.7513783,0.003925728890989574,0.07652777003936713
47,CIZ1,3.0744817,2.9514358,0.0042089668722827215,0.07652777003936713
48,LMAN2,3.07322,2.181795,0.0041206918757474035,0.07652777003936713
49,HLA-C,3.0408897,1.1712999,0.0043240506467733236,0.07652777003936713
50,EEF2,3.0187385,1.3764325,0.004660511692112569,0.07865249004761611
51,B2M,3.0003204,0.9657948,0.004733448302964534,0.07973841587680001
52,PARP14,2.9864373,1.9158263,0.005220091679053826,0.08397381449736155
53,TXNDC5,2.972655,2.246197,0.005411226598379582,0.08689793302103681
54,SSR3,2.960922,2.2292633,0.005564485959276731,0.08813788332915758
55,LGALS3,2.9564338,1.4714605,0.0054981199363456565,0.08798887801579376
56,MUC13,2.946484,1.392405,0.005710705977165048,0.08968997103222669
57,TYMP,2.9421008,1.1824132,0.005700906959820454,0.08968997103222669
58,TNFRSF6B,2.941921,3.1761448,0.005937465177850121,0.09293684954604524
59,NOSIP,2.940696,1.9862468,0.005841425164658896,0.09158802090939844
60,TMSB4X,2.9274502,1.547327,0.006003024645674441,0.09380483966523596
61,GPX2,2.9252717,1.8155941,0.0060187818070383476,0.09389299618979823
62,ACTG1,2.9129994,1.1354,0.006067205626411475,0.09448960171871026
63,PLCG2,2.9116962,1.8911444,0.006298196438047578,0.09792271245889049
64,CD24,2.9071248,2.199021,0.006376460630056775,0.09884201963584209
65,IGLC3,2.905751,3.7673872,0.006566539794859561,0.09991905307522367
66,TXNIP,2.902802,1.6698462,0.006426836051914542,0.09916259365447293
67,SSR4,2.8987212,2.016118,0.006539546158040304,0.0998356372350824
68,IL4R,2.8972342,1.8379924,0.00648477637882623,0.09916259365447293
69,UBA52,2.8922932,1.1131136,0.0063786220385552055,0.09884201963584209
70,RRBP1,2.8906605,1.5723164,0.006612050774078159,0.10044689899344267
71,LPCAT1,2.872305,2.9887419,0.00707191876088082,0.107082463194936
72,HLA-E,2.861664,1.2470089,0.0070377688213704125,0.10673949379078458
73,UBD,2.861534,3.0130668,0.007263280237654358,0.10934674786066828
74,HEXA,2.8401213,2.3617706,0.007578119780456042,0.10934674786066828
75,TAGLN2,2.8361928,1.630094,0.007580783786339142,0.10934674786066828
76,LYZ,2.8265836,1.4540696,0.0077506503548479475,0.10934674786066828
77,COL1A2,2.816714,2.15874,0.008088460549315106,0.11057008957104979
78,RAC1,2.8128407,1.6342472,0.008003367142035249,0.10973006471546702
79,LCN2,2.8125799,2.6457014,0.008154037245624095,0.1113026084027689
80,NBEAL2,2.8098595,1.791645,0.00808767558391447,0.11057008957104979
81,CTSB,2.8034904,1.6872554,0.008299036355211422,0.1129496414209273
82,STAT1,2.797219,2.0810292,0.008442906721818222,0.11473947319460721
83,ITM2B,2.7962985,1.3528088,0.008277554400933028,0.11282270183474355
84,VOPP1,2.7669466,2.1048675,0.00912049784510508,0.12110805653553143
