,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,8.521589,2.8901634,2.5058445760154506e-12,2.3259249354575413e-08
1,IGHA1,7.572932,3.740116,2.1440106627123318e-10,9.950353485647932e-07
2,IGKC,6.9676766,3.044255,3.41251326323961e-09,1.0558316036463354e-05
3,IGHG4,6.2225633,3.2119284,8.91892652679774e-08,0.00020696369005434158
4,JCHAIN,5.9016147,3.2171988,3.2440417672212595e-07,0.0006022239136669545
5,REG1A,5.4382715,2.9144444,8.348358758530074e-07,0.0012914910999446026
6,PSAP,4.882719,2.8752072,7.878799836526607e-06,0.010447288583234281
7,IGHG3,4.7269974,3.3413584,2.289232746602358e-05,0.02656082294245386
8,IGHM,4.3728843,2.7102656,6.951209571970818e-05,0.058655570224575584
9,PLA2G2A,4.3369613,2.985841,4.987226206542176e-05,0.04854099092731937
10,RACK1,4.3239202,1.8793885,5.229583163899954e-05,0.04854099092731937
11,IGHG2,4.1914396,4.8782463,0.00015805146785021938,0.09168960778660852
12,S100A10,4.1446033,2.520729,0.00011507246443538896,0.08900855124077336
13,SH3BGRL3,4.126985,2.999254,0.00015439402113763372,0.09168960778660852
14,IDO1,4.050889,4.617116,0.0002404253958456596,0.12397936245774514
15,DMBT1,4.040451,2.642204,0.00013822619259986737,0.09164396569371207
16,CXCL14,3.9131844,2.9545362,0.0002912114075713886,0.13515121425388146
17,S100A6,3.8864021,2.0975401,0.00023643669838847625,0.12397936245774514
18,TYMP,3.8691428,1.8715562,0.00027313014649940165,0.1334312642003919
19,IGLC1,3.833587,2.8462596,0.00039583416884444604,0.16700603432791583
20,LCN2,3.8125694,4.5999675,0.0004907803597718464,0.19806188258270777
21,PFDN5,3.7951083,2.2186043,0.00034782144227437267,0.1537370774852727
22,IGLC3,3.7417016,29.641266,0.0006544131733643862,0.2354764712618046
23,NBEAL2,3.6225958,3.3034341,0.0006516586343792223,0.2354764712618046
24,TMSB10,3.5704775,1.7169485,0.0006595979587165395,0.2354764712618046
25,UBD,3.5392294,27.998693,0.0011558291076173587,0.34607760570659113
26,GAS5,3.5282216,1.9855042,0.0007792470772781238,0.2678878285665017
27,CFB,3.5277765,2.531768,0.0008466115835524674,0.2806517399476429
28,MYH9,3.494613,2.3737035,0.0009561722957227294,0.3060410775482198
29,IGLC2,3.4592702,2.958055,0.0012690337060207379,0.3464462017436614
30,SERPINB6,3.4233696,1.8698125,0.0010865703187089343,0.3361848566085443
31,AC004687.1,3.4156504,27.495392,0.0016264926144197206,0.408029849920104
32,CYBC1,3.408989,3.0455322,0.001357790926029976,0.3600861535831496
33,ITM2B,3.387961,2.2497559,0.0012578029711762407,0.3464462017436614
34,LYZ,3.3828309,2.0422184,0.0012642846285410801,0.3464462017436614
35,SERPINA1,3.314086,1.6950165,0.0015048367455586561,0.3879970742298735
