,names,scores,logfoldchanges,pvals,pvals_adj
0,IGKC,6.233514,2.700659,5.6691815980802246e-08,1.5476865762759012e-05
1,IGHG4,5.8124156,3.070416,3.5279564186766397e-07,4.745868330167619e-05
2,IGHA1,5.729785,2.4789844,3.3949286128816906e-07,4.648145845308518e-05
3,AL627171.2,4.871365,1.4686474,6.209988731533944e-06,0.00043015757765744826
4,REG1A,4.473293,1.7237146,2.823296049455725e-05,0.00118422437754355
5,IGHG3,4.405988,3.063408,6.96934208108536e-05,0.0022306701102287694
6,JCHAIN,3.818894,1.7637006,0.0003520028656248255,0.0071028056494122395
7,IGHG1,3.7398677,2.3617775,0.0005330200603185967,0.009196082155905604
8,WARS,3.6926064,2.1988745,0.0005944990246147315,0.009996630337815105
9,IGHG2,3.6197753,2.9866598,0.0008290516193866142,0.012297409343391743
10,IGLC1,3.3508842,2.2719724,0.001741025918875702,0.020111083328830635
11,DMBT1,3.3061888,1.5029043,0.0016625492162985476,0.01948457301222616
12,IDO1,3.2856812,2.792283,0.002124299231648603,0.023142893741974573
13,MUC1,3.2720423,2.706734,0.0021460675283064986,0.02315904811217783
14,IGHM,3.197073,1.718759,0.002546886920781881,0.025695874346410238
15,IGLC2,3.0551474,2.473905,0.0039994987052369806,0.03456549998324921
16,SNHG1,2.923191,1.0105697,0.004707376610702682,0.038496801498275154
17,UBD,2.899149,2.8381822,0.006110745629042882,0.045267311196150066
