,names,scores,logfoldchanges,pvals,pvals_adj
0,RACK1,3.067032,1.1768469,0.0054816191549210925,0.7066283303550921
1,CDC42SE1,2.7457354,4.309908,0.015125579805463071,0.7066283303550921
2,UQCR11,2.4014258,2.1693933,0.026425081577504846,0.7066283303550921
3,RRBP1,2.3958366,2.3894315,0.028600302454319538,0.7066283303550921
4,APBA3,2.393172,3.8574743,0.03005765574699995,0.7066283303550921
5,CD14,2.393172,3.8574743,0.03005765574699995,0.7066283303550921
6,IGLC3,2.3684933,2.5222645,0.0308516837575416,0.7066283303550921
7,DUS1L,2.3499491,4.0373864,0.03300312703772373,0.7066283303550921
8,UPK3BL1,2.3499491,4.0373864,0.03300312703772373,0.7066283303550921
9,NBEAL2,2.3432965,2.6991522,0.031987864976680845,0.7066283303550921
10,IL4R,2.3431413,2.5444973,0.03143086744533288,0.7066283303550921
11,C1S,2.2794921,1.8729709,0.03442648985588718,0.7066283303550921
12,OAZ1,2.2737272,1.5724229,0.034777969736872937,0.7066283303550921
13,PKM,2.2639847,2.5198462,0.03727887427771727,0.7066283303550921
14,PRCC,2.2563043,27.597082,0.040568593140109646,0.7066283303550921
15,UBE2D2,2.2563043,27.597082,0.040568593140109646,0.7066283303550921
16,ZNRD1,2.2563043,27.597082,0.040568593140109646,0.7066283303550921
17,OS9,2.2026634,2.4345841,0.04111432981855798,0.7066283303550921
18,PSAP,2.2023273,1.5593091,0.03771738346594849,0.7066283303550921
19,VPS9D1,2.1535442,2.8445969,0.04656351856400256,0.7066283303550921
20,NOP56,2.133306,1.6050158,0.04493084514946866,0.7066283303550921
21,XBP1,2.1092346,2.4539933,0.051207611633790076,0.7066283303550921
22,ANXA2,2.0670583,1.3684826,0.04936828333310725,0.7066283303550921
23,IGHA1,2.066073,1.3613394,0.04926251998796917,0.7066283303550921
24,UQCR10,1.9986664,2.5907168,0.06288106860849728,0.7066283303550921
25,IRF2BP2,1.992988,3.5010586,0.06436702640430915,0.7066283303550921
26,GOLGA8A,1.992988,3.5010586,0.06436702640430915,0.7066283303550921
27,DLGAP4,1.992988,3.5010586,0.06436702640430915,0.7066283303550921
28,PRDX6,1.992988,3.5010586,0.06436702640430915,0.7066283303550921
29,R3HCC1,1.992988,3.5010586,0.06436702640430915,0.7066283303550921
30,GABPB2,1.992988,3.5010586,0.06436702640430915,0.7066283303550921
31,SURF1,1.992988,3.5010586,0.06436702640430915,0.7066283303550921
32,STAT5B,1.9686785,3.7181115,0.06781686817494166,0.7066283303550921
33,PARVG,1.9686785,3.7181115,0.06781686817494166,0.7066283303550921
34,REG1A,1.9659088,1.0188853,0.05554469282606973,0.7066283303550921
35,GBP4,1.9594059,3.066128,0.06897179147411092,0.7066283303550921
36,YTHDC1,1.9488592,2.4266312,0.06848101051076223,0.7066283303550921
37,IGKC,1.9427457,1.3088466,0.06505602293430574,0.7066283303550921
38,IGHG4,1.9297303,1.223967,0.06702095400231371,0.7066283303550921
39,HSH2D,1.9206856,4.129443,0.07463924493343328,0.7066283303550921
40,STUB1,1.9178503,1.7815868,0.07027872843285315,0.7066283303550921
41,LMAN2,1.9178503,1.7815868,0.07027872843285315,0.7066283303550921
42,NDUFB3,1.9062376,3.8574743,0.07632041108000673,0.7066283303550921
43,CD68,1.8801144,1.9885521,0.07588036758443359,0.7066283303550921
44,BSG,1.8801144,1.9885521,0.07588036758443359,0.7066283303550921
45,TXNDC5,1.8781557,1.704166,0.07621194846748772,0.7066283303550921
46,STAU1,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
47,PI4K2B,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
48,AKAP8,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
49,BRAF,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
50,PSMD3,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
51,ZNF740,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
52,NSMCE1,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
53,TAB2,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
54,CD36,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
55,KLHL24,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
56,MTG2,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
57,ITPR2,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
58,SRSF4,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
59,SLC9A3-AS1,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
60,MYL6B,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
61,TMEM41A,1.8708287,27.147814,0.08241787787947831,0.7066283303550921
