,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,5.089988,1.4443285,6.3277662938737156e-06,0.004195309052838273
1,IGHA1,4.7591534,1.9317867,2.4866002437237212e-05,0.008571139708800635
2,IGKC,4.5574827,1.8267429,5.347027146326268e-05,0.01337251446436813
3,REG1A,4.1802187,1.4367589,0.0001171876997550984,0.01908309173906708
4,IGHG4,4.1006346,1.8970444,0.00023267902009514897,0.028417456112147008
5,JCHAIN,3.410688,1.5236585,0.0015985965752729025,0.0597421628645787
6,RACK1,3.294758,0.93829024,0.0020608205795760513,0.07357129469086503
7,IGHG3,3.20708,2.0482879,0.002953742224414414,0.08435887792927566
8,PSAP,3.1504023,1.4127648,0.0032557958375232523,0.09020984168325621
9,IGHM,3.049864,1.7806375,0.004403993363939201,0.09970211318069186
10,IDO1,3.0162368,2.6316373,0.004975713629627713,0.10802448844728449
11,CDC42SE1,2.9028163,2.9496934,0.0066740553677437225,0.13655715247808875
12,DMBT1,2.9025254,1.1997968,0.005921625134162595,0.12296314204764475
13,WARS,2.8898315,1.3682169,0.006482741199478489,0.13371734180790962
14,TNFRSF6B,2.854742,2.4502206,0.007467375850337541,0.13655715247808875
15,CD53,2.8152096,3.5652504,0.008397607848780525,0.14659474220854285
16,RALY,2.7928355,1.6253315,0.008402111921454944,0.14659474220854285
17,S100A6,2.7472734,1.0786982,0.00902369272566279,0.1477211920275168
18,IGHG2,2.7259068,2.5023017,0.010322609028703498,0.16663383826856673
19,PKM,2.688121,1.6229612,0.010942450442612519,0.17633302952834964
20,APOL1,2.6585057,1.829386,0.011892145325150509,0.18751643499364487
21,ELOVL1,2.6520047,2.518591,0.01235209898788046,0.18751643499364487
22,IGLC1,2.609406,1.6612277,0.013429046196751348,0.18751643499364487
23,CIZ1,2.6046162,2.330672,0.013776077116750949,0.18751643499364487
24,TMSB10,2.560653,0.98251766,0.01437842263219367,0.19342104184350964
25,IL4R,2.5513513,1.5051349,0.015178987534732208,0.2025902818740347
26,IGLC3,2.5219045,2.9092617,0.01701946580609765,0.2131912032553285
27,LMAN2,2.5160134,1.4157549,0.016362968055097536,0.2086278427024936
28,XBP1,2.5122454,1.8684838,0.01700993739150902,0.2131912032553285
29,ZNF740,2.4888418,2.8738513,0.01823802565714275,0.22662028667951675
30,MUC1,2.469759,1.6562703,0.018793263966008573,0.2325854348433221
31,ANXA2,2.4593399,1.0700972,0.018473296618336424,0.228930759961814
32,COL18A1,2.4443517,1.5846121,0.01971600463700442,0.24174894985558126
33,BRI3,2.4413273,1.691414,0.019998845869651356,0.24424906231855775
34,ARPC1B,2.4354248,1.4826007,0.020207306669984795,0.24614727101154707
35,STUB1,2.4293976,1.4029497,0.020055038875919216,0.24461349651285436
36,IGLC2,2.424768,1.9222181,0.021090570476942475,0.25556485008744134
37,RBMX,2.4185479,1.741733,0.02102498654336656,0.2551031700595143
38,UPK3BL1,2.4185479,1.741733,0.02102498654336656,0.2551031700595143
39,PSMB10,2.3757606,1.4740458,0.023157243910842715,0.25916108897997386
40,C1QB,2.368103,1.6961852,0.023922692439801895,0.25916108897997386
41,PARP14,2.3416226,1.3291907,0.02496121671494254,0.25916108897997386
42,TMEM119,2.3279448,3.3692825,0.026593521937102578,0.2739634524086417
43,SRP14,2.3196054,1.7002661,0.02658693617682671,0.2739634524086417
44,CD36,2.3123708,4.9541745,0.02770437662463373,0.2808392366317744
45,LCN2,2.304524,1.7912823,0.027480189246592315,0.2808392366317744
46,GBP4,2.3020117,1.979709,0.027938934455117744,0.2808392366317744
47,LPCAT1,2.2705398,2.081111,0.029782863238236364,0.29284378874715034
48,CPEB2,2.2668574,2.4060862,0.030247140789012705,0.29646669567435685
49,HEXA,2.2664366,1.7520692,0.029957095438646723,0.2942452485307078
50,LIMD2,2.264133,2.4777098,0.030440740651856417,0.2980495303064676
51,PFDN5,2.2611575,0.97337574,0.02967333636069369,0.29207625461289377
52,STAU1,2.2502692,1.9946706,0.03116097927358359,0.30413902167970863
53,ISG20,2.250264,1.7987096,0.031019488891458828,0.30334676331447796
54,CFB,2.2398982,1.147314,0.031047126174181646,0.30334676331447796
55,PHF20,2.2235193,3.9514246,0.033651880550482356,0.32368575675603856
56,CD81,2.2226386,1.9199604,0.03326686384256957,0.32232049080034525
57,IFITM2,2.2212467,2.0696971,0.03335741530090597,0.322745248032307
58,ARHGAP4,2.2175808,1.5353236,0.033482388796951465,0.322745248032307
59,RASSF1,2.2086215,1.932228,0.03412095140574082,0.32664636658404794
60,UBE2J1,2.2085967,1.6907015,0.033937383132467226,0.32575676342870813
61,NBEAL2,2.2042239,1.3662484,0.03391784661753313,0.32575676342870813
62,NOSIP,2.201382,1.2672094,0.03410881009681572,0.32664636658404794
63,ATG16L2,2.2007866,1.8385661,0.03468788128004485,0.3309088343088534
64,C1orf116,2.2003655,2.1881435,0.03470598467936609,0.3309088343088534
65,GMDS,2.199503,1.7082238,0.034723680738722604,0.3309088343088534
66,UBR2,2.1938493,2.0234318,0.035512282676759585,0.3380769310827512
67,OAS2,2.1894872,2.6349394,0.03595423745907269,0.3412343886453095
68,FAM120AOS,2.1851234,2.125841,0.0360811221459962,0.34208884142914886
69,C1S,2.1849773,1.3391442,0.035707322700680666,0.33958541937266185
70,VOPP1,2.1732485,1.2971531,0.03651507552240429,0.34549738124256535
71,GAPDH,2.1652853,0.85137904,0.0367464353275568,0.3473323958354198
72,SSR3,2.1555085,1.3225212,0.037781225943356984,0.35675009074897207
73,PIM2,2.1554341,2.1676855,0.038557943188121106,0.36334500372806106
74,PHF1,2.152621,1.8570374,0.03846530987128532,0.3628404534809658
75,UBE2M,2.1504288,1.694007,0.038798150291434144,0.36523775964005245
76,CDC37,2.1393416,1.3422004,0.03955141616506429,0.36670361328056045
77,PARP8,2.1380854,2.642982,0.04023506964393319,0.36670361328056045
78,RHBDF2,2.1380854,2.642982,0.04023506964393319,0.36670361328056045
79,IFI35,2.137424,1.377365,0.039640241951826194,0.36670361328056045
80,UBE2D2,2.1353478,3.3637106,0.04068848259623944,0.36670361328056045
81,MUC13,2.1346526,0.94488734,0.03945247787022661,0.36670361328056045
82,CARD16,2.1317463,1.9177345,0.04060742917964115,0.36670361328056045
83,R3HCC1,2.1300228,1.7362579,0.04048199525126874,0.36670361328056045
84,FLII,2.121348,1.7909812,0.04133178787199666,0.36670361328056045
85,MYO9B,2.1144464,1.5075283,0.0421255284831268,0.36670361328056045
86,INPP5D,2.1143703,2.7741787,0.04253953532319528,0.36670361328056045
87,GPI,2.1137683,1.1841918,0.04156562229457526,0.36670361328056045
88,ARL6IP4,2.1136744,1.198726,0.04136722607974464,0.36670361328056045
89,LGALS3,2.108021,0.9782099,0.04182759594175276,0.36670361328056045
90,SERP1,2.1063356,1.1847202,0.04221803342003637,0.36670361328056045
91,C1R,2.1023643,1.7056751,0.04317815365379153,0.36670361328056045
92,ITGB2,2.0822606,2.066383,0.045365299608324215,0.3677560794449479
93,QRICH1,2.0802917,1.7665184,0.04518986961681861,0.36670361328056045
94,NADSYN1,2.062771,1.2066666,0.04643573619476759,0.3761051512738506
95,SYTL1,2.0622826,2.2365081,0.04732746694574103,0.38166250928789597
96,PECAM1,2.0569007,2.2923868,0.047689506166504934,0.383915001073286
97,TMC8,2.0559714,1.982752,0.0476597914534401,0.383915001073286
98,SPTAN1,2.050554,1.2904078,0.04778593871104788,0.3843579576394683
99,NCOA6,2.0497952,2.0095387,0.048346294922027,0.3881923092268639
100,NOTCH3,2.047836,2.9459198,0.04896408546182005,0.39078644991970224
101,RHOB,2.047836,2.9459198,0.04896408546182005,0.39078644991970224
