Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	epithelial cell differentiation (GO:0030855)	4/101	1.320362e-05	4.832525e-03	0	0	3.278186e+01	3.683048e+02	VIL1;TST;CDHR2;HNRNPH3
GO_Biological_Process_2021	epithelium development (GO:0060429)	4/122	2.781386e-05	5.089937e-03	0	0	2.691932e+01	2.823830e+02	VIL1;TST;CDHR2;HNRNPH3
GO_Biological_Process_2021	cellular response to dsRNA (GO:0071359)	2/18	3.061552e-04	3.735094e-02	0	0	9.238426e+01	7.475197e+02	MAVS;RIOK3
GO_Biological_Process_2021	hematopoietic progenitor cell differentiation (GO:0002244)	2/32	9.800984e-04	7.566559e-02	0	0	4.923704e+01	3.411072e+02	ACE;PRRC2C
GO_Biological_Process_2021	positive regulation of innate immune response (GO:0045089)	2/36	1.240420e-03	7.566559e-02	0	0	4.343573e+01	2.906852e+02	MAVS;RIOK3
GO_Biological_Process_2021	positive regulation of interferon-beta production (GO:0032728)	2/36	1.240420e-03	7.566559e-02	0	0	4.343573e+01	2.906852e+02	MAVS;RIOK3
GO_Biological_Process_2021	regulation of interferon-beta production (GO:0032648)	2/49	2.288592e-03	8.539905e-02	0	0	3.140110e+01	1.909130e+02	MAVS;RIOK3
GO_Biological_Process_2021	organonitrogen compound catabolic process (GO:1901565)	2/63	3.753285e-03	8.539905e-02	0	0	2.417729e+01	1.350332e+02	ACE;TST
GO_Biological_Process_2021	cholesterol homeostasis (GO:0042632)	2/71	4.741579e-03	8.539905e-02	0	0	2.136554e+01	1.143352e+02	ABCA5;EPHX2
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	2/72	4.872687e-03	8.539905e-02	0	0	2.105926e+01	1.121218e+02	ABCA5;EPHX2
GO_Biological_Process_2021	positive regulation of type I interferon production (GO:0032481)	2/77	5.553127e-03	8.539905e-02	0	0	1.965037e+01	1.020521e+02	MAVS;RIOK3
GO_Biological_Process_2021	protein-containing complex assembly (GO:0065003)	3/267	6.651476e-03	8.539905e-02	0	0	8.613199e+00	4.317725e+01	VIL1;TLE3;SPG7
GO_Biological_Process_2021	protein retention in Golgi apparatus (GO:0045053)	1/5	7.229642e-03	8.539905e-02	0	0	1.782768e+02	8.788271e+02	VPS13C
GO_Biological_Process_2021	transsulfuration (GO:0019346)	1/5	7.229642e-03	8.539905e-02	0	0	1.782768e+02	8.788271e+02	TST
GO_Biological_Process_2021	disaccharide biosynthetic process (GO:0046351)	1/5	7.229642e-03	8.539905e-02	0	0	1.782768e+02	8.788271e+02	FBP1
GO_Biological_Process_2021	homoserine metabolic process (GO:0009092)	1/5	7.229642e-03	8.539905e-02	0	0	1.782768e+02	8.788271e+02	TST
GO_Biological_Process_2021	RNA import into mitochondrion (GO:0035927)	1/5	7.229642e-03	8.539905e-02	0	0	1.782768e+02	8.788271e+02	TST
GO_Biological_Process_2021	rRNA transport (GO:0051029)	1/5	7.229642e-03	8.539905e-02	0	0	1.782768e+02	8.788271e+02	TST
