,names,scores,logfoldchanges,pvals,pvals_adj
0,REG1A,6.6689987,3.5565825,8.488937817245898e-07,0.003939716040983822
1,IGHA1,5.56845,3.4571908,1.498031931222991e-05,0.024318000695559637
2,AL627171.2,5.10797,2.0601687,2.7493258519715616e-05,0.025519242558000033
3,IGKC,4.097557,2.5306096,0.0004839795441272415,0.08476034204885012
4,IGHG4,3.7972345,2.245268,0.0009856368419902085,0.11580609072598881
5,IGHG2,3.3564246,3.8657897,0.00355038736310302,0.18822618373462038
6,PSAP,3.3403363,2.1825137,0.0031624571812509904,0.18822618373462038
7,IGLC3,3.3312285,4.0839458,0.0038231020391983044,0.18822618373462038
8,IGHG3,3.324353,2.751988,0.003521683762726274,0.18822618373462038
9,DMBT1,3.2634864,2.675877,0.003918537079535562,0.18822618373462038
10,S100A6,3.1482196,1.7613245,0.004577832455291252,0.1894038023929718
11,IGLC1,3.0532043,2.349388,0.006507470818618717,0.2244881500553288
12,IGLC2,3.028866,2.8175998,0.007003095471716849,0.2244881500553288
13,MUC1,2.9920878,2.4792898,0.006864757388086086,0.2244881500553288
14,APOL2,2.9570093,2.8946137,0.008201401651890287,0.2244881500553288
15,C1S,2.9100897,2.1982536,0.00841853106743734,0.2244881500553288
16,RACK1,2.903246,1.1263293,0.007408767216411869,0.2244881500553288
17,HLA-C,2.8530495,1.6633555,0.009160546175529583,0.23231745792695516
18,IGHM,2.8263564,2.0562868,0.010266999961531156,0.25617820871755964
19,LCN2,2.705224,3.0835805,0.014200801551096123,0.2670340873527491
20,JCHAIN,2.6434536,1.9380602,0.015663475733485737,0.27128898712410876
21,C1QB,2.5699525,2.8427703,0.01917743468966706,0.2996290732656576
22,CD14,2.5570416,27.661707,0.020411814263518114,0.2996290732656576
23,TMSB10,2.5162308,1.3370752,0.01941117952578783,0.2996290732656576
24,ANXA2,2.4973023,1.5783203,0.020016454436869276,0.2996290732656576
25,PLA2G2A,2.483987,1.7739275,0.0210344140043607,0.2996290732656576
26,APBA3,2.4277678,4.6267924,0.02627600342347383,0.3109942384905337
27,LINC02739,2.4061005,1.5567364,0.0257274999594562,0.3109942384905337
28,PRKCSH,2.4046829,2.338669,0.026306182945686943,0.3109942384905337
29,STUB1,2.3960612,2.2058735,0.026455348873096186,0.3109942384905337
30,SSR4,2.3587897,2.1950243,0.02921977855573655,0.32326339041042507
31,OS9,2.3161693,1.8357484,0.03054260129146663,0.3358962383736887
32,S100A10,2.3101852,1.8257083,0.03133584314971897,0.33830891858325296
33,TXNDC5,2.3061018,2.498277,0.03268920032056748,0.33830891858325296
34,VPS9D1,2.300592,3.6206064,0.033677221538528423,0.33830891858325296
35,NOP56,2.2996595,1.8278083,0.03216078307648298,0.33830891858325296
36,CXCL14,2.2962556,1.9293996,0.032939018402971906,0.33830891858325296
37,SNHG1,2.2638762,0.8434355,0.032776787450503775,0.33830891858325296
38,SPINK4,2.2513204,2.0305731,0.03578655998969944,0.33830891858325296
39,HLA-A,2.2394865,0.9693207,0.033703619898240035,0.33830891858325296
40,GAS5,2.2373052,1.302695,0.03671865020181738,0.33830891858325296
41,MICALL2,2.2317579,1.4416723,0.0352725572042781,0.33830891858325296
42,B2M,2.2041912,0.88233083,0.03725080878569275,0.33830891858325296
43,ACTN1,2.2038927,27.3112,0.041604739016260044,0.33830891858325296
44,MYL6,2.1947522,1.0963497,0.03872418824070303,0.33830891858325296
45,SERPINA1,2.1860387,1.0957688,0.03832230187117486,0.33830891858325296
46,STAT5B,2.15582,3.2058692,0.04489240815833624,0.3384982392572518
47,DUS1L,2.15582,3.2058692,0.04489240815833624,0.3384982392572518
48,TSPAN1,2.1387768,1.6594193,0.04434403851890071,0.33830891858325296
49,CDC42SE1,2.1171486,2.315865,0.047033148623404394,0.3478951746516763
50,RRBP1,2.117019,1.5012597,0.046615493075329015,0.3478951746516763
51,NOSIP,2.1152465,2.329184,0.047675258796681344,0.3478951746516763
52,PSMB10,2.1152465,2.329184,0.047675258796681344,0.3478951746516763
53,BSG,2.0932798,2.4160755,0.05010860262420355,0.3478951746516763
54,TXLNA,2.0909297,2.7688258,0.05022403943473887,0.3478951746516763
55,SSR3,2.0909297,2.7688258,0.05022403943473887,0.3478951746516763
56,CFB,2.084644,1.541613,0.049139695980724665,0.3478951746516763
57,IFNGR1,2.0798807,2.9451947,0.05206295522056184,0.3584928415113167
