,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,11.736436,2.869498,8.59337577165541e-14,6.64697615937546e-11
1,IGHA1,9.968907,4.1472416,1.1825086412731161e-11,5.226688194427173e-09
2,REG1A,9.399645,4.156131,5.154498640264464e-11,1.91376225515739e-08
3,IGKC,8.623107,3.3208914,4.133332764699855e-10,1.0369079654579475e-07
4,JCHAIN,6.6719947,3.4759533,1.2147405273209182e-07,9.99137233604481e-06
5,IGHG4,6.617192,3.0067027,1.3764811268399358e-07,1.0827540524854478e-05
6,TMSB10,6.557418,2.4593594,1.4480632247756986e-07,1.120076904364003e-05
7,DMBT1,5.9711905,3.2109742,9.475550851421093e-07,5.1134920350517784e-05
8,PSAP,5.7928133,2.8144255,1.5900176752485579e-06,7.646914021583997e-05
9,S100A6,5.6412663,2.5172958,2.3820050179531015e-06,0.00010732898338175091
10,RACK1,5.2757125,1.5843168,6.5033814524511e-06,0.00023838866182954806
11,IGHG3,5.085132,3.6339066,1.3928778433270715e-05,0.0004281023888000621
12,PLA2G2A,5.026971,2.7267427,1.5641013131733393e-05,0.0004744440649959129
13,ACTB,4.9988055,1.7239021,1.5521819906484665e-05,0.0004723722372852153
14,CD74,4.9613695,1.6098478,1.7155267191717445e-05,0.0005169973703685757
15,C1QA,4.8895054,2.7016404,2.4053301858043015e-05,0.0006566551407245743
16,IGHM,4.8609066,3.0300403,2.6621822625276103e-05,0.0007100682689879679
17,GAPDH,4.8485813,1.9742501,2.5315323716645097e-05,0.00068908162679736
18,ANXA2,4.8231373,2.4587374,2.867096944641029e-05,0.0007625327747896284
19,IGHG2,4.624139,5.2074175,5.519071711912088e-05,0.0012841538611598272
20,S100A10,4.604937,2.408668,5.488097897289719e-05,0.0012841538611598272
21,WARS,4.577959,2.9874485,6.120246554730008e-05,0.0013429817617258615
22,HLA-DRA,4.425508,1.7891648,9.065102967007484e-05,0.0018823777570416882
23,B2M,4.2967296,1.3508165,0.00012694907366236728,0.00246000271760771
24,FTL,4.2438183,1.5955416,0.00015251227481016745,0.002906815061166272
25,ENO1,4.18296,2.0708036,0.00018659971315152033,0.003350132567644897
26,HSP90B1,4.1791606,1.9102756,0.00018829832963813457,0.0033741025013536005
27,SERPINA1,4.161967,1.7753503,0.00019569829327667246,0.003487313817375606
28,PFDN5,4.1492653,1.9463768,0.0002053523829860007,0.0035627678857496417
29,CXCL14,4.141998,2.762949,0.00021859592029342445,0.003778412164177962
30,HLA-C,4.1241918,1.6229936,0.00021764438795312017,0.0037689835988448904
31,SPINK4,4.107456,2.4110296,0.0002376553553494352,0.004062462262161064
32,ACTG1,4.091455,1.5424178,0.00023944955224142563,0.0040706423881042356
33,C1QB,4.036691,3.4732032,0.0002984029846916558,0.0047185289674752115
34,UBA52,4.0076,1.5533092,0.0003038374989218596,0.004796291947266498
35,MUC1,3.9886572,4.0808787,0.0003433589310984418,0.005330384439256917
36,MUC13,3.9736955,1.9464989,0.00034682387072954696,0.005356437883713236
37,HLA-A,3.969333,1.4587592,0.0003363539358972053,0.005300572551779049
38,SERPINB6,3.9611952,1.7814887,0.00035265306569039933,0.005437418198900808
39,PSMB10,3.953287,2.773645,0.00037250741782738337,0.0057245262454863775
40,HLA-E,3.9456658,1.7282758,0.0003716294909171663,0.00572050569600852
41,MYL6,3.926383,1.5080309,0.0003855901533612311,0.0058962896268516425
42,LYZ,3.915501,1.9930471,0.000410588651807161,0.006268230042884981
43,TAPBP,3.8974981,1.537552,0.00041697003253824295,0.0063551984269621855
44,ARPC1B,3.8533096,2.2670667,0.0004892396381036495,0.007383013210540276
45,SH3BGRL3,3.826844,2.4868119,0.0005352254503428489,0.007750331716197072
46,TYMP,3.7989657,1.4146,0.0005550498233328769,0.008024879221457575
47,IGLC1,3.768509,2.6131349,0.000635120847420924,0.008918595621423626
48,CTSB,3.7507493,2.356697,0.000662739493856291,0.009236558531492634
49,SNHG1,3.7195117,1.1357253,0.0006836457508153586,0.00951364296711868
50,PKM,3.715682,2.3680892,0.0007264038025995589,0.010093533077438781
51,LGALS3,3.6943562,1.7928734,0.000757938830996016,0.010507398251571041
52,APOL1,3.6928766,3.3568017,0.0007859604655806087,0.010856078930832158
53,P4HB,3.6734357,1.7311205,0.0008024534859343989,0.011067419400361203
54,IDO1,3.6558824,4.364584,0.0008754794889149542,0.011282588080168972
55,SSR4,3.6051643,2.532435,0.000992374092802361,0.012722674488109827
56,TXNDC5,3.591866,3.0750334,0.0010354568794603604,0.013076341163470838
57,COL18A1,3.590026,3.027338,0.0010411073456272355,0.013129834758304348
58,IGLC2,3.5824018,3.0367095,0.001070944748079644,0.01348780074854173
59,C1S,3.5686874,3.0029058,0.0011021631498955512,0.013862165795840795
60,LINC02739,3.5414033,1.5855027,0.0011667465147587128,0.014575694683701713
61,TNFRSF6B,3.5373123,3.9617968,0.0012138955557655497,0.015144326006204073
62,IGLC3,3.5291097,4.374509,0.001247324631637496,0.015478164747138017
63,HLA-DPB1,3.5289578,2.1521688,0.0012200926365530207,0.015180830901454608
64,GAS5,3.5249832,1.468201,0.0012175835677176777,0.015169947215510717
65,GPX2,3.519132,2.2817473,0.001251869228179061,0.015513818659490045
66,TAGLN2,3.442872,2.0524561,0.0015417111469907825,0.017865371868125396
67,CD24,3.4262073,2.4823134,0.0016252935830558314,0.018763650544681876
68,TMSB4X,3.4243298,1.7929263,0.0016150560956619436,0.018668680796929217
69,APOL2,3.391939,2.1286368,0.0017695778557744752,0.019885256243703
70,EEF2,3.3738377,1.440538,0.001820422426847055,0.02043187541232692
71,NACA,3.3725598,1.8355182,0.0018530975587680736,0.020773492198653695
72,S100A16,3.3628666,2.5300841,0.0019288213475612047,0.02146681024947614
73,LCN2,3.3464334,3.762079,0.002032323263714464,0.022537663720188356
74,TXNIP,3.3395805,1.9717622,0.0020414900895351965,0.022585352814142663
75,FABP1,3.336399,1.3789213,0.002006183281842268,0.022274393806291787
76,RAC1,3.335112,1.8159517,0.0020412552245227303,0.022585352814142663
77,PLCG2,3.32634,2.17071,0.0021147092760397737,0.02333975208109534
78,CFB,3.3014014,1.8073354,0.0022451386943426657,0.024720495090022093
79,HLA-F,3.2940774,1.76799,0.0022933111076238076,0.02522098779735093
80,PIGR,3.2698972,1.1200204,0.0023922303924470948,0.02624666962493373
81,CDC25B,3.2444718,2.4758627,0.0026477382286614485,0.027463178072991257
82,SSR3,3.2428656,2.3640308,0.0026480870906407214,0.027463178072991257
83,CIZ1,3.2355235,2.829064,0.002722995966744555,0.028145711095014427
84,ASS1,3.2335434,2.0833216,0.002711933443423393,0.028062615631946414
85,HEXA,3.2279787,2.7261798,0.0027696284867097846,0.028595874987363983
86,UBD,3.2274697,3.5772176,0.002796622295946497,0.028842497945528203
87,EEF1A1,3.2244613,1.1357502,0.0027016569645571704,0.027987477617209437
88,IFI30,3.2212014,3.0550957,0.002846251851210616,0.02925682135430447
89,TPT1,3.2165174,1.3631965,0.0028116598720721404,0.028965401700969597
90,ITM2B,3.2130914,1.5460062,0.0028356686419814133,0.029180350703848643
91,JUP,3.2119431,2.183823,0.0028809282915420423,0.029547819228832307
92,HLA-DQB1,3.2065642,2.5054708,0.002939902404380873,0.030119397480643777
93,HLA-B,3.2014127,0.96692455,0.0028621283093710082,0.02938747230927179
94,CALR,3.2007833,1.9479908,0.002959009137714225,0.030253786138784475
95,PSMB9,3.200413,1.9457827,0.002959538656972237,0.030253786138784475
96,LMAN2,3.198708,2.1168404,0.002967333339286483,0.030300096870469896
97,CD63,3.197188,1.7723482,0.002982508298999871,0.030421584649798685
98,CDC42SE1,3.193514,3.2161183,0.0030524102527099213,0.03066284844767694
99,TSPAN1,3.171198,1.7666334,0.0031925003708701805,0.03203544696477515
100,HLA-DRB5,3.1681042,3.3477373,0.003272710128551033,0.03280485465789491
101,PSME1,3.1590986,1.9961811,0.0032942151073406256,0.03287839207132869
102,NBEAL2,3.1538126,1.9743588,0.0033319262015481825,0.033219053708668345
103,HINT1,3.150348,1.9862516,0.0033868390097758438,0.0336580724718837
104,TMEM176B,3.1464446,1.6162701,0.0033591300579940975,0.033454340341524905
105,PHGR1,3.1439512,1.2214447,0.0033686747372104436,0.033513439347038945
106,CARD16,3.1437786,2.8145592,0.0034769707047898855,0.03451683645118686
107,CLDN7,3.1276069,1.7498628,0.0035760086315631745,0.03546208559633481
108,RALY,3.1132433,2.159489,0.0037359752316437245,0.03700888164366814
109,EIF1,3.100838,1.7040018,0.003839694623564869,0.03783444320162326
110,ARL6IP4,3.0930643,1.7867551,0.003906688972912332,0.03845375084472138
111,IL4R,3.0825746,2.0487616,0.004040764712468103,0.03964733410267329
112,COL1A2,3.0775604,2.3164952,0.004120286297383296,0.04034229684843012
