,names,scores,logfoldchanges,pvals,pvals_adj
0,IGHA1,6.968828,2.364684,3.227626569113244e-10,1.359487210602797e-06
1,IGKC,6.8195057,2.0435727,7.200317893334714e-10,1.6708337671483203e-06
2,IGHG4,6.8019705,2.0981717,4.393947028451186e-10,1.359487210602797e-06
3,AL627171.2,5.971862,1.4926182,5.4849788842545006e-08,8.485262333941713e-05
4,IGHG3,5.90906,2.199102,2.92379192591311e-08,5.427727331265097e-05
5,REG1A,5.628946,2.0914457,1.1653720332641083e-07,0.00015452833161082075
6,MUC1,5.340126,2.8760526,5.004707701769396e-07,0.0005806712110977942
7,TNFRSF6B,5.3331294,4.7330036,7.002727007039807e-07,0.000722214578659372
8,IGHM,5.1505203,1.8262322,1.0634626541268715e-06,0.000987106035560562
9,WARS,4.964523,2.651266,2.3356412763816772e-06,0.001740511051724947
10,LINC02739,4.9215813,1.8446329,2.6252052062216396e-06,0.001740511051724947
11,IGHG2,4.788959,3.015729,5.170354137641129e-06,0.00299945169409906
12,CD55,4.6758475,3.24212,8.788563886722961e-06,0.004623430529199816
13,JCHAIN,4.64217,1.5738709,8.965928628053943e-06,0.004623430529199816
14,LIMD1-AS1,4.561204,1.8037441,1.1445706130927205e-05,0.005591528647750858
15,C1QA,4.5477867,1.6129603,1.21169673920699e-05,0.00562348456665964
16,AL049543.1,4.5282154,3.2696118,1.5120255484182481e-05,0.006683152924008656
17,CD74,4.2442756,1.3006066,4.4114600177880374e-05,0.01861235085686753
18,IDO1,4.1964006,3.534423,5.951749055220872e-05,0.022097653892224053
19,IGLC1,4.186194,1.7658339,5.128262631935511e-05,0.020695884238967573
20,TYMP,4.1330748,1.548191,6.40410779054257e-05,0.022158964737542135
21,IRF1,4.126998,2.0361013,6.445723420745934e-05,0.022158964737542135
22,CYBA,4.0582952,1.9777745,8.385898901723986e-05,0.02779925485921501
23,GBP4,4.0381145,4.0503025,0.00010920036266226555,0.034951647111418925
24,EPS8L1,3.9760785,27.085894,0.00015144326783198686,0.04685654706721674
25,RNF213,3.8891778,1.6692872,0.00015837749574825366,0.0474212875979126
26,LCN2,3.8667831,2.3000252,0.0001742762804271572,0.05055101359140229
27,DMBT1,3.758885,1.5363652,0.0002561531563833377,0.0720488968954588
28,PLAC8,3.7430995,2.5307653,0.00028381271776357247,0.07748087194945528
29,ITPA,3.7263541,26.669786,0.00035823918471127736,0.0838626470885277
30,ARFRP1,3.7144222,2.2048192,0.0003015568574484094,0.07997287859531817
31,IGLC3,3.6882222,1.8730891,0.00032811285711344655,0.0838626470885277
32,MXRA5,3.6809664,3.5686967,0.0003704340153662611,0.0838626470885277
33,MAP3K11,3.6791778,2.3237267,0.0003482806088400392,0.0838626470885277
34,SULF2,3.6755426,26.74208,0.00042509027157395336,0.09126454459076931
35,DNM2,3.6701462,1.7828528,0.0003498258057076035,0.0838626470885277
36,RHOT2,3.6612535,2.4347782,0.00036868662218868817,0.0838626470885277
37,CXCL14,3.6432705,1.4302583,0.00038480752786336937,0.08504246365780463
38,IGLC2,3.6108794,1.4246659,0.0004326265850025694,0.09126454459076931
39,CD24,3.5928519,1.82814,0.00046467782555530075,0.0958475461512067
40,PLA2G2A,3.5734415,1.3187807,0.0004931994141410032,0.09951906439253896
41,SERPINB6,3.5641387,1.3885654,0.000510790112285143,0.100875613238951
42,HLA-C,3.56137,1.1677804,0.0005508227362290481,0.10434156403424538
43,ITGB4,3.552487,1.8689662,0.0005292196197946117,0.10233784397778305
44,ASS1,3.5152543,1.7625788,0.0006019107187754072,0.1117387058334666
45,GBP2,3.4967663,2.0352118,0.0006470245018030936,0.11775845932816302
46,FHL2,3.491467,26.616432,0.0007806310480721261,0.13934264208087452
47,CTSC,3.3893619,2.791151,0.0009634396849005113,0.1687291916084254
48,FURIN,3.354102,26.394367,0.0012131668198840553,0.19755463898532985
49,ALCAM,3.354102,26.394367,0.0012131668198840553,0.19755463898532985
50,ANXA2,3.3386075,1.4198381,0.0010925660368812852,0.1877999621172609
51,H2AFZ,3.3146877,3.3171802,0.0012504374892030122,0.20011311680659238
52,COX15,3.3028047,26.480003,0.0014262056869851262,0.20684439354056158
53,NOL9,3.3028047,26.480003,0.0014262056869851262,0.20684439354056158
54,TTC31,3.3028047,26.480003,0.0014262056869851262,0.20684439354056158
55,VCL,3.2733066,26.561228,0.0015641362660399152,0.21997443668761352
56,PDZK1IP1,3.2416196,1.922699,0.0015157979894117515,0.2164559528879981
57,SLC35C1,3.2204702,26.53806,0.0018429531215251543,0.24559377440997457
58,ISLR,3.2088554,26.616432,0.001910184807684098,0.24559377440997457
59,SEM1,3.1963313,2.2607946,0.0017611655116584759,0.24398713849573092
60,MISP,3.1846635,1.3336174,0.001845079255532478,0.24559377440997457
61,UBA7,3.1685197,2.077495,0.0019214633976143993,0.24559377440997457
62,GPSM3,3.160111,26.236185,0.002218135389461761,0.24559377440997457
63,SIN3B,3.160111,26.236185,0.002218135389461761,0.24559377440997457
64,ELOF1,3.160111,26.236185,0.002218135389461761,0.24559377440997457
65,FMNL1,3.160111,26.236185,0.002218135389461761,0.24559377440997457
66,NUFIP2,3.160111,26.236185,0.002218135389461761,0.24559377440997457
67,NPLOC4,3.1578093,2.0498903,0.001983986094910329,0.24559377440997457
68,TALDO1,3.1549258,2.611219,0.0020368013629558,0.24559377440997457
69,PSME2,3.1499016,1.3132992,0.0020416969112999625,0.24559377440997457
70,UBD,3.131384,2.674501,0.00220909684270512,0.24559377440997457
71,CDC25B,3.1267982,1.6473825,0.002171956682343942,0.24559377440997457
72,ARHGAP45,3.1256993,2.0725262,0.0022028517355845473,0.24559377440997457
73,UBA52,3.1194952,1.0608008,0.002287492764510038,0.2473890687298606
74,PLAAT4,3.1193945,1.3773392,0.0022225680942079148,0.24559377440997457
75,CASP10,3.1147811,2.596283,0.0023110989984820533,0.2473890687298606
76,VDAC2,3.1060014,2.2276645,0.00234542534456235,0.2473890687298606
77,APOL2,3.1042087,1.7532288,0.002331526172771797,0.2473890687298606
78,PLAUR,3.082242,3.3506815,0.0026363694882253316,0.26890968779898383
79,WDR6,3.0702782,2.2290487,0.002625768132430888,0.26890968779898383
80,ITGAV,3.0696394,26.50403,0.0029158639731535906,0.29102203654636155
81,TMSB10,3.0549743,0.95530486,0.0027806718377365236,0.2805456086725045
82,CXCL10,3.0244675,3.394683,0.0031598365037774473,0.30551669195898196
83,C1S,3.024035,1.818307,0.0030066956025017974,0.29689519768533706
84,PARP14,3.0190434,1.4671665,0.0030414466723929167,0.2971653475068532
85,SPON2,2.9879751,3.4975848,0.003552488889541387,0.32728818670475557
86,TSPAN1,2.9864872,1.3099219,0.003361403458249827,0.32165512267499896
87,ARL6IP4,2.9692276,1.5632691,0.0035432592863802823,0.32728818670475557
88,EPSTI1,2.9626095,2.40204,0.003638985777312337,0.32728818670475557
89,TIMM17B,2.9591818,26.06009,0.004043318833471973,0.32728818670475557
90,HINT3,2.9591818,26.06009,0.004043318833471973,0.32728818670475557
91,AIF1,2.9591818,26.06009,0.004043318833471973,0.32728818670475557
92,PA2G4,2.9591818,26.06009,0.004043318833471973,0.32728818670475557
93,CARD19,2.9591818,26.06009,0.004043318833471973,0.32728818670475557
94,TEN1,2.9591818,26.06009,0.004043318833471973,0.32728818670475557
95,PSMB2,2.9557977,3.1611488,0.0038315206575930956,0.32728818670475557
96,MLLT6,2.9524076,1.9402931,0.0037460519198393195,0.32728818670475557
97,RABGGTB,2.9449103,2.4664204,0.003874363249335699,0.32728818670475557
98,PPP2R5C,2.9376898,3.091971,0.004026829202689519,0.32728818670475557
99,ADAM28,2.9376898,3.091971,0.004026829202689519,0.32728818670475557
100,ATP6V1D,2.9376898,3.091971,0.004026829202689519,0.32728818670475557
