,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,9.198578,1.8562727,6.288798190504791e-14,1.9457541601421826e-10
1,IGLC2,8.706339,4.079639,1.691721542135692e-14,7.851279677051747e-11
2,IGHM,8.283463,2.7989485,2.9599554241068776e-13,6.86857656164001e-10
3,LINC02739,8.110387,3.1144638,4.0828257399173845e-13,7.579357703582632e-10
4,IGLC3,7.979905,29.45835,3.964738253393434e-12,6.133450077999643e-09
5,IGHG3,7.8592777,3.7603981,7.472025642300374e-12,8.669417751479009e-09
6,IGHG4,7.377998,2.613903,2.0783292742749274e-10,2.1434502582022085e-07
7,IGKC,6.595971,2.1951225,1.0859803275645125e-08,7.75389953881062e-06
8,IGHG1,6.4990354,2.9095016,1.6251484456310376e-09,1.3713298065770266e-06
9,IGLC1,6.224116,2.5677338,6.360422665961325e-09,4.919786932121085e-06
10,REG1A,6.1487722,2.104334,1.4389718085968571e-08,8.867264201722505e-06
11,MUC1,6.0426636,2.84146,1.5285092353755664e-08,8.867264201722505e-06
12,TNFRSF6B,5.611004,3.5564053,1.2518967320952827e-07,6.115844982793902e-05
13,PDZK1IP1,5.1280546,3.1742227,1.0664091693384405e-06,0.00044992772317270025
14,IGHG2,5.093878,3.522197,1.293189181597985e-06,0.0005218861731996737
15,TMEM107,5.0026913,1.7469448,2.2728612415920906e-06,0.0008403840416257464
16,IGHA1,4.8270407,1.5847266,8.2835962558203e-06,0.002651322084362897
17,C1QC,4.399336,27.25437,2.9163002095045893e-05,0.008443669935534892
18,LCN2,4.285095,2.1299121,3.5310283310764306e-05,0.009364287134014694
19,WARS,4.2650385,1.8247508,3.874953624886584e-05,0.009831266558282639
20,SNHG1,4.210518,1.3402288,7.677612250287659e-05,0.01583635486826001
21,MUS81,3.866523,26.600325,0.0002056693011566155,0.03050144142502286
22,JCHAIN,3.7751217,1.2074851,0.0003024281976062183,0.03686878921419949
23,ACP5,3.711138,2.542437,0.0003058496842806896,0.03686878921419949
24,SERPING1,3.699245,3.4858434,0.00032805311016331805,0.03814175410107552
25,CARD16,3.6666474,3.1773365,0.0003585324616390977,0.03966166797738271
26,MZB1,3.5921667,2.5524173,0.00046694494127410256,0.045147739009439795
27,MS4A1,3.5826628,26.774961,0.00054614557442193,0.049668510775793026
