Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	mRNA processing (GO:0006397)	99/300	1.699359e-15	8.637841e-12	0	0	2.884763e+00	9.810655e+01	TCERG1;CCNH;HNRNPU;HNRNPR;WDR83;CASC3;CCAR1;EFTUD2;PNN;ALKBH5;RAVER1;PAPOLA;SNIP1;MTREX;SNRNP35;TXNL4A;AQR;METTL3;THOC1;THOC2;ZCRB1;GTF2F1;THOC5;WBP11;CDC40;THOC7;DDX39A;PSPC1;SARNP;PRPF3;SNRPG;PPIE;SRSF3;SNRPE;SNRPF;SNRPC;SRSF8;SNRPB;SRSF9;RBM8A;DHX9;CSTF3;SNU13;RPRD1B;RPRD1A;CPSF7;ALYREF;CPSF2;LSM5;LSM3;CHERP;SMU1;HNRNPM;CWF19L1;DDX42;DDX41;YBX1;ELAVL1;SYNCRIP;SART3;PCF11;DHX16;BCAS2;RBM17;NCBP2;BUD31;PLRG1;WDR33;FRG1;SNRPA1;DNAJC8;SLU7;SF3B4;SF3B2;SF3B3;RNMT;POLDIP3;DDX23;CSTF2T;U2AF1L4;RNF113A;PUF60;POLR2B;POLR2C;TRA2B;POLR2F;POLR2G;SF3B1;HNRNPA0;SF3A3;SF3A1;HNRNPA3;GTF2H1;RPRD2;GTF2H4;NUDT21;XAB2;ERCC3;PPIL3
GO_Biological_Process_2021	cellular response to DNA damage stimulus (GO:0006974)	108/350	1.590394e-14	4.041986e-11	0	0	2.615668e+00	8.310555e+01	ATF2;CCNK;RIF1;TRRAP;SMC5;SMC6;PARK7;ALKBH7;BACH1;YY1;ENDOV;STK11;HERC2;CCND1;KMT5B;MTREX;MEN1;DDX11;USP3;ZBTB38;METTL3;FOXP1;DDIT3;PSME4;MAPKAPK2;TIMELESS;DCUN1D5;PRKDC;BOD1L1;XPA;XPC;PDS5B;FOXO1;MRNIP;OARD1;UBR5;ABL1;MAP2K6;LYN;CBX5;CBX3;FANCL;INTS3;UBE2A;FBXO31;SETX;CDK3;NABP2;ATM;MMS19;UBA1;BCL2L2;RAD9A;RPAIN;BTG2;WDR48;OGG1;PHF1;PIDD1;UFL1;PAXX;CASP2;UPF1;USP47;PARP3;PARP4;NCOA6;AKTIP;BAZ1B;SMC1A;SPIDR;DDB1;RNF169;NSMCE4A;IRF3;CEP63;FAN1;YAP1;USP16;USP10;BRAT1;PNKP;TAF9;IGHMBP2;UNG;RECQL5;POLD1;SUSD6;RBBP6;UBQLN4;MICA;MUTYH;NPM1;SLF2;GTF2H1;APTX;GTF2H4;HINFP;CUL4A;RAD52;RAD50;TAOK3;APC;ERCC3;APEX1;PWWP3A;RAD1;TAF1
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	216/908	2.504916e-13	3.614430e-10	0	0	1.850181e+00	5.368365e+01	ATF2;TCERG1;CCNK;SMARCB1;GABPB2;MAML1;SCX;HNRNPU;RBPJ;DCAF6;TBK1;KAT5;ZMIZ1;EPC1;KAT8;KAT7;SOX4;MEF2A;MEF2B;MRTFB;HCFC1;THAP3;DDIT3;RFX5;HOXB3;ATF5;HOXB7;ZFPM1;ZNF395;CASZ1;DHX9;PRKDC;PRDM15;PIK3R2;PIK3R1;ZNF24;ZNF827;DHX36;STAT5B;XBP1;XRCC6;SS18L2;SMARCA5;NFATC3;LARP7;MICAL2;SMARCA2;PBX1;ELL3;SMARCA4;FOSL2;SETX;AGO1;CREBRF;ATM;CDK13;ACVRL1;CSRNP2;SETD3;RSF1;MED17;IKBKB;PPP3CB;MED13;MLX;TEAD1;SS18;NCOA2;SREBF1;EDN1;ATMIN;NCOA6;NCOA3;TFE3;TET2;TFEB;SIRT2;GNL3;TAF6L;TET3;RARA;HCLS1;YAP1;TMF1;EGFR;BCLAF1;BRD8;BRD4;NPM1;NR1H2;STAT3;DAB2IP;ZNF76;VEGFA;HINFP;PER1;APEX1;NFIC;CRTC2;CCNT2;CCNT1;CD81;CRTC1;FHOD1;WWC1;UBP1;PARK7;NR3C1;ETS1;YY1;HOXA10;RUVBL2;POGZ;NFATC2IP;EP300;PITX2;MEN1;SLC30A9;SUPT16H;ZBTB38;GTF2F1;KAT6B;TBL1XR1;KAT6A;FIZ1;MZF1;GLYR1;NOTCH1;MAX;TNKS;NRF1;FOXO3;FOXO1;SLC9A1;NPAT;ABL1;DVL2;E4F1;RPRD1B;GCN1;BCL9L;ZBTB18;ZBTB17;AKIRIN2;AKIRIN1;SMAD4;AUTS2;PHF10;RFXANK;SMAD5;NFKB1;NFKB2;SMAD7;NFKBIA;AHI1;BMP2;TFCP2;SP3;TCF3;BMPR2;THRA;CHD8;ARRB1;YBX1;PKD2;MYSM1;PKD1;DBP;SIN3A;NCK2;EIF5A;KLF10;PPP1R12A;ATRX;ARNT;ABHD14B;VEZF1;CREB3;ELF1;HAX1;TFDP1;IRF3;TFDP2;ELF4;TRAF6;IRF5;EAPP;MET;HDAC5;HDAC3;USP16;WBP2;TAF9;FOXK2;RNF4;NR2C2;DLL1;ZNF507;HES1;E2F4;MLXIP;TCF7L2;CNBP;FOXJ3;KLF4;USF2;ASXL1;KLF7;KLF6;KANSL3;TAF7;TAF6;LPIN1;PAXBP1;PFKM;SSBP3
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	83/251	2.844328e-13	3.614430e-10	0	0	2.883227e+00	8.329147e+01	DDX42;HNRNPU;HNRNPR;WDR83;CASC3;DDX41;YBX1;ELAVL1;CCAR1;EFTUD2;PNN;SYNCRIP;SART3;RAVER1;PCF11;PAPOLA;DHX16;SNIP1;MTREX;SNRNP35;TXNL4A;BCAS2;RBM17;AQR;NCBP2;BUD31;METTL3;ZCRB1;PLRG1;GTF2F1;WBP11;CDC40;WDR33;DDX39A;PSPC1;PRPF3;FRG1;SNRPG;PPIE;SRSF3;SNRPE;SNRPA1;SNRPF;DNAJC8;SNRPC;SLU7;SRSF8;SNRPB;SRSF9;SF3B4;SF3B2;SF3B3;RBM8A;DHX9;CSTF3;DDX23;CSTF2T;SNU13;U2AF1L4;RNF113A;PUF60;POLR2B;POLR2C;TRA2B;POLR2F;POLR2G;SF3B1;HNRNPA0;SF3A3;SF3A1;CPSF7;HNRNPA3;ALYREF;CPSF2;LSM5;LSM3;CHERP;SMU1;HNRNPM;NUDT21;XAB2;CWF19L1;PPIL3
GO_Biological_Process_2021	mitochondrial translational elongation (GO:0070125)	42/89	4.160678e-13	3.700900e-10	0	0	5.179014e+00	1.476430e+02	MRPS15;MRPS14;MRPS36;MRPL18;MRPS33;MRPS12;MRPS34;MRPL16;MRPL36;MRPL14;MRPL37;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL33;MRPL11;MRPL4;MRPL41;MRPL42;MRPL2;GADD45GIP1;TSFM;MRPS26;MRPS25;MRPS22;MRPS18B;MRPL27;MRPS2;MRPS21;MRPL23;MRPS6;MRPL43;MRPL44;TUFM;MRPL22;MRPL30;OXA1L;MRPL51;DAP3
GO_Biological_Process_2021	transcription by RNA polymerase II (GO:0006366)	98/320	4.368562e-13	3.700900e-10	0	0	2.581373e+00	7.346373e+01	CCNK;CCNT2;HDAC10;CCNT1;ICE1;CCNH;MAML1;ICE2;RBPJ;NR3C1;TRIM24;PAPOLA;ABT1;PCID2;SUPT16H;GTF2F1;TBL1XR1;SNRPG;SNRPE;SNRPF;SNRPB;SLBP;NOTCH1;CSTF3;MAZ;RTF1;RPRD1B;RPRD1A;ZBTB7B;XBP1;CPSF7;INTS1;INTS3;CPSF2;ELL3;NFKB1;SETX;TFCP2;NABP2;INTS6;CDK13;INTS8;SETD2;THRA;ARRB2;AFF4;MED17;PCF11;SNAPC3;ELOA;NELFB;ELOC;TEAD1;TEAD3;NCBP2;WDR33;NCOR2;TFDP1;NFX1;MED20;RARA;YAP1;HDAC5;GTF2A2;CTDP1;ELOF1;HDAC3;RNMT;TAF9;CSTF2T;DDX21;NR2C2;NR2C1;IWS1;SCAF8;POLR2B;TAF1C;POLR2C;POLR2F;POLR2G;MBD1;NR1H2;TAF10;ADRM1;TAF11;GTF2H1;DEK;RPRD2;SSRP1;GTF2H4;NUDT21;ERCC3;NFIC;TRIP11;TAF7;TAF6;ERCC6;TAF1
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	87/274	9.955814e-13	7.229343e-10	0	0	2.715812e+00	7.505269e+01	DDX42;HNRNPU;HNRNPR;WDR83;CASC3;DDX41;YBX1;ELAVL1;CCAR1;EFTUD2;PNN;SYNCRIP;SART3;RAVER1;PCF11;PAPOLA;DHX16;SNIP1;MTREX;SNRNP35;TXNL4A;BCAS2;RBM17;AQR;NCBP2;BUD31;METTL3;ZCRB1;PLRG1;GTF2F1;WBP11;CDC40;WDR33;DDX39A;PSPC1;CLNS1A;PRPF3;FRG1;SNRPG;STRAP;PPIE;SRSF3;SNRPE;SNRPA1;SNRPF;DNAJC8;SNRPC;SLU7;SRSF8;SNRPB;SRSF9;SF3B4;SF3B2;SF3B3;RBM8A;DHX9;CSTF3;DDX1;DDX23;CSTF2T;SNU13;U2AF1L4;RNF113A;PUF60;POLR2B;POLR2C;TRA2B;POLR2F;POLR2G;SF3B1;HNRNPA0;SF3A3;SF3A1;CPSF7;HNRNPA3;ALYREF;CPSF2;LSM5;LSM3;CHERP;SMU1;HNRNPM;NUDT21;XAB2;CWF19L1;CDK13;PPIL3
GO_Biological_Process_2021	translational elongation (GO:0006414)	45/104	2.794205e-12	1.775368e-09	0	0	4.421748e+00	1.176339e+02	MRPS15;MRPS14;MRPS36;MRPL18;MRPS33;MRPS12;MRPS34;MRPL16;MRPL14;MRPL36;MRPL15;MRPL37;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL33;MRPL4;MRPL41;MRPL42;MRPL2;EEF2K;GADD45GIP1;TSFM;MRPS26;MRPS25;MRPS22;MRPS18B;MRPL27;MRPS2;MRPS21;GTPBP2;MRPL23;MRPS6;MRPL43;TUFM;MRPL22;MRPL44;MRPL30;OXA1L;MRPL51;NEMF;DAP3
GO_Biological_Process_2021	mitochondrial translation (GO:0032543)	45/105	4.190330e-12	2.366605e-09	0	0	4.347796e+00	1.139046e+02	MRPS15;MRPS14;MRPS36;MRPL18;MRPS33;MRPS12;MRPS34;MRPL16;MRPL14;MRPL36;MTIF2;MRPL15;MRPL37;MRPS30;MRPL12;MRPL13;MRPL57;MRPL54;MRPL11;MRPL33;MRPL4;MRPL41;MRPL42;MRPL2;IARS2;RARS2;GADD45GIP1;TSFM;MRPS26;MRPS25;MRPS22;MRPS18B;MRPL27;MRPS2;MRPS21;MRPL23;MRPS6;MRPL43;TUFM;MRPL22;MRPL44;MRPL30;OXA1L;MRPL51;DAP3
GO_Biological_Process_2021	ubiquitin-dependent protein catabolic process (GO:0006511)	102/354	8.948195e-12	4.395346e-09	0	0	2.365953e+00	6.018883e+01	UBE3C;UBXN2A;UBE2D2;UBE3B;FBXO21;FBXO22;PSMD8;PSMD6;PSMD7;RNF114;KAT5;CDC26;PSMD3;FBXW4;ANAPC7;FBXW7;UBE2E1;RC3H1;UBE4A;UBE4B;ARMC8;TRPC4AP;RC3H2;RNF40;KLHL42;RNF126;RNF128;WDR81;KCTD10;TBL1XR1;DDIT3;PSME4;KCTD13;PSME1;TRIM13;ANAPC4;ANAPC5;TSG101;UBR3;ATXN3;COP1;SHARPIN;RNF216;PSMF1;XBP1;ZRANB1;SMURF2;SIAH2;BFAR;UBE2A;NSFL1C;APPBP2;UBXN11;MDM2;UBA1;FBXL4;RNF11;PPP1R11;RNF13;ZFAND2A;TNFAIP3;ARRB1;ARRB2;PTPN23;ARIH2;ARIH1;ELOC;UBL7;VPS37B;SIRT2;DDB1;PSMA5;RNF167;RNF34;VPS4A;RNF6;RNF7;RCHY1;RNF4;RNF5;PSMA7;RMND5B;PSMB5;RMND5A;PSMB2;MVB12A;RBBP6;BUB3;UBQLN4;UBQLN2;ANKIB1;ADRM1;FBXL17;WWP1;WWP2;MIB1;CUL4A;PSMC4;PSMC2;UBAP1;STUB1;TAF1
