Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	epoxygenase P450 pathway (GO:0019373)	6/19	3.474291e-08	5.607506e-05	0	0	4.366286e+01	7.499224e+02	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	long-chain fatty acid metabolic process (GO:0001676)	8/83	3.092182e-06	1.852180e-03	0	0	1.015652e+01	1.288521e+02	CYP2J2;CYP2C9;CYP4F2;EPHX2;GSTA1;CYP3A4;ABCD1;CYP4F12
GO_Biological_Process_2021	nitrogen compound transport (GO:0071705)	10/143	3.442713e-06	1.852180e-03	0	0	7.207776e+00	9.066842e+01	SLC36A1;RCN3;CUBN;SLC6A19;SLC25A29;SLC22A5;ABCC2;FLVCR1;SLC3A1;AQP1
GO_Biological_Process_2021	arachidonic acid metabolic process (GO:0019369)	6/57	3.306479e-05	1.334164e-02	0	0	1.110836e+01	1.146054e+02	CYP2J2;CYP2C9;CYP4F2;EPHX2;CYP2C18;CYP4F12
GO_Biological_Process_2021	exogenous drug catabolic process (GO:0042738)	4/22	8.159832e-05	2.633994e-02	0	0	2.081833e+01	1.959775e+02	CYP2J2;CYP2C9;CYP3A4;CYP2C18
GO_Biological_Process_2021	drug catabolic process (GO:0042737)	4/23	9.794802e-05	2.634802e-02	0	0	1.972163e+01	1.820518e+02	CYP2J2;CYP2C9;CYP3A4;CYP2C18
GO_Biological_Process_2021	fat-soluble vitamin metabolic process (GO:0006775)	4/25	1.375883e-04	3.172393e-02	0	0	1.784157e+01	1.586338e+02	CUBN;CYP4F2;CYP3A4;CYP4F12
GO_Biological_Process_2021	fat-soluble vitamin catabolic process (GO:0042363)	3/12	2.508849e-04	4.499203e-02	0	0	3.109434e+01	2.577881e+02	CYP4F2;CYP3A4;CYP4F12
GO_Biological_Process_2021	organic hydroxy compound catabolic process (GO:1901616)	3/12	2.508849e-04	4.499203e-02	0	0	3.109434e+01	2.577881e+02	CYP4F2;CYP3A4;CYP4F12
GO_Biological_Process_2021	unsaturated fatty acid metabolic process (GO:0033559)	5/54	2.823869e-04	4.557724e-02	0	0	9.589893e+00	7.837084e+01	CYP2J2;CYP4F2;GSTA1;ABCD1;CYP4F12
GO_Biological_Process_2021	renal water homeostasis (GO:0003091)	4/31	3.253859e-04	4.774298e-02	0	0	1.387256e+01	1.114036e+02	ADCY9;CYP4F2;CYP4F12;AQP1
GO_Biological_Process_2021	icosanoid metabolic process (GO:0006690)	5/57	3.642519e-04	4.899188e-02	0	0	9.035256e+00	7.153813e+01	CYP2J2;CYP2C9;CYP4F2;DPEP1;CYP4F12
GO_Biological_Process_2021	cation transport (GO:0006812)	8/174	6.033540e-04	7.490872e-02	0	0	4.567604e+00	3.385968e+01	SLC36A1;SLC25A29;SLC5A9;SLC5A12;TRPM6;AQP1;TRPM4;SLC17A4
GO_Biological_Process_2021	organic substance transport (GO:0071702)	7/136	6.808162e-04	7.848838e-02	0	0	5.127907e+00	3.739382e+01	RCN3;CUBN;SLC22A5;ATP8A1;FLVCR1;APOA1;ABCD1
GO_Biological_Process_2021	epithelial cell differentiation (GO:0030855)	6/101	7.807333e-04	8.400690e-02	0	0	5.950139e+00	4.257489e+01	MAF;BDH2;ZNF703;GSTA1;ZDHHC7;PCK1
GO_Biological_Process_2021	carboxylic acid metabolic process (GO:0019752)	4/40	8.763374e-04	8.653903e-02	0	0	1.039968e+01	7.321127e+01	CYP2J2;CYB5A;CYP2C9;CYP4F2
GO_Biological_Process_2021	monocarboxylic acid metabolic process (GO:0032787)	7/143	9.154616e-04	8.653903e-02	0	0	4.862238e+00	3.401662e+01	CYP2J2;CYP2C9;ACOT11;CYP3A4;CYP2C18;CYP4F12;ACSF2
GO_Biological_Process_2021	sterol homeostasis (GO:0055092)	5/72	1.068691e-03	8.653903e-02	0	0	7.007107e+00	4.793787e+01	GRAMD1B;EPHX2;APOA1;APOB;ABCD1
GO_Biological_Process_2021	quinone catabolic process (GO:1901662)	2/5	1.125973e-03	8.653903e-02	0	0	6.191549e+01	4.203510e+02	CYP4F2;CYP4F12
GO_Biological_Process_2021	leukotriene B4 metabolic process (GO:0036102)	2/5	1.125973e-03	8.653903e-02	0	0	6.191549e+01	4.203510e+02	CYP4F2;CYP4F12
GO_Biological_Process_2021	menaquinone metabolic process (GO:0009233)	2/5	1.125973e-03	8.653903e-02	0	0	6.191549e+01	4.203510e+02	CYP4F2;CYP4F12
GO_Biological_Process_2021	microtubule nucleation (GO:0007020)	3/20	1.220113e-03	8.833778e-02	0	0	1.645505e+01	1.103938e+02	AKAP9;TUBGCP3;CLASP2
