,names,scores,logfoldchanges,pvals,pvals_adj
0,DMBT1,6.578893,30.85466,0.0012179323227348216,1.0
1,SERPINA1,4.7579045,3.1335843,0.0004659126142179129,1.0
2,CES2,4.448558,29.755522,0.006711306396531075,1.0
3,IFI27,4.3460307,29.95345,0.007386775833944382,1.0
4,HLA-F,4.3460307,29.95345,0.007386775833944382,1.0
5,AL627171.2,4.244978,2.625099,0.0013832177387664132,1.0
6,STAT2,3.976539,30.086166,0.010567087359680564,1.0
7,CST3,3.976539,30.086166,0.010567087359680564,1.0
8,ITM2B,3.8729835,29.897352,0.011724811003954635,1.0
9,CD74,3.606241,2.6033163,0.005937415993800668,1.0
10,IGKC,3.4558198,2.9228976,0.00976856961378182,1.0
11,CTNNB1,3.4,3.1106818,0.006812656951337454,1.0
12,EEF1G,3.3061428,3.3239849,0.009988471306727304,1.0
13,PTMA,3.3061428,3.3239849,0.009988471306727304,1.0
14,SH3GLB2,3.1622777,29.12977,0.025031015818452934,1.0
15,ERBB3,3.1622777,29.12977,0.025031015818452934,1.0
16,NET1,3.1622777,29.12977,0.025031015818452934,1.0
17,FTH1,3.0435028,3.208871,0.01861590011952076,1.0
18,DDX5,3.0385897,3.7537675,0.02031297911320191,1.0
19,TAPBP,3.0371957,2.184136,0.016430656822230667,1.0
20,TMSB10,2.9570892,2.0370119,0.015457654272793027,1.0
21,CBR1,2.9533412,29.37944,0.03176240372326898,1.0
22,NDUFB1,2.9533412,29.37944,0.03176240372326898,1.0
23,CD24,2.9533412,29.37944,0.03176240372326898,1.0
24,LCN2,2.9533412,29.37944,0.03176240372326898,1.0
25,SLC25A3,2.9533412,29.37944,0.03176240372326898,1.0
26,EDF1,2.9441993,29.605974,0.03210016536140851,1.0
27,MYO1A,2.8851264,3.2637339,0.024681467151603288,1.0
28,MT-CO2,2.8826318,1.7361716,0.02356525836081241,1.0
29,MICALL2,2.800838,29.755522,0.03795607257327451,1.0
30,CDHR5,2.7907221,1.8189784,0.016322830140296545,1.0
31,CLDN7,2.7594192,30.264084,0.03986211561414136,1.0
32,REG1A,2.741099,3.4757316,0.032682968997126305,1.0
33,RBM5,2.7053304,2.458058,0.023307405220611855,1.0
34,B2M,2.6788008,2.0073378,0.021913205746647825,1.0
35,IGHA1,2.6235704,4.739851,0.04273486846019798,1.0
36,HLA-C,2.600136,2.1124656,0.026128304816480534,1.0
37,C1QA,2.587021,3.3592694,0.040280937023825666,1.0
38,IGHG4,2.5476575,2.2386644,0.03339250847497218,1.0
39,LYZ,2.5438144,4.043916,0.045388422479741244,1.0
40,PSME2,2.5356789,29.661718,0.05216766365759601,1.0
41,FTL,2.4356155,2.1497364,0.04123431071694155,1.0
42,EPCAM,2.429224,3.5219116,0.04939688088877033,1.0
43,TPM3,2.429224,3.5219116,0.04939688088877033,1.0
44,ATP2A3,2.4078312,29.755522,0.061027326079364744,1.0
45,CLDN15,2.3147855,3.174436,0.054715656948450674,1.0
46,MALL,2.3147855,3.174436,0.054715656948450736,1.0
47,UBA52,2.2948658,3.9531717,0.06395689911624632,1.0
48,HLA-DRA,2.2891867,2.8369155,0.060382906414541616,1.0
49,LGALS4,2.2694938,3.3239849,0.060848830145395265,1.0
50,MISP,2.2694938,3.3239849,0.060848830145395265,1.0
51,MOV10,2.236068,28.6258,0.0755868184216124,1.0
52,NDUFS5,2.236068,28.6258,0.0755868184216124,1.0
53,ECHDC2,2.236068,28.6258,0.0755868184216124,1.0
54,EFHD2,2.236068,28.6258,0.0755868184216124,1.0
55,HACD2,2.236068,28.6258,0.0755868184216124,1.0
56,ARSA,2.236068,28.6258,0.0755868184216124,1.0
57,HNRNPK,2.236068,28.6258,0.0755868184216124,1.0
58,COX7B,2.236068,28.6258,0.0755868184216124,1.0
59,MUC1,2.236068,28.6258,0.0755868184216124,1.0
60,SUGT1,2.236068,28.6258,0.0755868184216124,1.0
61,ERCC5,2.236068,28.6258,0.0755868184216124,1.0
62,PCYT1A,2.236068,28.6258,0.0755868184216124,1.0
63,METTL26,2.236068,28.6258,0.0755868184216124,1.0
64,CFB,2.236068,28.6258,0.0755868184216124,1.0
65,PTGR1,2.236068,28.6258,0.0755868184216124,1.0
66,C1orf122,2.236068,28.6258,0.0755868184216124,1.0
67,GOLGA2,2.236068,28.6258,0.0755868184216124,1.0
68,UBXN1,2.236068,28.6258,0.0755868184216124,1.0
69,OXA1L,2.236068,28.6258,0.0755868184216124,1.0
70,BAIAP2L2,2.236068,28.6258,0.0755868184216124,1.0
71,EXOC3L4,2.236068,28.6258,0.0755868184216124,1.0
72,STUB1,2.236068,28.6258,0.0755868184216124,1.0
73,NHSL1,2.236068,28.6258,0.0755868184216124,1.0
74,QARS,2.236068,28.6258,0.0755868184216124,1.0
75,IER2,2.236068,28.6258,0.0755868184216124,1.0
76,PTGES3,2.236068,28.6258,0.0755868184216124,1.0
77,PNPLA6,2.236068,28.6258,0.0755868184216124,1.0
78,PLCG2,2.236068,28.6258,0.0755868184216124,1.0
79,C19orf33,2.236068,28.6258,0.0755868184216124,1.0
80,GGT6,2.236068,28.6258,0.0755868184216124,1.0
81,ARHGAP27,2.236068,28.6258,0.0755868184216124,1.0
82,PARP12,2.236068,28.6258,0.0755868184216124,1.0
83,SEM1,2.236068,28.6258,0.0755868184216124,1.0
84,NELFB,2.236068,28.6258,0.0755868184216124,1.0
85,DAZAP1,2.236068,28.6258,0.0755868184216124,1.0
86,VOPP1,2.236068,28.6258,0.0755868184216124,1.0
87,EGFL7,2.236068,28.6258,0.0755868184216124,1.0
88,REX1BD,2.236068,28.6258,0.0755868184216124,1.0
89,SPINK1,2.236068,29.447369,0.07558681842161245,1.0
90,MUC2,2.2246928,1.9650006,0.05447305717217548,1.0
91,MLEC,2.2242785,2.947902,0.05983713003793378,1.0
92,HLA-E,2.2242785,2.947902,0.05983713003793378,1.0
93,RAB17,2.2242785,2.947902,0.05983713003793378,1.0
94,SAT1,2.2118037,2.1487741,0.05484151457572809,1.0
95,TSPAN1,2.2100663,2.698233,0.056540279788705135,1.0
96,ARFRP1,2.2100663,2.698233,0.056540279788705135,1.0
97,LASP1,2.2100663,2.698233,0.056540279788705135,1.0
98,RHOC,2.2100663,2.698233,0.056540279788705135,1.0
99,SLC9A3R1,2.2100663,2.698233,0.056540279788705135,1.0
100,PPIA,2.2077918,29.605974,0.07832183273821168,1.0
101,PFN1,2.2052546,3.43461,0.0684753052515486,1.0
102,PFDN5,2.1759768,29.972643,0.08152575389280312,1.0
103,IFNGR2,2.1529381,29.205063,0.08393267658301441,1.0
104,PRDX1,2.1529381,29.205063,0.08393267658301441,1.0
105,VAMP8,2.1529381,29.205063,0.08393267658301441,1.0
106,IGHG3,2.1350315,3.1106818,0.07213622891385885,1.0
107,MYO7B,2.1257365,28.934626,0.0868719349139032,1.0
108,PDXDC1,2.1257365,28.934626,0.0868719349139032,1.0
109,CYBA,2.1257365,28.934626,0.0868719349139032,1.0
110,HES1,2.1257365,28.934626,0.0868719349139032,1.0
111,CSK,2.1257365,28.934626,0.0868719349139032,1.0
112,EIF3K,2.1257365,28.934626,0.0868719349139032,1.0
113,AK3,2.1257365,28.934626,0.0868719349139032,1.0
114,RXRB,2.1257365,28.934626,0.0868719349139032,1.0
115,ENGASE,2.1257365,28.934626,0.0868719349139032,1.0
116,OGT,2.1257365,28.934626,0.0868719349139032,1.0
117,STAT1,2.1257365,28.934626,0.0868719349139032,1.0
118,ACSS2,2.0905302,29.37944,0.09083869024917714,1.0
119,TPT1,2.0663643,2.2190998,0.07299560994352385,1.0
120,OLFM4,2.0267196,1.638285,0.07304747096664647,1.0
121,PCBP2,2.0255265,29.506605,0.09867236795731281,1.0
122,CTSD,2.0171423,1.7322191,0.0767976247713263,1.0
123,ATP5F1B,2.0133953,2.458058,0.08293644466599558,1.0
124,ANXA2,2.0022962,29.755522,0.10164100673866994,1.0
125,EDN3,2.0,29.12977,0.10193947882985828,1.0
126,RCN1,2.0,29.12977,0.10193947882985828,1.0
127,IGLC1,1.963961,30.767956,0.10674552235509223,1.0
128,PIGR,1.9609458,1.7718556,0.07915585511102374,1.0
129,ACTB,1.9431611,1.5117123,0.08140716449319893,1.0
130,GSDMD,1.8774896,2.472745,0.09230567282782753,1.0
131,TNFRSF14,1.8517964,1.3971115,0.08894401533413555,1.0
132,S100A6,1.8455559,2.3101065,0.10259449583610067,1.0
133,MYL6,1.841689,1.75891,0.10479138368002545,1.0
134,ATP6V0C,1.8378274,2.2601316,0.10635710692242178,1.0
135,CLCA1,1.8378274,2.2601316,0.10635710692242178,1.0
136,JCHAIN,1.827206,3.8194218,0.1233820016680833,1.0
137,SNRNP70,1.8241149,2.1105826,0.10533618288578517,1.0
138,RMRP,1.8120251,1.1395357,0.09835306177987176,1.0
139,ACTG1,1.8085968,2.4028225,0.1183406472421686,1.0
140,LGALS3,1.7929906,2.458058,0.11821642968975599,1.0
141,A2M,1.7895488,3.615099,0.12735712725857962,1.0
142,MT-ND2,1.7843509,1.2615228,0.1071153156299088,1.0
143,EEF1A1,1.7826523,1.6905625,0.10627056399710505,1.0
144,MT-ND1,1.773853,1.1788568,0.12491497202589395,1.0
145,UBC,1.771018,3.3829205,0.1289766511774735,1.0
146,ANO9,1.76655,1.5130496,0.10379379984536981,1.0
147,ALDOB,1.7655021,1.2675841,0.10291813383999665,1.0
148,MT-CYB,1.7630997,1.1695715,0.12504706315492886,1.0
149,MIR194-2HG,1.679381,1.8840487,0.1281669124847672,1.0
150,OAT,1.679381,1.8840487,0.1281669124847672,1.0
151,GNA11,1.6739521,3.3239849,0.14751398732724333,1.0
