,names,scores,logfoldchanges,pvals,pvals_adj
0,MFN1,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
1,CSRNP2,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
2,MFSD8,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
3,DNTTIP1,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
4,KLK1,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
5,HACD3,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
6,CAPN7,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
7,VCPIP1,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
8,IL15,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
9,NAGK,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
10,FBXO38,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
11,CIZ1,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
12,LINC00963,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
13,PGM1,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
14,TINF2,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
15,MAP3K14,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
16,TRAF6,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
17,ANKMY2,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
18,P2RY11,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
19,FBXO21,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
20,PHACTR2,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
21,ZSCAN26,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
22,PER2,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
23,GGT7,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
24,EMC7,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
25,BAHD1,-2.500111,-26.522554,0.015544752183386525,0.04626046481763184
26,PLXNA3,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
27,SLC25A38,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
28,ZFR,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
29,MRPS25,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
30,DDX54,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
31,PANK2,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
32,LGALS8,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
33,DDIT4,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
34,FLAD1,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
35,PITX2,-2.5028229,-26.641205,0.015438933515546571,0.04626046481763184
36,TP53BP2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
37,PTPRG,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
38,HEATR5A,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
39,POLR2K,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
40,POLR2F,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
41,CREBRF,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
42,SNHG14,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
43,CSNK2A2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
44,MARCH5,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
45,TSPAN4,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
46,PCGF2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
47,TOR4A,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
48,BDP1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
49,TEDC1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
50,DDX41,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
51,ICE1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
52,DICER1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
53,WBP4,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
54,FBXO22,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
55,POC1B,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
56,TNKS,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
57,ENPP4,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
58,NAB1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
59,ELOVL5,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
60,PIGF,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
61,DIO3OS,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
62,SCMH1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
63,NGDN,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
64,RAB11FIP4,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
65,PTPRE,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
66,PARG,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
67,ADGRL1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
68,DCAF5,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
69,TGFBRAP1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
70,RHOB,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
71,EFNB1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
72,PRNP,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
73,SAP130,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
74,CTSL,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
75,KEAP1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
76,PHF11,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
77,GSK3B,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
78,SMARCA2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
79,SLC8B1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
80,ANKRD13C,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
81,MCCC1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
82,TPRKB,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
83,AL157392.3,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
84,RNF135,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
85,ANKRD27,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
86,PTPN21,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
87,ATPAF1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
88,DMAC1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
89,INPP5B,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
90,IFT27,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
91,KDM3B,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
92,NKIRAS2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
93,MFSD11,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
94,RB1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
95,HOXB9,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
96,PLAT,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
97,BTBD10,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
98,MYBBP1A,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
99,PIGC,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
100,TBC1D10C,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
101,DNAJB9,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
102,NUDT21,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
103,ING4,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
104,LSM5,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
105,PEX1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
106,KAT8,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
107,GPSM2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
108,STIM2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
109,AKIRIN2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
110,FAM126B,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
111,HSD3B7,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
112,C1R,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
113,ADGRA3,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
114,TMEM123,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
115,ARID2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
116,GRWD1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
117,SCNM1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
118,YY1AP1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
119,ALDOA,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
120,BICRA,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
121,SF3B3,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
122,ATF7IP,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
123,HIRIP3,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
124,ZDHHC14,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
125,BAZ1B,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
126,DYNC1LI1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
127,GGA2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
128,AC005306.1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
129,RBMX2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
130,VPS11,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
131,ERGIC2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
132,SH3BP2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
133,UTP3,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
134,MARCKSL1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
135,MED29,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
136,TAF6,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
137,PRRG2,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
138,CD1D,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
139,PIH1D1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
140,FBXL18,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
141,PPFIA3,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
142,PRKAG1,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
143,TTLL12,-2.5186155,-26.394276,0.014835533562234885,0.044825332853080796
144,IP6K1,-2.5187497,-26.75163,0.01483050036898076,0.044825332853080796
145,TMEM41A,-2.5357516,-2.3516634,0.016919844018320595,0.04998408407958363
146,NCKAP1,-2.5386617,-2.376548,0.01649752123972007,0.04882971688363574
147,DNMBP,-2.5399232,-2.3572922,0.016708941481686213,0.0494082175320202
148,TMBIM4,-2.5572453,-2.336243,0.016473144224361174,0.04877311792361098
149,STOM,-2.55825,-1.9579718,0.01660727610558663,0.04913890239466213
150,CEP170B,-2.5605924,-2.353232,0.016123797918408407,0.047845617736146685
151,EIF2D,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
152,ATP2C2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
153,ZNF789,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
154,SERPINE2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
155,RASSF5,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
156,PGGT1B,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
157,AP002807.1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
158,TPCN2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
159,FNIP1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
160,RGMB,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
161,EXOC6,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
162,SERINC5,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
163,STX18,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
164,UHRF2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
165,CLMN,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
166,TADA2B,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
167,EIF5B,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
168,FRMD4B,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
169,RASA1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
170,APPBP2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
171,COMMD5,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
172,GFM1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
173,UQCC1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
174,RPARP-AS1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
175,STRADA,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
176,MCMBP,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
177,KANSL2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
178,SAMD9,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
179,ZNRF1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
180,CEP44,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
181,ABCB10,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
182,ZNF561,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
183,ZNF839,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
184,PSMD12,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
185,RFWD3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
186,RPAP2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
187,SNAP29,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
188,ZNF780A,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
189,ATAD1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
190,KCNG1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
191,GADD45GIP1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
192,UPF2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
193,QTRT1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
194,MT1M,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
195,HOXB3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
196,RAE1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
197,WDR37,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
198,TMEM43,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
199,SPOUT1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
200,GPX3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
201,RBAK,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
202,RALGAPA1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
203,TFE3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
204,PSME3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
205,SLC4A1AP,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
206,ASB6,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
207,TAF4,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
208,RNASE6,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
209,USP24,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
210,RNF216,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
211,CCZ1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
212,ATG7,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
213,PREPL,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
214,NFRKB,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
215,GARS,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
216,NEK6,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
217,GRPEL2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
218,ACOT9,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
219,CDKN2AIPNL,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
220,PALM,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
221,SLC1A5,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
222,ELMOD3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
223,HES4,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
224,CREBL2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
225,SETDB1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
226,TMEM18,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
227,SMS,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
228,ALG2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
229,ALDH6A1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
230,FKTN,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
231,NACC1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
232,EAF1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
233,AGAP4,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
234,TOMM40,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
235,COA1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
236,ZFYVE26,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
237,STARD3NL,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
238,ANAPC4,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
239,ATP9B,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
240,RGS3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
241,ASXL2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
242,PVR,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
243,MANSC1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
244,HAUS4,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
245,PDRG1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
246,TEAD1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
247,ZNF622,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
248,ZBTB4,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
249,MUL1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
250,RAI14,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
251,CCDC159,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
252,CYP2R1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
253,AD000090.1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
254,RICTOR,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
255,CBX5,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
256,SMUG1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
257,TKT,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
258,KAT6A,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
259,ASCC3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
260,ZNF83,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
261,JADE1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
262,MFSD5,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
263,CNOT4,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
264,CYGB,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
265,PISD,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
266,WDR24,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
267,ARL15,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
268,MTREX,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
269,HCN3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
270,CIAO3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
271,ALG3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
272,PODXL,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
273,MOB3C,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
274,FAM89B,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
275,LYRM2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
276,IGFLR1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
277,UBQLN4,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
278,POGK,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
279,MYRF,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
280,PHF3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
281,CDK5,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
282,PIP4K2C,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
283,FES,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
284,TMEM14A,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
285,FBXO25,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
286,EFHC1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
287,MPEG1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
288,SASH3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
289,PIP5K1C,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
290,HDDC3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
291,CCT2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
292,MTMR1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
293,VPS33B,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
294,UBXN7,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
295,ZDHHC17,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
296,HMG20A,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
297,TRNAU1AP,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
298,FAM118A,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
299,ALYREF,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
300,POLR2G,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
301,LSG1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
302,CNOT3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
303,PPP3CC,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
304,SRD5A1,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
305,CASP2,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
306,TBL3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
307,ZBTB17,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
308,UBR5,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
309,ZMAT3,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
310,TRIP6,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
311,DHRS7B,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
312,ATP7A,-2.5739076,-26.254574,0.012887647610135057,0.040870784995726585
