Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	aerobic electron transport chain (GO:0019646)	39/70	1.477740e-16	7.347526e-13	0	0	8.031756e+00	2.927643e+02	NDUFB9;COX7B;NDUFA13;NDUFB7;NDUFB10;NDUFB6;UQCRB;COX4I1;NDUFB4;NDUFA10;NDUFB2;UQCR11;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COX8A;NDUFA6;NDUFA5;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHD;SDHA;COX6C;COX7A2L;NDUFS7;NDUFS6;UQCRQ;UQCRC1;NDUFS2;NDUFS1;UQCRC2
GO_Biological_Process_2021	mitochondrial ATP synthesis coupled electron transport (GO:0042775)	39/71	2.847326e-16	7.347526e-13	0	0	7.780312e+00	2.784961e+02	NDUFB9;COX7B;NDUFA13;NDUFB7;NDUFB10;NDUFB6;UQCRB;COX4I1;NDUFB4;NDUFA10;NDUFB2;UQCR11;COX6A1;COX5B;COX7C;COX5A;UQCRH;UQCRFS1;CYC1;NDUFV2;COX8A;NDUFA6;NDUFA5;NDUFA4;NDUFA2;NDUFA1;NDUFC2;NDUFC1;SDHD;SDHA;COX6C;COX7A2L;NDUFS7;NDUFS6;UQCRQ;UQCRC1;NDUFS2;NDUFS1;UQCRC2
GO_Biological_Process_2021	fatty acid catabolic process (GO:0009062)	38/70	1.158765e-15	1.927563e-12	0	0	7.578009e+00	2.606185e+02	ABCD4;ACADVL;FAAH;ABCD3;ACAA2;ECHS1;ABHD3;ECI1;ECI2;CROT;ACAT1;SCP2;HACL1;ACADM;MMUT;ACAA1;ACAD11;HADH;ABCD1;ACADS;ACOT8;PHYH;ACBD5;AIG1;ALDH3A2;HADHB;HADHA;BDH2;ACOX1;ILVBL;ECHDC1;ECHDC2;ADTRP;SLC27A2;LPIN2;LPIN3;PPARD;SLC27A4
GO_Biological_Process_2021	fatty acid beta-oxidation (GO:0006635)	32/52	1.493945e-15	1.927563e-12	0	0	1.019483e+01	3.480244e+02	ABCD4;ACADVL;ABCD3;ACAA2;ECHS1;ECI1;ECI2;ETFDH;ETFA;CROT;ETFB;ACAT1;SCP2;ACADM;ACAA1;ACAD11;HADH;DECR2;ABCD1;ACADS;ACOT8;HADHB;HADHA;BDH2;ACOX2;ACOX1;IVD;ECHDC1;ECHDC2;SLC27A2;CRAT;PPARD
GO_Biological_Process_2021	neutrophil activation involved in immune response (GO:0002283)	124/485	1.377847e-12	1.187587e-09	0	0	2.220861e+00	6.065281e+01	GHDC;ATP8A1;TMEM179B;SRP14;LGALS3;PSMD7;PNP;LAMP1;ANPEP;FTH1;LAMP2;TOM1;SIRPA;ENPP4;OSTF1;PRSS3;ACAA1;B2M;KCMF1;DGAT1;HLA-B;ADAM10;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;DPP7;ALDH3B1;NEU1;MLEC;RAB6A;SLC15A4;ATP6V0A1;CTSA;HSPA8;MGAM;TRAPPC1;XRCC5;FUCA1;IDH1;FUCA2;SURF4;ARPC5;EEF2;PRDX6;IGF2R;TOLLIP;SERPINA1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;HMGB1;SLC2A5;ALAD;ACTR1B;STBD1;NAPRT;ITGAV;CD36;CTSD;SPTAN1;DSP;HSP90AA1;MME;SYK;DYNLT1;ATP6AP2;NDUFC2;ANO6;DYNLL1;RHOA;VAMP8;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;DNASE1;PAFAH1B2;RAB7A;PDXK;CANT1;CAB39;MVP;AGPAT2;CST3;PGRMC1;ORMDL3;METTL7A;CD58;DYNC1H1;AOC1;PTGES2;TUBB4B;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;PSMC2;RAB18;LAMTOR1;LAMTOR3;FRK
GO_Biological_Process_2021	endoplasmic reticulum to Golgi vesicle-mediated transport (GO:0006888)	63/185	1.380647e-12	1.187587e-09	0	0	3.308779e+00	9.035769e+01	MCFD2;SERPINA1;GOLT1A;KDELR1;CTSZ;MIA2;GOLGA2;TFG;TRAPPC12;SPTAN1;TMED5;TMED4;RAB2A;SEC13;ARFGAP3;DYNLL1;DYNLL2;BET1L;DYNC1LI2;TBC1D20;KDELR2;MPPE1;GAS6;ERGIC1;COPB2;DCTN5;RAB1A;COPA;SEC23A;TMED10;SAR1A;DCTN2;SAR1B;COPB1;GOSR2;RAB1B;ATL2;USO1;KLHL12;TEX261;LMAN1;SCFD1;YKT6;SPTBN1;SEC31A;BCAP31;SEC16B;TRAPPC3;DYNC1H1;TRAPPC1;SEC24A;TRAPPC4;YIF1A;ARCN1;CNIH1;VAPA;GOLGB1;CAPZA2;HYOU1;SEC24D;SEC24C;CNIH4;COPE
GO_Biological_Process_2021	neutrophil mediated immunity (GO:0002446)	124/488	2.175693e-12	1.604107e-09	0	0	2.202166e+00	5.913624e+01	GHDC;ATP8A1;TMEM179B;SRP14;LGALS3;PSMD7;PNP;LAMP1;ANPEP;FTH1;LAMP2;TOM1;SIRPA;ENPP4;OSTF1;PRSS3;ACAA1;B2M;KCMF1;DGAT1;HLA-B;ADAM10;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;KMT2E;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;DPP7;ALDH3B1;NEU1;MLEC;RAB6A;SLC15A4;ATP6V0A1;CTSA;HSPA8;MGAM;ACE;TRAPPC1;XRCC5;FUCA1;IDH1;FUCA2;SURF4;ARPC5;EEF2;PRDX6;IGF2R;TOLLIP;SERPINA1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;HMGB1;SLC2A5;ALAD;ACTR1B;STBD1;NAPRT;ITGAV;CD36;CTSD;SPTAN1;DSP;HSP90AA1;MME;DYNLT1;ATP6AP2;NDUFC2;ANO6;DYNLL1;RHOA;VAMP8;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;PAFAH1B2;RAB7A;PDXK;CANT1;CAB39;MVP;AGPAT2;CST3;PGRMC1;ORMDL3;METTL7A;CD58;DYNC1H1;AOC1;PTGES2;TUBB4B;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;PSMC2;RAB18;LAMTOR1;LAMTOR3;FRK
GO_Biological_Process_2021	neutrophil degranulation (GO:0043312)	122/481	3.743410e-12	2.414968e-09	0	0	2.195793e+00	5.777357e+01	GHDC;ATP8A1;TMEM179B;SRP14;LGALS3;PSMD7;PNP;LAMP1;ANPEP;FTH1;LAMP2;TOM1;SIRPA;ENPP4;OSTF1;PRSS3;ACAA1;B2M;KCMF1;DGAT1;HLA-B;ADAM10;EEF1A1;ACLY;CSNK2B;SLC27A2;PPIA;FTL;RAB5C;BRI3;COPB1;STXBP2;MGST1;PSEN1;IQGAP2;PLD1;GNS;RAP1B;SDCBP;NCSTN;RAP1A;DPP7;ALDH3B1;NEU1;MLEC;RAB6A;SLC15A4;ATP6V0A1;CTSA;HSPA8;MGAM;TRAPPC1;XRCC5;FUCA1;IDH1;FUCA2;SURF4;ARPC5;EEF2;PRDX6;IGF2R;TOLLIP;SERPINA1;HSP90AB1;DDX3X;SNAP23;CTSZ;FAF2;GDI2;PTPRJ;HMGB1;SLC2A5;ALAD;ACTR1B;STBD1;NAPRT;ITGAV;CD36;CTSD;SPTAN1;DSP;HSP90AA1;MME;DYNLT1;ATP6AP2;NDUFC2;ANO6;DYNLL1;RHOA;VAMP8;CEACAM1;PSMA2;TMBIM1;CAT;ALDOC;PAFAH1B2;RAB7A;PDXK;CANT1;CAB39;MVP;AGPAT2;CST3;PGRMC1;ORMDL3;METTL7A;CD58;DYNC1H1;AOC1;PTGES2;TUBB4B;RAB10;GALNS;PFKL;TSPAN14;RAB14;VAPA;PSMC2;RAB18;LAMTOR1;LAMTOR3;FRK
GO_Biological_Process_2021	fatty acid oxidation (GO:0019395)	30/59	1.085235e-11	6.223217e-09	0	0	6.583176e+00	1.662031e+02	ABCD4;ACADVL;ABCD3;ACAA2;ECHS1;ECI1;ECI2;CROT;ADIPOR1;ACAT1;SCP2;CYP4V2;HACL1;ACADM;ACAA1;ACAD11;HADH;ABCD1;ACADS;PHYH;ALDH3A2;HADHB;HADHA;BDH2;ACOX1;ILVBL;ECHDC1;ECHDC2;SLC27A2;PPARD
GO_Biological_Process_2021	mRNA processing (GO:0006397)	82/300	2.842383e-10	1.466954e-07	0	0	2.413797e+00	5.305818e+01	TCERG1;AKAP8L;HNRNPU;CCAR1;PNN;SYNCRIP;UBL5;PTBP1;PCF11;RAVER2;DHX15;PAPOLA;DHX16;SNRPD3;TXNL4A;RBM6;SRRM2;RBM17;AQR;IK;SNRPN;SCAF11;BUD31;PRPF4B;THOC2;WBP11;THOC7;WDR33;SFPQ;HNRNPH1;SARNP;PRPF3;SRSF2;CD2BP2;SRSF3;SRSF4;SNRPA1;HNRNPH3;PABPC1;SRSF5;SNRPC;SRSF6;SRSF7;SRSF8;SF3B4;DDX5;DHX9;YTHDC1;SF3B6;SRSF1;SNU13;TBRG4;PABPN1;PCBP1;POLR2C;PCBP2;TRA2A;POLR2E;RPRD1B;POLR2H;HNRNPA1;SF3B1;HNRNPA0;POLR2L;HSPA8;CHTOP;CPSF7;HNRNPA3;SF3A2;FUS;NONO;LSM4;CHERP;HNRNPL;HNRNPM;LSM7;HNRNPK;SON;HNRNPF;HNRNPA2B1;HNRNPD;HNRNPC
