Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
GO_Biological_Process_2021	macroautophagy (GO:0016236)	24/120	5.713063e-08	1.361003e-04	0	0	4.219424e+00	7.037125e+01	ILRUN;PRKAB2;VTA1;EI24;DYNLL1;TOMM20;ATG13;ATG12;MAP1LC3B;MAP1LC3A;RB1CC1;SNX14;LAMP2;RUBCNL;PLEKHM1;MFN1;MVB12A;CHMP4B;CHMP3;MFN2;CHMP6;TECPR1;ARL8B;VTI1B
GO_Biological_Process_2021	negative regulation of cellular macromolecule biosynthetic process (GO:2000113)	63/547	7.256748e-08	1.361003e-04	0	0	2.229672e+00	3.665302e+01	BTG2;ARID4A;DBI;PTPRK;YBX1;ING4;SYNCRIP;CREB3L1;MLX;KAT8;CIR1;USP47;RING1;IGFBP5;PRMT2;ZBTB38;ZNF12;CBFA2T2;FOXP1;ZNF91;BRMS1;TFDP2;KAT6A;NCL;RARA;GRB7;DDX6;SHMT1;ZNF24;HDAC6;BCLAF1;ZNF706;ZNF703;INPP5K;SUDS3;ZNF224;KDM4A;TCF7L2;XRCC6;SMAD4;PHF10;SMURF2;CBX3;NR1H2;DAB2IP;NR1D2;WWP2;KLF4;SMARCA2;DAP;CNOT7;MYBBP1A;YEATS2;CAPRIN1;BCL3;SP3;MDM2;ZNF217;TAF7;CNOT8;RCOR3;LSM14A;BAP1
GO_Biological_Process_2021	RNA splicing, via transesterification reactions with bulged adenosine as nucleophile (GO:0000377)	35/251	8.211735e-07	1.026741e-03	0	0	2.744475e+00	3.845704e+01	SF3B3;DDX23;DDX42;HNRNPU;HNRNPR;YBX1;PNN;SYNCRIP;RAVER1;PUF60;PCF11;POLR2B;TRA2B;PCBP2;PAPOLA;DHX16;TXNL4A;SF3B1;HNRNPA0;RBM17;CPSF7;HNRNPA3;BUD31;PLRG1;LSM3;WDR33;CHERP;HNRNPM;DDX39A;HNRNPH1;PRPF3;PPIE;SNRPA1;SLU7;SRSF9
GO_Biological_Process_2021	mRNA splicing, via spliceosome (GO:0000398)	36/274	2.394655e-06	2.217532e-03	0	0	2.561253e+00	3.314843e+01	SF3B3;DDX23;DDX42;HNRNPU;HNRNPR;YBX1;PNN;SYNCRIP;RAVER1;PUF60;PCF11;POLR2B;TRA2B;PCBP2;PAPOLA;DHX16;TXNL4A;SF3B1;HNRNPA0;DDX17;RBM17;CPSF7;HNRNPA3;BUD31;PLRG1;LSM3;WDR33;CHERP;HNRNPM;DDX39A;HNRNPH1;PRPF3;PPIE;SNRPA1;SLU7;SRSF9
GO_Biological_Process_2021	mRNA processing (GO:0006397)	38/300	3.097291e-06	2.217532e-03	0	0	2.457195e+00	3.116947e+01	SF3B3;DDX23;DDX42;HNRNPU;HNRNPR;YBX1;PNN;SYNCRIP;RAVER1;PUF60;PCF11;POLR2B;TRA2B;PCBP2;PAPOLA;DHX16;RPRD1B;TXNL4A;SF3B1;HNRNPA0;RBM17;CPSF7;HNRNPA3;BUD31;GTF2H1;THOC2;PLRG1;LSM3;WDR33;CHERP;HNRNPM;DDX39A;HNRNPH1;PRPF3;PPIE;SNRPA1;SLU7;SRSF9
GO_Biological_Process_2021	regulation of mitotic spindle assembly (GO:1901673)	8/19	4.550281e-06	2.217532e-03	0	0	1.215538e+01	1.495151e+02	PDCD6IP;CHMP1B;TPR;HNRNPU;CHMP3;CHMP4B;EML3;CHMP5
GO_Biological_Process_2021	negative regulation of nucleic acid-templated transcription (GO:1903507)	51/464	4.955027e-06	2.217532e-03	0	0	2.099956e+00	2.565120e+01	ARID4A;PTPRK;ING4;CREB3L1;MLX;KAT8;CIR1;USP47;RING1;PRMT2;ZBTB38;ZNF12;CBFA2T2;FOXP1;ZNF91;BRMS1;TFDP2;KAT6A;RARA;ZNF24;HDAC6;BCLAF1;ZNF706;ZNF703;INPP5K;SUDS3;ZNF224;KDM4A;TCF7L2;XRCC6;SMAD4;PHF10;SMURF2;CBX3;NR1H2;DAB2IP;NR1D2;WWP2;KLF4;SMARCA2;DAP;CNOT7;MYBBP1A;YEATS2;BCL3;SP3;MDM2;ZNF217;TAF7;RCOR3;BAP1
GO_Biological_Process_2021	multivesicular body organization (GO:0036257)	10/31	4.974950e-06	2.217532e-03	0	0	7.968790e+00	9.730765e+01	PDCD6IP;CHMP1B;VTA1;MVB12A;RAB27A;CHMP3;CHMP4B;CHMP6;RAB11A;CHMP5
GO_Biological_Process_2021	regulation of spindle assembly (GO:0090169)	9/25	5.320659e-06	2.217532e-03	0	0	9.407276e+00	1.142411e+02	PDCD6IP;CHMP1B;TPR;HNRNPU;CHMP3;CHMP4B;RNF4;EML3;CHMP5
GO_Biological_Process_2021	negative regulation of gene expression (GO:0010629)	39/322	6.837347e-06	2.564689e-03	0	0	2.334214e+00	2.776106e+01	YAP1;GRB7;DDX6;BTG2;RNH1;PPP1R11;ROCK2;SHMT1;PHF1;SNX12;YBX1;CD3E;YY1;SYNCRIP;ZFP36;RBBP4;CREB3L1;TASOR;ANXA7;LGALS9;KDM4A;YTHDF2;IGFBP5;ADAM10;WWP2;ATP2B1;KLF4;NFKB1;VEGFA;FOXP1;OCLN;CNOT7;PC;DGKQ;NCL;CAPRIN1;CNOT8;LSM14A;TNRC6A
GO_Biological_Process_2021	negative regulation of translation (GO:0017148)	17/90	1.076780e-05	3.464927e-03	0	0	3.910622e+00	4.473341e+01	DDX6;GRB7;BTG2;YTHDF2;IGFBP5;ROCK2;SHMT1;YBX1;PUM1;SYNCRIP;CNOT7;NCL;CAPRIN1;TPR;EIF3E;CNOT8;LSM14A
GO_Biological_Process_2021	positive regulation of transcription by RNA polymerase II (GO:0045944)	83/908	1.173026e-05	3.464927e-03	0	0	1.723488e+00	1.956734e+01	CCNK;CRTC2;CCNT2;HNRNPU;ARRB1;YBX1;MYSM1;DCAF6;IKBKB;YY1;ELK4;MED13;DBP;ZMIZ1;POGZ;NFATC2IP;MLX;EP300;KAT8;EIF5A;DDX17;SS18;SREBF1;SUPT16H;ZBTB38;TET2;ARNT;ABHD14B;GNL3;IRF3;TFDP2;TBL1XR1;KAT6A;RARA;MZF1;HOXB7;YAP1;ZNF395;CASZ1;TMF1;MAX;WBP2;ZNF24;RNF4;BCLAF1;ZNF507;E4F1;RPRD1B;E2F4;GCN1;BRD4;AKIRIN2;TCF7L2;XBP1;XRCC6;NPM1;AKIRIN1;SMAD4;PHF10;CNBP;NR1H2;STAT3;DAB2IP;SMARCA5;LARP7;NR1D2;KLF4;SMARCA2;USF2;NFKB1;NFKB2;VEGFA;FOSL2;SETX;ASXL1;NFKBIA;KLF6;NFIC;KANSL3;SP3;TAF7;TCF3;SSBP3
