,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,6.023829,2.1551793,2.0131532020748658e-05,0.0023956523104690904
1,IGKC,4.3050475,1.7723323,0.0008283358563912586,0.01601498854702367
2,IGHA1,4.26302,2.121167,0.0008299083700838598,0.01601498854702367
3,IGHG4,3.8964627,1.771554,0.00228114517295575,0.027677894765196435
4,REG1A,3.7112255,2.0271254,0.0026780154460964455,0.029840743542217538
5,LINC02739,2.7757094,1.5107301,0.01813706279203636,0.09254987181730703
6,HSP90B1,2.6811833,1.5307845,0.022114826632591,0.104295897569465
7,IGLC3,2.65504,4.625922,0.02592339611349552,0.11047794431839551
8,IGHM,2.5880423,2.2626925,0.027363782944047642,0.11215989164214975
9,DMBT1,2.5431867,1.5302635,0.025597333637842484,0.1091384707517014
10,ABHD3,2.4807968,2.1848316,0.031244572832345066,0.12522112479698916
11,GNPAT,2.4179156,2.0403595,0.03574821634830827,0.14228771189751174
12,TSC2,2.1077464,1.6566918,0.05903086683669405,0.1871326864679625
13,SNHG1,2.0579894,1.3830005,0.06590961626514436,0.20844056496527086
14,IGLC2,2.0493617,1.7495539,0.06635571111858306,0.20970844760050664
15,TMUB1,2.0189486,2.0868754,0.07173393389862395,0.22012700422583537
16,TUBGCP6,2.0017793,2.0236652,0.07296062981237787,0.22012700422583537
17,IGHG2,1.9919403,2.794218,0.0740292777001538,0.22012700422583537
18,TAF1D,1.9885776,1.542615,0.07354402385307558,0.22012700422583537
19,TRIM44,1.9452792,2.8227549,0.0817893740347698,0.22012700422583537
20,BST2,1.9268986,2.498704,0.083745023593188,0.22139598661121362
21,CCL25,1.8967052,1.5950567,0.0831093566021521,0.22012700422583537
22,LCN2,1.8905034,2.6554916,0.08879519306995319,0.2344799380015094
23,IER5L,1.8792506,4.7846437,0.0925129042655698,0.23859538132620695
24,SRSF6,1.832522,1.2608482,0.09271946939818826,0.23899531101193652
25,NDUFA11,1.8161994,1.7434819,0.09753214488014737,0.2506349304478206
26,UBA52,1.76726,0.9544132,0.10360147610437663,0.26491154303053
27,GAS5,1.7291012,0.85910785,0.10849240238358336,0.27657964265982443
28,HLA-DRA,1.729003,0.852459,0.10549681727773795,0.2695352210217351
29,TMEM54,1.6856256,1.3495011,0.12043543389780648,0.3054321577703387
30,HLA-C,1.678842,0.85381025,0.11669843900109302,0.29668444557878537
31,TPM4,1.6677855,2.0171568,0.12719443395812635,0.32160684718042193
32,ACTB,1.6630734,0.7971662,0.12082310541674332,0.30627568980453446
33,KXD1,1.6586009,2.9270642,0.12979220941229577,0.3275506492019928
34,SCPEP1,1.6508433,1.849794,0.12948934819578095,0.3268752053177152
35,RXRB,1.6508433,1.849794,0.12948934819578095,0.3268752053177152
36,MYL12B,1.6395625,0.8884349,0.12674469362331622,0.32055701531651803
37,NQO1,1.6290535,2.7665088,0.1361794880208074,0.3393350112417302
38,COL4A2,1.6290535,2.7665088,0.1361794880208074,0.3393350112417302
39,CABIN1,1.6290535,2.7665088,0.1361794880208074,0.3393350112417302
40,LRRC66,1.6261204,3.053864,0.13733904135830993,0.3393350112417302
41,CD74,1.615658,0.7908878,0.1285401969785824,0.3246558117973339
42,RALGDS,1.6059264,2.7054577,0.14041198354556178,0.3393350112417302
43,AC009133.1,1.5921447,1.3234518,0.13968209926497174,0.3393350112417302
44,RARRES1,1.5863912,2.1021407,0.14513345565089328,0.3393350112417302
45,PPIC,1.5601791,2.725874,0.15189111455118628,0.3393350112417302
46,MEF2D,1.5468736,2.4385188,0.15439590457238464,0.3393350112417302
47,SERTAD3,1.5468736,2.4385188,0.15439590457238464,0.3393350112417302
48,ROMO1,1.5273443,1.3022326,0.15727591684828066,0.3393350112417302
49,CLDN7,1.5213633,0.90029055,0.15321378541927483,0.3393350112417302
50,THEMIS2,1.5,27.147814,0.16785065605707486,0.3558900670299996
51,PHLDA3,1.5,27.147814,0.16785065605707486,0.3558900670299996
52,ABCA7,1.4948462,2.2753494,0.16673362110870538,0.3557750508347134
53,LMAN2,1.481289,1.6739703,0.16941197588663276,0.35624874494329983
54,IGHG3,1.4804376,1.3587618,0.1691737722569657,0.3558900670299996
55,JCHAIN,1.4670438,1.035203,0.16950155328028574,0.3563563799654841
56,RARRES2,1.4652594,2.1694143,0.174687701697894,0.3663277290002335
57,PHF20L1,1.4652594,2.1694143,0.174687701697894,0.3663277290002335
58,EHD4,1.4652594,2.1694143,0.174687701697894,0.3663277290002335
59,CTSD,1.4651488,0.7378435,0.16705442623616176,0.3558900670299996
60,ADIPOR2,1.4588387,1.6198094,0.17480418915894244,0.36642558350797283
61,ADI1,1.4579083,1.1617521,0.17308233612950125,0.3635551581701812
62,TNFRSF1A,1.455528,1.0291026,0.17417488623355118,0.36568452703456733
63,H2AFJ,1.4356301,1.5743728,0.1812921569666738,0.37892068492882813
64,ARFGAP3,1.4356301,1.5743728,0.18129215696667378,0.37892068492882813
65,ALDH2,1.4293754,1.150069,0.17961408251672384,0.3758291059333252
66,SEMA3F,1.4292234,2.2282984,0.18505894030958012,0.3859171161432313
67,HNF1A,1.4292234,2.2282984,0.18505894030958012,0.3859171161432313
68,DPP9,1.4278127,1.4584901,0.18289209151750613,0.3818273489576005
69,PAFAH1B2,1.4138008,2.0316467,0.18836775894565322,0.3922004348437759
70,GLMP,1.4138008,2.0316467,0.18836775894565322,0.3922004348437759
71,MMD,1.4039186,4.148238,0.19337044839366044,0.40126637647886343
72,TRPM5,1.4039186,4.148238,0.19337044839366044,0.40126637647886343
73,KCTD18,1.4039186,4.148238,0.19337044839366044,0.40126637647886343
74,FBXO46,1.4039186,4.148238,0.19337044839366044,0.40126637647886343
75,EHD2,1.4039186,4.148238,0.19337044839366044,0.40126637647886343
76,APP,1.4028124,1.182046,0.18864126140753645,0.39268180946058606
77,NDUFA1,1.3922685,1.5294558,0.19332399786369794,0.40126637647886343
78,C11orf86,1.3894254,1.3876259,0.19478403701762198,0.40383860433271546
79,PTPRA,1.384186,1.9409431,0.1971945333956041,0.40801597391395394
80,TMEM238L,1.384186,1.9409431,0.1971945333956041,0.40801597391395394
81,CD44,1.384186,1.9409431,0.1971945333956041,0.40801597391395394
82,VAMP5,1.384186,1.9409431,0.1971945333956041,0.40801597391395394
83,NFKBIL1,1.3832288,4.5484037,0.19964553290507617,0.4124437650623007
84,DYNLRB1,1.3764066,1.5644816,0.19919473121994496,0.4117737138886972
85,OSER1,1.3758833,1.9409431,0.19896001901836505,0.41139382858731666
86,ITPKC,1.3758833,1.9409431,0.19896001901836505,0.41139382858731666
87,GPD1,1.3751707,1.1532832,0.19657710832462083,0.4071923051705268
88,KRT8,1.3696209,0.7060716,0.19195581184994398,0.3991339259836873
89,GNA13,1.3628416,1.9053063,0.20290522647698295,0.4186188735628708
90,LAP3,1.3611655,1.0559477,0.20100915679585324,0.4150760830654304
91,RNF121,1.3587879,2.0295663,0.2049929581409456,0.42236284960360865
92,EIF4E3,1.3587879,2.0295663,0.2049929581409456,0.42236284960360865
93,CARM1,1.354196,1.3467665,0.2043831666455975,0.4212934827458219
94,TXN,1.3497194,1.6656505,0.20756212811344238,0.4274139269100309
95,GSDMD,1.3496825,0.9168912,0.20192259305236307,0.4166841949115238
96,GADD45G,1.343076,3.4802592,0.2108636580260116,0.4334004592111248
97,CLRN3,1.3364044,0.9645367,0.20860134904557118,0.4290356130824267
98,NOXA1,1.3332771,1.8215964,0.21229049555090446,0.4360434564513156
99,SH3BGRL,1.3238338,1.9241899,0.21607197403689138,0.44292845914541207
100,HLA-DRB1,1.3225447,0.9331063,0.21295811375735213,0.43731796723357136
101,GPS2,1.3201219,1.3025666,0.21475577224565423,0.44071701923151946
102,ATP6V1B2,1.3166606,1.7773412,0.2186980084140078,0.447915912201858
103,TSNAX,1.3087634,3.1422014,0.2220548842541206,0.45269348465775255
104,ZNF688,1.3087634,3.1422014,0.2220548842541206,0.45269348465775255
105,TCF7,1.3087634,3.1422014,0.2220548842541206,0.45269348465775255
106,PPIF,1.3087634,3.1422014,0.2220548842541206,0.45269348465775255
