,names,scores,logfoldchanges,pvals,pvals_adj
0,AL627171.2,11.5166235,1.9997532,1.844934237602092e-24,1.7124679593422616e-20
1,IGKC,9.856423,2.0892515,1.8845389050947808e-18,8.746145058544879e-15
2,IGHG4,8.749296,2.1540189,6.932354914408899e-15,1.286922366310868e-11
3,IGHA1,8.58246,2.1266692,4.595713108043787e-15,1.0664352267215608e-11
4,IGHM,7.6871486,2.1395652,2.7932931025627795e-12,3.853658803595022e-09
5,REG1A,7.67588,2.317899,2.906228358668946e-12,3.853658803595022e-09
6,IGHG3,7.4989924,2.3303692,9.924937437167469e-12,1.0235918810198715e-08
7,JCHAIN,6.02717,1.5791,1.3254628694306082e-08,8.787818824324932e-06
8,IGLC2,5.932782,2.1662676,3.3825870015126837e-08,1.8468925028259252e-05
9,IGLC3,5.6075435,3.4044192,2.3044119726169919e-07,0.00010694775964915458
10,LINC02739,5.319223,1.3975686,4.4435647436392105e-07,0.00017185486646024647
11,MUC1,5.2786856,2.3750522,8.404781575706429e-07,0.00026004394195235694
12,LCN2,5.1403217,2.9833307,1.6104385477824e-06,0.0003832843743722112
13,TNFRSF6B,5.12584,2.9515264,1.666735932893665e-06,0.00038676607322797493
14,S100A6,4.8004193,1.4008337,4.509432116462418e-06,0.0008905648703192374
15,CD55,4.6097794,2.6107252,1.2957788906891241e-05,0.0023129653198800866
16,CD24,4.582973,2.195124,1.4160746549418765e-05,0.0024374023954711254
17,IGLC1,4.515951,1.5925893,1.4442698960451615e-05,0.0024374023954711254
18,PLA2G2A,4.4577494,1.3830205,1.800634744284986e-05,0.002832795202788685
19,IGHG2,4.40925,2.364315,2.5470230171709585e-05,0.0034766864184383583
20,DMBT1,4.390878,1.4902354,2.3763152038737055e-05,0.0033419632912660203
21,PSAP,4.2104807,1.2085787,4.717619357087058e-05,0.005473617859060259
22,RACK1,3.9455628,0.78115606,0.00011974391664573925,0.010291324391719923
23,C1QA,3.9379616,1.1411363,0.0001311541584570493,0.010902909480575653
24,SNHG1,3.9328716,0.8135429,0.0001268270726059092,0.010701898981164084
25,CYBA,3.903059,1.4779509,0.00016192799509942237,0.012421616946387094
26,HLA-C,3.870124,0.9174046,0.00015904894549325683,0.012405817748474034
27,IDO1,3.856201,2.5769835,0.00021500084036535464,0.01535106000208632
28,PDZK1IP1,3.8326674,1.8842889,0.0002257850517450971,0.01552397666887401
29,ISG20,3.8171778,2.2652214,0.00023748396406672763,0.01608997193041873
30,TYROBP,3.8088877,3.4799423,0.000261624909691392,0.01722271214010993
31,CD59,3.7477229,1.7074076,0.00028468944671135115,0.01835060725260251
32,TMEM54,3.7334204,1.3448349,0.000290811139034633,0.01849475090622496
33,WARS,3.682601,1.39615,0.00036202970891726076,0.021210296940289426
34,GAS5,3.640851,0.77618563,0.0003700705503289678,0.021210296940289426
35,PLAC8,3.6215265,2.164095,0.0004694816788772979,0.024759823541699314
36,TMSB10,3.5371354,0.9001864,0.000535693563233261,0.027269968446115723
37,CD68,3.5055277,1.5552542,0.0006513567012305636,0.030703615511049023
38,ACTB,3.4883728,0.86771953,0.0006516496720186014,0.030703615511049023
39,ICAM1,3.4842608,3.2177854,0.0007713780951269716,0.03493338338870094
40,IFI30,3.4570863,1.4913293,0.0007810332810049815,0.03493338338870094
41,ITGB2,3.4170825,2.1134799,0.0009193762742391266,0.03950862887346498
42,ACP5,3.385246,2.0938938,0.0010385562291266273,0.042466426954860595
43,CFB,3.3728273,1.2208525,0.0009798622396056335,0.04134127867281587
44,CXCL14,3.3585732,1.0526719,0.0010270831244358766,0.04237060249339469
45,GAPDH,3.3570046,0.9126653,0.001036728869624264,0.042466426954860595
46,S100A16,3.3502548,1.4138733,0.0011265100312643456,0.0445599237190323
47,CTSB,3.3249052,0.9447209,0.0011557865611455612,0.045221473075424526
48,ANXA2,3.2955308,1.1313391,0.0012872865151835008,0.04917116639478705
49,MXRA5,3.2873297,2.2371042,0.001408052629889866,0.051658278698172876
50,LAPTM5,3.2866173,1.6849266,0.001370318221747894,0.051658278698172876
51,KRT8,3.2089126,0.9203578,0.001663372421736481,0.05775981204596488
52,SPINK1,3.2019947,1.1909966,0.0017601152417295737,0.05995516053166567
53,S100A11,3.1867788,1.6256721,0.001891673081760189,0.06270896266035027
54,GM2A,3.1628146,2.196102,0.0020906456265936996,0.06761453904544501
55,FTL,3.1278684,0.7475275,0.0021065153021747585,0.06765631499925989
56,EPS8L1,3.1056924,2.1747553,0.0025060226196150347,0.07291818794754468
57,GOLM1,3.0870676,1.7663372,0.0026267560331007344,0.07482616816629313
58,LGALS3,3.080741,0.9712052,0.0025196774637816317,0.07308639443381595
59,APOL1,3.0483766,1.5438339,0.0028892522281982634,0.07684251914652229
60,CARHSP1,3.0382783,1.611314,0.002947257015873406,0.0779385744197634
61,CD74,3.024003,0.7135485,0.0029156844178025343,0.07732395076012322
62,PLCG2,3.016208,1.0902797,0.003101527401905437,0.08005726084277123
63,PKM,3.014377,1.265445,0.0031600263083203213,0.08125031632639673
64,CTSD,3.0099807,0.75859416,0.003046855832612494,0.07944077482671115
65,HM13,2.9994996,1.3985702,0.003359298498092846,0.0854246107160633
66,ELOB,2.9919634,1.3335139,0.003392774412816345,0.0855753589667427
67,SERPINB6,2.989484,0.875153,0.00337684019028707,0.0854246107160633
68,LYZ,2.9796607,0.82568645,0.003377594498254173,0.0854246107160633
69,UBE2R2,2.9468048,2.0510502,0.0040083494992047145,0.09739659699376482
70,FCER1G,2.9467058,1.8436772,0.003989064201087418,0.0971823987257045
71,CXCL9,2.9463906,1.6096265,0.003954438409822905,0.09684722248014829
72,CDC25B,2.9003012,1.1533971,0.004446432329470468,0.10103116796579638
73,SERPING1,2.8892221,2.0542223,0.004787504636359592,0.10534936915559068
74,CFI,2.8843954,2.1253579,0.004830435873554882,0.10534936915559068
75,NPLOC4,2.8815079,1.5462354,0.00477368679408806,0.10534936915559068
76,STAT1,2.87887,1.1016189,0.004698703403414583,0.1045884052529836
77,TXN,2.8515964,1.32254,0.005170509819433527,0.10665038254218222
78,CXCL10,2.848709,2.563292,0.00544380598094956,0.11032621640867646
79,ITGB4,2.846616,1.1460358,0.005148764194022993,0.10643837249202989
80,TIMP1,2.8355157,1.8132215,0.005574631234042518,0.11248636329213621
81,LRP10,2.8138216,1.0238361,0.005629763762726386,0.11310707196023012
82,COX6B1,2.8052766,1.2511703,0.005868657557830725,0.11614686450273944
83,VAMP5,2.7988203,1.5976703,0.006093425786023654,0.11868328710420042
84,FGL2,2.7964733,1.2853833,0.0061049040097291484,0.11868328710420042
85,APOC1,2.7907257,2.5366592,0.006424847184113504,0.12285557431087807
86,STOM,2.7872093,1.6707778,0.006324016481165905,0.1217832385439459
87,UBA52,2.78674,0.6758714,0.006048730566989893,0.11844792641940968
88,NCF1,2.7743082,1.2644173,0.006432644808779007,0.12285557431087807
89,GBP1,2.7741811,1.335642,0.006504112404466911,0.1239654442264104
90,HLA-DQA1,2.7681541,1.9054443,0.006717201032450134,0.12607075936940548
91,SSR4,2.764311,1.1244314,0.006629001582340177,0.1255722299740439
92,UBXN1,2.7608511,1.6391126,0.00674233763490716,0.12607075936940548
93,HLA-DQB1,2.7571769,0.97039294,0.006588102108991614,0.12505268665779173
94,C1S,2.7518687,1.291752,0.006980306408062559,0.12880955085414844
95,SH3BGRL3,2.751027,0.9769868,0.006841808531188907,0.12675781793711663
96,LUM,2.7479842,1.78795,0.007039078006499162,0.12910152261951952
97,ARPC1B,2.7477167,1.1528547,0.007000145630522422,0.1289193486954546
